tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Harmony China Open Suzhou 2012,2012-08-22,KIM Minhee (YOB=1991),GUAN Mengyuan,4,1,"11,8,11,11,11|9,11,6,8,8",,GRAND_SLAM,WS,97,Qualification,KIM Minhee (YOB=1991) (KOR),GUAN Mengyuan (HKG),KIM Minhee (YOB=1991)
World Tour Harmony China Open Suzhou 2012,2012-08-22,NONAKA Yuki,GUAN Mengyuan,4,0,"11,11,11,11|8,6,6,9",,GRAND_SLAM,WS,97,Qualification,NONAKA Yuki (JPN),GUAN Mengyuan (HKG),NONAKA Yuki
World Tour Harmony China Open Suzhou 2012,2012-08-22,NONAKA Yuki,KIM Minhee (YOB=1991),4,2,"11,11,11,6,9,12|7,6,3,11,11,10",,GRAND_SLAM,WS,97,Qualification,NONAKA Yuki (JPN),KIM Minhee (YOB=1991) (KOR),NONAKA Yuki
World Tour Harmony China Open Suzhou 2012,2012-08-22,HOU Yu-Ling,TSUCHIDA Miki,4,1,"12,11,9,11,11|10,5,11,8,7",,GRAND_SLAM,WS,97,Qualification,HOU Yu-Ling (TPE),TSUCHIDA Miki (JPN),HOU Yu-Ling
World Tour Harmony China Open Suzhou 2012,2012-08-22,YOON Sunae,HOU Yu-Ling,4,0,"11,11,11,11|8,3,6,1",,GRAND_SLAM,WS,97,Qualification,YOON Sunae (KOR),HOU Yu-Ling (TPE),YOON Sunae
World Tour Harmony China Open Suzhou 2012,2012-08-22,YOON Sunae,TSUCHIDA Miki,4,0,"11,11,11,11|8,7,7,5",,GRAND_SLAM,WS,97,Qualification,YOON Sunae (KOR),TSUCHIDA Miki (JPN),YOON Sunae
World Tour Harmony China Open Suzhou 2012,2012-08-22,HWANG Jina,LIN Chia-Chih,4,0,"12,11,11,11|10,5,3,6",,GRAND_SLAM,WS,97,Qualification,HWANG Jina (KOR),LIN Chia-Chih (TPE),HWANG Jina
World Tour Harmony China Open Suzhou 2012,2012-08-22,PARTYKA Natalia,LIN Chia-Chih,4,0,"11,12,11,11|7,10,3,4",,GRAND_SLAM,WS,97,Qualification,PARTYKA Natalia (POL),LIN Chia-Chih (TPE),PARTYKA Natalia
World Tour Harmony China Open Suzhou 2012,2012-08-22,PARTYKA Natalia,HWANG Jina,4,3,"9,11,7,7,11,11,11|11,8,11,11,4,7,8",,GRAND_SLAM,WS,97,Qualification,PARTYKA Natalia (POL),HWANG Jina (KOR),PARTYKA Natalia
World Tour Harmony China Open Suzhou 2012,2012-08-22,YOO Eunchong,YU Mei-Ju,4,1,"9,11,14,11,11|11,2,12,5,9",,GRAND_SLAM,WS,97,Qualification,YOO Eunchong (KOR),YU Mei-Ju (TPE),YOO Eunchong
World Tour Harmony China Open Suzhou 2012,2012-08-22,ZHAO Yan,YU Mei-Ju,4,0,"11,11,11,11|3,6,8,7",,GRAND_SLAM,WS,97,Qualification,ZHAO Yan (CHN),YU Mei-Ju (TPE),ZHAO Yan
World Tour Harmony China Open Suzhou 2012,2012-08-22,ZHAO Yan,YOO Eunchong,4,2,"11,11,2,11,8,11|8,7,11,6,11,2",,GRAND_SLAM,WS,97,Qualification,ZHAO Yan (CHN),YOO Eunchong (KOR),ZHAO Yan
World Tour Harmony China Open Suzhou 2012,2012-08-22,HSIUNG Nai-I,LI Ching Wan,4,2,"8,11,11,11,5,11|11,7,8,4,11,5",,GRAND_SLAM,WS,97,Qualification,HSIUNG Nai-I (TPE),LI Ching Wan (HKG),HSIUNG Nai-I
World Tour Harmony China Open Suzhou 2012,2012-08-22,SONG Maeum,LI Ching Wan,4,1,"11,11,11,12,14|6,7,13,10,12",,GRAND_SLAM,WS,97,Qualification,SONG Maeum (KOR),LI Ching Wan (HKG),SONG Maeum
World Tour Harmony China Open Suzhou 2012,2012-08-22,HSIUNG Nai-I,SONG Maeum,4,2,"11,11,5,11,2,11|4,7,11,7,11,7",,GRAND_SLAM,WS,97,Qualification,HSIUNG Nai-I (TPE),SONG Maeum (KOR),HSIUNG Nai-I
World Tour Harmony China Open Suzhou 2012,2012-08-22,CHENG Hsien-Tzu,MIYAKE Natsumi,4,3,"7,11,9,12,11,12,13|11,13,11,10,4,10,11",,GRAND_SLAM,WS,97,Qualification,CHENG Hsien-Tzu (TPE),MIYAKE Natsumi (JPN),CHENG Hsien-Tzu
World Tour Harmony China Open Suzhou 2012,2012-08-22,PARK Youngsook,MIYAKE Natsumi,4,0,"11,11,11,11|4,7,3,7",,GRAND_SLAM,WS,97,Qualification,PARK Youngsook (KOR),MIYAKE Natsumi (JPN),PARK Youngsook
World Tour Harmony China Open Suzhou 2012,2012-08-22,PARK Youngsook,CHENG Hsien-Tzu,4,1,"9,11,12,11,11|11,4,10,8,7",,GRAND_SLAM,WS,97,Qualification,PARK Youngsook (KOR),CHENG Hsien-Tzu (TPE),PARK Youngsook
World Tour Harmony China Open Suzhou 2012,2012-08-22,LEE Hyun,DOO Hoi Kem,4,1,"11,9,11,12,11|4,11,9,10,7",,GRAND_SLAM,WS,97,Qualification,LEE Hyun (KOR),DOO Hoi Kem (HKG),LEE Hyun
World Tour Harmony China Open Suzhou 2012,2012-08-22,TASHIRO Saki,LEE Chun-Hui,4,2,"11,8,11,9,11,11|9,11,5,11,7,6",,GRAND_SLAM,WS,97,Qualification,TASHIRO Saki (JPN),LEE Chun-Hui (TPE),TASHIRO Saki
World Tour Harmony China Open Suzhou 2012,2012-08-22,TASHIRO Saki,LEE Hyun,4,3,"14,6,11,3,8,11,11|12,11,6,11,11,3,9",,GRAND_SLAM,WS,97,Qualification,TASHIRO Saki (JPN),LEE Hyun (KOR),TASHIRO Saki
World Tour Harmony China Open Suzhou 2012,2012-08-22,DOO Hoi Kem,LEE Chun-Hui,4,0,"11,11,11,11|7,6,6,8",,GRAND_SLAM,WS,97,Qualification,DOO Hoi Kem (HKG),LEE Chun-Hui (TPE),DOO Hoi Kem
World Tour Harmony China Open Suzhou 2012,2012-08-22,DOO Hoi Kem,TASHIRO Saki,4,1,"11,6,13,11,11|3,11,11,9,8",,GRAND_SLAM,WS,97,Qualification,DOO Hoi Kem (HKG),TASHIRO Saki (JPN),DOO Hoi Kem
World Tour Harmony China Open Suzhou 2012,2012-08-22,LEE Chun-Hui,LEE Hyun,4,1,"11,11,9,11,11|9,7,11,6,6",,GRAND_SLAM,WS,97,Qualification,LEE Chun-Hui (TPE),LEE Hyun (KOR),LEE Chun-Hui
World Tour Harmony China Open Suzhou 2012,2012-08-22,WU Yue,LIN Chia-Hui,4,3,"11,10,12,11,7,3,11|3,12,10,9,11,11,9",,GRAND_SLAM,WS,97,Qualification,WU Yue (USA),LIN Chia-Hui (TPE),WU Yue
World Tour Harmony China Open Suzhou 2012,2012-08-22,SHAO Jieni,NG Wing Nam,4,2,"8,13,11,11,9,11|11,11,7,7,11,9",,GRAND_SLAM,WS,97,Qualification,SHAO Jieni (POR),NG Wing Nam (HKG),SHAO Jieni
World Tour Harmony China Open Suzhou 2012,2012-08-22,NG Wing Nam,WU Yue,4,1,"11,11,11,8,12|7,8,7,11,10",,GRAND_SLAM,WS,97,Qualification,NG Wing Nam (HKG),WU Yue (USA),NG Wing Nam
World Tour Harmony China Open Suzhou 2012,2012-08-22,LIN Chia-Hui,SHAO Jieni,4,0,"11,11,11,11|4,9,6,2",,GRAND_SLAM,WS,97,Qualification,LIN Chia-Hui (TPE),SHAO Jieni (POR),LIN Chia-Hui
World Tour Harmony China Open Suzhou 2012,2012-08-22,LIN Chia-Hui,NG Wing Nam,4,3,"11,11,5,11,8,9,11|8,5,11,9,11,11,6",,GRAND_SLAM,WS,97,Qualification,LIN Chia-Hui (TPE),NG Wing Nam (HKG),LIN Chia-Hui
World Tour Harmony China Open Suzhou 2012,2012-08-22,WU Yue,SHAO Jieni,4,3,"11,12,6,10,14,11,11|8,14,11,12,12,7,8",,GRAND_SLAM,WS,97,Qualification,WU Yue (USA),SHAO Jieni (POR),WU Yue
World Tour Harmony China Open Suzhou 2012,2012-08-22,ZHENG Jiaqi,HSU Hui-Tsun,4,1,"11,11,11,8,11|2,7,8,11,8",,GRAND_SLAM,WS,97,Qualification,ZHENG Jiaqi (USA),HSU Hui-Tsun (TPE),ZHENG Jiaqi
World Tour Harmony China Open Suzhou 2012,2012-08-22,KIM Eunji,GRZYBOWSKA-FRANC Katarzyna,4,1,"13,8,11,11,12|11,11,3,8,10",,GRAND_SLAM,WS,97,Qualification,KIM Eunji (KOR),GRZYBOWSKA-FRANC Katarzyna (POL),KIM Eunji
World Tour Harmony China Open Suzhou 2012,2012-08-22,HSU Hui-Tsun,GRZYBOWSKA-FRANC Katarzyna,4,3,"11,9,11,11,6,11,11|5,11,8,7,11,13,8",,GRAND_SLAM,WS,97,Qualification,HSU Hui-Tsun (TPE),GRZYBOWSKA-FRANC Katarzyna (POL),HSU Hui-Tsun
World Tour Harmony China Open Suzhou 2012,2012-08-22,ZHENG Jiaqi,KIM Eunji,4,0,"11,11,11,11|9,7,6,9",,GRAND_SLAM,WS,97,Qualification,ZHENG Jiaqi (USA),KIM Eunji (KOR),ZHENG Jiaqi
World Tour Harmony China Open Suzhou 2012,2012-08-22,ZHENG Jiaqi,GRZYBOWSKA-FRANC Katarzyna,4,3,"13,11,8,9,7,11,12|11,7,11,11,11,9,10",,GRAND_SLAM,WS,97,Qualification,ZHENG Jiaqi (USA),GRZYBOWSKA-FRANC Katarzyna (POL),ZHENG Jiaqi
World Tour Harmony China Open Suzhou 2012,2012-08-22,HSU Hui-Tsun,KIM Eunji,4,3,"5,11,12,2,11,7,11|11,2,10,11,8,11,5",,GRAND_SLAM,WS,97,Qualification,HSU Hui-Tsun (TPE),KIM Eunji (KOR),HSU Hui-Tsun
World Tour Harmony China Open Suzhou 2012,2012-08-22,YU Kwok See,YEH Tung-Yi,4,3,"11,9,8,6,11,11,11|7,11,11,11,9,3,5",,GRAND_SLAM,WS,97,Qualification,YU Kwok See (HKG),YEH Tung-Yi (TPE),YU Kwok See
