tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Japan Open Kobe 2012,2012-06-06,BOLL Timo,BUROV Viacheslav,4,0,"11,11,11,11|8,4,5,4",R64,GRAND_SLAM,MS,95,Main Draw,BOLL Timo (GER),BUROV Viacheslav (RUS)
World Tour Japan Open Kobe 2012,2012-06-06,JEOUNG Youngsik,TAKAKIWA Taku,4,3,"2,9,8,11,11,11,11|11,11,11,9,6,7,6",R64,GRAND_SLAM,MS,95,Main Draw,JEOUNG Youngsik (KOR),TAKAKIWA Taku (JPN)
World Tour Japan Open Kobe 2012,2012-06-06,CHAN Kazuhiro,VLASOV Grigory,4,3,"7,6,10,11,11,11,11|11,11,12,7,7,6,5",R64,GRAND_SLAM,MS,95,Main Draw,CHAN Kazuhiro (JPN),VLASOV Grigory (RUS)
World Tour Japan Open Kobe 2012,2012-06-06,JIANG Tianyi,WANG LI Chung-Yi,4,1,"8,11,11,12,11|11,9,4,10,5",R64,GRAND_SLAM,MS,95,Main Draw,JIANG Tianyi (HKG),WANG LI Chung-Yi (TPE)
World Tour Japan Open Kobe 2012,2012-06-06,ZHAN Jian,KANG Donghoon,4,1,"11,14,6,11,11|7,12,11,9,8",R64,GRAND_SLAM,MS,95,Main Draw,ZHAN Jian (SGP),KANG Donghoon (KOR)
World Tour Japan Open Kobe 2012,2012-06-06,CHEN Chien-An,SKACHKOV Kirill,4,0,"12,13,11,11|10,11,9,5",R64,GRAND_SLAM,MS,95,Main Draw,CHEN Chien-An (TPE),SKACHKOV Kirill (RUS)
World Tour Japan Open Kobe 2012,2012-06-06,PRIMORAC Zoran,KARUBE Ryusuke,4,1,"11,11,9,12,11|6,7,11,10,9",R64,GRAND_SLAM,MS,95,Main Draw,PRIMORAC Zoran (CRO),KARUBE Ryusuke (JPN)
World Tour Japan Open Kobe 2012,2012-06-06,OH Sangeun,WU Zhikang,4,0,"11,11,11,11|6,4,7,5",R64,GRAND_SLAM,MS,95,Main Draw,OH Sangeun (KOR),WU Zhikang (SGP)
World Tour Japan Open Kobe 2012,2012-06-06,GAO Ning,HINDERSSON Mikkel,4,0,"11,11,11,11|2,7,4,6",R64,GRAND_SLAM,MS,95,Main Draw,GAO Ning (SGP),HINDERSSON Mikkel (DEN)
World Tour Japan Open Kobe 2012,2012-06-06,YOSHIMURA Maharu,SEO Hyundeok,4,3,"11,11,8,9,8,11,11|8,9,11,11,11,6,6",R64,GRAND_SLAM,MS,95,Main Draw,YOSHIMURA Maharu (JPN),SEO Hyundeok (KOR)
