tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2012,2012-02-14,KUZMIN Fedor,ELBEIALI Mohamed,4,3,"4,4,11,6,11,11,13|11,11,3,11,8,6,11",,GRAND_SLAM,MS,86,Qualification,KUZMIN Fedor (RUS),ELBEIALI Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,ELBEIALI Mohamed,MENGE Gencay,4,2,"8,11,11,9,11,11|11,8,4,11,5,6",,GRAND_SLAM,MS,86,Qualification,ELBEIALI Mohamed (EGY),MENGE Gencay (TUR)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,JEOUNG Youngsik,NADIM Ahmed,4,0,"11,15,11,11|7,13,6,3",,GRAND_SLAM,MS,86,Qualification,JEOUNG Youngsik (KOR),NADIM Ahmed (EGY)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,JEOUNG Youngsik,JEAN Lauric,4,0,"11,11,12,11|4,8,10,8",,GRAND_SLAM,MS,86,Qualification,JEOUNG Youngsik (KOR),JEAN Lauric (BEL)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,NADIM Ahmed,JEAN Lauric,4,3,"11,11,9,11,7,8,11|8,9,11,5,11,11,7",,GRAND_SLAM,MS,86,Qualification,NADIM Ahmed (EGY),JEAN Lauric (BEL)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,KOSOWSKI Jakub,PANG Xue Jie,4,2,"13,8,11,11,7,11|11,11,9,5,11,5",,GRAND_SLAM,MS,86,Qualification,KOSOWSKI Jakub (POL),PANG Xue Jie (SGP)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,KOSOWSKI Jakub,GOLOVANOV Stanislav,4,2,"10,12,11,11,8,11|12,10,6,4,11,4",,GRAND_SLAM,MS,86,Qualification,KOSOWSKI Jakub (POL),GOLOVANOV Stanislav (BUL)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,GOLOVANOV Stanislav,PANG Xue Jie,4,3,"11,11,10,11,12,7,11|3,7,12,9,14,11,9",,GRAND_SLAM,MS,86,Qualification,GOLOVANOV Stanislav (BUL),PANG Xue Jie (SGP)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,YOSHIMURA Maharu,ASSAR Khalid,4,1,"12,11,9,11,11|10,7,11,7,5",,GRAND_SLAM,MS,86,Qualification,YOSHIMURA Maharu (JPN),ASSAR Khalid (EGY)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,MINO Alberto,YOSHIMURA Maharu,4,3,"5,11,11,2,11,8,11|11,8,6,11,7,11,7",,GRAND_SLAM,MS,86,Qualification,MINO Alberto (ECU),YOSHIMURA Maharu (JPN)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,ASSAR Khalid,MINO Alberto,4,3,"11,4,4,11,11,11,12|7,11,11,13,9,3,10",,GRAND_SLAM,MS,86,Qualification,ASSAR Khalid (EGY),MINO Alberto (ECU)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,LIVENTSOV Alexey,ELSOBKY Mohamed,4,0,"11,11,11,11|4,9,3,6",,GRAND_SLAM,MS,86,Qualification,LIVENTSOV Alexey (RUS),ELSOBKY Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,LIVENTSOV Alexey,NUYTINCK Cedric,4,0,"11,11,11,11|5,4,5,7",,GRAND_SLAM,MS,86,Qualification,LIVENTSOV Alexey (RUS),NUYTINCK Cedric (BEL)
World Tour Kuwait Open Kuwait City 2012,2012-02-14,ELSOBKY Mohamed,NUYTINCK Cedric,4,2,"11,11,16,11,6,11|9,13,14,7,11,9",,GRAND_SLAM,MS,86,Qualification,ELSOBKY Mohamed (EGY),NUYTINCK Cedric (BEL)
