tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,GHOSH Soumyajit,CAMERON Niall,3,0,,R32,OTHER,MS,523,Main Draw,GHOSH Soumyajit (IND),CAMERON Niall (SCO)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,BAGGALEY Andrew,ONAOLAPO Ojo,3,0,,R32,OTHER,MS,523,Main Draw,BAGGALEY Andrew (ENG),ONAOLAPO Ojo (NGR)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DESAI Harmeet,IBRAHIM Muhd Shakirin,3,0,,R32,OTHER,MS,523,Main Draw,DESAI Harmeet (IND),IBRAHIM Muhd Shakirin (MAS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ACHANTA Sharath,PANG Xue Jie,3,0,,R32,OTHER,MS,523,Main Draw,ACHANTA Sharath (IND),PANG Xue Jie (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,REED Daniel,VASANTH Nitin,3,0,,R32,OTHER,MS,523,Main Draw,REED Daniel (ENG),VASANTH Nitin (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,KUMAR Jubin,MA Liang,3,0,,R32,OTHER,MS,523,Main Draw,KUMAR Jubin (IND),MA Liang (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ADEDEJI Kayode,SAHA Subhajit,3,0,,R32,OTHER,MS,523,Main Draw,ADEDEJI Kayode (NGR),SAHA Subhajit (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHAN Jian,BALGU Aman,3,0,,R32,OTHER,MS,523,Main Draw,ZHAN Jian (SGP),BALGU Aman (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,SHETTY Sanil,CHEW Clarence,3,0,,R32,OTHER,MS,523,Main Draw,SHETTY Sanil (IND),CHEW Clarence (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ANTHONY Amalraj,XIAO Phillip,3,0,,R32,OTHER,MS,523,Main Draw,ANTHONY Amalraj (IND),XIAO Phillip (NZL)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,CHEN Feng,SAHA Sourav,3,0,,R32,OTHER,MS,523,Main Draw,CHEN Feng (SGP),SAHA Sourav (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,JENKINS Ryan,AJETUNMOBI Seun,3,0,,R32,OTHER,MS,523,Main Draw,JENKINS Ryan (WAL),AJETUNMOBI Seun (NGR)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,YANG Zi,ROBINSON Ashley,3,0,,R32,OTHER,MS,523,Main Draw,YANG Zi (SGP),ROBINSON Ashley (IRL)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,YU Mengyu,EFFIOM Janet,3,0,,R32,OTHER,WS,523,Main Draw,YU Mengyu (SGP),EFFIOM Janet (NGR)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,PATKAR Madhurika,TAPPER Melissa,3,0,,R32,OTHER,WS,523,Main Draw,PATKAR Madhurika (IND),TAPPER Melissa (AUS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,LI Isabelle Siyun,TING Hie Phin,3,0,,R32,OTHER,WS,523,Main Draw,LI Isabelle Siyun (SGP),TING Hie Phin (MAS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,AGGARWAL Neha,DEDERKO Zhenhua,3,0,,R32,OTHER,WS,523,Main Draw,AGGARWAL Neha (IND),DEDERKO Zhenhua (AUS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,LIN Ye,ROY Krittwika,3,0,,R32,OTHER,WS,523,Main Draw,LIN Ye (CAN),ROY Krittwika (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,MUKHERJEE Sutirtha,NG Sock Khim,3,0,,R32,OTHER,WS,523,Main Draw,MUKHERJEE Sutirtha (IND),NG Sock Khim (MAS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHANG Mo,DESHPANDE Divya,3,0,,R32,OTHER,WS,523,Main Draw,ZHANG Mo (CAN),DESHPANDE Divya (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,SIBLEY Kelly,HO Ying,3,0,,R32,OTHER,WS,523,Main Draw,SIBLEY Kelly (ENG),HO Ying (MAS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,KUMARESAN Shamini,HO Tin-Tin,3,0,,R32,OTHER,WS,523,Main Draw,KUMARESAN Shamini (IND),HO Tin-Tin (ENG)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,BEH Lee Wei,BANU Nikhat,3,0,,R32,OTHER,WS,523,Main Draw,BEH Lee Wei (MAS),BANU Nikhat (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DAS Mouma,CAREY Charlotte,3,0,,R32,OTHER,WS,523,Main Draw,DAS Mouma (IND),CAREY Charlotte (WAL)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DRINKHALL Joanna,PAUL Mousumi,3,0,,R32,OTHER,WS,523,Main Draw,DRINKHALL Joanna (ENG),PAUL Mousumi (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,SAHASRABUDHE Pooja,EDEM Offiong,3,0,,R32,OTHER,WS,523,Main Draw,SAHASRABUDHE Pooja (IND),EDEM Offiong (NGR)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,BATRA Manika,CAMPBELL Peri,3,0,,R32,OTHER,WS,523,Main Draw,BATRA Manika (IND),CAMPBELL Peri (AUS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DAS Ankita,CAMPBELL Claire,3,0,,R32,OTHER,WS,523,Main Draw,DAS Ankita (IND),CAMPBELL Claire (AUS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DORAN Christopher,ROY Soumyadeep,3,0,,R32,OTHER,MS,523,Main Draw,DORAN Christopher (ENG),ROY Soumyadeep (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,LI Hu,HU Heming,3,0,,R32,OTHER,MS,523,Main Draw,LI Hu (SGP),HU Heming (AUS)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHAN Jian,GHOSH Soumyajit,3,0,,R16,OTHER,MS,523,Main Draw,ZHAN Jian (SGP),GHOSH Soumyajit (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ANTHONY Amalraj,WALKER Samuel,3,0,,R16,OTHER,MS,523,Main Draw,ANTHONY Amalraj (IND),WALKER Samuel (ENG)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ACHANTA Sharath,JENKINS Ryan,3,0,,R16,OTHER,MS,523,Main Draw,ACHANTA Sharath (IND),JENKINS Ryan (WAL)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,KUMAR Jubin,DORAN Christopher,3,0,,R16,OTHER,MS,523,Main Draw,KUMAR Jubin (IND),DORAN Christopher (ENG)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,BAGGALEY Andrew,SHETTY Sanil,3,0,,R16,OTHER,MS,523,Main Draw,BAGGALEY Andrew (ENG),SHETTY Sanil (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,CHEN Feng,DESAI Harmeet,3,0,,R16,OTHER,MS,523,Main Draw,CHEN Feng (SGP),DESAI Harmeet (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,YANG Zi,REED Daniel,3,0,,R16,OTHER,MS,523,Main Draw,YANG Zi (SGP),REED Daniel (ENG)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,LI Hu,ADEDEJI Kayode,3,0,,R16,OTHER,MS,523,Main Draw,LI Hu (SGP),ADEDEJI Kayode (NGR)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHAN Jian,BAGGALEY Andrew,3,0,,QuarterFinal,OTHER,MS,523,Main Draw,ZHAN Jian (SGP),BAGGALEY Andrew (ENG)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ACHANTA Sharath,YANG Zi,3,0,,QuarterFinal,OTHER,MS,523,Main Draw,ACHANTA Sharath (IND),YANG Zi (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,CHEN Feng,ANTHONY Amalraj,3,0,,QuarterFinal,OTHER,MS,523,Main Draw,CHEN Feng (SGP),ANTHONY Amalraj (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,LI Hu,KUMAR Jubin,3,0,,QuarterFinal,OTHER,MS,523,Main Draw,LI Hu (SGP),KUMAR Jubin (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHAN Jian,CHEN Feng,3,0,,SemiFinal,OTHER,MS,523,Main Draw,ZHAN Jian (SGP),CHEN Feng (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHOU Yihan,HER-LEE Sarah,3,0,,R32,OTHER,WS,523,Main Draw,ZHOU Yihan (SGP),HER-LEE Sarah (NZL)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,YU Mengyu,KUMARESAN Shamini,3,0,,R16,OTHER,WS,523,Main Draw,YU Mengyu (SGP),KUMARESAN Shamini (IND)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,DAS Mouma,LI Isabelle Siyun,3,0,,R16,OTHER,WS,523,Main Draw,DAS Mouma (IND),LI Isabelle Siyun (SGP)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,SAHASRABUDHE Pooja,LIN Ye,3,0,,R16,OTHER,WS,523,Main Draw,SAHASRABUDHE Pooja (IND),LIN Ye (CAN)
19th Commonwealth Table Tennis Championships New Delhi 2013,2013-05-05,ZHANG Mo,DAS Ankita,3,0,,R16,OTHER,WS,523,Main Draw,ZHANG Mo (CAN),DAS Ankita (IND)
