tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Americas Barzil Open Santos 2013,2013-08-08,SAMARA Elizabeta,TOMA Lais,4,0,"11,11,11,11|2,3,5,7",,GRAND_SLAM,WS,116,Qualification,SAMARA Elizabeta (ROU),TOMA Lais (BRA)
Americas Barzil Open Santos 2013,2013-08-08,SAMARA Elizabeta,QUINONEZ Nadia,4,0,"11,11,11,11|7,3,5,6",,GRAND_SLAM,WS,116,Qualification,SAMARA Elizabeta (ROU),QUINONEZ Nadia (PER)
Americas Barzil Open Santos 2013,2013-08-08,KUMAHARA Luca,PIMENTEL Tathiane,4,0,"11,11,11,11|4,5,5,6",,GRAND_SLAM,WS,116,Qualification,KUMAHARA Luca (BRA),PIMENTEL Tathiane (BRA)
Americas Barzil Open Santos 2013,2013-08-08,KUMAHARA Luca,LOW Katherine,4,0,"11,11,11,11|9,2,3,5",,GRAND_SLAM,WS,116,Qualification,KUMAHARA Luca (BRA),LOW Katherine (CHI)
Americas Barzil Open Santos 2013,2013-08-08,LOW Katherine,PIMENTEL Tathiane,4,1,"8,11,11,11,11|11,3,7,7,5",,GRAND_SLAM,WS,116,Qualification,LOW Katherine (CHI),PIMENTEL Tathiane (BRA)
Americas Barzil Open Santos 2013,2013-08-08,ALEXANDRE Bruna,KOHATSU Martina,4,0,"11,12,11,11|7,10,9,8",,GRAND_SLAM,WS,116,Qualification,ALEXANDRE Bruna (BRA),KOHATSU Martina (BRA)
Americas Barzil Open Santos 2013,2013-08-08,BATRA Manika,ALEXANDRE Bruna,4,1,"7,11,11,11,11|11,5,8,7,4",,GRAND_SLAM,WS,116,Qualification,BATRA Manika (IND),ALEXANDRE Bruna (BRA)
Americas Barzil Open Santos 2013,2013-08-08,BATRA Manika,KOHATSU Martina,4,0,"11,11,11,11|2,4,4,8",,GRAND_SLAM,WS,116,Qualification,BATRA Manika (IND),KOHATSU Martina (BRA)
Americas Barzil Open Santos 2013,2013-08-08,MUKHERJEE Sutirtha,MOTA Maiza,4,0,"11,11,11,11|4,6,4,6",,GRAND_SLAM,WS,116,Qualification,MUKHERJEE Sutirtha (IND),MOTA Maiza (BRA)
Americas Barzil Open Santos 2013,2013-08-08,MUKHERJEE Sutirtha,CODINA Ana,4,3,"12,4,11,10,11,8,12|10,11,5,12,5,11,10",,GRAND_SLAM,WS,116,Qualification,MUKHERJEE Sutirtha (IND),CODINA Ana (ARG)
Americas Barzil Open Santos 2013,2013-08-08,CODINA Ana,MOTA Maiza,4,1,"14,11,11,11,11|12,7,4,13,3",,GRAND_SLAM,WS,116,Qualification,CODINA Ana (ARG),MOTA Maiza (BRA)
Americas Barzil Open Santos 2013,2013-08-08,SILVA Ligia,LOPES LAVAREDA Alice,4,0,"11,11,11,11|3,3,7,7",,GRAND_SLAM,WS,116,Qualification,SILVA Ligia (BRA),LOPES LAVAREDA Alice (BRA)
Americas Barzil Open Santos 2013,2013-08-08,ROY Krittwika,SILVA Ligia,4,3,"8,8,11,11,11,5,11|11,11,3,9,7,11,8",,GRAND_SLAM,WS,116,Qualification,ROY Krittwika (IND),SILVA Ligia (BRA)
Americas Barzil Open Santos 2013,2013-08-08,ROY Krittwika,LOPES LAVAREDA Alice,4,0,"11,11,11,12|3,6,4,10",,GRAND_SLAM,WS,116,Qualification,ROY Krittwika (IND),LOPES LAVAREDA Alice (BRA)
Americas Barzil Open Santos 2013,2013-08-08,FONTANA Livia,KAWAI Katia,4,2,"11,11,6,11,10,11|8,9,11,8,12,4",,GRAND_SLAM,WS,116,Qualification,FONTANA Livia (BRA),KAWAI Katia (BRA)
Americas Barzil Open Santos 2013,2013-08-08,DAS Ankita,KAWAI Katia,4,3,"15,2,11,9,11,11,11|17,11,9,11,6,9,8",,GRAND_SLAM,WS,116,Qualification,DAS Ankita (IND),KAWAI Katia (BRA)
Americas Barzil Open Santos 2013,2013-08-08,DAS Ankita,FONTANA Livia,4,0,"11,11,11,11|2,8,7,3",,GRAND_SLAM,WS,116,Qualification,DAS Ankita (IND),FONTANA Livia (BRA)
Americas Barzil Open Santos 2013,2013-08-08,GUI Lin,MARQUES Amanda,4,0,"11,11,11,11|6,9,4,3",,GRAND_SLAM,WS,116,Qualification,GUI Lin (BRA),MARQUES Amanda (BRA)
Americas Barzil Open Santos 2013,2013-08-08,GUI Lin,VEGA Paulina,4,0,"11,11,11,11|8,4,9,8",,GRAND_SLAM,WS,116,Qualification,GUI Lin (BRA),VEGA Paulina (CHI)
Americas Barzil Open Santos 2013,2013-08-08,VEGA Paulina,MARQUES Amanda,4,1,"9,11,11,11,11|11,4,7,4,7",,GRAND_SLAM,WS,116,Qualification,VEGA Paulina (CHI),MARQUES Amanda (BRA)
Americas Barzil Open Santos 2013,2013-08-08,YAMADA Jessica,PRATES Jessica,4,0,"11,11,11,11|6,6,8,1",,GRAND_SLAM,WS,116,Qualification,YAMADA Jessica (BRA),PRATES Jessica (BRA)
Americas Barzil Open Santos 2013,2013-08-08,ERMAKOVA Irina,YAMADA Jessica,4,2,"11,12,10,11,3,11|6,10,12,7,11,9",,GRAND_SLAM,WS,116,Qualification,ERMAKOVA Irina (RUS),YAMADA Jessica (BRA)
