tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Asian Championships Busan 2013,2013-06-30,LEE Sang Su,DUONG Van Nam (1988),3,0,,R128,OTHER,MS,529,Main Draw,LEE Sang Su (KOR),DUONG Van Nam (1988) (VIE)
Asian Championships Busan 2013,2013-06-30,GERASSIMENKO Kirill,PITAKGULSIRI Suchat,3,0,,R128,OTHER,MS,529,Main Draw,GERASSIMENKO Kirill (KAZ),PITAKGULSIRI Suchat (THA)
Asian Championships Busan 2013,2013-06-30,YANG Heng-Wei,KHOLIKOV Elmurod,3,0,,R128,OTHER,MS,529,Main Draw,YANG Heng-Wei (TPE),KHOLIKOV Elmurod (UZB)
Asian Championships Busan 2013,2013-06-30,CHANG Shun-Hung,SIRISENA Rohan,3,0,,R128,OTHER,MS,529,Main Draw,CHANG Shun-Hung (TPE),SIRISENA Rohan (SRI)
Asian Championships Busan 2013,2013-06-30,BATKHISHIG Bilegt,GOTHE Shiva,3,0,,R128,OTHER,MS,529,Main Draw,BATKHISHIG Bilegt (MGL),GOTHE Shiva (NEP)
Asian Championships Busan 2013,2013-06-30,KULTAEV Ruslan,CHE Long Lam,3,0,,R128,OTHER,MS,529,Main Draw,KULTAEV Ruslan (KGZ),CHE Long Lam (MAC)
Asian Championships Busan 2013,2013-06-30,WONG Chun Ting,RAYAMAJHI Ranjit,3,0,,R128,OTHER,MS,529,Main Draw,WONG Chun Ting (HKG),RAYAMAJHI Ranjit (NEP)
Asian Championships Busan 2013,2013-06-30,WONGSIRI Nikom,ENKHBAT Lkhagvasuren,3,0,,R128,OTHER,MS,529,Main Draw,WONGSIRI Nikom (THA),ENKHBAT Lkhagvasuren (MGL)
Asian Championships Busan 2013,2013-06-30,KELBUGANOV Timur,SHIRIEV Timur,3,0,,R128,OTHER,MS,529,Main Draw,KELBUGANOV Timur (KAZ),SHIRIEV Timur (UZB)
Asian Championships Busan 2013,2013-06-30,JEOUNG Youngsik,KARUNARATHNA Milinda,3,0,,R128,OTHER,MS,529,Main Draw,JEOUNG Youngsik (KOR),KARUNARATHNA Milinda (SRI)
Asian Championships Busan 2013,2013-06-30,ACHANTA Sharath,CHEW Clarence,3,0,,R128,OTHER,MS,529,Main Draw,ACHANTA Sharath (IND),CHEW Clarence (SGP)
Asian Championships Busan 2013,2013-06-30,IBRAHIM Muhd Shakirin,ABBAS Saleem,3,0,,R128,OTHER,MS,529,Main Draw,IBRAHIM Muhd Shakirin (MAS),ABBAS Saleem (PAK)
Asian Championships Busan 2013,2013-06-30,ALAMIAN Nima,LAM Tong Hou,3,0,,R128,OTHER,MS,529,Main Draw,ALAMIAN Nima (IRI),LAM Tong Hou (MAC)
Asian Championships Busan 2013,2013-06-30,SHETTY Sanil,KARIMOV Anvar,3,0,,R128,OTHER,MS,529,Main Draw,SHETTY Sanil (IND),KARIMOV Anvar (UZB)
Asian Championships Busan 2013,2013-06-30,HASSAN Rashed,ALIMKULOV Marlen,3,0,,R128,OTHER,MS,529,Main Draw,HASSAN Rashed (UAE),ALIMKULOV Marlen (KGZ)
Asian Championships Busan 2013,2013-06-30,CHAITAT Chaisit,YASIN Bilal,3,0,,R128,OTHER,MS,529,Main Draw,CHAITAT Chaisit (THA),YASIN Bilal (PAK)
Asian Championships Busan 2013,2013-06-30,YANG Zi,BEISENOV Samat,3,0,,R128,OTHER,MS,529,Main Draw,YANG Zi (SGP),BEISENOV Samat (KAZ)
Asian Championships Busan 2013,2013-06-30,SEO Hyundeok,DINH Quang Linh,3,0,,R128,OTHER,MS,529,Main Draw,SEO Hyundeok (KOR),DINH Quang Linh (VIE)
Asian Championships Busan 2013,2013-06-30,TRAN Tuan Quynh,SALAH Khalifa,3,0,,R128,OTHER,MS,529,Main Draw,TRAN Tuan Quynh (VIE),SALAH Khalifa (QAT)
Asian Championships Busan 2013,2013-06-30,YEH Chih-Wei,BIBISH Bayarmagnai,3,0,,R128,OTHER,MS,529,Main Draw,YEH Chih-Wei (TPE),BIBISH Bayarmagnai (MGL)
Asian Championships Busan 2013,2013-06-30,GHOSH Soumyajit,CHIU Chung Hei,3,0,,R128,OTHER,MS,529,Main Draw,GHOSH Soumyajit (IND),CHIU Chung Hei (HKG)
Asian Championships Busan 2013,2013-06-30,ZHOLUDEV Denis,KHUDAIBERDIEV Zhasur,3,0,,R128,OTHER,MS,529,Main Draw,ZHOLUDEV Denis (KAZ),KHUDAIBERDIEV Zhasur (KGZ)
Asian Championships Busan 2013,2013-06-30,QURESHI Asim,SAUN Deep,3,0,,R128,OTHER,MS,529,Main Draw,QURESHI Asim (PAK),SAUN Deep (NEP)
Asian Championships Busan 2013,2013-06-30,KENJAEV Zokhid,TANVIRIYAVECHAKUL Padasak,3,0,,R128,OTHER,MS,529,Main Draw,KENJAEV Zokhid (UZB),TANVIRIYAVECHAKUL Padasak (THA)
Asian Championships Busan 2013,2013-06-30,XU Xin,LEE Sang Su,3,0,,R64,OTHER,MS,529,Main Draw,XU Xin (CHN),LEE Sang Su (KOR)
Asian Championships Busan 2013,2013-06-30,DESAI Harmeet,TAHERKHANI Hamidreza,3,0,,R64,OTHER,MS,529,Main Draw,DESAI Harmeet (IND),TAHERKHANI Hamidreza (IRI)
Asian Championships Busan 2013,2013-06-30,GERASSIMENKO Kirill,BHATTI Yasir Iqbal,3,0,,R64,OTHER,MS,529,Main Draw,GERASSIMENKO Kirill (KAZ),BHATTI Yasir Iqbal (PAK)
Asian Championships Busan 2013,2013-06-30,KISHIKAWA Seiya,YANG Heng-Wei,3,0,,R64,OTHER,MS,529,Main Draw,KISHIKAWA Seiya (JPN),YANG Heng-Wei (TPE)
Asian Championships Busan 2013,2013-06-30,TANG Peng,CHANG Shun-Hung,3,0,,R64,OTHER,MS,529,Main Draw,TANG Peng (HKG),CHANG Shun-Hung (TPE)
Asian Championships Busan 2013,2013-06-30,MOHAMMAD Walid,BATKHISHIG Bilegt,3,0,,R64,OTHER,MS,529,Main Draw,MOHAMMAD Walid (UAE),BATKHISHIG Bilegt (MGL)
Asian Championships Busan 2013,2013-06-30,DOAN Ba Tuan Anh,ALAWLAQI Ahmed,3,0,,R64,OTHER,MS,529,Main Draw,DOAN Ba Tuan Anh (VIE),ALAWLAQI Ahmed (QAT)
Asian Championships Busan 2013,2013-06-30,GAO Ning,KULTAEV Ruslan,3,0,,R64,OTHER,MS,529,Main Draw,GAO Ning (SGP),KULTAEV Ruslan (KGZ)
