tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,VELOX Unica,3,0,,,OTHER,WS,539,Qualification,BRITO Eva (DOM),VELOX Unica (VIN),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,MORRIS Julia,3,0,,,OTHER,WS,539,Qualification,BRITO Eva (DOM),MORRIS Julia (BAR),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,MORRIS Julia,VELOX Unica,3,0,,,OTHER,WS,539,Qualification,MORRIS Julia (BAR),VELOX Unica (VIN),MORRIS Julia
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Lineth,DOVER Larrysa,3,0,,,OTHER,WS,539,Qualification,VILA Lineth (DOM),DOVER Larrysa (DMA),VILA Lineth
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Lineth,CUMMINGS Natalie,3,0,,,OTHER,WS,539,Qualification,VILA Lineth (DOM),CUMMINGS Natalie (GUY),VILA Lineth
Caribbean Senior Championships Castries 2013,2013-12-27,CUMMINGS Natalie,DOVER Larrysa,3,0,,,OTHER,WS,539,Qualification,CUMMINGS Natalie (GUY),DOVER Larrysa (DMA),CUMMINGS Natalie
Caribbean Senior Championships Castries 2013,2013-12-27,DIAZ Kircia,POLIUS Charmaine,3,0,,,OTHER,WS,539,Qualification,DIAZ Kircia (DOM),POLIUS Charmaine (LCA),DIAZ Kircia
Caribbean Senior Championships Castries 2013,2013-12-27,DIAZ Kircia,MATTHEWS Teshuan,3,0,,,OTHER,WS,539,Qualification,DIAZ Kircia (DOM),MATTHEWS Teshuan (VIN),DIAZ Kircia
Caribbean Senior Championships Castries 2013,2013-12-27,MATTHEWS Teshuan,POLIUS Charmaine,3,0,,,OTHER,WS,539,Qualification,MATTHEWS Teshuan (VIN),POLIUS Charmaine (LCA),MATTHEWS Teshuan
Caribbean Senior Championships Castries 2013,2013-12-27,PARTAP Linda,SHORTTE Natasha,3,0,,,OTHER,WS,539,Qualification,PARTAP Linda (TTO),SHORTTE Natasha (VIN),PARTAP Linda
Caribbean Senior Championships Castries 2013,2013-12-27,PARTAP Linda,CHARLES Dann,3,0,,,OTHER,WS,539,Qualification,PARTAP Linda (TTO),CHARLES Dann (LCA),PARTAP Linda
Caribbean Senior Championships Castries 2013,2013-12-27,CHARLES Dann,SHORTTE Natasha,3,0,,,OTHER,WS,539,Qualification,CHARLES Dann (LCA),SHORTTE Natasha (VIN),CHARLES Dann
Caribbean Senior Championships Castries 2013,2013-12-27,FARLEY Kevin,BRYAN Nigel,3,0,,,OTHER,MS,539,Qualification,FARLEY Kevin (BAR),BRYAN Nigel (GUY),FARLEY Kevin
Caribbean Senior Championships Castries 2013,2013-12-27,FARLEY Kevin,LING Michael,3,0,,,OTHER,MS,539,Qualification,FARLEY Kevin (BAR),LING Michael (ARU),FARLEY Kevin
Caribbean Senior Championships Castries 2013,2013-12-27,BRYAN Nigel,LING Michael,3,0,,,OTHER,MS,539,Qualification,BRYAN Nigel (GUY),LING Michael (ARU),BRYAN Nigel
Caribbean Senior Championships Castries 2013,2013-12-27,HUMPHREYS Curtis,CARRINGTON Joseph,3,0,,,OTHER,MS,539,Qualification,HUMPHREYS Curtis (TTO),CARRINGTON Joseph (VIN),HUMPHREYS Curtis
Caribbean Senior Championships Castries 2013,2013-12-27,HUMPHREYS Curtis,WELLS Chris,3,0,,,OTHER,MS,539,Qualification,HUMPHREYS Curtis (TTO),WELLS Chris (LCA),HUMPHREYS Curtis
Caribbean Senior Championships Castries 2013,2013-12-27,WELLS Chris,CARRINGTON Joseph,3,0,,,OTHER,MS,539,Qualification,WELLS Chris (LCA),CARRINGTON Joseph (VIN),WELLS Chris
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Isaac,GLACE Adrian,3,0,,,OTHER,MS,539,Qualification,VILA Isaac (DOM),GLACE Adrian (LCA),VILA Isaac
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Isaac,HUMPHREYS Alaric,3,0,,,OTHER,MS,539,Qualification,VILA Isaac (DOM),HUMPHREYS Alaric (TTO),VILA Isaac
Caribbean Senior Championships Castries 2013,2013-12-27,HUMPHREYS Alaric,GLACE Adrian,3,0,,,OTHER,MS,539,Qualification,HUMPHREYS Alaric (TTO),GLACE Adrian (LCA),HUMPHREYS Alaric
Caribbean Senior Championships Castries 2013,2013-12-27,ALBERT Adrian,DUBLIN Damion,3,0,,,OTHER,MS,539,Qualification,ALBERT Adrian (LCA),DUBLIN Damion (VIN),ALBERT Adrian
Caribbean Senior Championships Castries 2013,2013-12-27,LEWIS Edinho,ALBERT Adrian,3,0,,,OTHER,MS,539,Qualification,LEWIS Edinho (GUY),ALBERT Adrian (LCA),LEWIS Edinho
Caribbean Senior Championships Castries 2013,2013-12-27,DUBLIN Damion,LEWIS Edinho,3,0,,,OTHER,MS,539,Qualification,DUBLIN Damion (VIN),LEWIS Edinho (GUY),DUBLIN Damion
Caribbean Senior Championships Castries 2013,2013-12-27,CHUNG Rheann,BLASSE Shirmin,3,0,,,OTHER,WS,539,Qualification,CHUNG Rheann (TTO),BLASSE Shirmin (LCA),CHUNG Rheann
Caribbean Senior Championships Castries 2013,2013-12-27,EDWARDS Aleena,ELOI Gem,3,0,,,OTHER,WS,539,Qualification,EDWARDS Aleena (TTO),ELOI Gem (DMA),EDWARDS Aleena
Caribbean Senior Championships Castries 2013,2013-12-27,FELIX Sherrice,DE GANNES Jasher,3,0,,,OTHER,WS,539,Qualification,FELIX Sherrice (BAR),DE GANNES Jasher (TTO),FELIX Sherrice
Caribbean Senior Championships Castries 2013,2013-12-27,EDGHILL Chelsea,RILEY Anthonette,3,0,,,OTHER,WS,539,Qualification,EDGHILL Chelsea (GUY),RILEY Anthonette (BAR),EDGHILL Chelsea
Caribbean Senior Championships Castries 2013,2013-12-27,ST LOUIS Dexter,SPENCER Romano,3,0,,,OTHER,MS,539,Qualification,ST LOUIS Dexter (TTO),SPENCER Romano (VIN),ST LOUIS Dexter
Caribbean Senior Championships Castries 2013,2013-12-27,VILA BATISTA Juan,ALLEYNE Joel,3,0,,,OTHER,MS,539,Qualification,VILA BATISTA Juan (DOM),ALLEYNE Joel (GUY),VILA BATISTA Juan
Caribbean Senior Championships Castries 2013,2013-12-27,GALVEZ Samuel,DOUGHTY Kristian,3,0,,,OTHER,MS,539,Qualification,GALVEZ Samuel (DOM),DOUGHTY Kristian (BAR),GALVEZ Samuel
Caribbean Senior Championships Castries 2013,2013-12-27,FARLEY Trevor,STANISLAUS Faith,3,0,,,OTHER,MS,539,Qualification,FARLEY Trevor (BAR),STANISLAUS Faith (LCA),FARLEY Trevor
Caribbean Senior Championships Castries 2013,2013-12-27,NOEL Franklyn,RAS Rodrigo,3,0,,,OTHER,MS,539,Qualification,NOEL Franklyn (LCA),RAS Rodrigo (ARU),NOEL Franklyn
Caribbean Senior Championships Castries 2013,2013-12-27,ORTIZ Yasiris,NEDD Akeicia,3,0,,,OTHER,WS,539,Qualification,ORTIZ Yasiris (DOM),NEDD Akeicia (GUY),ORTIZ Yasiris
Caribbean Senior Championships Castries 2013,2013-12-27,REID Angela,BROWNE Karen,3,0,,,OTHER,WS,539,Qualification,REID Angela (BAR),BROWNE Karen (VIN),REID Angela
Caribbean Senior Championships Castries 2013,2013-12-27,ORTIZ Yasiris,REID Angela,3,0,,,OTHER,WS,539,Qualification,ORTIZ Yasiris (DOM),REID Angela (BAR),ORTIZ Yasiris
Caribbean Senior Championships Castries 2013,2013-12-27,ORTIZ Yasiris,BROWNE Karen,3,0,,,OTHER,WS,539,Qualification,ORTIZ Yasiris (DOM),BROWNE Karen (VIN),ORTIZ Yasiris
Caribbean Senior Championships Castries 2013,2013-12-27,REID Angela,NEDD Akeicia,3,0,,,OTHER,WS,539,Qualification,REID Angela (BAR),NEDD Akeicia (GUY),REID Angela
Caribbean Senior Championships Castries 2013,2013-12-27,RAS Rodrigo,LEWIS Edinho,3,0,,R32,OTHER,MS,539,Main Draw,RAS Rodrigo (ARU),LEWIS Edinho (GUY),RAS Rodrigo
Caribbean Senior Championships Castries 2013,2013-12-27,HUMPHREYS Alaric,BRYAN Nigel,3,0,,R32,OTHER,MS,539,Main Draw,HUMPHREYS Alaric (TTO),BRYAN Nigel (GUY),HUMPHREYS Alaric
Caribbean Senior Championships Castries 2013,2013-12-27,ST LOUIS Dexter,FARLEY Trevor,3,0,,R16,OTHER,MS,539,Main Draw,ST LOUIS Dexter (TTO),FARLEY Trevor (BAR),ST LOUIS Dexter
Caribbean Senior Championships Castries 2013,2013-12-27,GALVEZ Samuel,RAS Rodrigo,3,0,,R16,OTHER,MS,539,Main Draw,GALVEZ Samuel (DOM),RAS Rodrigo (ARU),GALVEZ Samuel
Caribbean Senior Championships Castries 2013,2013-12-27,VILA BATISTA Juan,MAHABIR David,3,0,,R16,OTHER,MS,539,Main Draw,VILA BATISTA Juan (DOM),MAHABIR David (TTO),VILA BATISTA Juan
Caribbean Senior Championships Castries 2013,2013-12-27,DOWELL Mark,HUMPHREYS Curtis,3,0,,R16,OTHER,MS,539,Main Draw,DOWELL Mark (BAR),HUMPHREYS Curtis (TTO),DOWELL Mark
Caribbean Senior Championships Castries 2013,2013-12-27,ST LOUIS Dexter,GALVEZ Samuel,3,0,,QF,OTHER,MS,539,Main Draw,ST LOUIS Dexter (TTO),GALVEZ Samuel (DOM),ST LOUIS Dexter
Caribbean Senior Championships Castries 2013,2013-12-27,VILA BATISTA Juan,HUMPHREYS Alaric,3,0,,QF,OTHER,MS,539,Main Draw,VILA BATISTA Juan (DOM),HUMPHREYS Alaric (TTO),VILA BATISTA Juan
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Isaac,FARLEY Kevin,3,0,,QF,OTHER,MS,539,Main Draw,VILA Isaac (DOM),FARLEY Kevin (BAR),VILA Isaac
Caribbean Senior Championships Castries 2013,2013-12-27,SANTOS Emil,DOWELL Mark,3,0,,QF,OTHER,MS,539,Main Draw,SANTOS Emil (DOM),DOWELL Mark (BAR),SANTOS Emil
Caribbean Senior Championships Castries 2013,2013-12-27,ST LOUIS Dexter,VILA BATISTA Juan,3,0,,SF,OTHER,MS,539,Main Draw,ST LOUIS Dexter (TTO),VILA BATISTA Juan (DOM),ST LOUIS Dexter
Caribbean Senior Championships Castries 2013,2013-12-27,SANTOS Emil,VILA Isaac,3,0,,SF,OTHER,MS,539,Main Draw,SANTOS Emil (DOM),VILA Isaac (DOM),SANTOS Emil
Caribbean Senior Championships Castries 2013,2013-12-27,ST LOUIS Dexter,SANTOS Emil,3,0,,F,OTHER,MS,539,Main Draw,ST LOUIS Dexter (TTO),SANTOS Emil (DOM),ST LOUIS Dexter
Caribbean Senior Championships Castries 2013,2013-12-27,DE GANNES Jasher,RILEY Anthonette,3,0,,R32,OTHER,WS,539,Main Draw,DE GANNES Jasher (TTO),RILEY Anthonette (BAR),DE GANNES Jasher
Caribbean Senior Championships Castries 2013,2013-12-27,CHUNG Rheann,LOWE Trenace,3,0,,R16,OTHER,WS,539,Main Draw,CHUNG Rheann (TTO),LOWE Trenace (GUY),CHUNG Rheann
Caribbean Senior Championships Castries 2013,2013-12-27,DIAZ Kircia,DE GANNES Jasher,3,0,,R16,OTHER,WS,539,Main Draw,DIAZ Kircia (DOM),DE GANNES Jasher (TTO),DIAZ Kircia
Caribbean Senior Championships Castries 2013,2013-12-27,PARTAP Linda,MORRIS Julia,3,0,,R16,OTHER,WS,539,Main Draw,PARTAP Linda (TTO),MORRIS Julia (BAR),PARTAP Linda
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Lineth,REID Angela,3,0,,R16,OTHER,WS,539,Main Draw,VILA Lineth (DOM),REID Angela (BAR),VILA Lineth
Caribbean Senior Championships Castries 2013,2013-12-27,EDWARDS Aleena,ORTIZ Yasiris,3,0,,R16,OTHER,WS,539,Main Draw,EDWARDS Aleena (TTO),ORTIZ Yasiris (DOM),EDWARDS Aleena
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,CUMMINGS Natalie,3,0,,R16,OTHER,WS,539,Main Draw,BRITO Eva (DOM),CUMMINGS Natalie (GUY),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,CHUNG Rheann,DIAZ Kircia,3,0,,QF,OTHER,WS,539,Main Draw,CHUNG Rheann (TTO),DIAZ Kircia (DOM),CHUNG Rheann
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Lineth,PARTAP Linda,3,0,,QF,OTHER,WS,539,Main Draw,VILA Lineth (DOM),PARTAP Linda (TTO),VILA Lineth
Caribbean Senior Championships Castries 2013,2013-12-27,EDWARDS Aleena,FELIX Sherrice,3,0,,QF,OTHER,WS,539,Main Draw,EDWARDS Aleena (TTO),FELIX Sherrice (BAR),EDWARDS Aleena
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,EDGHILL Chelsea,3,0,,QF,OTHER,WS,539,Main Draw,BRITO Eva (DOM),EDGHILL Chelsea (GUY),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,CHUNG Rheann,VILA Lineth,3,0,,SF,OTHER,WS,539,Main Draw,CHUNG Rheann (TTO),VILA Lineth (DOM),CHUNG Rheann
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,EDWARDS Aleena,3,0,,SF,OTHER,WS,539,Main Draw,BRITO Eva (DOM),EDWARDS Aleena (TTO),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,CHUNG Rheann,3,0,,F,OTHER,WS,539,Main Draw,BRITO Eva (DOM),CHUNG Rheann (TTO),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,GALVEZ Samuel,GAYMES Kavir,3,0,,,OTHER,U21MS,539,Qualification,GALVEZ Samuel (DOM),GAYMES Kavir (VIN),GALVEZ Samuel
Caribbean Senior Championships Castries 2013,2013-12-27,GAYMES Kavir,DOUGHTY Kristian,3,0,,,OTHER,U21MS,539,Qualification,GAYMES Kavir (VIN),DOUGHTY Kristian (BAR),GAYMES Kavir
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Isaac,ST. CYR Mario,3,0,,,OTHER,U21MS,539,Qualification,VILA Isaac (DOM),ST. CYR Mario (LCA),VILA Isaac
Caribbean Senior Championships Castries 2013,2013-12-27,VILA Isaac,BRYAN Nigel,3,0,,,OTHER,U21MS,539,Qualification,VILA Isaac (DOM),BRYAN Nigel (GUY),VILA Isaac
Caribbean Senior Championships Castries 2013,2013-12-27,BRYAN Nigel,ST. CYR Mario,3,0,,,OTHER,U21MS,539,Qualification,BRYAN Nigel (GUY),ST. CYR Mario (LCA),BRYAN Nigel
Caribbean Senior Championships Castries 2013,2013-12-27,ROOPNARINE Arun,DE SHONG Javier,3,0,,,OTHER,U21MS,539,Qualification,ROOPNARINE Arun (TTO),DE SHONG Javier (VIN),ROOPNARINE Arun
Caribbean Senior Championships Castries 2013,2013-12-27,ROOPNARINE Arun,MATTHEWS Tristan,3,0,,,OTHER,U21MS,539,Qualification,ROOPNARINE Arun (TTO),MATTHEWS Tristan (LCA),ROOPNARINE Arun
Caribbean Senior Championships Castries 2013,2013-12-27,DE SHONG Javier,MATTHEWS Tristan,3,0,,,OTHER,U21MS,539,Qualification,DE SHONG Javier (VIN),MATTHEWS Tristan (LCA),DE SHONG Javier
Caribbean Senior Championships Castries 2013,2013-12-27,NEDD Akeicia,DIAZ Kircia,3,0,,,OTHER,U21WS,539,Qualification,NEDD Akeicia (GUY),DIAZ Kircia (DOM),NEDD Akeicia
Caribbean Senior Championships Castries 2013,2013-12-27,NEDD Akeicia,DE GANNES Jasher,3,0,,,OTHER,U21WS,539,Qualification,NEDD Akeicia (GUY),DE GANNES Jasher (TTO),NEDD Akeicia
Caribbean Senior Championships Castries 2013,2013-12-27,LOGAN Sunil,POWLETT Tryvonne,3,0,,,OTHER,U21MS,539,Qualification,LOGAN Sunil (GUY),POWLETT Tryvonne (BAR),LOGAN Sunil
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,RILEY Anthonette,3,0,,,OTHER,U21WS,539,Qualification,BRITO Eva (DOM),RILEY Anthonette (BAR),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,EDGHILL Chelsea,ORTIZ Yasiris,3,0,,,OTHER,U21WS,539,Qualification,EDGHILL Chelsea (GUY),ORTIZ Yasiris (DOM),EDGHILL Chelsea
Caribbean Senior Championships Castries 2013,2013-12-27,BRITO Eva,ORTIZ Yasiris,3,0,,SF,OTHER,U21WS,539,Main Draw,BRITO Eva (DOM),ORTIZ Yasiris (DOM),BRITO Eva
Caribbean Senior Championships Castries 2013,2013-12-27,EDGHILL Chelsea,DIAZ Kircia,3,0,,SF,OTHER,U21WS,539,Main Draw,EDGHILL Chelsea (GUY),DIAZ Kircia (DOM),EDGHILL Chelsea
Caribbean Senior Championships Castries 2013,2013-12-27,BRYAN Nigel,DE SHONG Javier,3,0,,R16,OTHER,U21MS,539,Main Draw,BRYAN Nigel (GUY),DE SHONG Javier (VIN),BRYAN Nigel
Caribbean Senior Championships Castries 2013,2013-12-27,LOGAN Sunil,GAYMES Kavir,3,0,,R16,OTHER,U21MS,539,Main Draw,LOGAN Sunil (GUY),GAYMES Kavir (VIN),LOGAN Sunil
