tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,GACINA Andrej,ARVIDSSON Simon,4,0,"11,11,11,11|8,5,9,2",R64,GRAND_SLAM,MS,111,Main Draw,GACINA Andrej (CRO),ARVIDSSON Simon (SWE)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,LE BRETON Thomas,SIMOVIC Miho,4,3,"8,9,11,7,11,11,11|11,11,0,11,9,8,8",R64,GRAND_SLAM,MS,111,Main Draw,LE BRETON Thomas (FRA),SIMOVIC Miho (CRO)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,DUDA Benedikt,BOULOUSSA Mehdi,4,2,"11,5,11,9,11,11|6,11,6,11,6,7",R64,GRAND_SLAM,MS,111,Main Draw,DUDA Benedikt (GER),BOULOUSSA Mehdi (ALG)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,PUCAR Tomislav,FLORITZ Philipp,4,3,"7,11,11,7,12,8,11|11,7,6,11,10,11,9",R64,GRAND_SLAM,MS,111,Main Draw,PUCAR Tomislav (CRO),FLORITZ Philipp (BUL)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,MADRID Marcos,ZELJKO Filip,4,1,"9,11,15,11,11|11,8,13,9,2",R64,GRAND_SLAM,MS,111,Main Draw,MADRID Marcos (MEX),ZELJKO Filip (CRO)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,STERNBERG Kasper,ANDERSSON Harald,4,2,"9,5,11,11,11,11|11,11,7,8,6,7",R64,GRAND_SLAM,MS,111,Main Draw,STERNBERG Kasper (DEN),ANDERSSON Harald (SWE)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,OOSTWOUDER Ewout,REDJEP Ronald,4,2,"6,6,15,11,11,12|11,11,13,5,5,10",R64,GRAND_SLAM,MS,111,Main Draw,OOSTWOUDER Ewout (NED),REDJEP Ronald (CRO)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,TOSIC Roko,SUBOTIC Dragan,4,2,"9,9,11,11,11,11|11,11,7,7,8,3",R64,GRAND_SLAM,MS,111,Main Draw,TOSIC Roko (CRO),SUBOTIC Dragan (SRB)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,PLATONOV Pavel,RASMUSSEN Tobias,4,2,"14,8,11,9,11,11|12,11,2,11,6,8",R64,GRAND_SLAM,MS,111,Main Draw,PLATONOV Pavel (BLR),RASMUSSEN Tobias (DEN)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,PERSSON Jon,RODE Marc,4,3,"11,9,8,11,6,11,12|6,11,11,5,11,6,10",R64,GRAND_SLAM,MS,111,Main Draw,PERSSON Jon (SWE),RODE Marc (GER)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,GOLOVANOV Stanislav,ZATOWKA Patryk,4,2,"1,11,11,4,11,11|11,5,5,11,8,8",R64,GRAND_SLAM,MS,111,Main Draw,GOLOVANOV Stanislav (BUL),ZATOWKA Patryk (POL)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,PEREIRA Andy,JUZBASIC Neven,4,2,"5,11,8,11,11,11|11,8,11,5,5,3",R64,GRAND_SLAM,MS,111,Main Draw,PEREIRA Andy (CUB),JUZBASIC Neven (CRO)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,BARDON Michal,TORNKVIST Andreas,4,1,"7,11,11,11,12|11,7,9,9,10",R64,GRAND_SLAM,MS,111,Main Draw,BARDON Michal (SVK),TORNKVIST Andreas (SWE)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,FUCEC Luka,VOSTES Yannick,4,3,"12,9,13,18,11,8,11|14,11,11,16,9,11,7",R64,GRAND_SLAM,MS,111,Main Draw,FUCEC Luka (CRO),VOSTES Yannick (BEL)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,HACHARD Antoine,KUIMOV Philipp,4,0,"11,13,13,11|7,11,11,5",R64,GRAND_SLAM,MS,111,Main Draw,HACHARD Antoine (FRA),KUIMOV Philipp (RUS)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,GROTH Jonathan,HUZJAK Josip,4,1,"11,6,11,11,11|8,11,7,6,7",R64,GRAND_SLAM,MS,111,Main Draw,GROTH Jonathan (DEN),HUZJAK Josip (CRO)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,KUZMIN Fedor,PETKOV Marko,4,0,"11,11,11,11|9,3,8,8",R64,GRAND_SLAM,MS,111,Main Draw,KUZMIN Fedor (RUS),PETKOV Marko (SRB)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,DYJAS Jakub,TRAN Anthony,4,0,"11,11,11,11|3,7,7,5",R64,GRAND_SLAM,MS,111,Main Draw,DYJAS Jakub (POL),TRAN Anthony (SWE)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,BROSSIER Benjamin,HEIMBERGER Martin,4,2,"8,6,11,11,13,11|11,11,4,8,11,2",R64,GRAND_SLAM,MS,111,Main Draw,BROSSIER Benjamin (FRA),HEIMBERGER Martin (AUT)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,PISTEJ Lubomir,KULPA Konrad,4,2,"11,6,4,11,11,11|9,11,11,9,9,7",R64,GRAND_SLAM,MS,111,Main Draw,PISTEJ Lubomir (SVK),KULPA Konrad (POL)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,LORENTZ Romain,HABESOHN Dominik,4,3,"8,11,14,7,11,11,11|11,9,16,11,9,9,8",R64,GRAND_SLAM,MS,111,Main Draw,LORENTZ Romain (FRA),HABESOHN Dominik (AUT)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,INDEHERBERG Julien,ORT Kilian,4,3,"10,11,9,6,11,11,11|12,5,11,11,7,7,5",R64,GRAND_SLAM,MS,111,Main Draw,INDEHERBERG Julien (BEL),ORT Kilian (GER)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,ZUBCIC Tomislav,LANDRIEU Andrea,4,3,"12,11,5,10,11,12,12|10,13,11,12,9,10,10",R64,GRAND_SLAM,MS,111,Main Draw,ZUBCIC Tomislav (CRO),LANDRIEU Andrea (FRA)
Euro-Africa Croatia Open Zagreb 2013,2013-06-06,SALIFOU Abdel-Kader,BRODD Viktor,4,1,"11,11,9,11,12|8,3,11,2,10",R64,GRAND_SLAM,MS,111,Main Draw,SALIFOU Abdel-Kader (BEN),BRODD Viktor (SWE)
