tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Euro-Africa Egypt Open Cairo 2013,2013-03-21,ALLEGRO Martin,ASSAR Khalid,4,2,"12,11,11,11,11,11|10,4,13,7,13,7",R32,GRAND_SLAM,MS,109,Main Draw,ALLEGRO Martin (BEL),ASSAR Khalid (EGY),ALLEGRO Martin
Euro-Africa Egypt Open Cairo 2013,2013-03-21,MENGE Gencay,ZAGHLOUL Mahmoud,4,2,"12,11,11,8,8,11|10,9,9,11,11,8",R32,GRAND_SLAM,MS,109,Main Draw,MENGE Gencay (TUR),ZAGHLOUL Mahmoud (EGY),MENGE Gencay
Euro-Africa Egypt Open Cairo 2013,2013-03-21,LI Ahmet,BEDAIR Omar,4,0,"11,11,11,11|8,6,4,3",R32,GRAND_SLAM,MS,109,Main Draw,LI Ahmet (TUR),BEDAIR Omar (EGY),LI Ahmet
Euro-Africa Egypt Open Cairo 2013,2013-03-21,GOLOVANOV Stanislav,AL-HASAN Salem,4,1,"11,11,11,11,11|6,13,9,4,5",R32,GRAND_SLAM,MS,109,Main Draw,GOLOVANOV Stanislav (BUL),AL-HASAN Salem (KUW),GOLOVANOV Stanislav
Euro-Africa Egypt Open Cairo 2013,2013-03-21,SHOUMAN Mohamed,ELDESSOUKY Mohamed,4,2,"11,11,11,5,8,11|7,6,7,11,11,7",R32,GRAND_SLAM,MS,109,Main Draw,SHOUMAN Mohamed (EGY),ELDESSOUKY Mohamed (EGY),SHOUMAN Mohamed
Euro-Africa Egypt Open Cairo 2013,2013-03-21,MAHMOUD Abdulrahman,LASHIN Aly,4,3,"11,4,15,14,9,11,11|8,11,17,12,11,8,9",R32,GRAND_SLAM,MS,109,Main Draw,MAHMOUD Abdulrahman (EGY),LASHIN Aly (EGY),MAHMOUD Abdulrahman
Euro-Africa Egypt Open Cairo 2013,2013-03-21,DURAN Marc,REDA Amr,4,0,"11,11,11,11|4,6,6,8",R32,GRAND_SLAM,MS,109,Main Draw,DURAN Marc (ESP),REDA Amr (EGY),DURAN Marc
Euro-Africa Egypt Open Cairo 2013,2013-03-21,SALIFOU Abdel-Kader,PAPADAKIS Ioannis,4,1,"11,11,11,11,11|13,7,2,6,4",R32,GRAND_SLAM,MS,109,Main Draw,SALIFOU Abdel-Kader (BEN),PAPADAKIS Ioannis (GRE),SALIFOU Abdel-Kader
Euro-Africa Egypt Open Cairo 2013,2013-03-21,SOBHY Ashraf,ELSOBKY Mohamed,4,0,"11,11,11,12|7,5,7,10",R32,GRAND_SLAM,MS,109,Main Draw,SOBHY Ashraf (EGY),ELSOBKY Mohamed (EGY),SOBHY Ashraf
Euro-Africa Egypt Open Cairo 2013,2013-03-21,NADIM Ahmed,ALAA Bassel,4,2,"9,11,11,12,9,11|11,9,4,10,11,4",R32,GRAND_SLAM,MS,109,Main Draw,NADIM Ahmed (EGY),ALAA Bassel (EGY),NADIM Ahmed
Euro-Africa Egypt Open Cairo 2013,2013-03-21,SALEH Ahmed,SONBOL Shady,4,0,"12,11,11,11|10,6,7,6",R32,GRAND_SLAM,MS,109,Main Draw,SALEH Ahmed (EGY),SONBOL Shady (EGY),SALEH Ahmed
