tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Finlandia Open Helsinki 2013,2013-12-05,ZIBRAT Jan,MARSDEN Michael,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,ZIBRAT Jan (SLO),MARSDEN Michael (WAL)
Finlandia Open Helsinki 2013,2013-12-05,RIGAULT Lucas,SCHMID Elia,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,RIGAULT Lucas (FRA),SCHMID Elia (SUI)
Finlandia Open Helsinki 2013,2013-12-05,YARASHENKA Vadim,WAERSTAD Marcus,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,YARASHENKA Vadim (BLR),WAERSTAD Marcus (NOR)
Finlandia Open Helsinki 2013,2013-12-05,LOSO Sebastian,FLEMMING Veikka,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,LOSO Sebastian (SWE),FLEMMING Veikka (FIN)
Finlandia Open Helsinki 2013,2013-12-05,ISMAILOV Sadi,SANCHO Libre,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,ISMAILOV Sadi (RUS),SANCHO Libre (ESP)
Finlandia Open Helsinki 2013,2013-12-05,JORGENSEN Eskild,KNOX Keith,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,JORGENSEN Eskild (NOR),KNOX Keith (IRL)
Finlandia Open Helsinki 2013,2013-12-05,URIBE Salvador,BLOMQVIST Adam,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,URIBE Salvador (MEX),BLOMQVIST Adam (SWE)
Finlandia Open Helsinki 2013,2013-12-05,TABACHNIK Pablo,O'DRISCOLL Michael,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,TABACHNIK Pablo (ARG),O'DRISCOLL Michael (ENG)
Finlandia Open Helsinki 2013,2013-12-05,GAUZY Paul,KOMOV Alexander,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,GAUZY Paul (FRA),KOMOV Alexander (RUS)
Finlandia Open Helsinki 2013,2013-12-05,AFANASENKA Siarhei,HAGERAATS Koen,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,AFANASENKA Siarhei (BLR),HAGERAATS Koen (NED)
Finlandia Open Helsinki 2013,2013-12-05,PERMAN Oscar,SOINE Samuli,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,PERMAN Oscar (SWE),SOINE Samuli (FIN)
Finlandia Open Helsinki 2013,2013-12-05,SWARTENBROUCKX Gaetan,EDWARDS Conor,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SWARTENBROUCKX Gaetan (BEL),EDWARDS Conor (WAL)
Finlandia Open Helsinki 2013,2013-12-05,MARTINEZ Guillermo,SARSEMBAYEV Dias,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,MARTINEZ Guillermo (ESP),SARSEMBAYEV Dias (KAZ)
Finlandia Open Helsinki 2013,2013-12-05,RANEFUR Elias,VANNUCCI Marco,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,RANEFUR Elias (SWE),VANNUCCI Marco (SMR)
Finlandia Open Helsinki 2013,2013-12-05,CHEN Alexander,KODJABASHEV Denislav,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,CHEN Alexander (AUT),KODJABASHEV Denislav (BUL)
Finlandia Open Helsinki 2013,2013-12-05,BRODD Viktor,KALACHEVSKYI Denys,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,BRODD Viktor (SWE),KALACHEVSKYI Denys (UKR)
Finlandia Open Helsinki 2013,2013-12-05,LEVENKO Andreas,KUPERBERG Elad,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,LEVENKO Andreas (AUT),KUPERBERG Elad (ISR)
Finlandia Open Helsinki 2013,2013-12-05,FRANCO Carlos,O'CONNELL Daniel,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,FRANCO Carlos (ESP),O'CONNELL Daniel (WAL)
Finlandia Open Helsinki 2013,2013-12-05,HOWIESON Craig,MYLLARINEN Markus,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,HOWIESON Craig (SCO),MYLLARINEN Markus (FIN)
Finlandia Open Helsinki 2013,2013-12-05,GERASSIMENKO Kirill,MATSUBARA Yutaka,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,GERASSIMENKO Kirill (KAZ),MATSUBARA Yutaka (CHI)
Finlandia Open Helsinki 2013,2013-12-05,KHATCHANOV Martin,ROBINSON Ashley,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,KHATCHANOV Martin (NED),ROBINSON Ashley (IRL)
Finlandia Open Helsinki 2013,2013-12-05,SHAMRUK Gleb,RODRIGUEZ Diego,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SHAMRUK Gleb (BLR),RODRIGUEZ Diego (PER)
Finlandia Open Helsinki 2013,2013-12-05,BRIL Vladimir,SMIRNOV Aleksandr,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,BRIL Vladimir (RUS),SMIRNOV Aleksandr (EST)
Finlandia Open Helsinki 2013,2013-12-05,GADIEV Vildan,AKINDIYA Ismaila,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,GADIEV Vildan (RUS),AKINDIYA Ismaila (ENG)
Finlandia Open Helsinki 2013,2013-12-05,ANDREEV Yavor,MUSTONEN Aleksi,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,ANDREEV Yavor (BUL),MUSTONEN Aleksi (FIN)
Finlandia Open Helsinki 2013,2013-12-05,LINDHOLM Eskil,BERTRAND Irvin,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,LINDHOLM Eskil (NOR),BERTRAND Irvin (FRA)
Finlandia Open Helsinki 2013,2013-12-05,CHAMPOD Nicolas,POWELL David,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,CHAMPOD Nicolas (SUI),POWELL David (AUS)
Finlandia Open Helsinki 2013,2013-12-05,MUHLBACH Hermann,SAAREMAE Rivo,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,MUHLBACH Hermann (LUX),SAAREMAE Rivo (EST)
Finlandia Open Helsinki 2013,2013-12-05,SEYFRIED Joe,MAIN Calum,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SEYFRIED Joe (FRA),MAIN Calum (SCO)
Finlandia Open Helsinki 2013,2013-12-05,SERDAROGLU David,LORENZOTTI Gonzalo,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SERDAROGLU David (AUT),LORENZOTTI Gonzalo (URU)
Finlandia Open Helsinki 2013,2013-12-05,KNIGHT Darius,BERGMAN Tobias,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,KNIGHT Darius (ENG),BERGMAN Tobias (SWE)
Finlandia Open Helsinki 2013,2013-12-05,SHETTY Sanil,KANT Kristjan,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SHETTY Sanil (IND),KANT Kristjan (EST)
Finlandia Open Helsinki 2013,2013-12-05,YARUSHIN Nikita,MAGUIRE Gavin,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,YARUSHIN Nikita (RUS),MAGUIRE Gavin (IRL)
Finlandia Open Helsinki 2013,2013-12-05,KHANIN Aleksandr,OCONNOR Miikka,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,KHANIN Aleksandr (BLR),OCONNOR Miikka (FIN)
Finlandia Open Helsinki 2013,2013-12-05,KRASTEV Petyo,WHEELER Christopher,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,KRASTEV Petyo (BUL),WHEELER Christopher (SCO)
Finlandia Open Helsinki 2013,2013-12-05,ERICSON Gustaf,LOPEZ Pedro,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,ERICSON Gustaf (SWE),LOPEZ Pedro (ESP)
Finlandia Open Helsinki 2013,2013-12-05,SAMOKYSH Kyrylo,LAANE Lauri,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,SAMOKYSH Kyrylo (UKR),LAANE Lauri (EST)
Finlandia Open Helsinki 2013,2013-12-05,MUTYGULLIN Ramil,GIVONE Nolan,3,0,,R128,WTT_CONTENDER,MS,550,Main Draw,MUTYGULLIN Ramil (RUS),GIVONE Nolan (FRA)
