tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's World Cup Verviers 2013,2013-10-25,XU Xin,YAN An,4,0,"11,11,11,11|7,7,7,4",QF,WORLD_CUP,MS,580,Main Draw,XU Xin (CHN),YAN An (CHN),XU Xin
Men's World Cup Verviers 2013,2013-10-25,OVTCHAROV Dimitrij,TANG Peng,4,1,"11,9,13,11,11|9,11,11,5,5",QF,WORLD_CUP,MS,580,Main Draw,OVTCHAROV Dimitrij (GER),TANG Peng (HKG),OVTCHAROV Dimitrij
Men's World Cup Verviers 2013,2013-10-25,SAMSONOV Vladimir,CHUANG Chih-Yuan,4,1,"11,11,14,11,11|6,13,12,3,8",QF,WORLD_CUP,MS,580,Main Draw,SAMSONOV Vladimir (BLR),CHUANG Chih-Yuan (TPE),SAMSONOV Vladimir
Men's World Cup Verviers 2013,2013-10-25,BOLL Timo,FREITAS Marcos,4,0,"11,11,12,11|7,9,10,6",QF,WORLD_CUP,MS,580,Main Draw,BOLL Timo (GER),FREITAS Marcos (POR),BOLL Timo
Men's World Cup Verviers 2013,2013-10-25,XU Xin,OVTCHAROV Dimitrij,4,3,"11,11,8,8,4,11,11|5,8,11,11,11,9,2",SF,WORLD_CUP,MS,580,Main Draw,XU Xin (CHN),OVTCHAROV Dimitrij (GER),XU Xin
Men's World Cup Verviers 2013,2013-10-25,SAMSONOV Vladimir,BOLL Timo,4,0,"11,11,11,11|8,4,8,8",SF,WORLD_CUP,MS,580,Main Draw,SAMSONOV Vladimir (BLR),BOLL Timo (GER),SAMSONOV Vladimir
Men's World Cup Verviers 2013,2013-10-25,XU Xin,SAMSONOV Vladimir,4,1,"11,12,11,11,11|6,14,8,9,7",F,WORLD_CUP,MS,580,Main Draw,XU Xin (CHN),SAMSONOV Vladimir (BLR),XU Xin
Men's World Cup Verviers 2013,2013-10-25,OVTCHAROV Dimitrij,BOLL Timo,4,1,"11,8,11,11,11|3,11,5,5,6",3RD,WORLD_CUP,MS,580,Position Draw,OVTCHAROV Dimitrij (GER),BOLL Timo (GER),OVTCHAROV Dimitrij
Men's World Cup Verviers 2013,2013-10-25,YANG Zi,SAIVE Jean-Michel,4,0,"11,11,11,15|7,7,9,13",,WORLD_CUP,MS,580,Qualification,YANG Zi (SGP),SAIVE Jean-Michel (BEL),YANG Zi
Men's World Cup Verviers 2013,2013-10-25,FREITAS Marcos,SAIVE Jean-Michel,4,3,"11,11,9,7,9,13,11|5,5,11,11,11,11,9",,WORLD_CUP,MS,580,Qualification,FREITAS Marcos (POR),SAIVE Jean-Michel (BEL),FREITAS Marcos
Men's World Cup Verviers 2013,2013-10-25,FREITAS Marcos,YANG Zi,4,3,"9,9,12,11,11,6,16|11,11,10,6,7,11,14",,WORLD_CUP,MS,580,Qualification,FREITAS Marcos (POR),YANG Zi (SGP),FREITAS Marcos
Men's World Cup Verviers 2013,2013-10-25,ACHANTA Sharath,HENZELL William,4,3,"12,10,9,11,11,11,12|14,12,11,6,8,3,10",,WORLD_CUP,MS,580,Qualification,ACHANTA Sharath (IND),HENZELL William (AUS),ACHANTA Sharath
Men's World Cup Verviers 2013,2013-10-25,TANG Peng,HENZELL William,4,2,"11,4,11,11,11,11|8,11,4,8,13,6",,WORLD_CUP,MS,580,Qualification,TANG Peng (HKG),HENZELL William (AUS),TANG Peng
Men's World Cup Verviers 2013,2013-10-25,TANG Peng,ACHANTA Sharath,4,1,"11,11,11,10,11|9,9,6,12,3",,WORLD_CUP,MS,580,Qualification,TANG Peng (HKG),ACHANTA Sharath (IND),TANG Peng
Men's World Cup Verviers 2013,2013-10-25,ALAMIYAN Noshad,HO Andre,4,1,"11,11,9,11,11|8,9,11,7,8",,WORLD_CUP,MS,580,Qualification,ALAMIYAN Noshad (IRI),HO Andre (CAN),ALAMIYAN Noshad
Men's World Cup Verviers 2013,2013-10-25,CHEN Chien-An,HO Andre,4,1,"13,11,11,11,11|11,7,13,8,8",,WORLD_CUP,MS,580,Qualification,CHEN Chien-An (TPE),HO Andre (CAN),CHEN Chien-An
Men's World Cup Verviers 2013,2013-10-25,CHEN Chien-An,ALAMIYAN Noshad,4,3,"9,8,12,9,11,11,11|11,11,10,11,9,7,9",,WORLD_CUP,MS,580,Qualification,CHEN Chien-An (TPE),ALAMIYAN Noshad (IRI),CHEN Chien-An
Men's World Cup Verviers 2013,2013-10-25,MONTEIRO Thiago,LASHIN Elsayed,4,2,"9,11,9,11,11,11|11,7,11,8,9,2",,WORLD_CUP,MS,580,Qualification,MONTEIRO Thiago (BRA),LASHIN Elsayed (EGY),MONTEIRO Thiago
Men's World Cup Verviers 2013,2013-10-25,JEOUNG Youngsik,MONTEIRO Thiago,4,2,"11,11,8,11,9,11|9,8,11,3,11,5",,WORLD_CUP,MS,580,Qualification,JEOUNG Youngsik (KOR),MONTEIRO Thiago (BRA),JEOUNG Youngsik
Men's World Cup Verviers 2013,2013-10-25,JEOUNG Youngsik,LASHIN Elsayed,4,0,"11,11,11,11|9,8,6,7",,WORLD_CUP,MS,580,Qualification,JEOUNG Youngsik (KOR),LASHIN Elsayed (EGY),JEOUNG Youngsik
Men's World Cup Verviers 2013,2013-10-25,XU Xin,BAUM Patrick,4,1,"11,10,11,11,11|5,12,7,5,5",,WORLD_CUP,MS,580,Qualification,XU Xin (CHN),BAUM Patrick (GER),XU Xin
Men's World Cup Verviers 2013,2013-10-25,XU Xin,TANG Peng,4,3,"11,11,8,8,11,11,11|6,13,11,11,4,7,6",,WORLD_CUP,MS,580,Qualification,XU Xin (CHN),TANG Peng (HKG),XU Xin
Men's World Cup Verviers 2013,2013-10-25,TANG Peng,BAUM Patrick,4,2,"11,12,7,11,7,11|1,10,11,8,11,6",,WORLD_CUP,MS,580,Qualification,TANG Peng (HKG),BAUM Patrick (GER),TANG Peng
Men's World Cup Verviers 2013,2013-10-25,BOLL Timo,JIANG Tianyi,4,0,"11,11,11,11|5,3,8,6",,WORLD_CUP,MS,580,Qualification,BOLL Timo (GER),JIANG Tianyi (HKG),BOLL Timo
Men's World Cup Verviers 2013,2013-10-25,FREITAS Marcos,JIANG Tianyi,4,3,"11,5,11,8,11,11,11|9,11,13,11,7,8,7",,WORLD_CUP,MS,580,Qualification,FREITAS Marcos (POR),JIANG Tianyi (HKG),FREITAS Marcos
Men's World Cup Verviers 2013,2013-10-25,OVTCHAROV Dimitrij,YAN An,4,2,"11,10,12,11,2,11|7,12,10,5,11,9",,WORLD_CUP,MS,580,Qualification,OVTCHAROV Dimitrij (GER),YAN An (CHN),OVTCHAROV Dimitrij
Men's World Cup Verviers 2013,2013-10-25,OVTCHAROV Dimitrij,CHEN Chien-An,4,0,"11,11,11,11|6,8,4,9",,WORLD_CUP,MS,580,Qualification,OVTCHAROV Dimitrij (GER),CHEN Chien-An (TPE),OVTCHAROV Dimitrij
Men's World Cup Verviers 2013,2013-10-25,YAN An,CHEN Chien-An,4,1,"11,11,11,9,11|5,6,3,11,4",,WORLD_CUP,MS,580,Qualification,YAN An (CHN),CHEN Chien-An (TPE),YAN An
Men's World Cup Verviers 2013,2013-10-25,CHUANG Chih-Yuan,SAMSONOV Vladimir,4,2,"11,11,8,2,11,12|9,8,11,11,9,10",,WORLD_CUP,MS,580,Qualification,CHUANG Chih-Yuan (TPE),SAMSONOV Vladimir (BLR),CHUANG Chih-Yuan
Men's World Cup Verviers 2013,2013-10-25,CHUANG Chih-Yuan,JEOUNG Youngsik,4,3,"8,11,11,9,11,9,11|11,6,6,11,7,11,4",,WORLD_CUP,MS,580,Qualification,CHUANG Chih-Yuan (TPE),JEOUNG Youngsik (KOR),CHUANG Chih-Yuan
