tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Paris 2013,2013-05-13,DING Ning,DEDERKO Zhenhua,4,0,"11,11,11,11|6,2,5,3",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,DING Ning (CHN),DEDERKO Zhenhua (AUS),DING Ning
World Table Tennis Championships Paris 2013,2013-05-13,KOMWONG Nanthana,ABBAT Alice,4,2,"11,8,8,11,11,11|7,11,11,8,8,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,KOMWONG Nanthana (THA),ABBAT Alice (FRA),KOMWONG Nanthana
World Table Tennis Championships Paris 2013,2013-05-13,STEFANOVA Nikoleta,KUMARESAN Shamini,4,0,"11,11,11,11|4,5,7,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,STEFANOVA Nikoleta (ITA),KUMARESAN Shamini (IND),STEFANOVA Nikoleta
World Table Tennis Championships Paris 2013,2013-05-13,HU Limei,POTA Georgina,4,0,"11,12,11,11|6,10,6,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,HU Limei (CHN),POTA Georgina (HUN),HU Limei
World Table Tennis Championships Paris 2013,2013-05-13,CHENG I-Ching,VARADY Barbora,4,2,"11,11,2,11,7,11|4,7,11,5,11,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,CHENG I-Ching (TPE),VARADY Barbora (SVK),CHENG I-Ching
World Table Tennis Championships Paris 2013,2013-05-13,XIAN Yifang,HAN Xing,4,0,"11,11,11,13|6,3,6,11",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,XIAN Yifang (FRA),HAN Xing (CGO),XIAN Yifang
World Table Tennis Championships Paris 2013,2013-05-13,ZHANG Lily,NG Sock Khim,4,3,"11,9,9,8,11,11,11|4,11,11,11,6,5,1",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,ZHANG Lily (USA),NG Sock Khim (MAS),ZHANG Lily
World Table Tennis Championships Paris 2013,2013-05-13,PARK Seonghye,FUKUHARA Ai,4,2,"4,11,11,3,11,11|11,6,9,11,8,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,PARK Seonghye (KOR),FUKUHARA Ai (JPN),PARK Seonghye
World Table Tennis Championships Paris 2013,2013-05-13,YANG Ha Eun,NEVES Ana,4,0,"11,11,11,11|5,1,4,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,YANG Ha Eun (KOR),NEVES Ana (POR),YANG Ha Eun
World Table Tennis Championships Paris 2013,2013-05-13,PERGEL Szandra,SAVELYEVA Antonina,4,1,"11,11,11,8,11|8,8,9,11,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,PERGEL Szandra (HUN),SAVELYEVA Antonina (RUS),PERGEL Szandra
World Table Tennis Championships Paris 2013,2013-05-13,CHEN Szu-Yu,GALIC Alex,4,1,"11,10,11,11,11|5,12,6,7,2",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,CHEN Szu-Yu (TPE),GALIC Alex (SLO),CHEN Szu-Yu
World Table Tennis Championships Paris 2013,2013-05-13,LIU Jia,BARAVOK Katsiaryna,4,1,"11,11,11,11,11|7,3,13,9,1",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,LIU Jia (AUT),BARAVOK Katsiaryna (BLR),LIU Jia
World Table Tennis Championships Paris 2013,2013-05-13,RI Myong Sun,SILVA Ligia,4,0,"11,11,12,11|5,1,10,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,RI Myong Sun (PRK),SILVA Ligia (BRA),RI Myong Sun
World Table Tennis Championships Paris 2013,2013-05-13,RI Mi Gyong,GRZYBOWSKA-FRANC Katarzyna,4,3,"4,7,14,11,7,13,11|11,11,12,9,11,11,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,RI Mi Gyong (PRK),GRZYBOWSKA-FRANC Katarzyna (POL),RI Mi Gyong
World Table Tennis Championships Paris 2013,2013-05-13,STRBIKOVA Renata,DE NUTTE Sarah,4,1,"9,13,11,11,11|11,11,8,7,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,STRBIKOVA Renata (CZE),DE NUTTE Sarah (LUX),STRBIKOVA Renata
World Table Tennis Championships Paris 2013,2013-05-13,ISHIKAWA Kasumi,ELDAWLATLY Nadeen,4,0,"11,11,11,11|8,2,3,4",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,ISHIKAWA Kasumi (JPN),ELDAWLATLY Nadeen (EGY),ISHIKAWA Kasumi
World Table Tennis Championships Paris 2013,2013-05-13,WU Yang,GONDERINGER Tessy,4,0,"11,11,11,11|6,2,5,2",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,WU Yang (CHN),GONDERINGER Tessy (LUX),WU Yang
World Table Tennis Championships Paris 2013,2013-05-13,PENKAVOVA Katerina,SKOV Mie,4,1,"11,11,9,11,11|5,9,11,5,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,PENKAVOVA Katerina (CZE),SKOV Mie (DEN),PENKAVOVA Katerina
World Table Tennis Championships Paris 2013,2013-05-13,IVANCAN Irene,DRINKHALL Joanna,4,3,"5,7,11,11,10,11,11|11,11,9,5,12,5,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,IVANCAN Irene (GER),DRINKHALL Joanna (ENG),IVANCAN Irene
World Table Tennis Championships Paris 2013,2013-05-13,WU Jiaduo,MUANGSUK Anisara,4,1,"11,11,11,9,13|9,4,9,11,11",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,WU Jiaduo (GER),MUANGSUK Anisara (THA),WU Jiaduo
World Table Tennis Championships Paris 2013,2013-05-13,HUANG Yi-Hua,KNEZEVIC Monika,4,2,"11,12,11,11,9,11|7,14,9,7,11,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,HUANG Yi-Hua (TPE),KNEZEVIC Monika (SRB),HUANG Yi-Hua
World Table Tennis Championships Paris 2013,2013-05-13,NI Xia Lian,GASNIER Laura,4,1,"11,11,11,11,11|13,4,8,5,3",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,NI Xia Lian (LUX),GASNIER Laura (FRA),NI Xia Lian
World Table Tennis Championships Paris 2013,2013-05-13,KIM Hye Song,SZOCS Bernadette,4,0,"12,11,12,11|10,1,10,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,KIM Hye Song (PRK),SZOCS Bernadette (ROU),KIM Hye Song
World Table Tennis Championships Paris 2013,2013-05-13,SAMARA Elizabeta,ARLOUSKAYA Alina,4,0,"11,11,11,11|4,8,7,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,SAMARA Elizabeta (ROU),ARLOUSKAYA Alina (BLR),SAMARA Elizabeta
World Table Tennis Championships Paris 2013,2013-05-13,CHEN Meng,BERHO Marina,4,0,"11,11,11,11|4,7,7,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,CHEN Meng (CHN),BERHO Marina (FRA),CHEN Meng
World Table Tennis Championships Paris 2013,2013-05-13,KIM Jong,LIU Hsing-Yin,4,1,"7,11,11,11,11|11,6,8,7,8",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,KIM Jong (PRK),LIU Hsing-Yin (TPE),KIM Jong
World Table Tennis Championships Paris 2013,2013-05-13,NG Wing Nam,PATKAR Madhurika,4,1,"11,11,11,10,11|8,4,8,12,3",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,NG Wing Nam (HKG),PATKAR Madhurika (IND),NG Wing Nam
World Table Tennis Championships Paris 2013,2013-05-13,PESOTSKA Margaryta,LI Isabelle Siyun,4,2,"9,11,11,11,7,11|11,3,5,7,11,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,PESOTSKA Margaryta (UKR),LI Isabelle Siyun (SGP),PESOTSKA Margaryta
World Table Tennis Championships Paris 2013,2013-05-13,HIRANO Sayaka,SZYMANSKA Antonina,4,0,"11,11,11,11|5,8,6,8",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,HIRANO Sayaka (JPN),SZYMANSKA Antonina (POL),HIRANO Sayaka
World Table Tennis Championships Paris 2013,2013-05-13,MADARASZ Dora,ERDELJI Anamaria,4,1,"11,11,11,8,11|9,7,5,11,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,MADARASZ Dora (HUN),ERDELJI Anamaria (SRB),MADARASZ Dora
World Table Tennis Championships Paris 2013,2013-05-13,TOTH Krisztina,LI Ching Wan,4,0,"11,15,11,11|5,13,7,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,TOTH Krisztina (HUN),LI Ching Wan (HKG),TOTH Krisztina
World Table Tennis Championships Paris 2013,2013-05-13,LI Xiaoxia,PASKAUSKIENE Ruta,4,1,"11,11,8,11,11|7,4,11,3,4",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,LI Xiaoxia (CHN),PASKAUSKIENE Ruta (LTU),LI Xiaoxia
World Table Tennis Championships Paris 2013,2013-05-13,FENG Tianwei,NECULA Iulia,4,1,"4,11,11,11,11|11,8,6,4,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,FENG Tianwei (SGP),NECULA Iulia (ROU),FENG Tianwei
World Table Tennis Championships Paris 2013,2013-05-13,MORIZONO Misaki,BLIZNET Olga,4,0,"11,11,11,11|6,4,2,9",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,MORIZONO Misaki (JPN),BLIZNET Olga (MDA),MORIZONO Misaki
World Table Tennis Championships Paris 2013,2013-05-13,MATSUDAIRA Shiho,PIETKIEWICZ Monika,4,3,"11,8,15,7,7,11,12|6,11,13,11,11,4,10",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,MATSUDAIRA Shiho (JPN),PIETKIEWICZ Monika (POL),MATSUDAIRA Shiho
World Table Tennis Championships Paris 2013,2013-05-13,YU Mengyu,SAWETTABUT Suthasini,4,0,"11,11,11,11|4,9,3,8",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,YU Mengyu (SGP),SAWETTABUT Suthasini (THA),YU Mengyu
World Table Tennis Championships Paris 2013,2013-05-13,FUJII Hiroko,CHRISTOFORAKI Maria,4,0,"11,12,11,11|5,10,4,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,FUJII Hiroko (JPN),CHRISTOFORAKI Maria (GRE),FUJII Hiroko
World Table Tennis Championships Paris 2013,2013-05-13,LIN Chia-Hui,HSING Ariel,4,3,"9,12,6,11,3,12,11|11,10,11,6,11,10,4",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,LIN Chia-Hui (TPE),HSING Ariel (USA),LIN Chia-Hui
World Table Tennis Championships Paris 2013,2013-05-13,BILENKO Tetyana,MIGOT Marie,4,0,"12,11,11,11|10,8,4,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,BILENKO Tetyana (UKR),MIGOT Marie (FRA),BILENKO Tetyana
World Table Tennis Championships Paris 2013,2013-05-13,SEOK Hajung,IACOB Camelia,4,1,"11,6,11,11,11|8,11,4,4,5",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,SEOK Hajung (KOR),IACOB Camelia (ROU),SEOK Hajung
World Table Tennis Championships Paris 2013,2013-05-13,JIANG Huajun,MISIKONYTE Lina,4,2,"11,11,10,9,12,11|3,5,12,11,10,8",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,JIANG Huajun (HKG),MISIKONYTE Lina (LTU),JIANG Huajun
World Table Tennis Championships Paris 2013,2013-05-13,DOO Hoi Kem,OWEN Naomi,4,1,"11,11,11,9,11|7,6,4,11,6",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,DOO Hoi Kem (HKG),OWEN Naomi (WAL),DOO Hoi Kem
World Table Tennis Championships Paris 2013,2013-05-13,HAPONOVA Hanna,VEGA Paulina,4,0,"12,11,11,11|10,6,3,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,HAPONOVA Hanna (UKR),VEGA Paulina (CHI),HAPONOVA Hanna
World Table Tennis Championships Paris 2013,2013-05-13,LANG Kristin,DOLGIKH Maria,4,3,"11,7,11,9,11,6,11|7,11,9,11,3,11,7",R128,WORLD_CHAMPIONSHIPS,WS,599,Main Draw,LANG Kristin (GER),DOLGIKH Maria (RUS),LANG Kristin
