tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Harmony China Open Suzhou 2013,2013-08-14,NONAKA Yuki,WU Yue,4,0,"11,11,11,11|3,5,5,5",,GRAND_SLAM,WS,119,Qualification,NONAKA Yuki (JPN),WU Yue (USA),NONAKA Yuki
World Tour Harmony China Open Suzhou 2013,2013-08-14,NONAKA Yuki,LI Ching Wan,4,2,"7,11,11,11,5,11|11,8,5,8,11,9",,GRAND_SLAM,WS,119,Qualification,NONAKA Yuki (JPN),LI Ching Wan (HKG),NONAKA Yuki
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yue,LI Ching Wan,4,3,"7,13,10,11,6,11,12|11,11,12,8,11,9,10",,GRAND_SLAM,WS,119,Qualification,WU Yue (USA),LI Ching Wan (HKG),WU Yue
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIN Ye,TSUI Pao-Wen,4,0,"11,11,11,11|3,4,2,8",,GRAND_SLAM,WS,119,Qualification,LIN Ye (CAN),TSUI Pao-Wen (TPE),LIN Ye
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIN Ye,ISHIKAWA Rira,4,2,"11,5,11,11,6,11|6,11,5,4,11,7",,GRAND_SLAM,WS,119,Qualification,LIN Ye (CAN),ISHIKAWA Rira (JPN),LIN Ye
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIKAWA Rira,TSUI Pao-Wen,4,1,"7,12,11,11,11|11,10,5,3,8",,GRAND_SLAM,WS,119,Qualification,ISHIKAWA Rira (JPN),TSUI Pao-Wen (TPE),ISHIKAWA Rira
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHOI Moonyoung,YU Mei-Ju,4,0,"12,11,11,11|10,4,1,7",,GRAND_SLAM,WS,119,Qualification,CHOI Moonyoung (KOR),YU Mei-Ju (TPE),CHOI Moonyoung
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHOI Moonyoung,LI Isabelle Siyun,4,2,"6,11,12,2,11,11|11,8,10,11,4,5",,GRAND_SLAM,WS,119,Qualification,CHOI Moonyoung (KOR),LI Isabelle Siyun (SGP),CHOI Moonyoung
World Tour Harmony China Open Suzhou 2013,2013-08-14,YU Mei-Ju,LI Isabelle Siyun,4,2,"14,11,11,11,9,11|16,7,7,6,11,5",,GRAND_SLAM,WS,119,Qualification,YU Mei-Ju (TPE),LI Isabelle Siyun (SGP),YU Mei-Ju
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHOU Yihan,HSU Hui-Tsun,4,0,"12,11,11,11|10,9,5,7",,GRAND_SLAM,WS,119,Qualification,ZHOU Yihan (SGP),HSU Hui-Tsun (TPE),ZHOU Yihan
World Tour Harmony China Open Suzhou 2013,2013-08-14,NEMOTO Riyo,ZHOU Yihan,4,2,"7,8,11,11,11,11|11,11,8,6,7,8",,GRAND_SLAM,WS,119,Qualification,NEMOTO Riyo (JPN),ZHOU Yihan (SGP),NEMOTO Riyo
World Tour Harmony China Open Suzhou 2013,2013-08-14,NEMOTO Riyo,HSU Hui-Tsun,4,0,"11,11,11,11|8,7,3,2",,GRAND_SLAM,WS,119,Qualification,NEMOTO Riyo (JPN),HSU Hui-Tsun (TPE),NEMOTO Riyo
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIGAKI Yuka,LEE Yearam,4,1,"11,24,11,11,11|5,22,4,13,2",,GRAND_SLAM,WS,119,Qualification,ISHIGAKI Yuka (JPN),LEE Yearam (KOR),ISHIGAKI Yuka
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIGAKI Yuka,HSIUNG Nai-I,4,0,"11,11,11,11|8,4,7,2",,GRAND_SLAM,WS,119,Qualification,ISHIGAKI Yuka (JPN),HSIUNG Nai-I (TPE),ISHIGAKI Yuka
World Tour Harmony China Open Suzhou 2013,2013-08-14,HSIUNG Nai-I,LEE Yearam,4,2,"11,4,11,11,11,13|5,11,6,9,13,11",,GRAND_SLAM,WS,119,Qualification,HSIUNG Nai-I (TPE),LEE Yearam (KOR),HSIUNG Nai-I
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song,ITO Midori,4,0,"12,11,11,11|10,1,7,6",,GRAND_SLAM,WS,119,Qualification,KIM Hye Song (PRK),ITO Midori (JPN),KIM Hye Song
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song,SOO Wai Yam,4,3,"2,11,9,11,9,11,11|11,8,11,6,11,6,3",,GRAND_SLAM,WS,119,Qualification,KIM Hye Song (PRK),SOO Wai Yam (HKG),KIM Hye Song
World Tour Harmony China Open Suzhou 2013,2013-08-14,SOO Wai Yam,ITO Midori,4,0,"14,11,11,11|12,9,6,8",,GRAND_SLAM,WS,119,Qualification,SOO Wai Yam (HKG),ITO Midori (JPN),SOO Wai Yam
World Tour Harmony China Open Suzhou 2013,2013-08-14,SONG Maeum,PAN Chun-Chu,4,0,"12,11,11,11|10,5,7,7",,GRAND_SLAM,WS,119,Qualification,SONG Maeum (KOR),PAN Chun-Chu (TPE),SONG Maeum
World Tour Harmony China Open Suzhou 2013,2013-08-14,SAKAI Haruka,SONG Maeum,4,1,"11,11,11,5,11|9,8,4,11,4",,GRAND_SLAM,WS,119,Qualification,SAKAI Haruka (JPN),SONG Maeum (KOR),SAKAI Haruka
World Tour Harmony China Open Suzhou 2013,2013-08-14,SAKAI Haruka,PAN Chun-Chu,4,1,"11,1,13,11,11|4,11,11,9,4",,GRAND_SLAM,WS,119,Qualification,SAKAI Haruka (JPN),PAN Chun-Chu (TPE),SAKAI Haruka
World Tour Harmony China Open Suzhou 2013,2013-08-14,PARK Seonghye,YEH Tung-Yi,4,1,"11,6,11,11,11|8,11,9,9,6",,GRAND_SLAM,WS,119,Qualification,PARK Seonghye (KOR),YEH Tung-Yi (TPE),PARK Seonghye
World Tour Harmony China Open Suzhou 2013,2013-08-14,PARK Seonghye,HASAMA Nozomi,4,3,"13,6,8,7,19,11,11|11,11,11,11,17,9,6",,GRAND_SLAM,WS,119,Qualification,PARK Seonghye (KOR),HASAMA Nozomi (JPN),PARK Seonghye
World Tour Harmony China Open Suzhou 2013,2013-08-14,HASAMA Nozomi,YEH Tung-Yi,4,3,"16,9,8,11,11,11,11|18,11,11,9,8,7,9",,GRAND_SLAM,WS,119,Qualification,HASAMA Nozomi (JPN),YEH Tung-Yi (TPE),HASAMA Nozomi
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIN Chia-Hui,CHO Hala,4,3,"18,14,9,6,15,9,11|16,12,11,11,13,11,7",,GRAND_SLAM,WS,119,Qualification,LIN Chia-Hui (TPE),CHO Hala (KOR),LIN Chia-Hui
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIN Chia-Hui,MATSUMOTO Yuki,4,0,"11,11,11,11|6,9,6,7",,GRAND_SLAM,WS,119,Qualification,LIN Chia-Hui (TPE),MATSUMOTO Yuki (JPN),LIN Chia-Hui
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHO Hala,MATSUMOTO Yuki,4,1,"6,13,11,11,11|11,11,9,5,3",,GRAND_SLAM,WS,119,Qualification,CHO Hala (KOR),MATSUMOTO Yuki (JPN),CHO Hala
World Tour Harmony China Open Suzhou 2013,2013-08-14,MAEDA Miyu,LEE Chun-Hui,4,0,"11,11,11,11|1,1,2,9",,GRAND_SLAM,WS,119,Qualification,MAEDA Miyu (JPN),LEE Chun-Hui (TPE),MAEDA Miyu
World Tour Harmony China Open Suzhou 2013,2013-08-14,SHAO Jieni,MAEDA Miyu,4,0,"11,11,11,11|8,8,9,6",,GRAND_SLAM,WS,119,Qualification,SHAO Jieni (POR),MAEDA Miyu (JPN),SHAO Jieni
World Tour Harmony China Open Suzhou 2013,2013-08-14,SHAO Jieni,LEE Chun-Hui,4,0,"11,11,11,11|2,6,3,7",,GRAND_SLAM,WS,119,Qualification,SHAO Jieni (POR),LEE Chun-Hui (TPE),SHAO Jieni
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,MATSUZAWA Marina,4,3,"9,8,11,7,11,12,11|11,11,8,11,6,10,7",,GRAND_SLAM,WS,119,Qualification,KIM Song I (PRK),MATSUZAWA Marina (JPN),KIM Song I
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUZAWA Marina,CHENG Hsien-Tzu,4,1,"7,11,11,12,11|11,6,7,10,7",,GRAND_SLAM,WS,119,Qualification,MATSUZAWA Marina (JPN),CHENG Hsien-Tzu (TPE),MATSUZAWA Marina
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,CHENG Hsien-Tzu,4,0,"11,11,11,11|8,8,4,1",,GRAND_SLAM,WS,119,Qualification,KIM Song I (PRK),CHENG Hsien-Tzu (TPE),KIM Song I
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,CHEN Hung-Ting,4,1,"11,11,11,11,11|5,3,6,13,7",,GRAND_SLAM,WS,119,Qualification,YOO Eunchong (KOR),CHEN Hung-Ting (TPE),YOO Eunchong
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,FUJII Yuko,4,1,"4,11,11,11,11|11,9,8,6,6",,GRAND_SLAM,WS,119,Qualification,YOO Eunchong (KOR),FUJII Yuko (JPN),YOO Eunchong
