tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Korea Open Incheon 2013,2013-04-03,MA Long,YU Jiaqing,4,0,"11,11,12,12|5,2,10,10",R64,GRAND_SLAM,MS,110,Main Draw,MA Long (CHN),YU Jiaqing (SGP),MA Long
World Tour Korea Open Incheon 2013,2013-04-03,LI Hu,JANG Woojin,4,3,"9,13,4,11,11,9,14|11,11,11,3,9,11,12",R64,GRAND_SLAM,MS,110,Main Draw,LI Hu (SGP),JANG Woojin (KOR),LI Hu
World Tour Korea Open Incheon 2013,2013-04-03,LIVENTSOV Alexey,CHIANG Hung-Chieh,4,1,"11,9,11,11,11|8,11,8,4,8",R64,GRAND_SLAM,MS,110,Main Draw,LIVENTSOV Alexey (RUS),CHIANG Hung-Chieh (TPE),LIVENTSOV Alexey
World Tour Korea Open Incheon 2013,2013-04-03,KISHIKAWA Seiya,KIM Donghyun,4,0,"11,11,11,11|9,5,6,7",R64,GRAND_SLAM,MS,110,Main Draw,KISHIKAWA Seiya (JPN),KIM Donghyun (KOR),KISHIKAWA Seiya
World Tour Korea Open Incheon 2013,2013-04-03,CHAN Kazuhiro,CHO Seungmin,4,1,"9,11,11,11,12|11,7,2,7,10",R64,GRAND_SLAM,MS,110,Main Draw,CHAN Kazuhiro (JPN),CHO Seungmin (KOR),CHAN Kazuhiro
World Tour Korea Open Incheon 2013,2013-04-03,KANG Dongsoo,MURAMATSU Yuto,4,3,"10,11,11,6,11,11,11|12,13,6,11,4,7,4",R64,GRAND_SLAM,MS,110,Main Draw,KANG Dongsoo (KOR),MURAMATSU Yuto (JPN),KANG Dongsoo
World Tour Korea Open Incheon 2013,2013-04-03,KANG Donghoon,MATSUDAIRA Kenji,4,2,"4,10,13,11,11,11|11,12,11,6,2,7",R64,GRAND_SLAM,MS,110,Main Draw,KANG Donghoon (KOR),MATSUDAIRA Kenji (JPN),KANG Donghoon
World Tour Korea Open Incheon 2013,2013-04-03,RYU Seungmin,KUZMIN Fedor,4,3,"6,2,11,11,11,14,11|11,11,9,6,8,16,5",R64,GRAND_SLAM,MS,110,Main Draw,RYU Seungmin (KOR),KUZMIN Fedor (RUS),RYU Seungmin
World Tour Korea Open Incheon 2013,2013-04-03,MA Lin,MA Liang,4,1,"8,11,12,15,11|11,6,10,13,3",R64,GRAND_SLAM,MS,110,Main Draw,MA Lin (CHN),MA Liang (SGP),MA Lin
World Tour Korea Open Incheon 2013,2013-04-03,KEINATH Thomas,YANG Zi,4,3,"11,8,12,3,8,11,12|5,11,10,11,11,9,10",R64,GRAND_SLAM,MS,110,Main Draw,KEINATH Thomas (SVK),YANG Zi (SGP),KEINATH Thomas
World Tour Korea Open Incheon 2013,2013-04-03,MORIZONO Masataka,SEO Hyundeok,4,2,"11,7,11,3,11,11|6,11,5,11,6,6",R64,GRAND_SLAM,MS,110,Main Draw,MORIZONO Masataka (JPN),SEO Hyundeok (KOR),MORIZONO Masataka
World Tour Korea Open Incheon 2013,2013-04-03,LEE Jungwoo,SAKAI Asuka,4,1,"8,11,11,11,11|11,5,7,6,5",R64,GRAND_SLAM,MS,110,Main Draw,LEE Jungwoo (KOR),SAKAI Asuka (JPN),LEE Jungwoo
World Tour Korea Open Incheon 2013,2013-04-03,MATTENET Adrien,MAK King Ho,4,1,"4,11,11,11,11|11,4,8,5,8",R64,GRAND_SLAM,MS,110,Main Draw,MATTENET Adrien (FRA),MAK King Ho (HKG),MATTENET Adrien
World Tour Korea Open Incheon 2013,2013-04-03,JEONG Sangeun,GAUZY Simon,4,3,"5,11,5,11,11,15,11|11,2,11,8,8,17,9",R64,GRAND_SLAM,MS,110,Main Draw,JEONG Sangeun (KOR),GAUZY Simon (FRA),JEONG Sangeun
World Tour Korea Open Incheon 2013,2013-04-03,JEOUNG Youngsik,HUNG Tzu-Hsiang,4,0,"11,11,13,11|7,5,11,8",R64,GRAND_SLAM,MS,110,Main Draw,JEOUNG Youngsik (KOR),HUNG Tzu-Hsiang (TPE),JEOUNG Youngsik
World Tour Korea Open Incheon 2013,2013-04-03,WANG Hao,LEE Seunghyeok,4,0,"11,11,11,11|3,5,3,4",R64,GRAND_SLAM,MS,110,Main Draw,WANG Hao (CHN),LEE Seunghyeok (KOR),WANG Hao
World Tour Korea Open Incheon 2013,2013-04-03,ZHANG Jike,SEO Junghwa,4,0,"11,11,11,14|8,8,5,12",R64,GRAND_SLAM,MS,110,Main Draw,ZHANG Jike (CHN),SEO Junghwa (KOR),ZHANG Jike
World Tour Korea Open Incheon 2013,2013-04-03,YOSHIMURA Maharu,VANG Bora,4,0,"11,16,11,11|8,14,8,5",R64,GRAND_SLAM,MS,110,Main Draw,YOSHIMURA Maharu (JPN),VANG Bora (TUR),YOSHIMURA Maharu
World Tour Korea Open Incheon 2013,2013-04-03,LEBESSON Emmanuel,CHOI Deokhwa,4,0,"11,11,11,11|8,9,5,6",R64,GRAND_SLAM,MS,110,Main Draw,LEBESSON Emmanuel (FRA),CHOI Deokhwa (KOR),LEBESSON Emmanuel
World Tour Korea Open Incheon 2013,2013-04-03,YAN An,KANG Minho,4,0,"11,11,12,11|5,5,10,5",R64,GRAND_SLAM,MS,110,Main Draw,YAN An (CHN),KANG Minho (KOR),YAN An
World Tour Korea Open Incheon 2013,2013-04-03,TAKAKIWA Taku,PARK Chan-Hyeok,4,1,"12,12,9,11,11|10,10,11,6,8",R64,GRAND_SLAM,MS,110,Main Draw,TAKAKIWA Taku (JPN),PARK Chan-Hyeok (KOR),TAKAKIWA Taku
World Tour Korea Open Incheon 2013,2013-04-03,CHO Eonrae,HIGASHI Yuto,4,3,"11,10,13,11,7,11,11|13,12,11,8,11,8,4",R64,GRAND_SLAM,MS,110,Main Draw,CHO Eonrae (KOR),HIGASHI Yuto (JPN),CHO Eonrae
World Tour Korea Open Incheon 2013,2013-04-03,KIM Kyungmin,SKACHKOV Kirill,4,2,"11,9,11,11,5,13|9,11,5,3,11,11",R64,GRAND_SLAM,MS,110,Main Draw,KIM Kyungmin (KOR),SKACHKOV Kirill (RUS),KIM Kyungmin
World Tour Korea Open Incheon 2013,2013-04-03,OYA Hidetoshi,OH Sangeun,4,3,"11,9,11,11,10,11,11|13,11,4,7,12,6,4",R64,GRAND_SLAM,MS,110,Main Draw,OYA Hidetoshi (JPN),OH Sangeun (KOR),OYA Hidetoshi
World Tour Korea Open Incheon 2013,2013-04-03,MIZUTANI Jun,BUROV Viacheslav,4,3,"9,8,8,11,11,11,11|11,11,11,8,4,7,4",R64,GRAND_SLAM,MS,110,Main Draw,MIZUTANI Jun (JPN),BUROV Viacheslav (RUS),MIZUTANI Jun
World Tour Korea Open Incheon 2013,2013-04-03,TANG Peng,KASAHARA Hiromitsu,4,1,"11,11,13,7,11|4,2,11,11,6",R64,GRAND_SLAM,MS,110,Main Draw,TANG Peng (HKG),KASAHARA Hiromitsu (JPN),TANG Peng
World Tour Korea Open Incheon 2013,2013-04-03,CHEN Feng,KIM Minhyeok,4,0,"15,11,11,11|13,8,5,8",R64,GRAND_SLAM,MS,110,Main Draw,CHEN Feng (SGP),KIM Minhyeok (KOR),CHEN Feng
World Tour Korea Open Incheon 2013,2013-04-03,ZHAN Jian,MENGE Gencay,4,1,"11,11,11,11,11|7,13,2,4,2",R64,GRAND_SLAM,MS,110,Main Draw,ZHAN Jian (SGP),MENGE Gencay (TUR),ZHAN Jian
World Tour Korea Open Incheon 2013,2013-04-03,NIWA Koki,PAIKOV Mikhail,4,2,"7,11,11,8,11,11|11,5,8,11,8,6",R64,GRAND_SLAM,MS,110,Main Draw,NIWA Koki (JPN),PAIKOV Mikhail (RUS),NIWA Koki
