tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Swedish Open Stockholm 2013,2013-11-27,XU Xin,TORNKVIST Andreas,4,2,"11,4,11,8,11,11|9,11,4,11,6,5",R64,GRAND_SLAM,MS,122,Main Draw,XU Xin (CHN),TORNKVIST Andreas (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,OUAICHE Stephane,KARLSSON Kristian,4,3,"11,11,9,9,9,11,11|5,5,11,11,11,9,8",R64,GRAND_SLAM,MS,122,Main Draw,OUAICHE Stephane (ALG),KARLSSON Kristian (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,GHOSH Soumyajit,HUANG Sheng-Sheng,4,0,"11,11,11,16|9,2,8,14",R64,GRAND_SLAM,MS,122,Main Draw,HUANG Sheng-Sheng (TPE),GHOSH Soumyajit (IND)
World Tour Swedish Open Stockholm 2013,2013-11-27,MATSUDAIRA Kenji,RONNEBERG Espen,4,0,"11,11,11,11|6,6,6,4",R64,GRAND_SLAM,MS,122,Main Draw,RONNEBERG Espen (NOR),MATSUDAIRA Kenji (JPN)
World Tour Swedish Open Stockholm 2013,2013-11-27,LEBESSON Emmanuel,SZOCS Hunor,4,2,"5,11,11,8,11,11|11,9,8,11,9,3",R64,GRAND_SLAM,MS,122,Main Draw,LEBESSON Emmanuel (FRA),SZOCS Hunor (ROU)
World Tour Swedish Open Stockholm 2013,2013-11-27,LEE Chia-Sheng,BOBOCICA Mihai,4,1,"11,8,11,11,11|7,11,8,9,9",R64,GRAND_SLAM,MS,122,Main Draw,LEE Chia-Sheng (TPE),BOBOCICA Mihai (ITA)
World Tour Swedish Open Stockholm 2013,2013-11-27,SIRUCEK Pavel,BRODD Viktor,4,3,"17,11,12,5,4,6,11|15,9,10,11,11,11,8",R64,GRAND_SLAM,MS,122,Main Draw,SIRUCEK Pavel (CZE),BRODD Viktor (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,TAKAKIWA Taku,ANDERSSON Harald,4,3,"9,9,5,11,11,11,13|11,11,11,7,8,7,11",R64,GRAND_SLAM,MS,122,Main Draw,ANDERSSON Harald (SWE),TAKAKIWA Taku (JPN)
World Tour Swedish Open Stockholm 2013,2013-11-27,ZHOU Yu,ARVIDSSON Simon,4,0,"11,11,12,11|4,9,10,6",R64,GRAND_SLAM,MS,122,Main Draw,ZHOU Yu (CHN),ARVIDSSON Simon (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,NORDBERG Hampus,SALIFOU Abdel-Kader,4,2,"11,11,5,11,8,11|5,8,11,3,11,9",R64,GRAND_SLAM,MS,122,Main Draw,NORDBERG Hampus (SWE),SALIFOU Abdel-Kader (BEN)
World Tour Swedish Open Stockholm 2013,2013-11-27,KOSOWSKI Jakub,ROBINOT Quentin,4,2,"7,11,11,11,11,11|11,6,9,13,9,6",R64,GRAND_SLAM,MS,122,Main Draw,ROBINOT Quentin (FRA),KOSOWSKI Jakub (POL)
World Tour Swedish Open Stockholm 2013,2013-11-27,LUNDQVIST Jens,IONESCU Ovidiu,4,2,"2,12,7,11,11,11|11,10,11,7,6,7",R64,GRAND_SLAM,MS,122,Main Draw,IONESCU Ovidiu (ROU),LUNDQVIST Jens (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,MONTEIRO Joao,OVERSJO Mattias,4,1,"11,11,3,11,11|8,8,11,6,6",R64,GRAND_SLAM,MS,122,Main Draw,MONTEIRO Joao (POR),OVERSJO Mattias (SWE)
World Tour Swedish Open Stockholm 2013,2013-11-27,TSUBOI Gustavo,DEVOS Robin,4,2,"11,9,8,11,11,11|7,11,11,8,5,7",R64,GRAND_SLAM,MS,122,Main Draw,DEVOS Robin (BEL),TSUBOI Gustavo (BRA)
World Tour Swedish Open Stockholm 2013,2013-11-27,BENTSEN Allan,CANTERO Jesus,4,3,"9,11,11,11,9,8,15|11,6,7,6,11,11,13",R64,GRAND_SLAM,MS,122,Main Draw,BENTSEN Allan (DEN),CANTERO Jesus (ESP)
World Tour Swedish Open Stockholm 2013,2013-11-27,FAN Zhendong,SODERLUND Hampus,4,2,"7,11,11,11,8,13|11,3,2,4,11,11",R64,GRAND_SLAM,MS,122,Main Draw,SODERLUND Hampus (SWE),FAN Zhendong (CHN)
World Tour Swedish Open Stockholm 2013,2013-11-27,CHEN Chien-An,OSHIMA Yuya,4,1,"11,11,4,11,11|9,5,11,6,7",R64,GRAND_SLAM,MS,122,Main Draw,CHEN Chien-An (TPE),OSHIMA Yuya (JPN)
World Tour Swedish Open Stockholm 2013,2013-11-27,PERSSON Jon,SAIVE Jean-Michel,4,3,"11,6,11,5,11,4,11|6,11,7,11,7,11,8",R64,GRAND_SLAM,MS,122,Main Draw,PERSSON Jon (SWE),SAIVE Jean-Michel (BEL)
World Tour Swedish Open Stockholm 2013,2013-11-27,VANG Bora,RUMGAY Gavin,4,0,"12,11,12,11|10,6,10,6",R64,GRAND_SLAM,MS,122,Main Draw,VANG Bora (TUR),RUMGAY Gavin (SCO)
World Tour Swedish Open Stockholm 2013,2013-11-27,GIONIS Panagiotis,HIRANO Yuki,4,1,"11,12,14,11,11|7,10,16,6,8",R64,GRAND_SLAM,MS,122,Main Draw,HIRANO Yuki (JPN),GIONIS Panagiotis (GRE)
World Tour Swedish Open Stockholm 2013,2013-11-27,KOJIC Frane,MACHADO Carlos,4,2,"12,7,12,11,7,11|10,11,10,8,11,8",R64,GRAND_SLAM,MS,122,Main Draw,MACHADO Carlos (ESP),KOJIC Frane (CRO)
World Tour Swedish Open Stockholm 2013,2013-11-27,LI Ahmet,LORENTZ Romain,4,3,"11,13,11,11,5,11,11|13,15,9,9,11,8,8",R64,GRAND_SLAM,MS,122,Main Draw,LORENTZ Romain (FRA),LI Ahmet (TUR)
World Tour Swedish Open Stockholm 2013,2013-11-27,HUNG Tzu-Hsiang,BUROV Viacheslav,4,0,"11,11,11,11|7,9,7,7",R64,GRAND_SLAM,MS,122,Main Draw,HUNG Tzu-Hsiang (TPE),BUROV Viacheslav (RUS)
World Tour Swedish Open Stockholm 2013,2013-11-27,STERNBERG Kasper,CHAN Kazuhiro,4,2,"8,8,11,11,11,11|11,11,8,9,8,7",R64,GRAND_SLAM,MS,122,Main Draw,STERNBERG Kasper (DEN),CHAN Kazuhiro (JPN)
World Tour Swedish Open Stockholm 2013,2013-11-27,LIU Yi,ANTHONY Amalraj,4,1,"11,8,11,11,11|9,11,6,4,9",R64,GRAND_SLAM,MS,122,Main Draw,LIU Yi (CHN),ANTHONY Amalraj (IND)
World Tour Swedish Open Stockholm 2013,2013-11-27,KORBEL Petr,KUZMIN Fedor,4,3,"11,10,11,14,9,9,11|9,12,8,12,11,11,9",R64,GRAND_SLAM,MS,122,Main Draw,KUZMIN Fedor (RUS),KORBEL Petr (CZE)
World Tour Swedish Open Stockholm 2013,2013-11-27,SHANG Kun,HACHARD Antoine,4,1,"7,12,11,11,11|11,10,4,7,5",R64,GRAND_SLAM,MS,122,Main Draw,SHANG Kun (CHN),HACHARD Antoine (FRA)
World Tour Swedish Open Stockholm 2013,2013-11-27,ASSAR Omar,DURAN Marc,4,0,"15,11,11,11|13,4,5,5",R64,GRAND_SLAM,MS,122,Main Draw,DURAN Marc (ESP),ASSAR Omar (EGY)
World Tour Swedish Open Stockholm 2013,2013-11-27,GERELL Par,KOU Lei,4,0,"11,11,11,11|3,3,9,8",R64,GRAND_SLAM,MS,122,Main Draw,GERELL Par (SWE),KOU Lei (UKR)
World Tour Swedish Open Stockholm 2013,2013-11-27,PETIOT Jeremy,CHIANG Hung-Chieh,4,3,"5,11,13,11,9,6,14|11,7,11,7,11,11,12",R64,GRAND_SLAM,MS,122,Main Draw,PETIOT Jeremy (FRA),CHIANG Hung-Chieh (TPE)
World Tour Swedish Open Stockholm 2013,2013-11-27,PROKOPCOV Dmitrij,BROSSIER Benjamin,4,0,"11,11,12,13|2,9,10,11",R64,GRAND_SLAM,MS,122,Main Draw,PROKOPCOV Dmitrij (CZE),BROSSIER Benjamin (FRA)
World Tour Swedish Open Stockholm 2013,2013-11-27,YAN An,STOYANOV Niagol,4,0,"11,11,11,11|8,5,5,9",R64,GRAND_SLAM,MS,122,Main Draw,STOYANOV Niagol (ITA),YAN An (CHN)
World Tour Swedish Open Stockholm 2013,2013-11-27,XU Xin,OUAICHE Stephane,4,0,"11,11,11,11|8,6,3,7",R32,GRAND_SLAM,MS,122,Main Draw,XU Xin (CHN),OUAICHE Stephane (ALG)
