tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
17th Asian Games Incheon 2014,2014-09-27,SAWETTABUT Suthasini,AL ABRI Noora,4,0,"11,11,11,11|2,4,6,6",R64,OTHER,WS,307,Main Draw,SAWETTABUT Suthasini (THA),AL ABRI Noora (QAT)
17th Asian Games Incheon 2014,2014-09-27,BATSAIKHAN Batkhishig,ANSARI Aisha,4,1,"11,9,11,11,11|5,11,5,9,7",R64,OTHER,WS,307,Main Draw,ANSARI Aisha (PAK),BATSAIKHAN Batkhishig (MGL)
17th Asian Games Incheon 2014,2014-09-27,MOHAMED Mueena,AHMAD Fajir,4,1,"11,11,8,11,12|4,6,11,8,10",R64,OTHER,WS,307,Main Draw,MOHAMED Mueena (MDV),AHMAD Fajir (KUW)
17th Asian Games Incheon 2014,2014-09-27,MA Chao In,RAUNIYAR Kajol,4,2,"12,11,9,7,11,11|10,7,11,11,6,2",R64,OTHER,WS,307,Main Draw,RAUNIYAR Kajol (NEP),MA Chao In (MAC)
17th Asian Games Incheon 2014,2014-09-27,DAS Ankita,ALSHAMMARI Menwah,4,0,"11,11,11,11|4,9,3,9",R64,OTHER,WS,307,Main Draw,DAS Ankita (IND),ALSHAMMARI Menwah (KUW)
17th Asian Games Incheon 2014,2014-09-27,MOHAMED Aia,KEJEBACHIAN Lara,4,3,"11,10,10,11,8,11,13|6,12,12,8,11,4,11",R64,OTHER,WS,307,Main Draw,KEJEBACHIAN Lara (LBN),MOHAMED Aia (QAT)
17th Asian Games Incheon 2014,2014-09-27,NIMAL Fathimath,SOUTHAMMAVONG Thiphakone,4,3,"8,11,6,11,11,10,11|11,8,11,9,6,12,5",R64,OTHER,WS,307,Main Draw,SOUTHAMMAVONG Thiphakone (LAO),NIMAL Fathimath (MDV)
17th Asian Games Incheon 2014,2014-09-27,BARKHAS Enkhjin,CHEONG Cheng I,4,3,"12,11,11,9,7,3,13|10,7,9,11,11,11,11",R64,OTHER,WS,307,Main Draw,BARKHAS Enkhjin (MGL),CHEONG Cheng I (MAC)
17th Asian Games Incheon 2014,2014-09-27,AL-BAHRANI Husain,AHMED Moosa,4,1,"11,6,11,13,11|6,11,9,11,3",R64,OTHER,MS,307,Main Draw,AL-BAHRANI Husain (KUW),AHMED Moosa (MDV)
17th Asian Games Incheon 2014,2014-09-27,TANVIRIYAVECHAKUL Padasak,RASHED Rashed,4,0,"11,11,11,12|6,6,9,10",R64,OTHER,MS,307,Main Draw,RASHED Rashed (BRN),TANVIRIYAVECHAKUL Padasak (THA)
