tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,SOHRABI Emad,KHAITOV Mukhammad,3,0,,,OTHER,MS,263,Qualification,SOHRABI Emad (IRI),KHAITOV Mukhammad (TJK),SOHRABI Emad
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HARB Ahmad,KHAITOV Mukhammad,3,1,,,OTHER,MS,263,Qualification,HARB Ahmad (LBN),KHAITOV Mukhammad (TJK),HARB Ahmad
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HARB Ahmad,SOHRABI Emad,3,2,,,OTHER,MS,263,Qualification,HARB Ahmad (LBN),SOHRABI Emad (IRI),HARB Ahmad
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HEIDARI Matin,BAATH Mohannad,3,1,,,OTHER,MS,263,Qualification,HEIDARI Matin (IRI),BAATH Mohannad (SYR),HEIDARI Matin
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,JAFAROV Ramil,BAATH Mohannad,3,0,,,OTHER,MS,263,Qualification,JAFAROV Ramil (AZE),BAATH Mohannad (SYR),JAFAROV Ramil
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HEIDARI Matin,JAFAROV Ramil,3,0,,,OTHER,MS,263,Qualification,JAFAROV Ramil (AZE),HEIDARI Matin (IRI),HEIDARI Matin
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,VASANTH Nitin,BOUJARIAN Mohammad,3,0,,,OTHER,MS,263,Qualification,VASANTH Nitin (IND),BOUJARIAN Mohammad (IRI),VASANTH Nitin
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,KIM Myeong Jun,NOR MOHAMMAD ZADEH Mostafa,3,0,,,OTHER,MS,263,Qualification,KIM Myeong Jun (KOR),NOR MOHAMMAD ZADEH Mostafa (IRI),KIM Myeong Jun
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,JANNATI Parsa,NOR MOHAMMAD ZADEH Mostafa,3,1,,,OTHER,MS,263,Qualification,JANNATI Parsa (IRI),NOR MOHAMMAD ZADEH Mostafa (IRI),JANNATI Parsa
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,KIM Myeong Jun,JANNATI Parsa,3,1,,,OTHER,MS,263,Qualification,JANNATI Parsa (IRI),KIM Myeong Jun (KOR),KIM Myeong Jun
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,LOTFIJANABADI Miad,BAKHTIYARI Mustafa,3,0,,,OTHER,MS,263,Qualification,LOTFIJANABADI Miad (IRI),BAKHTIYARI Mustafa (AFG),LOTFIJANABADI Miad
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,RAITER Erik,BAKHTIYARI Mustafa,3,0,,,OTHER,MS,263,Qualification,RAITER Erik (KAZ),BAKHTIYARI Mustafa (AFG),RAITER Erik
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,LOTFIJANABADI Miad,RAITER Erik,3,2,,,OTHER,MS,263,Qualification,RAITER Erik (KAZ),LOTFIJANABADI Miad (IRI),LOTFIJANABADI Miad
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,RIZBAND Mahmood,BAHJA Mohammad,3,0,,,OTHER,MS,263,Qualification,RIZBAND Mahmood (IRI),BAHJA Mohammad (LBN),RIZBAND Mahmood
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,SARSEMBAYEV Dias,BAHJA Mohammad,3,2,,,OTHER,MS,263,Qualification,SARSEMBAYEV Dias (KAZ),BAHJA Mohammad (LBN),SARSEMBAYEV Dias
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,RIZBAND Mahmood,SARSEMBAYEV Dias,3,0,,,OTHER,MS,263,Qualification,SARSEMBAYEV Dias (KAZ),RIZBAND Mahmood (IRI),RIZBAND Mahmood
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HENTE Mohammad Amin,NOROUZI Peyman,3,0,,,OTHER,MS,263,Qualification,HENTE Mohammad Amin (IRI),NOROUZI Peyman (IRI),HENTE Mohammad Amin
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,NOROUZI Peyman,HASANOV Hilal,3,1,,,OTHER,MS,263,Qualification,HASANOV Hilal (AZE),NOROUZI Peyman (IRI),NOROUZI Peyman
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,HENTE Mohammad Amin,HASANOV Hilal,3,0,,,OTHER,MS,263,Qualification,HASANOV Hilal (AZE),HENTE Mohammad Amin (IRI),HENTE Mohammad Amin
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,MALMIRI Vahed,JAWAD Mohmmad,3,0,,,OTHER,MS,263,Qualification,MALMIRI Vahed (IRI),JAWAD Mohmmad (AFG),MALMIRI Vahed
3rd Fajr Cup International Tournament Tehran 2014,2014-01-23,VNUKOV Artem,JAWAD Mohmmad,3,0,,,OTHER,MS,263,Qualification,VNUKOV Artem (RUS),JAWAD Mohmmad (AFG),VNUKOV Artem
