tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Cup Lagos 2014,2014-06-27,LASHIN Elsayed,NGWE NIKENG Emmanuel,3,0,"11,11,11|7,7,6",,OTHER,MS,332,Qualification,LASHIN Elsayed (EGY),NGWE NIKENG Emmanuel (CMR),LASHIN Elsayed
ITTF Africa Cup Lagos 2014,2014-06-27,AGBETOGLO Mawussi,LARTEY Felix,3,2,"11,11,7,16,11|5,8,11,18,4",,OTHER,MS,332,Qualification,AGBETOGLO Mawussi (TOG),LARTEY Felix (GHA),AGBETOGLO Mawussi
ITTF Africa Cup Lagos 2014,2014-06-27,LASHIN Elsayed,AGBETOGLO Mawussi,3,0,"11,11,11|8,3,6",,OTHER,MS,332,Qualification,LASHIN Elsayed (EGY),AGBETOGLO Mawussi (TOG),LASHIN Elsayed
ITTF Africa Cup Lagos 2014,2014-06-27,LARTEY Felix,NGWE NIKENG Emmanuel,3,2,"11,11,6,8,11|7,4,11,11,7",,OTHER,MS,332,Qualification,NGWE NIKENG Emmanuel (CMR),LARTEY Felix (GHA),LARTEY Felix
ITTF Africa Cup Lagos 2014,2014-06-27,LASHIN Elsayed,LARTEY Felix,3,0,"11,11,11|6,8,8",,OTHER,MS,332,Qualification,LASHIN Elsayed (EGY),LARTEY Felix (GHA),LASHIN Elsayed
ITTF Africa Cup Lagos 2014,2014-06-27,AGBETOGLO Mawussi,NGWE NIKENG Emmanuel,3,0,"11,11,11|2,6,6",,OTHER,MS,332,Qualification,AGBETOGLO Mawussi (TOG),NGWE NIKENG Emmanuel (CMR),AGBETOGLO Mawussi
ITTF Africa Cup Lagos 2014,2014-06-27,ASSAR Omar,KASSA Gedeon,3,0,"11,11,11|3,5,5",,OTHER,MS,332,Qualification,ASSAR Omar (EGY),KASSA Gedeon (COD),ASSAR Omar
ITTF Africa Cup Lagos 2014,2014-06-27,ABREFA Derek,JAGUE Alain Patrick,3,0,"11,11,11|2,3,7",,OTHER,MS,332,Qualification,JAGUE Alain Patrick (CMR),ABREFA Derek (GHA),ABREFA Derek
ITTF Africa Cup Lagos 2014,2014-06-27,ASSAR Omar,JAGUE Alain Patrick,3,0,"11,11,11|3,3,9",,OTHER,MS,332,Qualification,ASSAR Omar (EGY),JAGUE Alain Patrick (CMR),ASSAR Omar
ITTF Africa Cup Lagos 2014,2014-06-27,ABREFA Derek,KASSA Gedeon,3,2,"11,11,9,9,13|6,9,11,11,11",,OTHER,MS,332,Qualification,KASSA Gedeon (COD),ABREFA Derek (GHA),ABREFA Derek
