tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's World Cup Dusseldorf 2014,2014-10-24,APOLONIA Tiago,MATSUMOTO Cazuo,4,1,"11,14,11,11,11|7,16,9,9,8",,WORLD_CUP,MS,328,Qualification,APOLONIA Tiago (POR),MATSUMOTO Cazuo (BRA),APOLONIA Tiago
Men's World Cup Dusseldorf 2014,2014-10-24,APOLONIA Tiago,ACHANTA Sharath,4,0,"11,11,12,12|5,7,10,10",,WORLD_CUP,MS,328,Qualification,APOLONIA Tiago (POR),ACHANTA Sharath (IND),APOLONIA Tiago
Men's World Cup Dusseldorf 2014,2014-10-24,ACHANTA Sharath,MATSUMOTO Cazuo,4,1,"11,5,11,12,12|8,11,9,10,10",,WORLD_CUP,MS,328,Qualification,ACHANTA Sharath (IND),MATSUMOTO Cazuo (BRA),ACHANTA Sharath
Men's World Cup Dusseldorf 2014,2014-10-24,GIONIS Panagiotis,HENZELL William,4,0,"11,11,11,11|9,8,8,8",,WORLD_CUP,MS,328,Qualification,GIONIS Panagiotis (GRE),HENZELL William (AUS),GIONIS Panagiotis
Men's World Cup Dusseldorf 2014,2014-10-24,MATTENET Adrien,GIONIS Panagiotis,4,0,"11,11,11,11|5,5,8,7",,WORLD_CUP,MS,328,Qualification,GIONIS Panagiotis (GRE),MATTENET Adrien (FRA),MATTENET Adrien
Men's World Cup Dusseldorf 2014,2014-10-24,MATTENET Adrien,HENZELL William,4,3,"11,12,12,8,12,4,11|7,14,10,11,10,11,6",,WORLD_CUP,MS,328,Qualification,MATTENET Adrien (FRA),HENZELL William (AUS),MATTENET Adrien
Men's World Cup Dusseldorf 2014,2014-10-24,CHEN Chien-An,JHA Kanak,4,1,"11,11,11,11,11|13,6,5,2,6",,WORLD_CUP,MS,328,Qualification,CHEN Chien-An (TPE),JHA Kanak (USA),CHEN Chien-An
Men's World Cup Dusseldorf 2014,2014-10-24,CHEN Chien-An,CRISAN Adrian,4,3,"7,8,9,11,13,13,11|11,11,11,6,11,11,8",,WORLD_CUP,MS,328,Qualification,CHEN Chien-An (TPE),CRISAN Adrian (ROU),CHEN Chien-An
Men's World Cup Dusseldorf 2014,2014-10-24,CRISAN Adrian,JHA Kanak,4,0,"11,11,11,11|8,8,4,9",,WORLD_CUP,MS,328,Qualification,CRISAN Adrian (ROU),JHA Kanak (USA),CRISAN Adrian
Men's World Cup Dusseldorf 2014,2014-10-24,ARUNA Quadri,MATSUDAIRA Kenta,4,2,"11,7,11,5,11,13|3,11,6,11,2,11",,WORLD_CUP,MS,328,Qualification,MATSUDAIRA Kenta (JPN),ARUNA Quadri (NGR),ARUNA Quadri
Men's World Cup Dusseldorf 2014,2014-10-24,MATSUDAIRA Kenta,SHIBAEV Alexander,4,1,"5,14,11,13,11|11,12,8,11,8",,WORLD_CUP,MS,328,Qualification,MATSUDAIRA Kenta (JPN),SHIBAEV Alexander (RUS),MATSUDAIRA Kenta
Men's World Cup Dusseldorf 2014,2014-10-24,ARUNA Quadri,SHIBAEV Alexander,4,0,"11,11,11,11|6,7,4,8",,WORLD_CUP,MS,328,Qualification,SHIBAEV Alexander (RUS),ARUNA Quadri (NGR),ARUNA Quadri
Men's World Cup Dusseldorf 2014,2014-10-24,MA Long,MATSUDAIRA Kenta,4,0,"11,11,11,11|7,4,4,2",R16,WORLD_CUP,MS,328,Main Draw,MA Long (CHN),MATSUDAIRA Kenta (JPN),MA Long
Men's World Cup Dusseldorf 2014,2014-10-24,APOLONIA Tiago,FREITAS Marcos,4,0,"11,11,11,11|6,9,2,5",R16,WORLD_CUP,MS,328,Main Draw,APOLONIA Tiago (POR),FREITAS Marcos (POR),APOLONIA Tiago
Men's World Cup Dusseldorf 2014,2014-10-24,CHUANG Chih-Yuan,CHEN Chien-An,4,2,"11,11,2,9,11,12|8,3,11,11,8,10",R16,WORLD_CUP,MS,328,Main Draw,CHUANG Chih-Yuan (TPE),CHEN Chien-An (TPE),CHUANG Chih-Yuan
Men's World Cup Dusseldorf 2014,2014-10-24,MIZUTANI Jun,GIONIS Panagiotis,4,0,"11,12,13,11|2,10,11,3",R16,WORLD_CUP,MS,328,Main Draw,GIONIS Panagiotis (GRE),MIZUTANI Jun (JPN),MIZUTANI Jun
Men's World Cup Dusseldorf 2014,2014-10-24,OVTCHAROV Dimitrij,ACHANTA Sharath,4,3,"9,11,11,8,11,11,12|11,7,6,11,5,13,10",R16,WORLD_CUP,MS,328,Main Draw,OVTCHAROV Dimitrij (GER),ACHANTA Sharath (IND),OVTCHAROV Dimitrij
Men's World Cup Dusseldorf 2014,2014-10-24,BOLL Timo,MATTENET Adrien,4,1,"9,15,11,11,11|11,13,7,9,9",R16,WORLD_CUP,MS,328,Main Draw,MATTENET Adrien (FRA),BOLL Timo (GER),BOLL Timo
Men's World Cup Dusseldorf 2014,2014-10-24,ARUNA Quadri,TANG Peng,4,2,"7,11,12,11,9,11|11,9,10,8,11,3",R16,WORLD_CUP,MS,328,Main Draw,TANG Peng (HKG),ARUNA Quadri (NGR),ARUNA Quadri
Men's World Cup Dusseldorf 2014,2014-10-24,ZHANG Jike,CRISAN Adrian,4,0,"11,11,13,11|8,9,11,8",R16,WORLD_CUP,MS,328,Main Draw,CRISAN Adrian (ROU),ZHANG Jike (CHN),ZHANG Jike
Men's World Cup Dusseldorf 2014,2014-10-24,MA Long,APOLONIA Tiago,4,0,"12,11,11,11|10,8,6,1",QF,WORLD_CUP,MS,328,Main Draw,MA Long (CHN),APOLONIA Tiago (POR),MA Long
