tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,HUNG Ka Tak,MANOLE Alexandru,3,1,"11,7,11,11|4,11,6,4",,OTHER,JBS,345,Qualification,HUNG Ka Tak (HKG),MANOLE Alexandru (ROU)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,HUNG Ka Tak,YARASHENKA Vadim,3,2,"8,11,11,8,11|11,8,5,11,9",,OTHER,JBS,345,Qualification,HUNG Ka Tak (HKG),YARASHENKA Vadim (BLR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YARASHENKA Vadim,MANOLE Alexandru,3,2,"12,9,11,9,11|10,11,8,11,7",,OTHER,JBS,345,Qualification,YARASHENKA Vadim (BLR),MANOLE Alexandru (ROU)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,AHLANDER-J Carl,KHATCHANOV Martin,3,2,"13,6,11,9,11|11,11,7,11,4",,OTHER,JBS,345,Qualification,AHLANDER-J Carl (SWE),KHATCHANOV Martin (NED)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,LEVENKO Andreas,AHLANDER-J Carl,3,2,"11,4,11,5,11|5,11,4,11,3",,OTHER,JBS,345,Qualification,AHLANDER-J Carl (SWE),LEVENKO Andreas (AUT)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,LEVENKO Andreas,KHATCHANOV Martin,3,0,"11,14,11|9,12,4",,OTHER,JBS,345,Qualification,LEVENKO Andreas (AUT),KHATCHANOV Martin (NED)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,ISMAILOV Sadi,MARCATO Luca,3,0,"11,11,11|7,7,3",,OTHER,JBS,345,Qualification,ISMAILOV Sadi (RUS),MARCATO Luca (ITA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YIN Jing Yuan,KONGPHET Phinith,3,0,"11,11,12|8,7,10",,OTHER,JBS,345,Qualification,YIN Jing Yuan (SGP),KONGPHET Phinith (LAO)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,ISMAILOV Sadi,YIN Jing Yuan,3,0,"11,11,13|8,5,11",,OTHER,JBS,345,Qualification,ISMAILOV Sadi (RUS),YIN Jing Yuan (SGP)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,MARCATO Luca,KONGPHET Phinith,3,0,"11,11,11|6,9,4",,OTHER,JBS,345,Qualification,MARCATO Luca (ITA),KONGPHET Phinith (LAO)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,ISMAILOV Sadi,KONGPHET Phinith,3,0,"11,11,11|2,9,8",,OTHER,JBS,345,Qualification,ISMAILOV Sadi (RUS),KONGPHET Phinith (LAO)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YIN Jing Yuan,MARCATO Luca,3,0,"11,11,11|8,3,7",,OTHER,JBS,345,Qualification,YIN Jing Yuan (SGP),MARCATO Luca (ITA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TANVIRIYAVECHAKUL Padasak,PUTUNTICA Andrei,3,0,"11,11,13|9,4,11",,OTHER,JBS,345,Qualification,TANVIRIYAVECHAKUL Padasak (THA),PUTUNTICA Andrei (MDA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TANVIRIYAVECHAKUL Padasak,GERASSIMENKO Kirill,3,1,"11,5,11,11|8,11,5,7",,OTHER,JBS,345,Qualification,TANVIRIYAVECHAKUL Padasak (THA),GERASSIMENKO Kirill (KAZ)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,GERASSIMENKO Kirill,PUTUNTICA Andrei,3,1,"11,11,9,14|9,6,11,12",,OTHER,JBS,345,Qualification,GERASSIMENKO Kirill (KAZ),PUTUNTICA Andrei (MDA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TENTI Fermin,OZTURK Ozgun,3,2,"6,11,7,11,12|11,8,11,6,10",,OTHER,JBS,345,Qualification,TENTI Fermin (ARG),OZTURK Ozgun (TUR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,SIMON Mathan,ALLEGRO Martin,3,0,"11,11,11|2,7,4",,OTHER,JBS,345,Qualification,ALLEGRO Martin (BEL),SIMON Mathan (ISR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TENTI Fermin,ALLEGRO Martin,3,0,"11,12,14|6,10,12",,OTHER,JBS,345,Qualification,TENTI Fermin (ARG),ALLEGRO Martin (BEL)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,OZTURK Ozgun,SIMON Mathan,3,2,"11,11,7,10,11|8,7,11,12,6",,OTHER,JBS,345,Qualification,OZTURK Ozgun (TUR),SIMON Mathan (ISR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,SIMON Mathan,TENTI Fermin,3,0,"11,11,11|2,6,6",,OTHER,JBS,345,Qualification,TENTI Fermin (ARG),SIMON Mathan (ISR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,ALLEGRO Martin,OZTURK Ozgun,3,1,"8,11,13,11|11,2,11,4",,OTHER,JBS,345,Qualification,ALLEGRO Martin (BEL),OZTURK Ozgun (TUR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,LEE Zion,KARAHAN Ipek,3,1,"11,11,10,11|6,9,12,8",,OTHER,JGS,345,Qualification,LEE Zion (KOR),KARAHAN Ipek (TUR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,LEE Zion,PATSEYEVA Hanna,3,1,"9,11,11,11|11,6,7,7",,OTHER,JGS,345,Qualification,LEE Zion (KOR),PATSEYEVA Hanna (BLR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,PATSEYEVA Hanna,KARAHAN Ipek,3,0,"11,12,11|5,10,8",,OTHER,JGS,345,Qualification,PATSEYEVA Hanna (BLR),KARAHAN Ipek (TUR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,VERMAAS Kim,MOSCONI Veronica,3,1,"7,11,13,12|11,7,11,10",,OTHER,JGS,345,Qualification,VERMAAS Kim (NED),MOSCONI Veronica (ITA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,VERMAAS Kim,MISCHEK-COLUCCI Karoline,3,2,"11,8,11,10,11|7,11,6,12,4",,OTHER,JGS,345,Qualification,VERMAAS Kim (NED),MISCHEK-COLUCCI Karoline (AUT)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,MISCHEK-COLUCCI Karoline,MOSCONI Veronica,3,0,"11,11,11|8,5,9",,OTHER,JGS,345,Qualification,MISCHEK-COLUCCI Karoline (AUT),MOSCONI Veronica (ITA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,MARCHETTI Nathalie,TANG Angeline An Qi,3,2,"5,11,11,8,11|11,9,9,11,6",,OTHER,JGS,345,Qualification,MARCHETTI Nathalie (BEL),TANG Angeline An Qi (MAS)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,IMRE Leila,MARCHETTI Nathalie,3,2,"11,8,11,14,14|8,11,6,16,12",,OTHER,JGS,345,Qualification,MARCHETTI Nathalie (BEL),IMRE Leila (HUN)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,IMRE Leila,TANG Angeline An Qi,3,0,"11,11,11|9,6,9",,OTHER,JGS,345,Qualification,IMRE Leila (HUN),TANG Angeline An Qi (MAS)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,RYABOVA Yuliya,YEE Herng Hwee,3,1,"3,11,11,11|11,7,4,5",,OTHER,JGS,345,Qualification,YEE Herng Hwee (SGP),RYABOVA Yuliya (KAZ)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YEE Herng Hwee,NAKADA Leticia,3,1,"11,12,11,11|13,10,8,9",,OTHER,JGS,345,Qualification,YEE Herng Hwee (SGP),NAKADA Leticia (BRA)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,NAKADA Leticia,RYABOVA Yuliya,3,1,"6,11,11,11|11,8,6,8",,OTHER,JGS,345,Qualification,NAKADA Leticia (BRA),RYABOVA Yuliya (KAZ)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,GERASSIMENKO Kirill,TENTI Fermin,4,2,"11,8,5,11,11,11|7,11,11,9,8,4",R16,OTHER,JBS,345,Main Draw,GERASSIMENKO Kirill (KAZ),TENTI Fermin (ARG)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YIN Jing Yuan,YARASHENKA Vadim,4,1,"12,11,11,11,11|14,7,9,9,8",R16,OTHER,JBS,345,Main Draw,YARASHENKA Vadim (BLR),YIN Jing Yuan (SGP)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,AHLANDER-J Carl,HUNG Ka Tak,4,1,"11,11,4,11,11|9,7,11,7,8",QF,OTHER,JBS,345,Main Draw,HUNG Ka Tak (HKG),AHLANDER-J Carl (SWE)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,GERASSIMENKO Kirill,ISMAILOV Sadi,4,0,"11,11,11,11|8,9,5,8",QF,OTHER,JBS,345,Main Draw,GERASSIMENKO Kirill (KAZ),ISMAILOV Sadi (RUS)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TANVIRIYAVECHAKUL Padasak,SIMON Mathan,4,0,"11,11,11,12|8,8,6,10",QF,OTHER,JBS,345,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),SIMON Mathan (ISR)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,YIN Jing Yuan,LEVENKO Andreas,4,1,"17,13,11,12,11|19,11,6,10,5",QF,OTHER,JBS,345,Main Draw,YIN Jing Yuan (SGP),LEVENKO Andreas (AUT)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,GERASSIMENKO Kirill,AHLANDER-J Carl,4,1,"9,11,11,11,11|11,8,6,2,7",SF,OTHER,JBS,345,Main Draw,AHLANDER-J Carl (SWE),GERASSIMENKO Kirill (KAZ)
Road to Nanjing 2014 Europe Series Metz 2014,2014-03-03,TANVIRIYAVECHAKUL Padasak,YIN Jing Yuan,4,2,"10,11,11,10,15,11|12,7,9,12,13,6",SF,OTHER,JBS,345,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),YIN Jing Yuan (SGP)
