tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
South American Games Santiago 2014,2014-03-07,TSUBOI Gustavo,TORANZOS Alejandro,3,0,"11,11,11|7,8,5",,OTHER,MS,270,Qualification,TSUBOI Gustavo (BRA),TORANZOS Alejandro (PAR)
South American Games Santiago 2014,2014-03-07,TSUBOI Gustavo,RODRIGUEZ Diego,3,0,"11,11,11|6,7,8",,OTHER,MS,270,Qualification,TSUBOI Gustavo (BRA),RODRIGUEZ Diego (PER)
South American Games Santiago 2014,2014-03-07,RODRIGUEZ Diego,TORANZOS Alejandro,3,2,"5,7,12,11,11|11,11,10,6,3",,OTHER,MS,270,Qualification,RODRIGUEZ Diego (PER),TORANZOS Alejandro (PAR)
South American Games Santiago 2014,2014-03-07,MATSUMOTO Cazuo,ROSAS Marcos,3,0,"12,11,11|10,7,3",,OTHER,MS,270,Qualification,MATSUMOTO Cazuo (BRA),ROSAS Marcos (VEN)
South American Games Santiago 2014,2014-03-07,MATSUMOTO Cazuo,TAPIA Rodrigo,3,1,"11,10,11,11|6,12,2,2",,OTHER,MS,270,Qualification,MATSUMOTO Cazuo (BRA),TAPIA Rodrigo (ECU)
South American Games Santiago 2014,2014-03-07,ROSAS Marcos,TAPIA Rodrigo,3,1,"11,9,11,11|8,11,7,7",,OTHER,MS,270,Qualification,TAPIA Rodrigo (ECU),ROSAS Marcos (VEN)
South American Games Santiago 2014,2014-03-07,MONTEIRO Thiago,NAVARRO Pablo,3,0,"11,11,11|6,7,5",,OTHER,MS,270,Qualification,MONTEIRO Thiago (BRA),NAVARRO Pablo (VEN)
South American Games Santiago 2014,2014-03-07,MONTEIRO Thiago,LI Julio,3,0,"11,11,11|5,7,5",,OTHER,MS,270,Qualification,MONTEIRO Thiago (BRA),LI Julio (PER)
South American Games Santiago 2014,2014-03-07,LI Julio,NAVARRO Pablo,3,2,"8,11,10,11,11|11,7,12,7,6",,OTHER,MS,270,Qualification,LI Julio (PER),NAVARRO Pablo (VEN)
South American Games Santiago 2014,2014-03-07,LIU Song,KACOWICZ Santiago,3,0,"11,11,11|5,9,3",,OTHER,MS,270,Qualification,LIU Song (ARG),KACOWICZ Santiago (URU)
