tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Japan Open Yokohama 2014,2014-06-18,UEDA Jin,CHUANG Chih-Yuan,4,2,"10,11,12,11,9,11|12,3,10,9,11,8",R64,GRAND_SLAM,MS,136,Main Draw,CHUANG Chih-Yuan (TPE),UEDA Jin (JPN)
World Tour Japan Open Yokohama 2014,2014-06-18,OSHIMA Yuya,YANG Zi,4,0,"11,12,15,11|9,10,13,9",R64,GRAND_SLAM,MS,136,Main Draw,OSHIMA Yuya (JPN),YANG Zi (SGP)
World Tour Japan Open Yokohama 2014,2014-06-18,YU Ziyang,SALIFOU Abdel-Kader,4,1,"11,11,11,7,11|9,7,6,11,8",R64,GRAND_SLAM,MS,136,Main Draw,SALIFOU Abdel-Kader (BEN),YU Ziyang (CHN)
World Tour Japan Open Yokohama 2014,2014-06-18,JEOUNG Youngsik,HUNG Tzu-Hsiang,4,0,"11,11,11,11|8,5,7,3",R64,GRAND_SLAM,MS,136,Main Draw,HUNG Tzu-Hsiang (TPE),JEOUNG Youngsik (KOR)
World Tour Japan Open Yokohama 2014,2014-06-18,YANG Tzu-Yi,FRANZISKA Patrick,4,3,"11,4,9,11,11,6,13|9,11,11,8,7,11,11",R64,GRAND_SLAM,MS,136,Main Draw,FRANZISKA Patrick (GER),YANG Tzu-Yi (TPE)
World Tour Japan Open Yokohama 2014,2014-06-18,CHEN Feng,YOSHIDA Masaki,4,2,"8,11,11,11,11,11|11,6,13,8,5,9",R64,GRAND_SLAM,MS,136,Main Draw,YOSHIDA Masaki (JPN),CHEN Feng (SGP)
World Tour Japan Open Yokohama 2014,2014-06-18,CHIANG Hung-Chieh,LORENTZ Romain,4,0,"11,11,11,11|8,7,5,4",R64,GRAND_SLAM,MS,136,Main Draw,CHIANG Hung-Chieh (TPE),LORENTZ Romain (FRA)
World Tour Japan Open Yokohama 2014,2014-06-18,HACHARD Antoine,SHIONO Masato,4,3,"9,11,11,11,4,6,11|11,7,6,4,11,11,9",R64,GRAND_SLAM,MS,136,Main Draw,HACHARD Antoine (FRA),SHIONO Masato (JPN)
World Tour Japan Open Yokohama 2014,2014-06-18,TANG Peng,WEN Wei-Chieh,4,0,"11,11,11,11|2,3,1,5",R64,GRAND_SLAM,MS,136,Main Draw,TANG Peng (HKG),WEN Wei-Chieh (TPE)
World Tour Japan Open Yokohama 2014,2014-06-18,GHOSH Soumyajit,LIVENTSOV Alexey,4,3,"16,9,12,14,8,11,11|14,11,14,12,11,8,3",R64,GRAND_SLAM,MS,136,Main Draw,GHOSH Soumyajit (IND),LIVENTSOV Alexey (RUS)
World Tour Japan Open Yokohama 2014,2014-06-18,KARLSSON Kristian,LYU Xiang,4,3,"11,11,8,7,11,7,11|8,5,11,11,7,11,9",R64,GRAND_SLAM,MS,136,Main Draw,KARLSSON Kristian (SWE),LYU Xiang (CHN)
World Tour Japan Open Yokohama 2014,2014-06-18,WONG Chun Ting,KUZMIN Fedor,4,0,"12,11,11,11|10,9,7,8",R64,GRAND_SLAM,MS,136,Main Draw,KUZMIN Fedor (RUS),WONG Chun Ting (HKG)
World Tour Japan Open Yokohama 2014,2014-06-18,MATTENET Adrien,MADRID Marcos,4,2,"11,12,12,6,11,13|7,14,10,11,9,11",R64,GRAND_SLAM,MS,136,Main Draw,MATTENET Adrien (FRA),MADRID Marcos (MEX)
World Tour Japan Open Yokohama 2014,2014-06-18,ZHOU Kai,LEBESSON Emmanuel,4,1,"11,14,11,15,11|6,16,5,13,4",R64,GRAND_SLAM,MS,136,Main Draw,ZHOU Kai (CHN),LEBESSON Emmanuel (FRA)
