tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Russian Open Ekaterinburg 2014,2014-11-05,OVTCHAROV Dimitrij,ARTEMKIN Aleksei,4,0,"11,11,11,11|5,5,7,3",R64,GRAND_SLAM,MS,143,Main Draw,OVTCHAROV Dimitrij (GER),ARTEMKIN Aleksei (RUS),OVTCHAROV Dimitrij
World Tour Russian Open Ekaterinburg 2014,2014-11-05,GAUZY Simon,OGATA Ryotaro,4,1,"11,6,11,11,11|9,11,6,7,6",R64,GRAND_SLAM,MS,143,Main Draw,OGATA Ryotaro (JPN),GAUZY Simon (FRA),GAUZY Simon
World Tour Russian Open Ekaterinburg 2014,2014-11-05,VLASOV Grigory,OIKAWA Mizuki,4,2,"11,11,9,11,7,12|6,6,11,9,11,10",R64,GRAND_SLAM,MS,143,Main Draw,VLASOV Grigory (RUS),OIKAWA Mizuki (JPN),VLASOV Grigory
World Tour Russian Open Ekaterinburg 2014,2014-11-05,SKACHKOV Kirill,TSUBOI Yuma,4,2,"11,11,9,11,10,11|4,6,11,8,12,8",R64,GRAND_SLAM,MS,143,Main Draw,TSUBOI Yuma (JPN),SKACHKOV Kirill (RUS),SKACHKOV Kirill
World Tour Russian Open Ekaterinburg 2014,2014-11-05,MORIZONO Masataka,BAIBULDIN Andrei,4,0,"11,11,11,11|6,8,9,3",R64,GRAND_SLAM,MS,143,Main Draw,MORIZONO Masataka (JPN),BAIBULDIN Andrei (RUS),MORIZONO Masataka
World Tour Russian Open Ekaterinburg 2014,2014-11-05,YOSHIDA Masaki,GNANASEKARAN Sathiyan,4,1,"11,11,11,11,11|7,5,13,7,8",R64,GRAND_SLAM,MS,143,Main Draw,GNANASEKARAN Sathiyan (IND),YOSHIDA Masaki (JPN),YOSHIDA Masaki
World Tour Russian Open Ekaterinburg 2014,2014-11-05,SALIFOU Abdel-Kader,LI Ahmet,4,1,"14,9,11,11,11|12,11,4,6,6",R64,GRAND_SLAM,MS,143,Main Draw,LI Ahmet (TUR),SALIFOU Abdel-Kader (BEN),SALIFOU Abdel-Kader
World Tour Russian Open Ekaterinburg 2014,2014-11-05,MATSUDAIRA Kenta,ASSAR Khalid,4,3,"9,11,11,11,9,11,11|11,7,7,13,11,5,7",R64,GRAND_SLAM,MS,143,Main Draw,ASSAR Khalid (EGY),MATSUDAIRA Kenta (JPN),MATSUDAIRA Kenta
World Tour Russian Open Ekaterinburg 2014,2014-11-05,CHO Eonrae,MAKAROV Alexander,4,0,"11,11,11,11|8,6,5,6",R64,GRAND_SLAM,MS,143,Main Draw,CHO Eonrae (KOR),MAKAROV Alexander (RUS),CHO Eonrae
World Tour Russian Open Ekaterinburg 2014,2014-11-05,LEBESSON Emmanuel,SAKAI Asuka,4,0,"11,11,11,11|7,3,9,9",R64,GRAND_SLAM,MS,143,Main Draw,SAKAI Asuka (JPN),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
World Tour Russian Open Ekaterinburg 2014,2014-11-05,DRINKHALL Paul,BUROV Viacheslav,4,0,"12,11,12,11|10,5,10,8",R64,GRAND_SLAM,MS,143,Main Draw,DRINKHALL Paul (ENG),BUROV Viacheslav (RUS),DRINKHALL Paul
World Tour Russian Open Ekaterinburg 2014,2014-11-05,TAZOE Kenta,SHIBAEV Alexander,4,2,"11,11,11,11,5,11|3,5,13,7,11,7",R64,GRAND_SLAM,MS,143,Main Draw,TAZOE Kenta (JPN),SHIBAEV Alexander (RUS),TAZOE Kenta
