tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
YOG Africa Continental Qualification Cairo 2014,2014-04-12,BEN YAHIA Kerem,OGINI Olasunkanmi,4,0,"11,11,11,11|5,4,8,3",SF,OTHER,JBS,340,Main Draw,OGINI Olasunkanmi (NGR),BEN YAHIA Kerem (TUN)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,GHALLAB Aly,BIENATIKI Christ,4,0,"11,11,11,11|9,7,4,2",SF,OTHER,JBS,340,Main Draw,BIENATIKI Christ (CGO),GHALLAB Aly (EGY)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,BIENATIKI Christ,OGINI Olasunkanmi,4,1,"11,11,5,11,12|5,5,11,6,10",F,OTHER,JBS,340,Main Draw,OGINI Olasunkanmi (NGR),BIENATIKI Christ (CGO)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,MATHOLE Terrence,ANTONIO Alessio,4,1,"11,11,11,13,13|7,8,8,15,11",4,OTHER,JBS,340,Consolation,ANTONIO Alessio (ANG),MATHOLE Terrence (RSA)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,MATHOLE Terrence,DOUIFI Yaniss,4,1,"9,17,12,12,11|11,15,10,10,8",2,OTHER,JBS,340,Consolation,DOUIFI Yaniss (ALG),MATHOLE Terrence (RSA)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,ALI Kanate,ANTONIO Alessio,4,2,"8,11,8,11,11,11|11,4,11,7,6,6",2,OTHER,JBS,340,Consolation,ALI Kanate (CIV),ANTONIO Alessio (ANG)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,SAAD Alaa,BEN CHEIKH Mariem,4,0,"11,11,11,11|5,7,6,4",SF,OTHER,JGS,340,Main Draw,SAAD Alaa (EGY),BEN CHEIKH Mariem (TUN)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,LAGSIR Sannah,OJOMU Ajoke,4,1,"6,11,11,11,11|11,5,4,7,8",SF,OTHER,JGS,340,Main Draw,LAGSIR Sannah (MON),OJOMU Ajoke (NGR)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,OJOMU Ajoke,BEN CHEIKH Mariem,4,2,"11,17,9,11,7,11|6,15,11,6,11,8",F,OTHER,JGS,340,Main Draw,BEN CHEIKH Mariem (TUN),OJOMU Ajoke (NGR)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,ALBINO Isabel,BOKOCKOU-LOBOLO Carene,4,0,"11,11,11,11|6,9,6,5",4,OTHER,JGS,340,Consolation,ALBINO Isabel (ANG),BOKOCKOU-LOBOLO Carene (CGO)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,ALBINO Isabel,SASMAN Jade,4,1,"11,11,11,7,11|8,8,6,11,8",2,OTHER,JGS,340,Consolation,ALBINO Isabel (ANG),SASMAN Jade (RSA)
YOG Africa Continental Qualification Cairo 2014,2014-04-12,MOUSSA Adnan,THEBE Peo,4,0,"11,11,11,11|9,5,8,8",2,OTHER,JBS,340,Consolation,THEBE Peo (BOT),MOUSSA Adnan (DJI)
