tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,KIM Regina,TANG Angeline An Qi,3,1,"8,11,11,16|11,7,7,14",,OTHER,JGS,341,Qualification,TANG Angeline An Qi (MAS),KIM Regina (UZB)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,MUKHERJEE Sutirtha,KIM Regina,3,0,"11,11,11|4,3,6",,OTHER,JGS,341,Qualification,MUKHERJEE Sutirtha (IND),KIM Regina (UZB)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,MUKHERJEE Sutirtha,TANG Angeline An Qi,3,1,"12,12,11,11|10,14,8,6",,OTHER,JGS,341,Qualification,MUKHERJEE Sutirtha (IND),TANG Angeline An Qi (MAS)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YEE Herng Hwee,SY Jamaica Dianne,3,0,"11,11,11|1,4,4",,OTHER,JGS,341,Qualification,YEE Herng Hwee (SGP),SY Jamaica Dianne (PHI)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,RYABOVA Yuliya,HOMSY Patricia,3,0,"11,11,11|8,7,5",,OTHER,JGS,341,Qualification,RYABOVA Yuliya (KAZ),HOMSY Patricia (LBN)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YEE Herng Hwee,HOMSY Patricia,3,0,"11,11,11|1,4,4",,OTHER,JGS,341,Qualification,YEE Herng Hwee (SGP),HOMSY Patricia (LBN)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,RYABOVA Yuliya,SY Jamaica Dianne,3,1,"8,11,11,11|11,6,4,9",,OTHER,JGS,341,Qualification,RYABOVA Yuliya (KAZ),SY Jamaica Dianne (PHI)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YEE Herng Hwee,RYABOVA Yuliya,3,1,"6,11,11,11|11,9,3,5",,OTHER,JGS,341,Qualification,YEE Herng Hwee (SGP),RYABOVA Yuliya (KAZ)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,SY Jamaica Dianne,HOMSY Patricia,3,2,"11,8,11,10,11|3,11,1,12,7",,OTHER,JGS,341,Qualification,HOMSY Patricia (LBN),SY Jamaica Dianne (PHI)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,MUKHERJEE Sutirtha,HOMSY Patricia,4,0,"11,11,11,11|5,6,4,7",QF,OTHER,WS,341,Main Draw,MUKHERJEE Sutirtha (IND),HOMSY Patricia (LBN)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,TANG Angeline An Qi,RYABOVA Yuliya,4,0,"11,11,11,11|6,8,9,9",QF,OTHER,WS,341,Main Draw,TANG Angeline An Qi (MAS),RYABOVA Yuliya (KAZ)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,KIM Regina,SY Jamaica Dianne,4,1,"11,11,11,7,11|7,5,9,11,4",QF,OTHER,WS,341,Main Draw,KIM Regina (UZB),SY Jamaica Dianne (PHI)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YEE Herng Hwee,KIM Regina,4,0,"11,11,11,12|3,5,5,10",SF,OTHER,WS,341,Main Draw,KIM Regina (UZB),YEE Herng Hwee (SGP)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,HAMIE Mohamad,JACOLO Ryan Rodney,4,1,"11,11,11,5,12|6,7,7,11,10",R16,OTHER,MS,341,Main Draw,JACOLO Ryan Rodney (PHI),HAMIE Mohamad (LBN)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,BASHT BAVI Hamed,SOEUNG Tola,4,0,"11,11,12,11|6,6,10,9",R16,OTHER,MS,341,Main Draw,BASHT BAVI Hamed (IRI),SOEUNG Tola (CAM)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,LEVCHENKO Gennadiy,KONGPHET Phinith,4,2,"11,8,11,7,11,11|9,11,7,11,4,9",R16,OTHER,MS,341,Main Draw,LEVCHENKO Gennadiy (UZB),KONGPHET Phinith (LAO)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,HUNG Ka Tak,HAMIE Mohamad,4,0,"11,11,11,11|6,5,4,4",QF,OTHER,MS,341,Main Draw,HUNG Ka Tak (HKG),HAMIE Mohamad (LBN)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,AL-NAGGAR Abdulrahman,BASHT BAVI Hamed,4,2,"12,4,7,11,11,12|10,11,11,8,7,10",QF,OTHER,MS,341,Main Draw,BASHT BAVI Hamed (IRI),AL-NAGGAR Abdulrahman (QAT)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YADAV Abhishek,LEONG Chee Feng,4,1,"11,11,4,11,11|3,5,11,3,9",QF,OTHER,MS,341,Main Draw,LEONG Chee Feng (MAS),YADAV Abhishek (IND)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YIN Jing Yuan,LEVCHENKO Gennadiy,4,0,"11,11,11,11|4,3,6,9",QF,OTHER,MS,341,Main Draw,LEVCHENKO Gennadiy (UZB),YIN Jing Yuan (SGP)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,HUNG Ka Tak,AL-NAGGAR Abdulrahman,4,0,"11,11,11,11|3,9,7,9",SF,OTHER,MS,341,Main Draw,HUNG Ka Tak (HKG),AL-NAGGAR Abdulrahman (QAT)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,YADAV Abhishek,YIN Jing Yuan,4,3,"11,11,10,11,7,7,11|5,8,12,9,11,11,6",SF,OTHER,MS,341,Main Draw,YADAV Abhishek (IND),YIN Jing Yuan (SGP)
YOG Asia Continental Qualification Bangkok 2014,2014-04-05,LEVCHENKO Gennadiy,JACOLO Ryan Rodney,4,3,"9,14,11,6,5,11,11|11,12,4,11,11,6,7",SF,OTHER,MS,341,Main Draw,JACOLO Ryan Rodney (PHI),LEVCHENKO Gennadiy (UZB)
