tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
15th Pacific Games Moresby 2015,2015-07-03,GAUTHIER Cathy,YEE Grace Rosi,4,0,"11,11,11,11|1,8,6,5",R16,OTHER,WS,234,Main Draw,GAUTHIER Cathy (NCL),YEE Grace Rosi (FIJ),GAUTHIER Cathy
15th Pacific Games Moresby 2015,2015-07-03,HSIAO Rachel,LOHIA Geru Elizabeth,4,0,"11,11,11,11|4,6,4,1",R16,OTHER,WS,234,Main Draw,LOHIA Geru Elizabeth (PNG),HSIAO Rachel (PYF),HSIAO Rachel
15th Pacific Games Moresby 2015,2015-07-03,YEE Sally,DANGER Solenn,4,3,"11,12,12,10,5|8,10,10,12,11",R16,OTHER,WS,234,Main Draw,YEE Sally (FIJ),DANGER Solenn (NCL),YEE Sally
15th Pacific Games Moresby 2015,2015-07-03,LULU Anolyn,FAEHAU Fabiana,4,2,"11,11,9,11,14|7,13,11,7,12",R16,OTHER,WS,234,Main Draw,FAEHAU Fabiana (NCL),LULU Anolyn (VAN),LULU Anolyn
15th Pacific Games Moresby 2015,2015-07-03,BOUTEILLE Ornella,ULACALA Alisi,4,0,"11,11,11,11|8,3,2,5",R16,OTHER,WS,234,Main Draw,BOUTEILLE Ornella (NCL),ULACALA Alisi (FIJ),BOUTEILLE Ornella
15th Pacific Games Moresby 2015,2015-07-03,LE CAILL Tearo,ABEL Rosanna,4,1,"8,11,11,11,11|11,6,9,7,8",R16,OTHER,WS,234,Main Draw,ABEL Rosanna (VAN),LE CAILL Tearo (PYF),LE CAILL Tearo
15th Pacific Games Moresby 2015,2015-07-03,QWEA Stephanie,SAM Cyrine,4,2,"9,11,7,11,11|11,8,11,9,4",R16,OTHER,WS,234,Main Draw,QWEA Stephanie (VAN),SAM Cyrine (PYF),QWEA Stephanie
15th Pacific Games Moresby 2015,2015-07-03,RICHMOND Melveen,SANTINO Vanina,4,1,"11,11,11,8,11|3,5,3,11,4",R16,OTHER,WS,234,Main Draw,SANTINO Vanina (NCL),RICHMOND Melveen (PYF),RICHMOND Melveen
15th Pacific Games Moresby 2015,2015-07-03,GAUTHIER Cathy,HSIAO Rachel,4,3,"8,11,3,11,11|11,2,11,6,4",QF,OTHER,WS,234,Main Draw,GAUTHIER Cathy (NCL),HSIAO Rachel (PYF),GAUTHIER Cathy
15th Pacific Games Moresby 2015,2015-07-03,LULU Anolyn,YEE Sally,4,1,"11,11,11,10,11|7,9,6,12,6",QF,OTHER,WS,234,Main Draw,YEE Sally (FIJ),LULU Anolyn (VAN),LULU Anolyn
15th Pacific Games Moresby 2015,2015-07-03,LE CAILL Tearo,BOUTEILLE Ornella,4,1,"11,14,5,20,11|6,12,11,18,7",QF,OTHER,WS,234,Main Draw,BOUTEILLE Ornella (NCL),LE CAILL Tearo (PYF),LE CAILL Tearo
15th Pacific Games Moresby 2015,2015-07-03,RICHMOND Melveen,QWEA Stephanie,4,1,"11,11,4,11,11|4,6,11,9,6",QF,OTHER,WS,234,Main Draw,QWEA Stephanie (VAN),RICHMOND Melveen (PYF),RICHMOND Melveen
15th Pacific Games Moresby 2015,2015-07-03,GAUTHIER Cathy,LULU Anolyn,4,2,"11,11,7,5,11|9,5,11,11,6",SF,OTHER,WS,234,Main Draw,GAUTHIER Cathy (NCL),LULU Anolyn (VAN),GAUTHIER Cathy
15th Pacific Games Moresby 2015,2015-07-03,RICHMOND Melveen,LE CAILL Tearo,4,0,"11,11,11,11|7,4,4,3",SF,OTHER,WS,234,Main Draw,LE CAILL Tearo (PYF),RICHMOND Melveen (PYF),RICHMOND Melveen
15th Pacific Games Moresby 2015,2015-07-03,RICHMOND Melveen,GAUTHIER Cathy,4,2,"5,12,7,12,11|11,10,11,10,9",F,OTHER,WS,234,Main Draw,GAUTHIER Cathy (NCL),RICHMOND Melveen (PYF),RICHMOND Melveen
15th Pacific Games Moresby 2015,2015-07-03,JODI David,LAM Alan,4,3,"9,11,11,8,11|11,9,7,11,6",R32,OTHER,MS,234,Main Draw,LAM Alan (VAN),JODI David (PNG),JODI David
15th Pacific Games Moresby 2015,2015-07-03,LOI David,TABURIMAI Teingia,4,2,"9,11,11,11,5|11,5,9,8,11",R32,OTHER,MS,234,Main Draw,LOI David (PNG),TABURIMAI Teingia (KIR),LOI David
15th Pacific Games Moresby 2015,2015-07-03,SHING Yoshua,FAURE Frederic,4,1,"11,6,11,11,14|3,11,9,7,12",R16,OTHER,MS,234,Main Draw,SHING Yoshua (VAN),FAURE Frederic (NCL),SHING Yoshua
15th Pacific Games Moresby 2015,2015-07-03,DOSSIER Gregoire,LOI Geoffrey,4,2,"11,3,11,11,5|7,11,4,9,11",R16,OTHER,MS,234,Main Draw,LOI Geoffrey (PNG),DOSSIER Gregoire (PYF),DOSSIER Gregoire
15th Pacific Games Moresby 2015,2015-07-03,GILABERT Stephane,WANG Qi,4,1,"11,11,8,11,11|4,8,11,5,1",R16,OTHER,MS,234,Main Draw,GILABERT Stephane (NCL),WANG Qi (FIJ),GILABERT Stephane
15th Pacific Games Moresby 2015,2015-07-03,BELROSE Ocean,JODI David,4,0,"11,11,11,11|9,7,6,8",R16,OTHER,MS,234,Main Draw,JODI David (PNG),BELROSE Ocean (PYF),BELROSE Ocean
15th Pacific Games Moresby 2015,2015-07-03,BELROSE Alize,LOI David,4,0,"11,11,11,12|6,6,2,10",R16,OTHER,MS,234,Main Draw,BELROSE Alize (PYF),LOI David (PNG),BELROSE Alize
15th Pacific Games Moresby 2015,2015-07-03,DEY Jeremy,LULU Ham,4,3,"11,11,11,7,7|3,3,8,11,11",R16,OTHER,MS,234,Main Draw,LULU Ham (VAN),DEY Jeremy (NCL),DEY Jeremy
15th Pacific Games Moresby 2015,2015-07-03,KLOUMAN Tinihau,PARK Young Jun,4,1,"8,11,11,11,11|11,9,6,8,5",R16,OTHER,MS,234,Main Draw,KLOUMAN Tinihau (PYF),PARK Young Jun (FIJ),KLOUMAN Tinihau
15th Pacific Games Moresby 2015,2015-07-03,SENS Laurent,GENDRON Hugo,4,0,"11,11,11,11|4,6,3,8",R16,OTHER,MS,234,Main Draw,GENDRON Hugo (PYF),SENS Laurent (NCL),SENS Laurent
