tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Central American Championships Guatemala City 2015,2015-11-25,VILLA Ricardo,MONTUFAR Kevin,3,0,"11,11,11|7,8,9",,OTHER,MS,150,Qualification,VILLA Ricardo (MEX),MONTUFAR Kevin (GUA)
Central American Championships Guatemala City 2015,2015-11-25,ARCE Damian,MOSCOSO Heber,3,0,"11,11,11|4,5,6",,OTHER,MS,150,Qualification,MOSCOSO Heber (GUA),ARCE Damian (MEX)
Central American Championships Guatemala City 2015,2015-11-25,MORENO Luis,MUNOZ Guillermo,3,1,"7,12,11,11|11,10,8,7",,OTHER,MS,150,Qualification,MUNOZ Guillermo (HON),MORENO Luis (NCA)
Central American Championships Guatemala City 2015,2015-11-25,GATICA Hector,CALDERON Julio,3,2,"9,14,7,11,11|11,12,11,3,9",,OTHER,MS,150,Qualification,GATICA Hector (GUA),CALDERON Julio (ESA)
Central American Championships Guatemala City 2015,2015-11-25,GUERRA Jose,DIAZ Denis,3,0,"11,11,11|5,6,7",,OTHER,MS,150,Qualification,GUERRA Jose (PAN),DIAZ Denis (HON)
Central American Championships Guatemala City 2015,2015-11-25,AVI-TAL Omer,VALERIANO Oscar,3,0,"11,11,11|6,3,6",,OTHER,MS,150,Qualification,AVI-TAL Omer (PAN),VALERIANO Oscar (HON)
Central American Championships Guatemala City 2015,2015-11-25,SEQUEIRA Roger,SANCHEZ Noe,3,0,"11,11,11|7,3,5",,OTHER,MS,150,Qualification,SEQUEIRA Roger (NCA),SANCHEZ Noe (GUA)
Central American Championships Guatemala City 2015,2015-11-25,CORDERO Camilo,CASTELLON Denilson,3,1,"13,12,11,11|11,14,3,8",,OTHER,MS,150,Qualification,CORDERO Camilo (GUA),CASTELLON Denilson (NCA)
Central American Championships Guatemala City 2015,2015-11-25,DONADO Josue,VALLARINO Carlos Alberto,3,1,"6,11,11,11|11,5,4,5",,OTHER,MS,150,Qualification,DONADO Josue (ESA),VALLARINO Carlos Alberto (PAN)
Central American Championships Guatemala City 2015,2015-11-25,QUINTANILLA Marcelo,MIRANDA Raul,3,0,"11,11,11|8,8,6",,OTHER,MS,150,Qualification,QUINTANILLA Marcelo (ESA),MIRANDA Raul (PAN)
Central American Championships Guatemala City 2015,2015-11-25,MUNOZ Guillermo,ACEVEDO Amilcar,3,1,"8,11,12,11|11,6,10,5",,OTHER,MS,150,Qualification,MUNOZ Guillermo (MEX),ACEVEDO Amilcar (GUA)
Central American Championships Guatemala City 2015,2015-11-25,CASTRO Gary,CORDERO Luis,3,0,"11,11,11|7,7,9",,OTHER,MS,150,Qualification,CASTRO Gary (NCA),CORDERO Luis (CRC)
Central American Championships Guatemala City 2015,2015-11-25,SOTO Kevin,GALEANO Jaime,3,0,"11,11,11|8,5,5",,OTHER,MS,150,Qualification,SOTO Kevin (GUA),GALEANO Jaime (ESA)
Central American Championships Guatemala City 2015,2015-11-25,URBINA Jose,RUANO Kevin,3,0,"11,11,11|8,7,8",,OTHER,MS,150,Qualification,URBINA Jose (HON),RUANO Kevin (GUA)
Central American Championships Guatemala City 2015,2015-11-25,CALVO Allan,ZAMORA Carlos,3,1,"5,11,13,11|11,8,11,8",,OTHER,MS,150,Qualification,CALVO Allan (CRC),ZAMORA Carlos (MEX)
Central American Championships Guatemala City 2015,2015-11-25,VILLA Ricardo,MARTINEZ Jeison,3,1,"9,11,11,11|11,4,5,8",,OTHER,MS,150,Qualification,VILLA Ricardo (MEX),MARTINEZ Jeison (CRC)
Central American Championships Guatemala City 2015,2015-11-25,MOSCOSO Heber,MUNOZ Guillermo,3,1,"7,11,11,11|11,2,0,5",,OTHER,MS,150,Qualification,MOSCOSO Heber (GUA),MUNOZ Guillermo (HON)
Central American Championships Guatemala City 2015,2015-11-25,ARCE Damian,MORENO Luis,3,1,"11,6,11,13|1,11,7,11",,OTHER,MS,150,Qualification,ARCE Damian (MEX),MORENO Luis (NCA)
Central American Championships Guatemala City 2015,2015-11-25,GATICA Hector,GUERRA Jose,3,0,"11,11,11|8,5,4",,OTHER,MS,150,Qualification,GATICA Hector (GUA),GUERRA Jose (PAN)
Central American Championships Guatemala City 2015,2015-11-25,CALDERON Julio,DIAZ Denis,3,1,"5,11,11,11|11,1,5,4",,OTHER,MS,150,Qualification,CALDERON Julio (ESA),DIAZ Denis (HON)
Central American Championships Guatemala City 2015,2015-11-25,AVI-TAL Omer,SEQUEIRA Roger,3,0,"11,11,14|6,2,12",,OTHER,MS,150,Qualification,AVI-TAL Omer (PAN),SEQUEIRA Roger (NCA)
Central American Championships Guatemala City 2015,2015-11-25,SANCHEZ Noe,VALERIANO Oscar,3,2,"9,6,11,11,12|11,11,9,6,10",,OTHER,MS,150,Qualification,VALERIANO Oscar (HON),SANCHEZ Noe (GUA)
Central American Championships Guatemala City 2015,2015-11-25,DONADO Josue,CORDERO Camilo,3,0,"11,11,11|7,3,3",,OTHER,MS,150,Qualification,CORDERO Camilo (GUA),DONADO Josue (ESA)
Central American Championships Guatemala City 2015,2015-11-25,CASTELLON Denilson,VALLARINO Carlos Alberto,3,1,"11,5,11,12|7,11,7,10",,OTHER,MS,150,Qualification,CASTELLON Denilson (NCA),VALLARINO Carlos Alberto (PAN)
Central American Championships Guatemala City 2015,2015-11-25,MUNOZ Guillermo,QUINTANILLA Marcelo,3,2,"11,11,8,13,11|6,6,11,15,7",,OTHER,MS,150,Qualification,QUINTANILLA Marcelo (ESA),MUNOZ Guillermo (MEX)
Central American Championships Guatemala City 2015,2015-11-25,ACEVEDO Amilcar,MIRANDA Raul,3,2,"11,11,9,8,11|8,8,11,11,5",,OTHER,MS,150,Qualification,MIRANDA Raul (PAN),ACEVEDO Amilcar (GUA)
Central American Championships Guatemala City 2015,2015-11-25,SOTO Kevin,CASTRO Gary,3,1,"11,11,9,11|4,7,11,8",,OTHER,MS,150,Qualification,CASTRO Gary (NCA),SOTO Kevin (GUA)
Central American Championships Guatemala City 2015,2015-11-25,GALEANO Jaime,CORDERO Luis,3,0,"11,11,11|7,7,6",,OTHER,MS,150,Qualification,CORDERO Luis (CRC),GALEANO Jaime (ESA)
Central American Championships Guatemala City 2015,2015-11-25,CALVO Allan,URBINA Jose,3,2,"10,11,11,7,13|12,8,8,11,11",,OTHER,MS,150,Qualification,URBINA Jose (HON),CALVO Allan (CRC)
Central American Championships Guatemala City 2015,2015-11-25,ZAMORA Carlos,RUANO Kevin,3,0,"11,13,11|4,11,6",,OTHER,MS,150,Qualification,RUANO Kevin (GUA),ZAMORA Carlos (MEX)
Central American Championships Guatemala City 2015,2015-11-25,MONTUFAR Kevin,MARTINEZ Jeison,3,0,"11,11,11|3,5,5",,OTHER,MS,150,Qualification,MARTINEZ Jeison (CRC),MONTUFAR Kevin (GUA)
Central American Championships Guatemala City 2015,2015-11-25,MOSCOSO Heber,MORENO Luis,3,1,"9,11,11,11|11,2,7,3",,OTHER,MS,150,Qualification,MOSCOSO Heber (GUA),MORENO Luis (NCA)
Central American Championships Guatemala City 2015,2015-11-25,ARCE Damian,MUNOZ Guillermo,3,0,"11,11,11|4,7,8",,OTHER,MS,150,Qualification,MUNOZ Guillermo (HON),ARCE Damian (MEX)
