tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
FISU Universiade Gwangju 2015,2015-07-06,JEOUNG Youngsik,ANDERSSON Harald,4,3,"4,4,11,5,11|11,11,7,11,7",R64,OTHER,MS,236,Main Draw,JEOUNG Youngsik (KOR),ANDERSSON Harald (SWE)
FISU Universiade Gwangju 2015,2015-07-06,HUNG Chun Hin,XIA Max,4,3,"11,5,11,11,7|6,11,5,9,11",R64,OTHER,MS,236,Main Draw,XIA Max (CAN),HUNG Chun Hin (HKG)
FISU Universiade Gwangju 2015,2015-07-06,ISMAILOV Sadi,AL-TAWEEL Hesham,4,0,"11,11,11,11|4,2,5,4",R64,OTHER,MS,236,Main Draw,ISMAILOV Sadi (RUS),AL-TAWEEL Hesham (LBN)
FISU Universiade Gwangju 2015,2015-07-06,BROSSIER Benjamin,ALLEGRO Martin,4,3,"11,11,12,4,7|13,6,10,11,11",R64,OTHER,MS,236,Main Draw,ALLEGRO Martin (BEL),BROSSIER Benjamin (FRA)
FISU Universiade Gwangju 2015,2015-07-06,HUANG Sheng-Sheng,FALICOFF Ivan,4,1,"11,11,11,4,11|5,6,5,11,2",R64,OTHER,MS,236,Main Draw,HUANG Sheng-Sheng (TPE),FALICOFF Ivan (ARG)
FISU Universiade Gwangju 2015,2015-07-06,QIU Liang,GOMEZ Gustavo,4,2,"9,11,11,9,11|11,9,7,11,7",R64,OTHER,MS,236,Main Draw,QIU Liang (GER),GOMEZ Gustavo (CHI)
FISU Universiade Gwangju 2015,2015-07-06,LIU Yi,GOLEBIOWSKI Mateusz,4,1,"9,11,11,12,11|11,8,4,10,7",R64,OTHER,MS,236,Main Draw,GOLEBIOWSKI Mateusz (POL),LIU Yi (CHN)
FISU Universiade Gwangju 2015,2015-07-06,YOSHIDA Masaki,BELKADI Aissa,4,0,"11,11,11,11|2,6,6,4",R64,OTHER,MS,236,Main Draw,BELKADI Aissa (ALG),YOSHIDA Masaki (JPN)
FISU Universiade Gwangju 2015,2015-07-06,OSHIMA Yuya,JEAN Lauric,4,0,"12,11,11,11|10,8,6,7",R64,OTHER,MS,236,Main Draw,OSHIMA Yuya (JPN),JEAN Lauric (BEL)
FISU Universiade Gwangju 2015,2015-07-06,LAI Jiaxin,DO Phuong Nam,4,0,"11,13,11,11|4,11,6,7",R64,OTHER,MS,236,Main Draw,LAI Jiaxin (CHN),DO Phuong Nam (HUN)
FISU Universiade Gwangju 2015,2015-07-06,ERICSON Gustaf,TOMA Danilo,4,1,"15,11,6,12,11|13,8,11,10,9",R64,OTHER,MS,236,Main Draw,TOMA Danilo (BRA),ERICSON Gustaf (SWE)
FISU Universiade Gwangju 2015,2015-07-06,ROBINOT Quentin,KIM Yongho,4,0,"11,11,11,11|4,7,8,4",R64,OTHER,MS,236,Main Draw,KIM Yongho (KOR),ROBINOT Quentin (FRA)
FISU Universiade Gwangju 2015,2015-07-06,CHIANG Hung-Chieh,GUSEV Arseniy,4,0,"11,11,14,11|9,8,12,7",R64,OTHER,MS,236,Main Draw,CHIANG Hung-Chieh (TPE),GUSEV Arseniy (RUS)
FISU Universiade Gwangju 2015,2015-07-06,UEDA Jin,FIGEL Jakub,4,0,"11,11,11,11|3,6,4,5",R64,OTHER,MS,236,Main Draw,FIGEL Jakub (SVK),UEDA Jin (JPN)
FISU Universiade Gwangju 2015,2015-07-06,DAN Daniel,CILLIS Javier,4,0,"11,11,11,11|5,4,2,7",R64,OTHER,MS,236,Main Draw,DAN Daniel (ROU),CILLIS Javier (ARG)
FISU Universiade Gwangju 2015,2015-07-06,FILUS Ruwen,LIBENE Toomas,4,0,"11,11,11,11|5,5,5,9",R64,OTHER,MS,236,Main Draw,LIBENE Toomas (EST),FILUS Ruwen (GER)
FISU Universiade Gwangju 2015,2015-07-06,MORIZONO Masataka,FLORE Tristan,4,0,"11,16,11,11|7,14,7,9",R64,OTHER,MS,236,Main Draw,MORIZONO Masataka (JPN),FLORE Tristan (FRA)
FISU Universiade Gwangju 2015,2015-07-06,SZITA Marton,FERTIKOWSKI Pawel,4,3,"9,10,12,11,8|11,12,10,5,11",R64,OTHER,MS,236,Main Draw,SZITA Marton (HUN),FERTIKOWSKI Pawel (POL)
FISU Universiade Gwangju 2015,2015-07-06,GAMBINA Andrew,WANG Jonathon,4,3,"11,11,4,11,3|9,7,11,8,11",R64,OTHER,MS,236,Main Draw,GAMBINA Andrew (MLT),WANG Jonathon (NZL)
FISU Universiade Gwangju 2015,2015-07-06,LIAO Cheng-Ting,STENER Jonas,4,0,"11,11,11,11|6,9,9,6",R64,OTHER,MS,236,Main Draw,STENER Jonas (SWE),LIAO Cheng-Ting (TPE)
