tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,HAN Justin,GOULD Benjamin,4,1,"8,11,11,11,11|11,8,6,6,3",,GRAND_SLAM,MS,10,Qualification,GOULD Benjamin (AUS),HAN Justin (AUS),HAN Justin
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,WU Zhikang,GOULD Benjamin,4,0,"11,13,11,11|2,11,2,3",,GRAND_SLAM,MS,10,Qualification,GOULD Benjamin (AUS),WU Zhikang (SGP),WU Zhikang
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,WU Zhikang,HAN Justin,4,0,"11,11,11,11|9,9,7,9",,GRAND_SLAM,MS,10,Qualification,WU Zhikang (SGP),HAN Justin (AUS),WU Zhikang
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,DUFFY Jake,CHAN Stanley,4,2,"11,11,11,11,8,11|5,4,8,13,11,1",,GRAND_SLAM,MS,10,Qualification,DUFFY Jake (AUS),CHAN Stanley (AUS),DUFFY Jake
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,GHOSH Soumyajit,DUFFY Jake,4,0,"11,11,11,13|7,9,4,11",,GRAND_SLAM,MS,10,Qualification,DUFFY Jake (AUS),GHOSH Soumyajit (IND),GHOSH Soumyajit
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,GHOSH Soumyajit,CHAN Stanley,4,0,"11,11,11,11|5,4,7,5",,GRAND_SLAM,MS,10,Qualification,GHOSH Soumyajit (IND),CHAN Stanley (AUS),GHOSH Soumyajit
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,TSAO Erny,ZHAO Anthony,4,0,"11,11,11,11|1,5,9,8",,GRAND_SLAM,MS,10,Qualification,TSAO Erny (AUS),ZHAO Anthony (AUS),TSAO Erny
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,NUYTINCK Cedric,TSAO Erny,4,0,"11,11,11,11|4,7,5,1",,GRAND_SLAM,MS,10,Qualification,TSAO Erny (AUS),NUYTINCK Cedric (BEL),NUYTINCK Cedric
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,NUYTINCK Cedric,ZHAO Anthony,4,0,"11,11,11,11|0,5,1,7",,GRAND_SLAM,MS,10,Qualification,NUYTINCK Cedric (BEL),ZHAO Anthony (AUS),NUYTINCK Cedric
GAC Group World Tour Australia Open Gold Coast 2015,2015-06-03,DESAI Harmeet,DHOORIA Rohan,4,0,"11,11,11,11|8,5,9,6",,GRAND_SLAM,MS,10,Qualification,DESAI Harmeet (IND),DHOORIA Rohan (AUS),DESAI Harmeet
