tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,MURAMATSU Yuto,SHAPOSHNIKOV Stepan,4,0,"11,11,11,11|5,1,2,9",R64,GRAND_SLAM,MS,7,Main Draw,MURAMATSU Yuto (JPN),SHAPOSHNIKOV Stepan (RUS)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,OIKAWA Mizuki,GADIEV Vildan,4,0,"11,11,11,11|7,6,7,8",R64,GRAND_SLAM,MS,7,Main Draw,GADIEV Vildan (RUS),OIKAWA Mizuki (JPN)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,GROTH Jonathan,IGOSHIN Ilya,4,1,"13,11,11,6,11|11,6,1,11,7",R64,GRAND_SLAM,MS,7,Main Draw,GROTH Jonathan (DEN),IGOSHIN Ilya (RUS)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,SAMBE Kohei,MERZLIKIN Taras,4,3,"11,11,9,12,9,7,11|9,6,11,10,11,11,6",R64,GRAND_SLAM,MS,7,Main Draw,MERZLIKIN Taras (RUS),SAMBE Kohei (JPN)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,WALTHER Ricardo,KRIVOSHEEV Viacheslav,4,1,"11,11,8,11,11|4,8,11,8,6",R64,GRAND_SLAM,MS,7,Main Draw,WALTHER Ricardo (GER),KRIVOSHEEV Viacheslav (RUS)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,YOSHIMURA Kazuhiro,SZOCS Hunor,4,2,"9,11,5,11,11,11|11,4,11,7,5,4",R64,GRAND_SLAM,MS,7,Main Draw,YOSHIMURA Kazuhiro (JPN),SZOCS Hunor (ROU)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,WALKER Samuel,ROBINOT Quentin,4,2,"11,12,11,9,11,12|13,10,9,11,5,10",R64,GRAND_SLAM,MS,7,Main Draw,ROBINOT Quentin (FRA),WALKER Samuel (ENG)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,YOSHIMURA Maharu,BARBOLIN Illia,4,0,"11,11,11,11|9,8,5,7",R64,GRAND_SLAM,MS,7,Main Draw,BARBOLIN Illia (BLR),YOSHIMURA Maharu (JPN)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,SKACHKOV Kirill,NOVOTA Samuel,4,0,"11,11,11,11|5,7,4,5",R64,GRAND_SLAM,MS,7,Main Draw,SKACHKOV Kirill (RUS),NOVOTA Samuel (SVK)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,BUROV Viacheslav,ROBLES Alvaro,4,3,"11,10,11,11,9,7,11|8,12,3,5,11,11,7",R64,GRAND_SLAM,MS,7,Main Draw,ROBLES Alvaro (ESP),BUROV Viacheslav (RUS)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,PLATONOV Pavel,KOJIC Frane,4,2,"11,11,6,12,11,11|6,7,11,10,13,8",R64,GRAND_SLAM,MS,7,Main Draw,PLATONOV Pavel (BLR),KOJIC Frane (CRO)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,CHTCHETININE Evgueni,KUIMOV Philipp,4,2,"12,11,8,11,9,11|10,5,11,2,11,7",R64,GRAND_SLAM,MS,7,Main Draw,KUIMOV Philipp (RUS),CHTCHETININE Evgueni (BLR)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,LIVENTSOV Alexey,MOYA Manuel,4,2,"11,5,11,8,12,11|4,11,4,11,10,8",R64,GRAND_SLAM,MS,7,Main Draw,LIVENTSOV Alexey (RUS),MOYA Manuel (CHI)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,BOULOUSSA Mehdi,OZAWA Yoshihiro,4,0,"12,18,11,11|10,16,9,9",R64,GRAND_SLAM,MS,7,Main Draw,OZAWA Yoshihiro (JPN),BOULOUSSA Mehdi (ALG)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,PAIKOV Mikhail,JEAN Lauric,4,0,"11,11,11,12|7,2,8,10",R64,GRAND_SLAM,MS,7,Main Draw,PAIKOV Mikhail (RUS),JEAN Lauric (BEL)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,FILUS Ruwen,MUTYGULLIN Ramil,4,3,"14,11,11,11,8,11,11|16,6,1,5,11,13,3",R64,GRAND_SLAM,MS,7,Main Draw,MUTYGULLIN Ramil (RUS),FILUS Ruwen (GER)
GAC Group World Tour Belarus Open Minsk 2015,2015-05-13,KIM Donghyun,ZHMUDENKO Yaroslav,4,3,"11,4,11,6,11,9,13|7,11,2,11,6,11,11",R64,GRAND_SLAM,MS,7,Main Draw,KIM Donghyun (KOR),ZHMUDENKO Yaroslav (UKR)
