tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,KIM Minseok,MERCHEZ Cedric,4,3,"8,11,6,11,13,10,11|11,5,11,9,11,12,6",R64,GRAND_SLAM,MS,18,Main Draw,KIM Minseok (KOR),MERCHEZ Cedric (BEL)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,NIELSEN Claus,BRODD Viktor,4,3,"11,11,10,11,6,8,11|5,9,12,8,11,11,8",R64,GRAND_SLAM,MS,18,Main Draw,BRODD Viktor (SWE),NIELSEN Claus (DEN)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,NOROOZI Afshin,KLEIN Dennis,4,2,"9,9,11,11,14,11|11,11,9,4,12,9",R64,GRAND_SLAM,MS,18,Main Draw,NOROOZI Afshin (IRI),KLEIN Dennis (GER)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,TRAN Anthony,SAIVE Jean-Michel,4,1,"8,14,11,11,11|11,12,9,8,7",R64,GRAND_SLAM,MS,18,Main Draw,TRAN Anthony (SWE),SAIVE Jean-Michel (BEL)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,NUYTINCK Cedric,LINDHOLM Eskil,4,0,"11,11,11,11|4,4,8,7",R64,GRAND_SLAM,MS,18,Main Draw,NUYTINCK Cedric (BEL),LINDHOLM Eskil (NOR)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,QIU Dang,LAMBIET Florent,4,1,"11,11,11,11,11|8,13,6,7,8",R64,GRAND_SLAM,MS,18,Main Draw,QIU Dang (GER),LAMBIET Florent (BEL)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,ALAMIAN Nima,KARUBE Ryusuke,4,2,"15,6,11,8,11,13|13,11,8,11,6,11",R64,GRAND_SLAM,MS,18,Main Draw,ALAMIAN Nima (IRI),KARUBE Ryusuke (JPN)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,LI Ahmet,MERCKX Jasper,4,0,"11,11,11,11|2,5,4,9",R64,GRAND_SLAM,MS,18,Main Draw,MERCKX Jasper (BEL),LI Ahmet (TUR)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,ALAMIYAN Noshad,VITTA Kilomo,4,0,"11,11,13,16|7,8,11,14",R64,GRAND_SLAM,MS,18,Main Draw,ALAMIYAN Noshad (IRI),VITTA Kilomo (BEL)
GAC Group World Tour Belgium Open De Haan 2015,2015-09-08,PYSAR Dmytro,GROVER Sudhanshu,4,3,"11,7,7,5,11,11,11|4,11,11,11,7,1,8",R64,GRAND_SLAM,MS,18,Main Draw,GROVER Sudhanshu (IND),PYSAR Dmytro (UKR)
