tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,FUQUENE Mario,LILLO Gustavo,4,0,"11,11,11,11|3,7,4,4",,GRAND_SLAM,MS,20,Qualification,LILLO Gustavo (CHI),FUQUENE Mario (COL),FUQUENE Mario
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,ALTO Gaston,FUQUENE Mario,4,1,"11,11,8,11,11|8,7,11,5,3",,GRAND_SLAM,MS,20,Qualification,ALTO Gaston (ARG),FUQUENE Mario (COL),ALTO Gaston
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,ALTO Gaston,LILLO Gustavo,4,0,"11,11,11,11|8,8,8,7",,GRAND_SLAM,MS,20,Qualification,ALTO Gaston (ARG),LILLO Gustavo (CHI),ALTO Gaston
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,ROMAN Sebastian,FONSECA Guillermo,4,0,"11,11,11,11|2,2,4,7",,GRAND_SLAM,MS,20,Qualification,FONSECA Guillermo (CHI),ROMAN Sebastian (CHI),ROMAN Sebastian
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,GILABERT Rodrigo,ROMAN Sebastian,4,1,"11,4,11,13,11|4,11,7,11,9",,GRAND_SLAM,MS,20,Qualification,GILABERT Rodrigo (ARG),ROMAN Sebastian (CHI),GILABERT Rodrigo
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,GILABERT Rodrigo,FONSECA Guillermo,4,0,"11,11,11,11|3,6,2,6",,GRAND_SLAM,MS,20,Qualification,GILABERT Rodrigo (ARG),FONSECA Guillermo (CHI),GILABERT Rodrigo
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,BERNALES Mauricio,VELASQUEZ Fernando (1994),4,2,"10,11,22,11,9,11|12,8,20,5,11,7",,GRAND_SLAM,MS,20,Qualification,BERNALES Mauricio (CHI),VELASQUEZ Fernando (1994) (BOL),BERNALES Mauricio
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,CIFUENTES Horacio,VELASQUEZ Fernando (1994),4,0,"11,11,11,11|5,7,1,2",,GRAND_SLAM,MS,20,Qualification,CIFUENTES Horacio (ARG),VELASQUEZ Fernando (1994) (BOL),CIFUENTES Horacio
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,CIFUENTES Horacio,BERNALES Mauricio,4,1,"11,2,11,11,11|7,11,7,2,6",,GRAND_SLAM,MS,20,Qualification,CIFUENTES Horacio (ARG),BERNALES Mauricio (CHI),CIFUENTES Horacio
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,GUEDES Heverton,TITOLO Franco,4,1,"12,7,11,11,11|10,11,6,5,6",,GRAND_SLAM,MS,20,Qualification,TITOLO Franco (ARG),GUEDES Heverton (BRA),GUEDES Heverton
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,LAMADRID Juan,GUEDES Heverton,4,0,"11,13,11,11|5,11,8,7",,GRAND_SLAM,MS,20,Qualification,LAMADRID Juan (CHI),GUEDES Heverton (BRA),LAMADRID Juan
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,LAMADRID Juan,TITOLO Franco,4,1,"11,6,11,11,11|8,11,6,8,6",,GRAND_SLAM,MS,20,Qualification,LAMADRID Juan (CHI),TITOLO Franco (ARG),LAMADRID Juan
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,SANCHI Francisco,LARA Nicolas,4,0,"11,12,12,11|4,10,10,6",,GRAND_SLAM,MS,20,Qualification,SANCHI Francisco (ARG),LARA Nicolas (ARG),SANCHI Francisco
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,GOMEZ Gustavo,LARA Nicolas,4,0,"11,11,11,11|4,5,8,5",,GRAND_SLAM,MS,20,Qualification,GOMEZ Gustavo (CHI),LARA Nicolas (ARG),GOMEZ Gustavo
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,SANCHI Francisco,GOMEZ Gustavo,4,2,"11,11,13,7,13,11|7,8,15,11,11,7",,GRAND_SLAM,MS,20,Qualification,GOMEZ Gustavo (CHI),SANCHI Francisco (ARG),SANCHI Francisco
GAC Group World Tour Chile Open Santiago 2015,2015-09-23,GALVANO Nicolas,RIBACK Ignacio,4,0,"11,11,11,11|6,6,6,3",,GRAND_SLAM,MS,20,Qualification,GALVANO Nicolas (ARG),RIBACK Ignacio (ARG),GALVANO Nicolas
