tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group World Tour China Open Chengdu 2015,2015-08-05,KANG Wi Hun,GARDOS Robert,4,3,"5,10,11,13,10,11,11|11,12,6,11,12,7,8",QR64,GRAND_SLAM,MS,14,Qualification,GARDOS Robert (AUT),KANG Wi Hun (PRK)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,WANG Jianan,LEE Chia-Sheng,4,3,"8,11,14,11,7,5,11|11,7,12,6,11,11,8",QR64,GRAND_SLAM,MS,14,Qualification,WANG Jianan (CGO),LEE Chia-Sheng (TPE)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,YANG Heng-Wei,HETHERINGTON Matthew,4,0,"11,11,11,11|9,5,5,6",QR64,GRAND_SLAM,MS,14,Qualification,YANG Heng-Wei (TPE),HETHERINGTON Matthew (NZL)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,OSHIMA Yuya,RI Kwang Won,4,0,"11,11,11,11|9,4,4,2",QR64,GRAND_SLAM,MS,14,Qualification,RI Kwang Won (PRK),OSHIMA Yuya (JPN)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,LI Hu,WATANABE Yusuke,4,2,"9,11,12,11,8,11|11,6,10,8,11,7",QR64,GRAND_SLAM,MS,14,Qualification,LI Hu (SGP),WATANABE Yusuke (JPN)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,BROSSIER Benjamin,CHEN Alexander,4,1,"11,12,11,11,11|5,14,7,5,6",QR64,GRAND_SLAM,MS,14,Qualification,CHEN Alexander (AUT),BROSSIER Benjamin (FRA)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,LI Ahmet,CHANG Shun-Hung,4,2,"7,11,7,11,11,11|11,9,11,4,5,8",QR64,GRAND_SLAM,MS,14,Qualification,LI Ahmet (TUR),CHANG Shun-Hung (TPE)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,JIANG Tianyi,PENG Wang-Wei,4,2,"11,7,11,12,14,11|9,11,7,14,12,7",QR64,GRAND_SLAM,MS,14,Qualification,PENG Wang-Wei (TPE),JIANG Tianyi (HKG)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,MATSUDAIRA Kenta,YANG Tzu-Yi,4,1,"9,11,11,11,11|11,8,9,8,5",QR64,GRAND_SLAM,MS,14,Qualification,MATSUDAIRA Kenta (JPN),YANG Tzu-Yi (TPE)
GAC Group World Tour China Open Chengdu 2015,2015-08-05,CHIANG Hung-Chieh,CHOE Il,4,2,"9,12,11,11,11,11|11,14,8,7,8,6",QR64,GRAND_SLAM,MS,14,Qualification,CHOE Il (PRK),CHIANG Hung-Chieh (TPE)
