tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,MORIZONO Masataka,DUDA Benedikt,4,1,"9,11,11,13,11|11,3,8,11,6",R64,GRAND_SLAM,MS,8,Main Draw,MORIZONO Masataka (JPN),DUDA Benedikt (GER),MORIZONO Masataka
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,JAKAB Janos,DURAN Marc,4,2,"11,10,11,4,11,11|2,12,7,11,5,6",R64,GRAND_SLAM,MS,8,Main Draw,DURAN Marc (ESP),JAKAB Janos (HUN),JAKAB Janos
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,DYJAS Jakub,ALTO Gaston,4,3,"13,8,11,11,11,10,11|11,11,13,7,8,12,7",R64,GRAND_SLAM,MS,8,Main Draw,DYJAS Jakub (POL),ALTO Gaston (ARG),DYJAS Jakub
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,TAN Ruiwu,MADRID Marcos,4,1,"11,4,11,11,11|7,11,6,5,6",R64,GRAND_SLAM,MS,8,Main Draw,MADRID Marcos (MEX),TAN Ruiwu (CRO),TAN Ruiwu
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,PROKOPCOV Dmitrij,SODERLUND Hampus,4,0,"11,11,11,11|3,7,8,5",R64,GRAND_SLAM,MS,8,Main Draw,PROKOPCOV Dmitrij (CZE),SODERLUND Hampus (SWE),PROKOPCOV Dmitrij
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,PAIKOV Mikhail,CANTERO Jesus,4,2,"13,11,11,11,9,11|15,6,9,7,11,2",R64,GRAND_SLAM,MS,8,Main Draw,CANTERO Jesus (ESP),PAIKOV Mikhail (RUS),PAIKOV Mikhail
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,JIN Takuya,KARAKASEVIC Aleksandar,4,2,"5,8,11,11,11,11|11,11,8,7,9,7",R64,GRAND_SLAM,MS,8,Main Draw,KARAKASEVIC Aleksandar (SRB),JIN Takuya (JPN),JIN Takuya
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,OSHIMA Yuya,NIELSEN Claus,4,0,"11,11,11,11|9,9,7,9",R64,GRAND_SLAM,MS,8,Main Draw,NIELSEN Claus (DEN),OSHIMA Yuya (JPN),OSHIMA Yuya
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,ARUNA Quadri,CASSIN Alexandre,4,0,"11,11,11,11|6,5,7,8",R64,GRAND_SLAM,MS,8,Main Draw,ARUNA Quadri (NGR),CASSIN Alexandre (FRA),ARUNA Quadri
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,FLORE Tristan,MATSUMOTO Cazuo,4,1,"11,11,11,3,11|8,5,9,11,6",R64,GRAND_SLAM,MS,8,Main Draw,FLORE Tristan (FRA),MATSUMOTO Cazuo (BRA),FLORE Tristan
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,ROBLES Alvaro,PLATONOV Pavel,4,3,"7,11,9,8,11,11,11|11,7,11,11,7,4,9",R64,GRAND_SLAM,MS,8,Main Draw,PLATONOV Pavel (BLR),ROBLES Alvaro (ESP),ROBLES Alvaro
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,OUAICHE Stephane,LEVENKO Andreas,4,1,"11,11,6,11,11|5,9,11,5,6",R64,GRAND_SLAM,MS,8,Main Draw,OUAICHE Stephane (ALG),LEVENKO Andreas (AUT),OUAICHE Stephane
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,JEVTOVIC Marko,PFEFFER Simon,4,0,"11,11,11,11|8,7,4,6",R64,GRAND_SLAM,MS,8,Main Draw,PFEFFER Simon (AUT),JEVTOVIC Marko (SRB),JEVTOVIC Marko
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,GERALDO Joao,OZAWA Yoshihiro,4,2,"7,11,15,11,5,11|11,5,13,8,11,7",R64,GRAND_SLAM,MS,8,Main Draw,GERALDO Joao (POR),OZAWA Yoshihiro (JPN),GERALDO Joao
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,KIM Donghyun,ANGLES Enzo,4,1,"11,8,11,11,11|6,11,5,6,8",R64,GRAND_SLAM,MS,8,Main Draw,ANGLES Enzo (FRA),KIM Donghyun (KOR),KIM Donghyun
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,CHO Eonrae,ROBINOT Alexandre,4,2,"9,11,9,11,11,17|11,8,11,7,6,15",R64,GRAND_SLAM,MS,8,Main Draw,CHO Eonrae (KOR),ROBINOT Alexandre (FRA),CHO Eonrae
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,AKKUZU Can,MACHADO Carlos,4,1,"11,11,12,7,11|8,6,10,11,8",R64,GRAND_SLAM,MS,8,Main Draw,AKKUZU Can (FRA),MACHADO Carlos (ESP),AKKUZU Can
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,BROSSIER Benjamin,LAMBIET Florent,4,1,"11,9,11,11,11|9,11,4,8,3",R64,GRAND_SLAM,MS,8,Main Draw,BROSSIER Benjamin (FRA),LAMBIET Florent (BEL),BROSSIER Benjamin
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,WANG Eugene,MONTEIRO Thiago,4,2,"11,11,11,8,11,12|6,13,8,11,8,10",R64,GRAND_SLAM,MS,8,Main Draw,MONTEIRO Thiago (BRA),WANG Eugene (CAN),WANG Eugene
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,LUNDQVIST Jens,GAUZY Paul,4,1,"11,9,11,11,11|3,11,7,8,8",R64,GRAND_SLAM,MS,8,Main Draw,LUNDQVIST Jens (SWE),GAUZY Paul (FRA),LUNDQVIST Jens
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,PETO Zsolt,GABROVSKI Petko,4,2,"11,12,9,5,11,11|6,10,11,11,4,4",R64,GRAND_SLAM,MS,8,Main Draw,GABROVSKI Petko (BUL),PETO Zsolt (SRB),PETO Zsolt
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,ROBINOT Quentin,SILVA Andre,4,3,"9,11,11,7,8,11,11|11,7,4,11,11,8,1",R64,GRAND_SLAM,MS,8,Main Draw,ROBINOT Quentin (FRA),SILVA Andre (POR),ROBINOT Quentin
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,YOSHIMURA Maharu,SIMOVIC Miho,4,1,"11,11,11,5,11|4,9,3,11,4",R64,GRAND_SLAM,MS,8,Main Draw,SIMOVIC Miho (CRO),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,LEE Sang Su,DURANSPAHIC Admir,4,0,"11,11,11,11|8,6,9,9",R64,GRAND_SLAM,MS,8,Main Draw,LEE Sang Su (KOR),DURANSPAHIC Admir (BIH),LEE Sang Su
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,KONECNY Tomas,AKERSTROM Fabian,4,2,"11,11,13,9,9,11|7,7,11,11,11,6",R64,GRAND_SLAM,MS,8,Main Draw,AKERSTROM Fabian (SWE),KONECNY Tomas (CZE),KONECNY Tomas
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,KOLAREK Tomislav,BOULOUSSA Mehdi,4,3,"7,11,11,7,11,12,11|11,13,5,11,6,10,8",R64,GRAND_SLAM,MS,8,Main Draw,KOLAREK Tomislav (CRO),BOULOUSSA Mehdi (ALG),KOLAREK Tomislav
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,YOSHIMURA Kazuhiro,WALTHER Ricardo,4,2,"6,11,11,12,9,11|11,7,6,10,11,3",R64,GRAND_SLAM,MS,8,Main Draw,YOSHIMURA Kazuhiro (JPN),WALTHER Ricardo (GER),YOSHIMURA Kazuhiro
GAC Group World Tour Croatia Open Zagreb 2015,2015-05-19,PITCHFORD Liam,HIELSCHER Lars,4,0,"11,11,11,11|9,6,6,9",R64,GRAND_SLAM,MS,8,Main Draw,PITCHFORD Liam (ENG),HIELSCHER Lars (GER),PITCHFORD Liam
