tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,JANG Woojin,BROSSIER Benjamin,4,3,"11,8,5,9,11,12,11|7,11,11,11,7,10,8",,GRAND_SLAM,U21MS,23,Qualification,JANG Woojin (KOR),BROSSIER Benjamin (FRA)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,OSHIMA Yuya,GERALDO Joao,4,1,"11,11,7,11,11|7,9,11,2,7",,GRAND_SLAM,U21MS,23,Qualification,OSHIMA Yuya (JPN),GERALDO Joao (POR)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,OSHIMA Yuya,JANG Woojin,4,0,"11,11,11,11|4,8,3,6",,GRAND_SLAM,U21MS,23,Qualification,JANG Woojin (KOR),OSHIMA Yuya (JPN)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,BROSSIER Benjamin,GERALDO Joao,4,2,"11,8,11,8,11,11|9,11,9,11,9,3",,GRAND_SLAM,U21MS,23,Qualification,BROSSIER Benjamin (FRA),GERALDO Joao (POR)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,GERALDO Joao,JANG Woojin,4,2,"17,8,11,11,4,11|15,11,8,9,11,6",,GRAND_SLAM,U21MS,23,Qualification,JANG Woojin (KOR),GERALDO Joao (POR)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,OSHIMA Yuya,BROSSIER Benjamin,4,2,"7,11,11,11,16,11|11,2,5,9,18,6",,GRAND_SLAM,U21MS,23,Qualification,OSHIMA Yuya (JPN),BROSSIER Benjamin (FRA)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,ZHAI Yujia,KIM Donghyun,4,3,"8,13,6,8,11,11,11|11,11,11,11,7,7,5",,GRAND_SLAM,U21MS,23,Qualification,ZHAI Yujia (DEN),KIM Donghyun (KOR)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,YOSHIDA Masaki,SAMBE Kohei,4,1,"11,11,11,6,11|8,1,7,11,4",,GRAND_SLAM,U21MS,23,Qualification,YOSHIDA Masaki (JPN),SAMBE Kohei (JPN)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,ZHAI Yujia,YOSHIDA Masaki,4,1,"11,10,11,11,11|7,12,7,8,8",,GRAND_SLAM,U21MS,23,Qualification,ZHAI Yujia (DEN),YOSHIDA Masaki (JPN)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,SAMBE Kohei,KIM Donghyun,4,2,"8,11,11,11,7,11|11,3,7,8,11,8",,GRAND_SLAM,U21MS,23,Qualification,KIM Donghyun (KOR),SAMBE Kohei (JPN)
GAC Group World Tour Grand Finals Lisbon 2015,2015-12-10,ZHAI Yujia,SAMBE Kohei,4,3,"11,9,3,6,11,11,13|9,11,11,11,9,5,11",,GRAND_SLAM,U21MS,23,Qualification,ZHAI Yujia (DEN),SAMBE Kohei (JPN)
