tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YIANGOU Marios,PERETTI Anthony,3,1,"9,11,11,11|11,8,8,8",,OTHER,MS,229,Qualification,YIANGOU Marios (CYP),PERETTI Anthony (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YIANGOU Marios,JONSSON David,3,0,"12,11,11|10,3,4",,OTHER,MS,229,Qualification,YIANGOU Marios (CYP),JONSSON David (ISL)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PERETTI Anthony,JONSSON David,3,0,"11,11,11|8,7,4",,OTHER,MS,229,Qualification,JONSSON David (ISL),PERETTI Anthony (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PROVOST Damien,CEKIC Irfan,3,0,"11,11,11|6,5,9",,OTHER,MS,229,Qualification,CEKIC Irfan (MNE),PROVOST Damien (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,CEKIC Irfan,MAGNUSSON Magnus K,3,0,"11,11,11|5,9,7",,OTHER,MS,229,Qualification,CEKIC Irfan (MNE),MAGNUSSON Magnus K (ISL)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PROVOST Damien,MAGNUSSON Magnus K,3,0,"11,11,11|6,4,8",,OTHER,MS,229,Qualification,MAGNUSSON Magnus K (ISL),PROVOST Damien (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,RAGNI Lorenzo,CIOCIU Traian,3,0,"11,15,11|7,13,8",,OTHER,MS,229,Qualification,CIOCIU Traian (LUX),RAGNI Lorenzo (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YIANGOU Yiangos,RODRIGUEZ Patrick,3,1,"11,11,7,11|1,7,11,6",,OTHER,MS,229,Qualification,YIANGOU Yiangos (CYP),RODRIGUEZ Patrick (AND)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,CIOCIU Traian,YIANGOU Yiangos,3,0,"11,11,11|7,7,6",,OTHER,MS,229,Qualification,CIOCIU Traian (LUX),YIANGOU Yiangos (CYP)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,RAGNI Lorenzo,RODRIGUEZ Patrick,3,0,"11,11,11|6,6,5",,OTHER,MS,229,Qualification,RAGNI Lorenzo (SMR),RODRIGUEZ Patrick (AND)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,CIOCIU Traian,RODRIGUEZ Patrick,3,0,"11,11,11|4,6,4",,OTHER,MS,229,Qualification,CIOCIU Traian (LUX),RODRIGUEZ Patrick (AND)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,RAGNI Lorenzo,YIANGOU Yiangos,3,0,"12,11,11|10,4,6",,OTHER,MS,229,Qualification,YIANGOU Yiangos (CYP),RAGNI Lorenzo (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,MICHELY Gilles,DIAZ Ferran,3,0,"11,11,11|6,8,4",,OTHER,MS,229,Qualification,MICHELY Gilles (LUX),DIAZ Ferran (AND)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,BAKIC Luka,MICHELY Gilles,3,0,"12,11,11|10,6,5",,OTHER,MS,229,Qualification,MICHELY Gilles (LUX),BAKIC Luka (MNE)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,BAKIC Luka,DIAZ Ferran,3,0,"11,11,11|3,8,6",,OTHER,MS,229,Qualification,BAKIC Luka (MNE),DIAZ Ferran (AND)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YIANGOU Marios,CIOCIU Traian,3,0,"11,11,11|8,8,9",QuarterFinal,OTHER,MS,229,Main Draw,YIANGOU Marios (CYP),CIOCIU Traian (LUX)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,CEKIC Irfan,RAGNI Lorenzo,3,2,"11,11,4,9|9,5,11,11",QuarterFinal,OTHER,MS,229,Main Draw,CEKIC Irfan (MNE),RAGNI Lorenzo (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,BAKIC Luka,PERETTI Anthony,3,2,"4,11,7,11|11,9,11,7",QuarterFinal,OTHER,MS,229,Main Draw,BAKIC Luka (MNE),PERETTI Anthony (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PROVOST Damien,MICHELY Gilles,3,2,"11,12,10,7|6,10,12,11",QuarterFinal,OTHER,MS,229,Main Draw,MICHELY Gilles (LUX),PROVOST Damien (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,CEKIC Irfan,YIANGOU Marios,3,1,"4,11,11,11|11,6,5,3",SemiFinal,OTHER,MS,229,Main Draw,YIANGOU Marios (CYP),CEKIC Irfan (MNE)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PROVOST Damien,BAKIC Luka,3,0,"11,11,11|7,8,7",SemiFinal,OTHER,MS,229,Main Draw,BAKIC Luka (MNE),PROVOST Damien (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YANG Xiaoxin,BJARNADOTTIR Kolfinna,3,0,"11,11,11|2,5,1",,OTHER,WS,229,Qualification,YANG Xiaoxin (MON),BJARNADOTTIR Kolfinna (ISL)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,YANG Xiaoxin,PACE Jessica,3,0,"11,11,11|3,3,4",,OTHER,WS,229,Qualification,YANG Xiaoxin (MON),PACE Jessica (MLT)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,PACE Jessica,BJARNADOTTIR Kolfinna,3,2,"13,11,11,9|15,5,1,11",,OTHER,WS,229,Qualification,PACE Jessica (MLT),BJARNADOTTIR Kolfinna (ISL)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,DE NUTTE Sarah,MORRI Chiara,3,0,"11,11,11|8,8,4",,OTHER,WS,229,Qualification,DE NUTTE Sarah (LUX),MORRI Chiara (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,DE NUTTE Sarah,QVIST Ulrika,3,0,"11,11,11|3,6,2",,OTHER,WS,229,Qualification,DE NUTTE Sarah (LUX),QVIST Ulrika (MON)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,QVIST Ulrika,MORRI Chiara,3,0,"11,11,11|6,7,8",,OTHER,WS,229,Qualification,QVIST Ulrika (MON),MORRI Chiara (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,LUCENKOVA Viktoria,MILACIC Neda,3,1,"11,7,11,11|8,11,5,4",,OTHER,WS,229,Qualification,MILACIC Neda (MNE),LUCENKOVA Viktoria (SVK)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,TAMASAUSKAITE Egle,MILACIC Neda,3,0,"11,13,11|4,11,6",,OTHER,WS,229,Qualification,MILACIC Neda (MNE),TAMASAUSKAITE Egle (LUX)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,LUCENKOVA Viktoria,TAMASAUSKAITE Egle,3,0,"13,11,11|11,9,7",,OTHER,WS,229,Qualification,TAMASAUSKAITE Egle (LUX),LUCENKOVA Viktoria (SVK)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,JANKOVIC Sonja,BJORNSDOTTIR Gudrun,3,0,"11,11,11|8,7,9",,OTHER,WS,229,Qualification,JANKOVIC Sonja (MNE),BJORNSDOTTIR Gudrun (ISL)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,GIARDI Letizia,JANKOVIC Sonja,3,2,"11,4,9,12|8,11,11,10",,OTHER,WS,229,Qualification,JANKOVIC Sonja (MNE),GIARDI Letizia (SMR)
Games of the Small States of Europe Reikjavik 2015,2015-06-02,GIARDI Letizia,BJORNSDOTTIR Gudrun,3,0,"13,11,11|11,1,5",,OTHER,WS,229,Qualification,GIARDI Letizia (SMR),BJORNSDOTTIR Gudrun (ISL)
