tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Indian Ocean Island Games Reunion 2015,2015-08-02,PICARD Audrey,ROBERT Lana,4,0,"11,11,11,11|2,9,7,8",,OTHER,WS,246,Qualification,PICARD Audrey (FRA),ROBERT Lana (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,PICARD Audrey,JALIM Nandeshwaree,4,0,"11,11,11,11|8,8,6,3",,OTHER,WS,246,Qualification,PICARD Audrey (FRA),JALIM Nandeshwaree (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,JALIM Nandeshwaree,ROBERT Lana,4,0,"11,11,11,11|6,3,8,7",,OTHER,WS,246,Qualification,JALIM Nandeshwaree (MRI),ROBERT Lana (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,GUKHOOL Widaad,RAZAFINDRAFASY Marie Helene,4,1,"11,11,15,11,11|3,8,17,2,8",,OTHER,WS,246,Qualification,GUKHOOL Widaad (MRI),RAZAFINDRAFASY Marie Helene (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,GUKHOOL Widaad,KHATTAB Zahira,4,0,"11,11,11,11|3,1,3,9",,OTHER,WS,246,Qualification,GUKHOOL Widaad (MRI),KHATTAB Zahira (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,RAZAFINDRAFASY Marie Helene,KHATTAB Zahira,4,2,"8,11,11,8,11,11|11,5,3,11,5,8",,OTHER,WS,246,Qualification,KHATTAB Zahira (SEY),RAZAFINDRAFASY Marie Helene (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,RAMASAWMY Caroline,RAHARIJAONA Harilalao,4,1,"11,7,11,11,12|9,11,9,3,10",,OTHER,WS,246,Qualification,RAHARIJAONA Harilalao (MAD),RAMASAWMY Caroline (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,FOLIO Colyne,NAZIM Aishath,4,0,"11,11,11,14|7,9,6,12",,OTHER,WS,246,Qualification,NAZIM Aishath (MDV),FOLIO Colyne (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,NAZIM Aishath,RAHARIJAONA Harilalao,4,3,"11,11,7,9,9,11|7,8,11,11,11,5",,OTHER,WS,246,Qualification,RAHARIJAONA Harilalao (MAD),NAZIM Aishath (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,FOLIO Colyne,RAMASAWMY Caroline,4,1,"11,11,6,11,11|3,9,11,7,5",,OTHER,WS,246,Qualification,RAMASAWMY Caroline (MRI),FOLIO Colyne (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,FOLIO Colyne,RAHARIJAONA Harilalao,4,2,"11,9,11,11,7,11|9,11,9,8,11,6",,OTHER,WS,246,Qualification,RAHARIJAONA Harilalao (MAD),FOLIO Colyne (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,RAMASAWMY Caroline,NAZIM Aishath,4,1,"11,8,11,11,11|9,11,6,6,8",,OTHER,WS,246,Qualification,NAZIM Aishath (MDV),RAMASAWMY Caroline (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,HOAREAU Clemence,CHOWREE Isabelle,4,0,"11,11,11,11|9,8,4,9",,OTHER,WS,246,Qualification,CHOWREE Isabelle (MRI),HOAREAU Clemence (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,SHAFEEQ Mariyam,SINON Laura,4,2,"10,11,9,11,11,11|12,6,11,8,6,6",,OTHER,WS,246,Qualification,SINON Laura (SEY),SHAFEEQ Mariyam (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,CHOWREE Isabelle,SINON Laura,4,1,"11,11,7,11,11|7,7,11,4,5",,OTHER,WS,246,Qualification,CHOWREE Isabelle (MRI),SINON Laura (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,HOAREAU Clemence,SHAFEEQ Mariyam,4,0,"11,11,11,11|2,9,9,8",,OTHER,WS,246,Qualification,HOAREAU Clemence (FRA),SHAFEEQ Mariyam (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,CHOWREE Isabelle,SHAFEEQ Mariyam,4,0,"11,11,11,11|5,2,6,9",,OTHER,WS,246,Qualification,CHOWREE Isabelle (MRI),SHAFEEQ Mariyam (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,HOAREAU Clemence,SINON Laura,4,0,"11,11,11,11|8,9,6,2",,OTHER,WS,246,Qualification,SINON Laura (SEY),HOAREAU Clemence (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,RIVIERE Murielle,MALANTONIAINA Andy,4,0,"11,11,11,11|6,7,5,6",,OTHER,WS,246,Qualification,RIVIERE Murielle (FRA),MALANTONIAINA Andy (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,RIVIERE Murielle,SHAREEF Aminath,4,2,"7,11,11,11,9,12|11,8,7,4,11,10",,OTHER,WS,246,Qualification,RIVIERE Murielle (FRA),SHAREEF Aminath (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,SHAREEF Aminath,MALANTONIAINA Andy,4,0,"11,11,11,11|8,7,9,6",,OTHER,WS,246,Qualification,SHAREEF Aminath (MDV),MALANTONIAINA Andy (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,SHAREEF Aminath,RAMASAWMY Caroline,4,0,"11,11,11,11|8,7,9,8",R32,OTHER,WS,246,Main Draw,SHAREEF Aminath (MDV),RAMASAWMY Caroline (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,CHOWREE Isabelle,RAZAFINDRAFASY Marie Helene,4,1,"11,11,12,10,11|2,3,10,12,7",R32,OTHER,WS,246,Main Draw,CHOWREE Isabelle (MRI),RAZAFINDRAFASY Marie Helene (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,SHAREEF Aminath,NIMAL Fathimath,4,2,"11,11,9,11,3,11|8,7,11,7,11,8",R16,OTHER,WS,246,Main Draw,NIMAL Fathimath (MDV),SHAREEF Aminath (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,PICARD Audrey,DIMBIMIARILANITRA Harena,4,1,"9,11,11,11,11|11,7,5,7,4",R16,OTHER,WS,246,Main Draw,PICARD Audrey (FRA),DIMBIMIARILANITRA Harena (MAD)
Indian Ocean Island Games Reunion 2015,2015-08-02,RIVIERE Murielle,KILINDO Christy,4,3,"7,8,8,11,12,11|11,11,11,7,10,6",R16,OTHER,WS,246,Main Draw,KILINDO Christy (SEY),RIVIERE Murielle (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,FOLIO Colyne,KINOO Ruqayyah,4,2,"11,11,10,11,11,11|7,9,12,13,8,7",R16,OTHER,WS,246,Main Draw,FOLIO Colyne (FRA),KINOO Ruqayyah (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,BENSTRONG Anniesa,CHOWREE Isabelle,4,1,"11,8,11,11,11|6,11,5,6,8",R16,OTHER,WS,246,Main Draw,BENSTRONG Anniesa (SEY),CHOWREE Isabelle (MRI)
Indian Ocean Island Games Reunion 2015,2015-08-02,SANTANON Chloe,GUKHOOL Widaad,4,3,"11,11,4,11,7,15|5,8,11,9,11,17",R16,OTHER,WS,246,Main Draw,GUKHOOL Widaad (MRI),SANTANON Chloe (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,RATSIMBAZAFY Tiana,HOAREAU Clemence,4,3,"11,11,8,6,11,11|2,2,11,11,4,13",R16,OTHER,WS,246,Main Draw,RATSIMBAZAFY Tiana (MAD),HOAREAU Clemence (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,MOHAMED Mueena,JALIM Nandeshwaree,4,2,"8,11,5,11,11,11|11,7,11,4,5,4",R16,OTHER,WS,246,Main Draw,JALIM Nandeshwaree (MRI),MOHAMED Mueena (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,PICARD Audrey,SHAREEF Aminath,4,1,"11,18,8,11,11|7,16,11,8,7",QuarterFinal,OTHER,WS,246,Main Draw,SHAREEF Aminath (MDV),PICARD Audrey (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,RIVIERE Murielle,FOLIO Colyne,4,3,"9,12,11,10,11,11|11,14,8,12,7,9",QuarterFinal,OTHER,WS,246,Main Draw,RIVIERE Murielle (FRA),FOLIO Colyne (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,BENSTRONG Anniesa,SANTANON Chloe,4,3,"11,11,9,8,7,11|6,5,11,11,11,6",QuarterFinal,OTHER,WS,246,Main Draw,BENSTRONG Anniesa (SEY),SANTANON Chloe (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,MOHAMED Mueena,RATSIMBAZAFY Tiana,4,0,"11,11,11,11|4,3,7,4",QuarterFinal,OTHER,WS,246,Main Draw,RATSIMBAZAFY Tiana (MAD),MOHAMED Mueena (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,PICARD Audrey,RIVIERE Murielle,4,2,"11,6,15,11,6,12|6,11,13,6,11,10",SemiFinal,OTHER,WS,246,Main Draw,PICARD Audrey (FRA),RIVIERE Murielle (FRA)
Indian Ocean Island Games Reunion 2015,2015-08-02,BENSTRONG Anniesa,MOHAMED Mueena,4,1,"11,11,8,11,11|9,6,11,8,8",SemiFinal,OTHER,WS,246,Main Draw,BENSTRONG Anniesa (SEY),MOHAMED Mueena (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,BENSTRONG Anniesa,PICARD Audrey,4,1,"10,14,14,11,11|12,12,12,6,8",Final,OTHER,WS,246,Main Draw,PICARD Audrey (FRA),BENSTRONG Anniesa (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,RIVIERE Murielle,MOHAMED Mueena,4,2,"3,12,11,12,11,11|11,10,8,10,13,7",2,OTHER,WS,246,Position Draw,RIVIERE Murielle (FRA),MOHAMED Mueena (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,NASEEM Mohamed,LABLACHE Marrio,4,2,"6,11,11,8,11,12|11,8,7,11,8,10",,OTHER,MS,246,Qualification,NASEEM Mohamed (MDV),LABLACHE Marrio (SEY)
Indian Ocean Island Games Reunion 2015,2015-08-02,RAZAFINDRALAMBO Zo,MA AAD Ahmed,4,0,"11,11,11,11|2,7,5,7",,OTHER,MS,246,Qualification,RAZAFINDRALAMBO Zo (MAD),MA AAD Ahmed (MDV)
Indian Ocean Island Games Reunion 2015,2015-08-02,CHAN YOOK FO Brian,RAZAFINDRALAMBO Zo,4,2,"11,11,6,11,8,11|9,5,11,4,11,5",,OTHER,MS,246,Qualification,RAZAFINDRALAMBO Zo (MAD),CHAN YOOK FO Brian (MRI)
