tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
South East Asian Games Singapore 2015,2015-06-01,LI Isabelle Siyun,SAN Khin Kaung,3,0,"11,11,11|4,1,1",,OTHER,WS,232,Qualification,LI Isabelle Siyun (SGP),SAN Khin Kaung (MYA),LI Isabelle Siyun
South East Asian Games Singapore 2015,2015-06-01,NGUYEN Thi Nga,DOUANGPANYA Seangdavieng,3,0,"11,13,11|9,11,9",,OTHER,WS,232,Qualification,DOUANGPANYA Seangdavieng (LAO),NGUYEN Thi Nga (VIE),NGUYEN Thi Nga
South East Asian Games Singapore 2015,2015-06-01,NGUYEN Thi Nga,LI Isabelle Siyun,3,2,"9,12,7,14|11,10,11,12",,OTHER,WS,232,Qualification,LI Isabelle Siyun (SGP),NGUYEN Thi Nga (VIE),NGUYEN Thi Nga
South East Asian Games Singapore 2015,2015-06-01,DOUANGPANYA Seangdavieng,SAN Khin Kaung,3,0,"11,11,11|7,1,3",,OTHER,WS,232,Qualification,DOUANGPANYA Seangdavieng (LAO),SAN Khin Kaung (MYA),DOUANGPANYA Seangdavieng
South East Asian Games Singapore 2015,2015-06-01,LI Isabelle Siyun,DOUANGPANYA Seangdavieng,3,0,"11,11,11|4,7,8",,OTHER,WS,232,Qualification,LI Isabelle Siyun (SGP),DOUANGPANYA Seangdavieng (LAO),LI Isabelle Siyun
South East Asian Games Singapore 2015,2015-06-01,NGUYEN Thi Nga,SAN Khin Kaung,3,0,"11,11,11|3,4,7",,OTHER,WS,232,Qualification,SAN Khin Kaung (MYA),NGUYEN Thi Nga (VIE),NGUYEN Thi Nga
South East Asian Games Singapore 2015,2015-06-01,MAI Trang,BALATBAT Sendrina,3,0,"11,11,11|7,5,6",,OTHER,WS,232,Qualification,MAI Trang (VIE),BALATBAT Sendrina (PHI),MAI Trang
South East Asian Games Singapore 2015,2015-06-01,LEE Rou You,SANNIVAD Thipphalak,3,0,"11,11,11|5,3,5",,OTHER,WS,232,Qualification,LEE Rou You (MAS),SANNIVAD Thipphalak (LAO),LEE Rou You
South East Asian Games Singapore 2015,2015-06-01,MAI Trang,SANNIVAD Thipphalak,3,0,"11,12,11|4,10,2",,OTHER,WS,232,Qualification,MAI Trang (VIE),SANNIVAD Thipphalak (LAO),MAI Trang
South East Asian Games Singapore 2015,2015-06-01,LEE Rou You,BALATBAT Sendrina,3,1,"11,6,11,11|4,11,6,3",,OTHER,WS,232,Qualification,LEE Rou You (MAS),BALATBAT Sendrina (PHI),LEE Rou You
South East Asian Games Singapore 2015,2015-06-01,MAI Trang,LEE Rou You,3,0,"11,11,11|7,6,8",,OTHER,WS,232,Qualification,MAI Trang (VIE),LEE Rou You (MAS),MAI Trang
South East Asian Games Singapore 2015,2015-06-01,BALATBAT Sendrina,SANNIVAD Thipphalak,3,0,"17,11,11|15,5,5",,OTHER,WS,232,Qualification,BALATBAT Sendrina (PHI),SANNIVAD Thipphalak (LAO),BALATBAT Sendrina
South East Asian Games Singapore 2015,2015-06-01,FENG Tianwei,LARIBA Ian,3,0,"11,11,11|6,6,2",,OTHER,WS,232,Qualification,FENG Tianwei (SGP),LARIBA Ian (PHI),FENG Tianwei
South East Asian Games Singapore 2015,2015-06-01,SAWETTABUT Suthasini,OKTARIYANI Novita,3,0,"11,11,11|1,7,5",,OTHER,WS,232,Qualification,SAWETTABUT Suthasini (THA),OKTARIYANI Novita (INA),SAWETTABUT Suthasini
South East Asian Games Singapore 2015,2015-06-01,FENG Tianwei,OKTARIYANI Novita,3,0,"11,11,11|3,1,5",,OTHER,WS,232,Qualification,FENG Tianwei (SGP),OKTARIYANI Novita (INA),FENG Tianwei
South East Asian Games Singapore 2015,2015-06-01,SAWETTABUT Suthasini,LARIBA Ian,3,0,"11,12,11|6,10,7",,OTHER,WS,232,Qualification,SAWETTABUT Suthasini (THA),LARIBA Ian (PHI),SAWETTABUT Suthasini
South East Asian Games Singapore 2015,2015-06-01,SAWETTABUT Suthasini,FENG Tianwei,3,1,"9,12,11,11|11,10,7,9",,OTHER,WS,232,Qualification,FENG Tianwei (SGP),SAWETTABUT Suthasini (THA),SAWETTABUT Suthasini
South East Asian Games Singapore 2015,2015-06-01,LARIBA Ian,OKTARIYANI Novita,3,0,"11,11,11|5,8,7",,OTHER,WS,232,Qualification,LARIBA Ian (PHI),OKTARIYANI Novita (INA),LARIBA Ian
South East Asian Games Singapore 2015,2015-06-01,KOMWONG Nanthana,DWIJAYANTI Gustin,3,1,"12,11,7,11|10,4,11,4",,OTHER,WS,232,Qualification,KOMWONG Nanthana (THA),DWIJAYANTI Gustin (INA),KOMWONG Nanthana
South East Asian Games Singapore 2015,2015-06-01,NG Sock Khim,AYE Thida Pyone,3,0,"11,11,11|6,3,4",,OTHER,WS,232,Qualification,NG Sock Khim (MAS),AYE Thida Pyone (MYA),NG Sock Khim
South East Asian Games Singapore 2015,2015-06-01,KOMWONG Nanthana,AYE Thida Pyone,3,0,"11,11,11|4,3,2",,OTHER,WS,232,Qualification,KOMWONG Nanthana (THA),AYE Thida Pyone (MYA),KOMWONG Nanthana
South East Asian Games Singapore 2015,2015-06-01,NG Sock Khim,DWIJAYANTI Gustin,3,0,"13,11,11|11,3,6",,OTHER,WS,232,Qualification,NG Sock Khim (MAS),DWIJAYANTI Gustin (INA),NG Sock Khim
South East Asian Games Singapore 2015,2015-06-01,NG Sock Khim,KOMWONG Nanthana,3,2,"6,11,11,7|11,9,8,11",,OTHER,WS,232,Qualification,KOMWONG Nanthana (THA),NG Sock Khim (MAS),NG Sock Khim
South East Asian Games Singapore 2015,2015-06-01,DWIJAYANTI Gustin,AYE Thida Pyone,3,0,"11,11,11|2,3,4",,OTHER,WS,232,Qualification,DWIJAYANTI Gustin (INA),AYE Thida Pyone (MYA),DWIJAYANTI Gustin
South East Asian Games Singapore 2015,2015-06-01,NG Sock Khim,NGUYEN Thi Nga,4,0,"11,14,11,11|8,12,7,4",SF,OTHER,WS,232,Main Draw,NGUYEN Thi Nga (VIE),NG Sock Khim (MAS),NG Sock Khim
South East Asian Games Singapore 2015,2015-06-01,SAWETTABUT Suthasini,MAI Trang,4,3,"16,10,9,13|18,12,11,11",SF,OTHER,WS,232,Main Draw,SAWETTABUT Suthasini (THA),MAI Trang (VIE),SAWETTABUT Suthasini
South East Asian Games Singapore 2015,2015-06-01,SAWETTABUT Suthasini,NG Sock Khim,4,3,"7,11,11,9|11,5,8,11",F,OTHER,WS,232,Main Draw,NG Sock Khim (MAS),SAWETTABUT Suthasini (THA),SAWETTABUT Suthasini
South East Asian Games Singapore 2015,2015-06-01,LE Tien Dat,LATT Thet Ko Ko,3,0,"11,11,11|5,7,7",,OTHER,MS,232,Qualification,LE Tien Dat (VIE),LATT Thet Ko Ko (MYA),LE Tien Dat
South East Asian Games Singapore 2015,2015-06-01,TANVIRIYAVECHAKUL Padasak,JACOLO Ryan Rodney,3,0,"14,11,11|12,5,6",,OTHER,MS,232,Qualification,TANVIRIYAVECHAKUL Padasak (THA),JACOLO Ryan Rodney (PHI),TANVIRIYAVECHAKUL Padasak
South East Asian Games Singapore 2015,2015-06-01,LE Tien Dat,JACOLO Ryan Rodney,3,0,"11,11,11|7,3,8",,OTHER,MS,232,Qualification,LE Tien Dat (VIE),JACOLO Ryan Rodney (PHI),LE Tien Dat
South East Asian Games Singapore 2015,2015-06-01,TANVIRIYAVECHAKUL Padasak,LATT Thet Ko Ko,3,0,"14,11,14|12,6,12",,OTHER,MS,232,Qualification,TANVIRIYAVECHAKUL Padasak (THA),LATT Thet Ko Ko (MYA),TANVIRIYAVECHAKUL Padasak
South East Asian Games Singapore 2015,2015-06-01,TANVIRIYAVECHAKUL Padasak,LE Tien Dat,3,1,"16,11,11,11|18,4,8,7",,OTHER,MS,232,Qualification,LE Tien Dat (VIE),TANVIRIYAVECHAKUL Padasak (THA),TANVIRIYAVECHAKUL Padasak
South East Asian Games Singapore 2015,2015-06-01,LATT Thet Ko Ko,JACOLO Ryan Rodney,3,2,"2,11,9,12|11,5,11,10",,OTHER,MS,232,Qualification,LATT Thet Ko Ko (MYA),JACOLO Ryan Rodney (PHI),LATT Thet Ko Ko
South East Asian Games Singapore 2015,2015-06-01,CHEW Clarence,KONGPHET Phinith,3,1,"6,11,11,11|11,7,6,3",,OTHER,MS,232,Qualification,CHEW Clarence (SGP),KONGPHET Phinith (LAO),CHEW Clarence
South East Asian Games Singapore 2015,2015-06-01,IBRAHIM Muhd Shakirin,NAY Saravey,3,0,"11,11,11|6,4,8",,OTHER,MS,232,Qualification,IBRAHIM Muhd Shakirin (MAS),NAY Saravey (CAM),IBRAHIM Muhd Shakirin
South East Asian Games Singapore 2015,2015-06-01,CHEW Clarence,NAY Saravey,3,0,"11,11,11|3,3,5",,OTHER,MS,232,Qualification,CHEW Clarence (SGP),NAY Saravey (CAM),CHEW Clarence
South East Asian Games Singapore 2015,2015-06-01,IBRAHIM Muhd Shakirin,KONGPHET Phinith,3,0,"11,11,11|7,8,8",,OTHER,MS,232,Qualification,IBRAHIM Muhd Shakirin (MAS),KONGPHET Phinith (LAO),IBRAHIM Muhd Shakirin
South East Asian Games Singapore 2015,2015-06-01,CHEW Clarence,IBRAHIM Muhd Shakirin,3,2,"9,11,11,11|11,9,7,13",,OTHER,MS,232,Qualification,CHEW Clarence (SGP),IBRAHIM Muhd Shakirin (MAS),CHEW Clarence
South East Asian Games Singapore 2015,2015-06-01,NAY Saravey,KONGPHET Phinith,3,1,"11,8,11,11|7,11,4,8",,OTHER,MS,232,Qualification,KONGPHET Phinith (LAO),NAY Saravey (CAM),NAY Saravey
South East Asian Games Singapore 2015,2015-06-01,GONZALES Richard,PHATHAPHONE Thavisack,3,0,"11,11,11|2,4,4",,OTHER,MS,232,Qualification,GONZALES Richard (PHI),PHATHAPHONE Thavisack (LAO),GONZALES Richard
South East Asian Games Singapore 2015,2015-06-01,SANTOSO Ficky,HAIQAL Muhamad Ashraf,3,0,"11,11,12|9,6,10",,OTHER,MS,232,Qualification,HAIQAL Muhamad Ashraf (MAS),SANTOSO Ficky (INA),SANTOSO Ficky
South East Asian Games Singapore 2015,2015-06-01,GONZALES Richard,SANTOSO Ficky,3,2,"6,11,11,6|11,7,8,11",,OTHER,MS,232,Qualification,GONZALES Richard (PHI),SANTOSO Ficky (INA),GONZALES Richard
South East Asian Games Singapore 2015,2015-06-01,TRAN Tuan Quynh,HAIQAL Muhamad Ashraf,3,0,"11,11,11|6,9,4",,OTHER,MS,232,Qualification,HAIQAL Muhamad Ashraf (MAS),TRAN Tuan Quynh (VIE),TRAN Tuan Quynh
South East Asian Games Singapore 2015,2015-06-01,HAIQAL Muhamad Ashraf,PHATHAPHONE Thavisack,3,1,"11,7,11,11|7,11,8,6",,OTHER,MS,232,Qualification,HAIQAL Muhamad Ashraf (MAS),PHATHAPHONE Thavisack (LAO),HAIQAL Muhamad Ashraf
South East Asian Games Singapore 2015,2015-06-01,TRAN Tuan Quynh,SANTOSO Ficky,3,0,"11,11,11|6,9,8",,OTHER,MS,232,Qualification,TRAN Tuan Quynh (VIE),SANTOSO Ficky (INA),TRAN Tuan Quynh
South East Asian Games Singapore 2015,2015-06-01,GONZALES Richard,TRAN Tuan Quynh,3,0,"11,11,15|3,6,13",,OTHER,MS,232,Qualification,GONZALES Richard (PHI),TRAN Tuan Quynh (VIE),GONZALES Richard
South East Asian Games Singapore 2015,2015-06-01,SANTOSO Ficky,PHATHAPHONE Thavisack,3,0,"11,11,11|4,8,9",,OTHER,MS,232,Qualification,PHATHAPHONE Thavisack (LAO),SANTOSO Ficky (INA),SANTOSO Ficky
South East Asian Games Singapore 2015,2015-06-01,GONZALES Richard,HAIQAL Muhamad Ashraf,3,0,"11,11,11|2,4,3",,OTHER,MS,232,Qualification,GONZALES Richard (PHI),HAIQAL Muhamad Ashraf (MAS),GONZALES Richard
South East Asian Games Singapore 2015,2015-06-01,TRAN Tuan Quynh,PHATHAPHONE Thavisack,3,0,"11,11,11|8,9,4",,OTHER,MS,232,Qualification,PHATHAPHONE Thavisack (LAO),TRAN Tuan Quynh (VIE),TRAN Tuan Quynh
