tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,KNIGHT Tyrese,DELEPINE Samuel,3,0,"11,11,11|5,7,8",,OTHER,MT,378,Main Draw,KNIGHT Tyrese (BAR),DELEPINE Samuel (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,DOOKRAM Yuvraaj,DELEPINE Samuel,3,2,"11,10,8,14,11|6,12,11,12,3",,OTHER,MT,378,Qualification,DELEPINE Samuel (FRA),DOOKRAM Yuvraaj (TTO)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,DELEPINE Samuel,DALNOOT Michael,3,0,"11,15,11|6,13,9",,OTHER,MT,378,Qualification,DELEPINE Samuel (FRA),DALNOOT Michael (CUW)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BERRIOS Hector,DELEPINE Samuel,3,0,"11,11,11|6,4,5",,OTHER,MT,378,Qualification,DELEPINE Samuel (FRA),BERRIOS Hector (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRITO Eva,ROJAS Dahyana,3,0,"11,11,11|2,5,2",,OTHER,WS,378,Qualification,BRITO Eva (DOM),ROJAS Dahyana (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRITO Eva,SANCHEZ Mileysha,3,0,"11,11,11|3,4,7",,OTHER,WS,378,Qualification,BRITO Eva (DOM),SANCHEZ Mileysha (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ROJAS Dahyana,SANCHEZ Mileysha,3,1,"13,9,11,11|11,11,8,6",,OTHER,WS,378,Qualification,SANCHEZ Mileysha (PUR),ROJAS Dahyana (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CORDERO Carelyn,WALTON Danielle,3,0,"11,11,11|4,6,6",,OTHER,WS,378,Qualification,CORDERO Carelyn (PUR),WALTON Danielle (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CASTRO Esmerlyn,TORRES Rosa,3,0,"11,11,11|4,6,3",,OTHER,WS,378,Qualification,CASTRO Esmerlyn (DOM),TORRES Rosa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CASTRO Esmerlyn,CORDERO Carelyn,3,2,"11,13,7,4,11|5,11,11,11,8",,OTHER,WS,378,Qualification,CORDERO Carelyn (PUR),CASTRO Esmerlyn (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,TORRES Rosa,WALTON Danielle,3,0,"12,11,11|10,8,7",,OTHER,WS,378,Qualification,WALTON Danielle (BAR),TORRES Rosa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CORDERO Carelyn,TORRES Rosa,3,0,"11,11,11|6,7,2",,OTHER,WS,378,Qualification,CORDERO Carelyn (PUR),TORRES Rosa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CASTRO Esmerlyn,WALTON Danielle,3,0,"11,11,11|2,5,1",,OTHER,WS,378,Qualification,CASTRO Esmerlyn (DOM),WALTON Danielle (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VALDEZ Johenny,LEWIS Janae,3,0,"11,11,11|3,7,5",,OTHER,WS,378,Qualification,VALDEZ Johenny (DOM),LEWIS Janae (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,PARTAP Linda,AVRILA Mevene,3,2,"9,12,11,11,11|11,14,7,7,7",,OTHER,WS,378,Qualification,PARTAP Linda (TTO),AVRILA Mevene (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VALDEZ Johenny,PARTAP Linda,3,0,"11,11,11|4,3,1",,OTHER,WS,378,Qualification,VALDEZ Johenny (DOM),PARTAP Linda (TTO)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,LEWIS Janae,AVRILA Mevene,3,0,"11,11,11|8,9,9",,OTHER,WS,378,Qualification,LEWIS Janae (BAR),AVRILA Mevene (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VALDEZ Johenny,AVRILA Mevene,3,0,"11,11,11|5,4,4",,OTHER,WS,378,Qualification,VALDEZ Johenny (DOM),AVRILA Mevene (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,LEWIS Janae,PARTAP Linda,3,0,"11,11,11|6,9,8",,OTHER,WS,378,Qualification,PARTAP Linda (TTO),LEWIS Janae (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ORTIZ Yasiris,BAEZ Idelsa,3,0,"11,11,11|8,8,6",,OTHER,WS,378,Qualification,ORTIZ Yasiris (DOM),BAEZ Idelsa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,JOSEPH Brittany,DIAZ Yamillette,3,0,"11,11,11|9,8,8",,OTHER,WS,378,Qualification,JOSEPH Brittany (TTO),DIAZ Yamillette (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ORTIZ Yasiris,JOSEPH Brittany,3,1,"11,11,9,11|6,5,11,4",,OTHER,WS,378,Qualification,ORTIZ Yasiris (DOM),JOSEPH Brittany (TTO)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BAEZ Idelsa,DIAZ Yamillette,3,0,"11,11,11|8,9,8",,OTHER,WS,378,Qualification,BAEZ Idelsa (DOM),DIAZ Yamillette (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ORTIZ Yasiris,DIAZ Yamillette,3,1,"11,9,11,11|6,11,5,7",,OTHER,WS,378,Qualification,ORTIZ Yasiris (DOM),DIAZ Yamillette (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BAEZ Idelsa,JOSEPH Brittany,3,0,"11,11,11|5,8,6",,OTHER,WS,378,Qualification,JOSEPH Brittany (TTO),BAEZ Idelsa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANABRIA Paola,DIAZ Kircia,3,0,"11,11,11|5,6,8",,OTHER,WS,378,Qualification,SANABRIA Paola (PUR),DIAZ Kircia (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,EDWARDS Aleena,GRIFFITH Jazel,3,0,"11,11,11|7,4,8",,OTHER,WS,378,Qualification,EDWARDS Aleena (TTO),GRIFFITH Jazel (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANABRIA Paola,EDWARDS Aleena,3,2,"11,12,10,7,11|9,10,12,11,8",,OTHER,WS,378,Qualification,SANABRIA Paola (PUR),EDWARDS Aleena (TTO)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,DIAZ Kircia,GRIFFITH Jazel,3,0,"11,11,11|2,7,9",,OTHER,WS,378,Qualification,DIAZ Kircia (DOM),GRIFFITH Jazel (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANABRIA Paola,GRIFFITH Jazel,3,0,"11,11,11|5,3,4",,OTHER,WS,378,Qualification,SANABRIA Paola (PUR),GRIFFITH Jazel (BAR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,DIAZ Kircia,EDWARDS Aleena,3,2,"6,11,4,16,11|11,9,11,14,8",,OTHER,WS,378,Qualification,EDWARDS Aleena (TTO),DIAZ Kircia (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CORDERO Carelyn,BAEZ Idelsa,3,0,"11,11,11|8,9,9",R16,OTHER,WS,378,Main Draw,CORDERO Carelyn (PUR),BAEZ Idelsa (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANABRIA Paola,ROJAS Dahyana,3,0,"11,11,11|9,9,9",R16,OTHER,WS,378,Main Draw,ROJAS Dahyana (DOM),SANABRIA Paola (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRITO Eva,DIAZ Kircia,4,0,"11,11,11,11|7,7,4,7",QuarterFinal,OTHER,WS,378,Main Draw,BRITO Eva (DOM),DIAZ Kircia (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CORDERO Carelyn,VALDEZ Johenny,4,3,"8,11,8,11,11|11,8,11,7,9",QuarterFinal,OTHER,WS,378,Main Draw,CORDERO Carelyn (PUR),VALDEZ Johenny (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ORTIZ Yasiris,SANABRIA Paola,4,3,"11,11,11,11,11|6,5,4,9,9",QuarterFinal,OTHER,WS,378,Main Draw,ORTIZ Yasiris (DOM),SANABRIA Paola (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,CASTRO Esmerlyn,LEWIS Janae,4,0,"11,11,11,12|5,6,9,10",QuarterFinal,OTHER,WS,378,Main Draw,LEWIS Janae (BAR),CASTRO Esmerlyn (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRITO Eva,CORDERO Carelyn,4,1,"11,11,11,11,11|4,6,13,7,9",SemiFinal,OTHER,WS,378,Main Draw,BRITO Eva (DOM),CORDERO Carelyn (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ORTIZ Yasiris,CASTRO Esmerlyn,4,3,"11,9,8,11,11|5,11,11,2,6",SemiFinal,OTHER,WS,378,Main Draw,ORTIZ Yasiris (DOM),CASTRO Esmerlyn (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRITO Eva,ORTIZ Yasiris,4,1,"11,11,5,11,11|6,4,11,4,5",Final,OTHER,WS,378,Main Draw,BRITO Eva (DOM),ORTIZ Yasiris (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANTOS Emil,ALBERT Adrian,3,0,"11,11,11|5,4,5",,OTHER,MS,378,Qualification,SANTOS Emil (DOM),ALBERT Adrian (LCA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,SANTOS Emil,ELIE-DIT-COSAQUE Fabrice,3,0,"11,11,11|4,5,6",,OTHER,MS,378,Qualification,SANTOS Emil (DOM),ELIE-DIT-COSAQUE Fabrice (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,ALBERT Adrian,ELIE-DIT-COSAQUE Fabrice,3,0,"11,11,11|6,6,4",,OTHER,MS,378,Qualification,ELIE-DIT-COSAQUE Fabrice (FRA),ALBERT Adrian (LCA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BERRIOS Hector,TORIBIO Jose,3,0,"11,11,11|2,6,9",,OTHER,MS,378,Qualification,BERRIOS Hector (PUR),TORIBIO Jose (DOM)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,TORIBIO Jose,DELEPINE Samuel,3,0,"11,15,11|3,13,4",,OTHER,MS,378,Qualification,TORIBIO Jose (DOM),DELEPINE Samuel (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,GALVEZ Samuel,MATHILDA Jaysron,3,0,"11,11,11|7,3,3",,OTHER,MS,378,Qualification,GALVEZ Samuel (DOM),MATHILDA Jaysron (CUW)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,GALVEZ Samuel,ST. CYR Mario,3,0,"11,11,11|6,3,7",,OTHER,MS,378,Qualification,GALVEZ Samuel (DOM),ST. CYR Mario (LCA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,MATHILDA Jaysron,ST. CYR Mario,3,2,"11,11,7,8,11|8,8,11,11,8",,OTHER,MS,378,Qualification,ST. CYR Mario (LCA),MATHILDA Jaysron (CUW)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VILA Isaac,GONZALEZ Gustavo,3,2,"8,11,11,10,11|11,9,8,12,4",,OTHER,MS,378,Qualification,VILA Isaac (DOM),GONZALEZ Gustavo (PUR)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRYAN Nigel,VICTORIN Christian,3,1,"11,7,11,13|4,11,5,11",,OTHER,MS,378,Qualification,VICTORIN Christian (FRA),BRYAN Nigel (GUY)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VILA Isaac,VICTORIN Christian,3,0,"11,11,11|4,3,7",,OTHER,MS,378,Qualification,VILA Isaac (DOM),VICTORIN Christian (FRA)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,BRYAN Nigel,GONZALEZ Gustavo,3,1,"11,8,12,11|7,11,10,5",,OTHER,MS,378,Qualification,GONZALEZ Gustavo (PUR),BRYAN Nigel (GUY)
Caribbean Senior Championships Santo Domingo 2016,2016-09-03,VILA Isaac,BRYAN Nigel,3,0,"11,11,11|4,8,7",,OTHER,MS,378,Qualification,VILA Isaac (DOM),BRYAN Nigel (GUY)
