tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Latin American Championships San Juan 2016,2016-02-01,CALDERANO Hugo,PIETRI Richard,4,0,"11,11,11,12|8,6,2,10",R32,OTHER,MS,153,Main Draw,CALDERANO Hugo (BRA),PIETRI Richard (PUR)
ITTF Latin American Championships San Juan 2016,2016-02-01,BLAS Bryan,TAPIA Rodrigo,4,1,"12,7,11,11,11|10,11,5,4,6",R32,OTHER,MS,153,Main Draw,TAPIA Rodrigo (ECU),BLAS Bryan (PER)
ITTF Latin American Championships San Juan 2016,2016-02-01,OLIVARES Felipe,DIAZ Luis,4,0,"11,11,11,11|8,6,7,5",R32,OTHER,MS,153,Main Draw,OLIVARES Felipe (CHI),DIAZ Luis (VEN)
ITTF Latin American Championships San Juan 2016,2016-02-01,TABACHNIK Pablo,TOMLINSON Simon,4,1,"11,13,11,9,11|9,11,8,11,5",R32,OTHER,MS,153,Main Draw,TOMLINSON Simon (JAM),TABACHNIK Pablo (ARG)
ITTF Latin American Championships San Juan 2016,2016-02-01,RODRIGUEZ Diego,AGUIRRE Marcelo,4,0,"11,11,11,12|5,9,6,10",R32,OTHER,MS,153,Main Draw,AGUIRRE Marcelo (PAR),RODRIGUEZ Diego (PER)
ITTF Latin American Championships San Juan 2016,2016-02-01,MANHANI Humberto,MEDINA Jan,4,1,"11,11,11,7,11|6,4,4,11,1",R32,OTHER,MS,153,Main Draw,MEDINA Jan (VEN),MANHANI Humberto (BRA)
ITTF Latin American Championships San Juan 2016,2016-02-01,CIFUENTES Horacio,COELLO Geovanny,4,1,"16,11,10,11,11|14,9,12,8,2",R32,OTHER,MS,153,Main Draw,CIFUENTES Horacio (ARG),COELLO Geovanny (ECU)
ITTF Latin American Championships San Juan 2016,2016-02-01,AFANADOR Brian,AVI-TAL Omer,4,2,"11,7,11,11,7,11|8,11,6,3,11,8",R32,OTHER,MS,153,Main Draw,AVI-TAL Omer (PAN),AFANADOR Brian (PUR)
ITTF Latin American Championships San Juan 2016,2016-02-01,MINO Alberto,MOSCOSO Heber,4,0,"11,11,11,11|5,7,2,3",R32,OTHER,MS,153,Main Draw,MINO Alberto (ECU),MOSCOSO Heber (GUA)
ITTF Latin American Championships San Juan 2016,2016-02-01,ISHIY Vitor,GOMEZ Gustavo,4,0,"11,11,11,11|6,1,4,9",R32,OTHER,MS,153,Main Draw,GOMEZ Gustavo (CHI),ISHIY Vitor (BRA)
ITTF Latin American Championships San Juan 2016,2016-02-01,BERRIOS Hector,NAVAS Marco,4,3,"9,7,12,12,6,14,11|11,11,10,10,11,12,6",R32,OTHER,MS,153,Main Draw,NAVAS Marco (VEN),BERRIOS Hector (PUR)
ITTF Latin American Championships San Juan 2016,2016-02-01,ALTO Gaston,URIBE Salvador,4,0,"14,11,11,11|12,4,7,7",R32,OTHER,MS,153,Main Draw,URIBE Salvador (MEX),ALTO Gaston (ARG)
ITTF Latin American Championships San Juan 2016,2016-02-01,JOUTI Eric,GALVEZ Samuel,4,0,"11,11,12,11|9,8,10,8",R32,OTHER,MS,153,Main Draw,JOUTI Eric (BRA),GALVEZ Samuel (DOM)
ITTF Latin American Championships San Juan 2016,2016-02-01,GONZALEZ Daniel,HYATT Michael,4,1,"9,11,11,11,11|11,4,4,0,0",R32,OTHER,MS,153,Main Draw,GONZALEZ Daniel (PUR),HYATT Michael (JAM)
ITTF Latin American Championships San Juan 2016,2016-02-01,CALDERANO Hugo,BLAS Bryan,4,0,"13,11,11,11|11,6,8,6",R16,OTHER,MS,153,Main Draw,CALDERANO Hugo (BRA),BLAS Bryan (PER)
ITTF Latin American Championships San Juan 2016,2016-02-01,OLIVARES Felipe,TABACHNIK Pablo,4,0,"11,11,11,13|5,6,7,11",R16,OTHER,MS,153,Main Draw,OLIVARES Felipe (CHI),TABACHNIK Pablo (ARG)
ITTF Latin American Championships San Juan 2016,2016-02-01,RODRIGUEZ Diego,MANHANI Humberto,4,0,"11,11,11,11|9,8,9,3",R16,OTHER,MS,153,Main Draw,RODRIGUEZ Diego (PER),MANHANI Humberto (BRA)
ITTF Latin American Championships San Juan 2016,2016-02-01,CIFUENTES Horacio,AFANADOR Brian,4,0,"12,11,12,11|10,6,10,5",R16,OTHER,MS,153,Main Draw,CIFUENTES Horacio (ARG),AFANADOR Brian (PUR)
ITTF Latin American Championships San Juan 2016,2016-02-01,MINO Alberto,ISHIY Vitor,4,0,"11,11,11,11|7,4,3,6",R16,OTHER,MS,153,Main Draw,MINO Alberto (ECU),ISHIY Vitor (BRA)
ITTF Latin American Championships San Juan 2016,2016-02-01,BERRIOS Hector,ALTO Gaston,4,2,"11,11,11,11,11,11|13,8,13,6,4,5",R16,OTHER,MS,153,Main Draw,BERRIOS Hector (PUR),ALTO Gaston (ARG)
ITTF Latin American Championships San Juan 2016,2016-02-01,JOUTI Eric,GILABERT Rodrigo,4,0,"11,11,12,11|7,7,10,6",R16,OTHER,MS,153,Main Draw,JOUTI Eric (BRA),GILABERT Rodrigo (ARG)
ITTF Latin American Championships San Juan 2016,2016-02-01,MADRID Marcos,GONZALEZ Daniel,4,1,"11,13,10,11,11|5,11,12,2,8",R16,OTHER,MS,153,Main Draw,GONZALEZ Daniel (PUR),MADRID Marcos (MEX)
ITTF Latin American Championships San Juan 2016,2016-02-01,CALDERANO Hugo,OLIVARES Felipe,4,0,"11,11,11,11|7,4,9,7",QuarterFinal,OTHER,MS,153,Main Draw,CALDERANO Hugo (BRA),OLIVARES Felipe (CHI)
ITTF Latin American Championships San Juan 2016,2016-02-01,CIFUENTES Horacio,RODRIGUEZ Diego,4,2,"11,11,9,6,11,11|6,7,11,11,9,9",QuarterFinal,OTHER,MS,153,Main Draw,RODRIGUEZ Diego (PER),CIFUENTES Horacio (ARG)
