tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CALDERANO Hugo,SANTOS Emil,4,0,"11,11,11,13|4,9,2,11",,OTHER,MS,187,Qualification,CALDERANO Hugo (BRA),SANTOS Emil (DOM)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CALDERANO Hugo,CAMPOS Jorge,4,3,"11,7,11,12,9,9,11|5,11,7,10,11,11,1",,OTHER,MS,187,Qualification,CALDERANO Hugo (BRA),CAMPOS Jorge (CUB)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CAMPOS Jorge,SANTOS Emil,4,0,"11,11,11,11|7,7,9,5",,OTHER,MS,187,Qualification,CAMPOS Jorge (CUB),SANTOS Emil (DOM)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MADRID Marcos,DONADO Josue,4,0,"11,11,11,11|4,2,6,5",,OTHER,MS,187,Qualification,MADRID Marcos (MEX),DONADO Josue (ESA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MADRID Marcos,TABACHNIK Pablo,4,2,"11,11,8,12,8,11|3,6,11,10,11,2",,OTHER,MS,187,Qualification,MADRID Marcos (MEX),TABACHNIK Pablo (ARG)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,DONADO Josue,TABACHNIK Pablo,4,1,"5,11,11,13,14|11,7,9,11,12",,OTHER,MS,187,Qualification,TABACHNIK Pablo (ARG),DONADO Josue (ESA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,PEREIRA Andy,MOSCOSO Heber,4,0,"14,11,11,11|12,2,7,6",,OTHER,MS,187,Qualification,PEREIRA Andy (CUB),MOSCOSO Heber (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MINO Alberto,PEREIRA Andy,4,2,"11,12,8,13,11,11|5,14,11,11,8,5",,OTHER,MS,187,Qualification,PEREIRA Andy (CUB),MINO Alberto (ECU)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MINO Alberto,MOSCOSO Heber,4,0,"11,11,11,11|7,4,7,3",,OTHER,MS,187,Qualification,MINO Alberto (ECU),MOSCOSO Heber (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,JOUTI Eric,GUTIERREZ Allan,4,1,"13,11,11,11,11|15,4,4,5,3",,OTHER,MS,187,Qualification,JOUTI Eric (BRA),GUTIERREZ Allan (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,JOUTI Eric,GONZALEZ Daniel,4,3,"11,8,11,6,11,5,11|5,11,6,11,5,11,8",,OTHER,MS,187,Qualification,JOUTI Eric (BRA),GONZALEZ Daniel (PUR)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,GUTIERREZ Allan,GONZALEZ Daniel,4,3,"12,10,11,6,11,6,11|10,12,8,11,7,11,9",,OTHER,MS,187,Qualification,GONZALEZ Daniel (PUR),GUTIERREZ Allan (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,KUMAHARA Luca,RAMIRIOS Estefania,4,1,"11,8,12,11,11|3,11,10,5,7",,OTHER,WS,187,Qualification,KUMAHARA Luca (BRA),RAMIRIOS Estefania (ESA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,KUMAHARA Luca,VEGA Paulina,4,0,"12,11,11,11|10,8,0,3",,OTHER,WS,187,Qualification,KUMAHARA Luca (BRA),VEGA Paulina (CHI)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,VEGA Paulina,RAMIRIOS Estefania,4,3,"9,11,9,11,7,11,11|11,4,11,9,11,3,6",,OTHER,WS,187,Qualification,VEGA Paulina (CHI),RAMIRIOS Estefania (ESA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,SILVA Yadira,LOVET Idalys,4,3,"7,11,12,9,11,3,11|11,6,10,11,7,11,8",,OTHER,WS,187,Qualification,SILVA Yadira (MEX),LOVET Idalys (CUB)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,SILVA Yadira,ARVELO Gremlis,4,3,"11,8,12,6,11,9,12|9,11,10,11,6,11,10",,OTHER,WS,187,Qualification,SILVA Yadira (MEX),ARVELO Gremlis (VEN)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,ARVELO Gremlis,LOVET Idalys,4,2,"11,6,11,8,11,11|8,11,7,11,8,7",,OTHER,WS,187,Qualification,ARVELO Gremlis (VEN),LOVET Idalys (CUB)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,GUI Lin,CODINA Ana,4,3,"11,10,11,8,11,5,12|4,12,7,11,2,11,10",,OTHER,WS,187,Qualification,GUI Lin (BRA),CODINA Ana (ARG)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,GUI Lin,RUANO Lady,4,1,"11,11,11,5,11|3,2,4,11,7",,OTHER,WS,187,Qualification,GUI Lin (BRA),RUANO Lady (COL)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,RUANO Lady,CODINA Ana,4,2,"11,9,6,11,13,11|5,11,11,8,11,5",,OTHER,WS,187,Qualification,RUANO Lady (COL),CODINA Ana (ARG)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MEDINA Paula,ESTRADA Andrea,4,1,"11,6,13,11,11|7,11,11,7,8",,OTHER,WS,187,Qualification,MEDINA Paula (COL),ESTRADA Andrea (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MEDINA Paula,LOW Katherine,4,2,"11,5,7,11,11,11|9,11,11,5,5,9",,OTHER,WS,187,Qualification,MEDINA Paula (COL),LOW Katherine (CHI)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,LOW Katherine,ESTRADA Andrea,4,2,"11,9,10,11,11,11|3,11,12,5,6,5",,OTHER,WS,187,Qualification,LOW Katherine (CHI),ESTRADA Andrea (GUA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,RUANO Lady,KUMAHARA Luca,4,2,"11,11,5,16,11,11|5,5,11,14,13,3",QuarterFinal,OTHER,WS,187,Main Draw,KUMAHARA Luca (BRA),RUANO Lady (COL)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,ARVELO Gremlis,MEDINA Paula,4,3,"11,12,9,7,11,11,16|6,14,11,11,9,5,14",QuarterFinal,OTHER,WS,187,Main Draw,ARVELO Gremlis (VEN),MEDINA Paula (COL)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,VEGA Paulina,GUI Lin,4,3,"6,7,11,8,11,11,11|11,11,5,11,5,9,9",QuarterFinal,OTHER,WS,187,Main Draw,GUI Lin (BRA),VEGA Paulina (CHI)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,SILVA Yadira,LOW Katherine,4,1,"12,4,11,11,11|10,11,6,8,7",QuarterFinal,OTHER,WS,187,Main Draw,LOW Katherine (CHI),SILVA Yadira (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,RUANO Lady,ARVELO Gremlis,4,3,"11,6,12,11,6,11,11|4,11,14,8,11,8,7",SemiFinal,OTHER,WS,187,Main Draw,RUANO Lady (COL),ARVELO Gremlis (VEN)
