tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Eugene,MEDJUGORAC Marko,4,0,"11,11,11,11|3,2,8,6",QF,OLYMPICS,MS,176,Main Draw,WANG Eugene (CAN),MEDJUGORAC Marko (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,FENG Yijun,WANG Timothy,4,2,"9,11,11,13,7,11|11,9,6,11,11,8",QF,OLYMPICS,MS,176,Main Draw,FENG Yijun (USA),WANG Timothy (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ALGUETTI Sharon,JHA Kanak,4,3,"11,11,7,11,8,11,11|13,5,11,9,11,7,4",QF,OLYMPICS,MS,176,Main Draw,JHA Kanak (USA),ALGUETTI Sharon (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,THERIAULT Pierre-Luc,ILIJEVSKI Filip,4,2,"6,8,11,11,14,11|11,11,5,5,12,9",QF,OLYMPICS,MS,176,Main Draw,ILIJEVSKI Filip (CAN),THERIAULT Pierre-Luc (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Eugene,FENG Yijun,4,0,"11,12,11,11|6,10,4,8",SF,OLYMPICS,MS,176,Main Draw,WANG Eugene (CAN),FENG Yijun (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,THERIAULT Pierre-Luc,ALGUETTI Sharon,4,2,"11,10,11,11,4,13|8,12,9,9,11,11",SF,OLYMPICS,MS,176,Main Draw,ALGUETTI Sharon (USA),THERIAULT Pierre-Luc (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Eugene,THERIAULT Pierre-Luc,4,0,"11,11,11,11|6,4,3,6",F,OLYMPICS,MS,176,Main Draw,WANG Eugene (CAN),THERIAULT Pierre-Luc (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHANG Lily,LU Yi,4,0,"15,11,11,11|13,5,5,3",QF,OLYMPICS,WS,176,Main Draw,ZHANG Lily (USA),LU Yi (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Crystal,WANG Chen,4,2,"11,7,11,6,11,11|3,11,9,11,9,6",QF,OLYMPICS,WS,176,Main Draw,WANG Crystal (USA),WANG Chen (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHENG Jiaqi,COTE Alicia,4,0,"11,11,11,11|2,7,4,3",QF,OLYMPICS,WS,176,Main Draw,ZHENG Jiaqi (USA),COTE Alicia (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHANG Mo,LUO Anqi,4,0,"11,11,11,14|9,8,3,12",QF,OLYMPICS,WS,176,Main Draw,LUO Anqi (CAN),ZHANG Mo (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHANG Lily,WANG Crystal,4,2,"11,11,11,9,5,11|8,6,8,11,11,9",SF,OLYMPICS,WS,176,Main Draw,ZHANG Lily (USA),WANG Crystal (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHENG Jiaqi,ZHANG Mo,4,3,"7,7,11,11,6,11,12|11,11,5,2,11,3,10",SF,OLYMPICS,WS,176,Main Draw,ZHENG Jiaqi (USA),ZHANG Mo (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHANG Lily,ZHENG Jiaqi,4,0,"11,11,11,11|3,4,5,9",F,OLYMPICS,WS,176,Main Draw,ZHANG Lily (USA),ZHENG Jiaqi (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ALGUETTI Sharon,MEDJUGORAC Marko,4,3,"8,12,8,11,7,11,11|11,10,11,6,11,2,9",QF,OLYMPICS,MS,176,Main Draw,MEDJUGORAC Marko (CAN),ALGUETTI Sharon (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Timothy,ILIJEVSKI Filip,4,2,"11,11,11,9,5,11|7,9,2,11,11,6",QF,OLYMPICS,MS,176,Main Draw,WANG Timothy (USA),ILIJEVSKI Filip (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,FENG Yijun,JHA Kanak,4,3,"11,9,11,11,9,11,11|13,11,2,5,11,5,4",QF,OLYMPICS,MS,176,Main Draw,JHA Kanak (USA),FENG Yijun (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,FENG Yijun,ALGUETTI Sharon,4,0,"11,11,11,11|4,7,7,3",F,OLYMPICS,MS,176,Main Draw,ALGUETTI Sharon (USA),FENG Yijun (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHANG Mo,COTE Alicia,4,0,"11,11,11,11|4,6,6,7",GROUP,OLYMPICS,WS,176,Main Draw,ZHANG Mo (CAN),COTE Alicia (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,LUO Anqi,LU Yi,4,0,"11,11,11,11|7,8,8,7",GROUP,OLYMPICS,WS,176,Main Draw,LU Yi (CAN),LUO Anqi (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Timothy,MEDJUGORAC Marko,4,1,"6,11,17,11,11|11,9,15,5,7",QF,OLYMPICS,MS,176,Main Draw,MEDJUGORAC Marko (CAN),WANG Timothy (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,JHA Kanak,ILIJEVSKI Filip,4,0,"11,11,11,11|5,3,7,8",QF,OLYMPICS,MS,176,Main Draw,JHA Kanak (USA),ILIJEVSKI Filip (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Timothy,ALGUETTI Sharon,4,1,"11,5,11,11,11|6,11,9,9,5",SF,OLYMPICS,MS,176,Main Draw,ALGUETTI Sharon (USA),WANG Timothy (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,JHA Kanak,THERIAULT Pierre-Luc,4,3,"11,10,11,11,11,6,11|7,12,13,9,7,11,5",SF,OLYMPICS,MS,176,Main Draw,JHA Kanak (USA),THERIAULT Pierre-Luc (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,JHA Kanak,WANG Timothy,4,0,"11,11,11,11|5,6,7,9",F,OLYMPICS,MS,176,Main Draw,WANG Timothy (USA),JHA Kanak (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,MEDJUGORAC Marko,ILIJEVSKI Filip,4,3,"9,19,13,11,9,11,12|11,17,15,9,11,9,10",F,OLYMPICS,MS,176,Main Draw,MEDJUGORAC Marko (CAN),ILIJEVSKI Filip (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHENG Jiaqi,LU Yi,4,0,"11,11,11,11|7,5,3,6",QF,OLYMPICS,WS,176,Main Draw,ZHENG Jiaqi (USA),LU Yi (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHENG Jiaqi,LUO Anqi,4,1,"9,11,11,11,11|11,8,3,8,8",GROUP,OLYMPICS,WS,176,Main Draw,LUO Anqi (CAN),ZHENG Jiaqi (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Chen,COTE Alicia,4,1,"11,11,5,11,11|1,4,11,6,2",GROUP,OLYMPICS,WS,176,Main Draw,WANG Chen (USA),COTE Alicia (CAN)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,ZHENG Jiaqi,WANG Chen,4,2,"11,9,11,11,6,11|6,11,9,4,11,6",GROUP,OLYMPICS,WS,176,Main Draw,ZHENG Jiaqi (USA),WANG Chen (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,WANG Crystal,LU Yi,4,0,"12,14,11,11|10,12,9,4",GROUP,OLYMPICS,WS,176,Main Draw,LU Yi (CAN),WANG Crystal (USA)
ITTF North America Olympic Qualification Tournament Markham 2016,2016-04-08,LUO Anqi,COTE Alicia,4,1,"11,9,11,11,11|3,11,5,8,9",GROUP,OLYMPICS,WS,176,Main Draw,LUO Anqi (CAN),COTE Alicia (CAN)
