tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Swiss Open Lausanne 2016,2016-02-12,BOULOUSSA Mehdi,NAVICKAS Ignas,3,0,"11,11,11|4,6,4",,WTT_CONTENDER,MS,162,Qualification,BOULOUSSA Mehdi (ALG),NAVICKAS Ignas (LTU)
Swiss Open Lausanne 2016,2016-02-12,LEGOUT Christophe,SKUCAS Matas,3,0,"11,11,11|7,8,3",,WTT_CONTENDER,MS,162,Qualification,LEGOUT Christophe (FRA),SKUCAS Matas (LTU)
Swiss Open Lausanne 2016,2016-02-12,ZHAI Yujia,BERNHARD Denis,3,0,"11,11,11|7,5,8",,WTT_CONTENDER,MS,162,Qualification,ZHAI Yujia (DEN),BERNHARD Denis (SUI)
Swiss Open Lausanne 2016,2016-02-12,MADRID Marcos,YANG Chengbowen,3,0,"11,11,11|7,9,6",,WTT_CONTENDER,MS,162,Qualification,MADRID Marcos (MEX),YANG Chengbowen (SUI)
Swiss Open Lausanne 2016,2016-02-12,YANG Xiaoxin,PHAI PANG Laurie,3,0,"11,11,11|5,5,7",,WTT_CONTENDER,WS,162,Qualification,YANG Xiaoxin (MON),PHAI PANG Laurie (FRA)
Swiss Open Lausanne 2016,2016-02-12,GRUNDISCH Carole,COLLIER Evangeline,3,0,"11,11,11|3,7,8",,WTT_CONTENDER,WS,162,Qualification,GRUNDISCH Carole (FRA),COLLIER Evangeline (ENG)
Swiss Open Lausanne 2016,2016-02-12,ZHANG Mo,REUST Celine,3,0,"11,11,11|7,8,4",,WTT_CONTENDER,WS,162,Qualification,ZHANG Mo (CAN),REUST Celine (SUI)
Swiss Open Lausanne 2016,2016-02-12,RAMIREZ Sara,STEFANOVA Nikoleta,3,1,"3,13,11,11|11,11,7,8",,WTT_CONTENDER,WS,162,Qualification,RAMIREZ Sara (ESP),STEFANOVA Nikoleta (ITA)
Swiss Open Lausanne 2016,2016-02-12,GLOD Eric,MADRID Marcos,3,1,"11,10,11,11|8,12,8,9",,WTT_CONTENDER,MS,162,Qualification,MADRID Marcos (MEX),GLOD Eric (LUX)
Swiss Open Lausanne 2016,2016-02-12,ZHAI Yujia,REBETEZ Yoan,3,0,"11,11,11|5,6,4",,WTT_CONTENDER,MS,162,Qualification,ZHAI Yujia (DEN),REBETEZ Yoan (SUI)
Swiss Open Lausanne 2016,2016-02-12,LEGOUT Christophe,VENDE Gael,3,0,"11,11,11|9,9,7",,WTT_CONTENDER,MS,162,Qualification,LEGOUT Christophe (FRA),VENDE Gael (SUI)
Swiss Open Lausanne 2016,2016-02-12,BOULOUSSA Mehdi,MOAVRO Sebastian,3,0,"11,11,11|5,5,5",,WTT_CONTENDER,MS,162,Qualification,BOULOUSSA Mehdi (ALG),MOAVRO Sebastian (ARG)
Swiss Open Lausanne 2016,2016-02-12,LENNON Emmanuelle,REUST Celine,3,0,"11,11,11|5,9,7",,WTT_CONTENDER,WS,162,Qualification,LENNON Emmanuelle (FRA),REUST Celine (SUI)
Swiss Open Lausanne 2016,2016-02-12,MORET Rachel,STEFANOVA Nikoleta,3,0,"11,11,11|4,8,8",,WTT_CONTENDER,WS,162,Qualification,MORET Rachel (SUI),STEFANOVA Nikoleta (ITA)
Swiss Open Lausanne 2016,2016-02-12,PHAI PANG Laurie,ASCHWANDEN Rahel,3,2,"11,9,10,11|7,11,12,7",,WTT_CONTENDER,WS,162,Qualification,ASCHWANDEN Rahel (SUI),PHAI PANG Laurie (FRA)
Swiss Open Lausanne 2016,2016-02-12,VIVARELLI Debora,COLLIER Evangeline,3,2,"4,8,11,11|11,11,6,9",,WTT_CONTENDER,WS,162,Qualification,VIVARELLI Debora (ITA),COLLIER Evangeline (ENG)
Swiss Open Lausanne 2016,2016-02-12,VENDE Gael,SKUCAS Matas,3,0,"11,11,11|7,7,8",,WTT_CONTENDER,MS,162,Qualification,VENDE Gael (SUI),SKUCAS Matas (LTU)
Swiss Open Lausanne 2016,2016-02-12,NAVICKAS Ignas,MOAVRO Sebastian,3,1,"11,6,15,11|7,11,13,8",,WTT_CONTENDER,MS,162,Qualification,MOAVRO Sebastian (ARG),NAVICKAS Ignas (LTU)
Swiss Open Lausanne 2016,2016-02-12,YANG Chengbowen,GLOD Eric,3,1,"11,11,11,11|8,6,13,5",,WTT_CONTENDER,MS,162,Qualification,GLOD Eric (LUX),YANG Chengbowen (SUI)
Swiss Open Lausanne 2016,2016-02-12,BERNHARD Denis,REBETEZ Yoan,3,1,"5,11,11,11|11,4,3,9",,WTT_CONTENDER,MS,162,Qualification,REBETEZ Yoan (SUI),BERNHARD Denis (SUI)
Swiss Open Lausanne 2016,2016-02-12,YANG Xiaoxin,ZANCANER Denisa,3,2,"11,11,8,11|7,9,11,6",,WTT_CONTENDER,WS,162,Qualification,YANG Xiaoxin (MON),ZANCANER Denisa (ITA)
Swiss Open Lausanne 2016,2016-02-12,ZHANG Mo,GONDERINGER Tessy,3,0,"11,11,11|6,6,5",,WTT_CONTENDER,WS,162,Qualification,ZHANG Mo (CAN),GONDERINGER Tessy (LUX)
