tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,KARLSSON Mattias,PUCAR Tomislav,3,1,"12,11,7,11|10,7,11,3",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,PUCAR Tomislav (CRO),KARLSSON Mattias (SWE)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,KARLSSON Kristian,GACINA Andrej,3,0,"11,11,11|8,9,8",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,GACINA Andrej (CRO),KARLSSON Kristian (SWE)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,PERSSON Jon,PRIMORAC Zoran,3,1,"11,11,4,11|4,3,11,9",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,PRIMORAC Zoran (CRO),PERSSON Jon (SWE)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,MONTEIRO Joao,PAK Sin Hyok,3,2,"12,8,9,11,11|10,11,11,9,6",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,PAK Sin Hyok (PRK),MONTEIRO Joao (POR)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,FREITAS Marcos,CHOE Il,3,2,"8,10,11,11,11|11,12,5,8,8",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,CHOE Il (PRK),FREITAS Marcos (POR)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,APOLONIA Tiago,KANG Wi Hun,3,0,"14,11,11|12,9,4",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,KANG Wi Hun (PRK),APOLONIA Tiago (POR)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,TANG Peng,FEGERL Stefan,3,1,"6,11,11,11|11,9,7,4",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,FEGERL Stefan (AUT),TANG Peng (HKG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,WONG Chun Ting,GARDOS Robert,3,1,"11,8,11,13|3,11,4,11",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,GARDOS Robert (AUT),WONG Chun Ting (HKG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,SCHLAGER Werner,HO Kwan Kit,3,2,"11,11,10,12,12|6,9,12,14,10",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,SCHLAGER Werner (AUT),HO Kwan Kit (HKG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,WONG Chun Ting,FEGERL Stefan,3,0,"11,11,11|5,7,9",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,FEGERL Stefan (AUT),WONG Chun Ting (HKG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,DRINKHALL Paul,WANG Zengyi,3,1,"11,9,11,11|7,11,8,7",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,WANG Zengyi (POL),DRINKHALL Paul (ENG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,PITCHFORD Liam,DYJAS Jakub,3,2,"11,11,10,9,11|8,7,12,11,9",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,DYJAS Jakub (POL),PITCHFORD Liam (ENG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,GORAK Daniel,WALKER Samuel,3,2,"16,15,6,6,11|14,13,11,11,4",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,GORAK Daniel (POL),WALKER Samuel (ENG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,WANG Zengyi,PITCHFORD Liam,3,1,"11,5,12,11|9,11,10,7",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,WANG Zengyi (POL),PITCHFORD Liam (ENG)
World Team Table Tennis Championships Kuala Lumpur 2016,2016-02-28,DRINKHALL Paul,DYJAS Jakub,3,1,"11,11,14,13|13,6,12,11",,WORLD_CHAMPIONSHIPS,MT,197,Main Draw,DYJAS Jakub (POL),DRINKHALL Paul (ENG)
