tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Austrian Open Linz 2016,2016-11-09,NIWA Koki,WALKER Samuel,4,2,"10,11,11,9,11,11|12,9,6,11,4,7",R64,GRAND_SLAM,MS,363,Main Draw,NIWA Koki (JPN),WALKER Samuel (ENG),NIWA Koki
World Tour Austrian Open Linz 2016,2016-11-09,KIM Minhyeok,MENGEL Steffen,4,0,"11,11,11,11|8,7,4,0",R64,GRAND_SLAM,MS,363,Main Draw,KIM Minhyeok (KOR),MENGEL Steffen (GER),KIM Minhyeok
World Tour Austrian Open Linz 2016,2016-11-09,KALLBERG Anton,HARIMOTO Tomokazu,4,1,"11,9,11,11,11|8,11,7,7,8",R64,GRAND_SLAM,MS,363,Main Draw,HARIMOTO Tomokazu (JPN),KALLBERG Anton (SWE),KALLBERG Anton
World Tour Austrian Open Linz 2016,2016-11-09,MATSUDAIRA Kenta,KUZMIN Fedor,4,2,"10,11,11,5,11,11|12,8,6,11,6,6",R64,GRAND_SLAM,MS,363,Main Draw,KUZMIN Fedor (RUS),MATSUDAIRA Kenta (JPN),MATSUDAIRA Kenta
World Tour Austrian Open Linz 2016,2016-11-09,WALTHER Ricardo,DYJAS Jakub,4,0,"11,11,11,11|7,7,8,8",R64,GRAND_SLAM,MS,363,Main Draw,DYJAS Jakub (POL),WALTHER Ricardo (GER),WALTHER Ricardo
World Tour Austrian Open Linz 2016,2016-11-09,CHIANG Hung-Chieh,AKKUZU Can,4,3,"11,8,11,10,3,14,11|5,11,7,12,11,12,8",R64,GRAND_SLAM,MS,363,Main Draw,AKKUZU Can (FRA),CHIANG Hung-Chieh (TPE),CHIANG Hung-Chieh
World Tour Austrian Open Linz 2016,2016-11-09,CHEN Weixing,BROSSIER Benjamin,4,3,"11,11,2,9,10,11,11|5,3,11,11,12,9,8",R64,GRAND_SLAM,MS,363,Main Draw,CHEN Weixing (AUT),BROSSIER Benjamin (FRA),CHEN Weixing
World Tour Austrian Open Linz 2016,2016-11-09,YOSHIMURA Maharu,OBESLO Michal,4,2,"10,9,11,11,11,13|12,11,2,9,8,11",R64,GRAND_SLAM,MS,363,Main Draw,OBESLO Michal (CZE),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
World Tour Austrian Open Linz 2016,2016-11-09,CHEN Chien-An,CANTERO Jesus,4,1,"12,11,19,8,11|10,8,17,11,3",R64,GRAND_SLAM,MS,363,Main Draw,CHEN Chien-An (TPE),CANTERO Jesus (ESP),CHEN Chien-An
World Tour Austrian Open Linz 2016,2016-11-09,FLORE Tristan,KIM Donghyun,4,3,"5,11,13,11,7,11,11|11,8,15,2,11,8,9",R64,GRAND_SLAM,MS,363,Main Draw,KIM Donghyun (KOR),FLORE Tristan (FRA),FLORE Tristan
