tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Belgium Open De Haan 2016,2016-09-20,ASSAR Omar,UDRA Alfredas,4,0,"11,11,11,11|4,6,9,9",R64,GRAND_SLAM,MS,362,Main Draw,ASSAR Omar (EGY),UDRA Alfredas (LTU)
World Tour Belgium Open De Haan 2016,2016-09-20,LIAO Cheng-Ting,AFANADOR Brian,4,1,"11,12,9,11,13|7,10,11,2,11",R64,GRAND_SLAM,MS,362,Main Draw,AFANADOR Brian (PUR),LIAO Cheng-Ting (TPE)
World Tour Belgium Open De Haan 2016,2016-09-20,BRODD Viktor,STOYANOV Niagol,4,3,"7,11,11,5,11,11,20|11,13,3,11,6,8,18",R64,GRAND_SLAM,MS,362,Main Draw,STOYANOV Niagol (ITA),BRODD Viktor (SWE)
World Tour Belgium Open De Haan 2016,2016-09-20,NUYTINCK Cedric,BAJGER Ondrej,4,0,"11,11,11,11|6,5,0,0",R64,GRAND_SLAM,MS,362,Main Draw,BAJGER Ondrej (CZE),NUYTINCK Cedric (BEL)
World Tour Belgium Open De Haan 2016,2016-09-20,BERGLUND Simon,PUCAR Tomislav,4,3,"13,8,11,11,5,9,11|11,11,7,9,11,11,2",R64,GRAND_SLAM,MS,362,Main Draw,PUCAR Tomislav (CRO),BERGLUND Simon (SWE)
World Tour Belgium Open De Haan 2016,2016-09-20,LAKATOS Tamas,ALLEGRO Martin,4,2,"11,13,9,11,11,11|9,15,11,8,9,6",R64,GRAND_SLAM,MS,362,Main Draw,ALLEGRO Martin (BEL),LAKATOS Tamas (HUN)
World Tour Belgium Open De Haan 2016,2016-09-20,SZUDI Adam,LEVENKO Andreas,4,2,"10,11,10,11,11,11|12,8,12,9,5,5",R64,GRAND_SLAM,MS,362,Main Draw,SZUDI Adam (HUN),LEVENKO Andreas (AUT)
World Tour Belgium Open De Haan 2016,2016-09-20,PAIKOV Mikhail,MERCKX Jasper,4,1,"11,12,11,9,11|6,10,3,11,5",R64,GRAND_SLAM,MS,362,Main Draw,MERCKX Jasper (BEL),PAIKOV Mikhail (RUS)
World Tour Belgium Open De Haan 2016,2016-09-20,DUDA Benedikt,MAJOROS Bence,4,1,"14,10,11,21,11|12,12,6,19,8",R64,GRAND_SLAM,MS,362,Main Draw,DUDA Benedikt (GER),MAJOROS Bence (HUN)
World Tour Belgium Open De Haan 2016,2016-09-20,AKERSTROM Fabian,NAGY Krisztian,4,3,"11,11,8,9,11,4,11|2,5,11,11,9,11,9",R64,GRAND_SLAM,MS,362,Main Draw,NAGY Krisztian (HUN),AKERSTROM Fabian (SWE)
World Tour Belgium Open De Haan 2016,2016-09-20,MONTEIRO Thiago,STENER Jonas,4,3,"11,11,11,6,14,6,11|7,5,6,11,16,11,8",R64,GRAND_SLAM,MS,362,Main Draw,MONTEIRO Thiago (BRA),STENER Jonas (SWE)
World Tour Belgium Open De Haan 2016,2016-09-20,POLANSKY Tomas,DEVOS Robin,4,2,"11,8,12,14,11,11|7,11,14,12,7,8",R64,GRAND_SLAM,MS,362,Main Draw,POLANSKY Tomas (CZE),DEVOS Robin (BEL)
World Tour Belgium Open De Haan 2016,2016-09-20,LAKEEV Vasily,BERTRAND Irvin,4,2,"11,11,9,8,11,11|7,6,11,11,5,2",R64,GRAND_SLAM,MS,362,Main Draw,LAKEEV Vasily (RUS),BERTRAND Irvin (FRA)
World Tour Belgium Open De Haan 2016,2016-09-20,TROMER Laurens,BUROV Viacheslav,4,3,"11,11,12,5,7,9,11|7,7,10,11,11,11,5",R64,GRAND_SLAM,MS,362,Main Draw,TROMER Laurens (NED),BUROV Viacheslav (RUS)
World Tour Belgium Open De Haan 2016,2016-09-20,MADRID Marcos,RASMUSSEN Tobias,4,3,"11,11,11,8,11,10,11|9,13,9,11,8,12,6",R64,GRAND_SLAM,MS,362,Main Draw,MADRID Marcos (MEX),RASMUSSEN Tobias (DEN)
World Tour Belgium Open De Haan 2016,2016-09-20,MATSUDAIRA Kenji,LIND Anders,4,1,"9,11,11,11,11|11,5,8,3,6",R64,GRAND_SLAM,MS,362,Main Draw,LIND Anders (DEN),MATSUDAIRA Kenji (JPN)
World Tour Belgium Open De Haan 2016,2016-09-20,KLEIN Dennis,MATSUMOTO Cazuo,4,2,"11,2,11,9,11,11|4,11,9,11,4,6",R64,GRAND_SLAM,MS,362,Main Draw,MATSUMOTO Cazuo (BRA),KLEIN Dennis (GER)
World Tour Belgium Open De Haan 2016,2016-09-20,LAMBIET Florent,JEAN Gregoire,4,3,"11,6,7,10,11,11,11|2,11,11,12,8,8,6",R64,GRAND_SLAM,MS,362,Main Draw,JEAN Gregoire (FRA),LAMBIET Florent (BEL)
World Tour Belgium Open De Haan 2016,2016-09-20,SALIFOU Abdel-Kader,WEERASINGHE Helshan,4,1,"11,11,9,11,11|6,9,11,8,8",R64,GRAND_SLAM,MS,362,Main Draw,SALIFOU Abdel-Kader (BEN),WEERASINGHE Helshan (ENG)
World Tour Belgium Open De Haan 2016,2016-09-20,SZOCS Hunor,JEAN Lauric,4,1,"11,8,11,11,11|8,11,7,6,8",R64,GRAND_SLAM,MS,362,Main Draw,JEAN Lauric (BEL),SZOCS Hunor (ROU)
World Tour Belgium Open De Haan 2016,2016-09-20,LIVENTSOV Alexey,MIKUTIS Tomas,4,3,"8,9,7,11,11,11,11|11,11,11,9,8,6,8",R64,GRAND_SLAM,MS,362,Main Draw,LIVENTSOV Alexey (RUS),MIKUTIS Tomas (LTU)
World Tour Belgium Open De Haan 2016,2016-09-20,MUTTI Leonardo,SHETTY Sanil,4,2,"7,11,11,9,12,13|11,8,7,11,10,11",R64,GRAND_SLAM,MS,362,Main Draw,SHETTY Sanil (IND),MUTTI Leonardo (ITA)
World Tour Belgium Open De Haan 2016,2016-09-20,ANDERSSON Harald,REITSPIES David,4,0,"11,11,11,12|7,9,4,10",R64,GRAND_SLAM,MS,362,Main Draw,ANDERSSON Harald (SWE),REITSPIES David (CZE)
World Tour Belgium Open De Haan 2016,2016-09-20,WALTHER Ricardo,MIRALMASI Amin,4,1,"11,11,9,11,11|7,2,11,2,4",R64,GRAND_SLAM,MS,362,Main Draw,MIRALMASI Amin (IRI),WALTHER Ricardo (GER)
World Tour Belgium Open De Haan 2016,2016-09-20,PERSSON Jon,INDEHERBERG Julien,4,1,"11,8,11,11,11|4,11,9,9,3",R64,GRAND_SLAM,MS,362,Main Draw,PERSSON Jon (SWE),INDEHERBERG Julien (BEL)
World Tour Belgium Open De Haan 2016,2016-09-20,GNANASEKARAN Sathiyan,DIAW Ibrahima,4,3,"12,11,11,3,8,6,11|10,3,7,11,11,11,1",R64,GRAND_SLAM,MS,362,Main Draw,DIAW Ibrahima (DEN),GNANASEKARAN Sathiyan (IND)
World Tour Belgium Open De Haan 2016,2016-09-20,ARVIDSSON Simon,KUCERA Stanislav,4,3,"15,8,11,7,9,11,11|13,11,6,11,11,9,2",R64,GRAND_SLAM,MS,362,Main Draw,ARVIDSSON Simon (SWE),KUCERA Stanislav (CZE)
World Tour Belgium Open De Haan 2016,2016-09-20,ALAMIAN Nima,ECSEKI Nandor,4,1,"11,11,9,11,11|5,8,11,8,9",R64,GRAND_SLAM,MS,362,Main Draw,ECSEKI Nandor (HUN),ALAMIAN Nima (IRI)
World Tour Belgium Open De Haan 2016,2016-09-20,BOBOCICA Mihai,QIU Dang,4,1,"12,11,11,10,11|10,7,4,12,5",R64,GRAND_SLAM,MS,362,Main Draw,BOBOCICA Mihai (ITA),QIU Dang (GER)
World Tour Belgium Open De Haan 2016,2016-09-20,KUZMIN Fedor,LAVERGNE Paul,4,0,"11,11,11,11|8,7,5,8",R64,GRAND_SLAM,MS,362,Main Draw,LAVERGNE Paul (FRA),KUZMIN Fedor (RUS)
World Tour Belgium Open De Haan 2016,2016-09-20,KOJIC Frane,URIBE Salvador,4,1,"12,11,11,8,11|10,1,9,11,4",R64,GRAND_SLAM,MS,362,Main Draw,KOJIC Frane (CRO),URIBE Salvador (MEX)
World Tour Belgium Open De Haan 2016,2016-09-20,MENGEL Steffen,VENDE Gael,4,0,"11,11,11,11|9,9,4,6",R64,GRAND_SLAM,MS,362,Main Draw,VENDE Gael (SUI),MENGEL Steffen (GER)
World Tour Belgium Open De Haan 2016,2016-09-20,ASSAR Omar,LIAO Cheng-Ting,4,1,"11,11,11,11,11|13,6,6,6,5",R32,GRAND_SLAM,MS,362,Main Draw,ASSAR Omar (EGY),LIAO Cheng-Ting (TPE)
World Tour Belgium Open De Haan 2016,2016-09-20,NUYTINCK Cedric,BRODD Viktor,4,1,"11,11,12,11,11|4,4,10,13,7",R32,GRAND_SLAM,MS,362,Main Draw,BRODD Viktor (SWE),NUYTINCK Cedric (BEL)
World Tour Belgium Open De Haan 2016,2016-09-20,LAKATOS Tamas,BERGLUND Simon,4,1,"11,11,13,11,11|8,8,11,13,4",R32,GRAND_SLAM,MS,362,Main Draw,BERGLUND Simon (SWE),LAKATOS Tamas (HUN)
World Tour Belgium Open De Haan 2016,2016-09-20,PAIKOV Mikhail,SZUDI Adam,4,2,"6,5,11,11,11,12|11,11,8,4,9,10",R32,GRAND_SLAM,MS,362,Main Draw,SZUDI Adam (HUN),PAIKOV Mikhail (RUS)
World Tour Belgium Open De Haan 2016,2016-09-20,DUDA Benedikt,AKERSTROM Fabian,4,0,"11,11,16,11|6,4,14,5",R32,GRAND_SLAM,MS,362,Main Draw,DUDA Benedikt (GER),AKERSTROM Fabian (SWE)
