tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,SHI Xunyao,KIM Hye Song,4,2,"9,11,11,8,11,11|11,6,7,11,8,8",,GRAND_SLAM,WS,36,Qualification,KIM Hye Song (PRK),SHI Xunyao (CHN),SHI Xunyao
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,KIM Hye Song,YU Yong Sun,4,2,"11,11,13,8,9,11|8,7,11,11,11,9",,GRAND_SLAM,WS,36,Qualification,KIM Hye Song (PRK),YU Yong Sun (PRK),KIM Hye Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,SHI Xunyao,YU Yong Sun,4,2,"13,11,4,11,9,11|11,6,11,8,11,8",,GRAND_SLAM,WS,36,Qualification,YU Yong Sun (PRK),SHI Xunyao (CHN),SHI Xunyao
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,KIM Sol Song,RI Hyon Sim,4,2,"11,5,6,11,11,11|4,11,11,7,1,4",,GRAND_SLAM,WS,36,Qualification,KIM Sol Song (PRK),RI Hyon Sim (PRK),KIM Sol Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,MU Jingyu,KIM Sol Song,4,0,"11,11,11,16|7,9,4,14",,GRAND_SLAM,WS,36,Qualification,KIM Sol Song (PRK),MU Jingyu (CHN),MU Jingyu
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,MU Jingyu,RI Hyon Sim,4,1,"11,11,11,8,11|9,9,3,11,5",,GRAND_SLAM,WS,36,Qualification,MU Jingyu (CHN),RI Hyon Sim (PRK),MU Jingyu
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,CHOE Hyon Hwa (1992),KIM Nam Hae,4,2,"11,4,5,11,11,11|7,11,11,9,7,8",,GRAND_SLAM,WS,36,Qualification,KIM Nam Hae (PRK),CHOE Hyon Hwa (1992) (PRK),CHOE Hyon Hwa (1992)
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,GUO Yuhan,QIAN Tianyi,4,0,"11,11,11,11|9,9,7,8",,GRAND_SLAM,WS,36,Qualification,QIAN Tianyi (CHN),GUO Yuhan (CHN),GUO Yuhan
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,KIM Nam Hae,QIAN Tianyi,4,1,"11,13,11,11,11|4,15,8,9,9",,GRAND_SLAM,WS,36,Qualification,KIM Nam Hae (PRK),QIAN Tianyi (CHN),KIM Nam Hae
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,GUO Yuhan,CHOE Hyon Hwa (1992),4,0,"11,11,11,11|8,4,3,7",,GRAND_SLAM,WS,36,Qualification,CHOE Hyon Hwa (1992) (PRK),GUO Yuhan (CHN),GUO Yuhan
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,GUO Yuhan,KIM Nam Hae,4,1,"11,9,11,11,11|9,11,9,7,9",,GRAND_SLAM,WS,36,Qualification,KIM Nam Hae (PRK),GUO Yuhan (CHN),GUO Yuhan
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,QIAN Tianyi,CHOE Hyon Hwa (1992),4,1,"9,11,12,11,11|11,7,10,3,4",,GRAND_SLAM,WS,36,Qualification,QIAN Tianyi (CHN),CHOE Hyon Hwa (1992) (PRK),QIAN Tianyi
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,LIU Weishan,FAN Siqi,4,1,"11,11,11,10,11|8,6,3,12,7",,GRAND_SLAM,WS,36,Qualification,LIU Weishan (CHN),FAN Siqi (CHN),LIU Weishan
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,JONG Un Ju,KIM Jin Hyang,4,2,"4,11,17,7,11,11|11,6,15,11,6,4",,GRAND_SLAM,WS,36,Qualification,JONG Un Ju (PRK),KIM Jin Hyang (PRK),JONG Un Ju
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,LIU Weishan,JONG Un Ju,4,0,"11,13,11,11|6,11,5,5",,GRAND_SLAM,WS,36,Qualification,LIU Weishan (CHN),JONG Un Ju (PRK),LIU Weishan
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,FAN Siqi,KIM Jin Hyang,4,1,"11,11,11,5,13|5,3,3,11,11",,GRAND_SLAM,WS,36,Qualification,FAN Siqi (CHN),KIM Jin Hyang (PRK),FAN Siqi
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,KIM Jin Hyang,LIU Weishan,4,3,"13,10,11,9,10,11,11|11,12,7,11,12,5,7",,GRAND_SLAM,WS,36,Qualification,LIU Weishan (CHN),KIM Jin Hyang (PRK),KIM Jin Hyang
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,FAN Siqi,JONG Un Ju,4,2,"11,6,11,10,11,11|8,11,9,12,5,9",,GRAND_SLAM,WS,36,Qualification,JONG Un Ju (PRK),FAN Siqi (CHN),FAN Siqi
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,KIM Song Gun,ISMAILOV Sadi,3,1,"11,9,11,11|8,11,7,9",,GRAND_SLAM,U21MS,36,Qualification,ISMAILOV Sadi (RUS),KIM Song Gun (PRK),KIM Song Gun
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,HAM Yu Song,ISMAILOV Sadi,3,0,"11,11,11|7,6,9",,GRAND_SLAM,U21MS,36,Qualification,ISMAILOV Sadi (RUS),HAM Yu Song (PRK),HAM Yu Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,HAM Yu Song,KIM Song Gun,3,2,"11,11,7,9,11|7,8,11,11,5",,GRAND_SLAM,U21MS,36,Qualification,HAM Yu Song (PRK),KIM Song Gun (PRK),HAM Yu Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,RI Kwang Myong,MUN Jin Song,3,0,"11,11,11|4,6,6",,GRAND_SLAM,U21MS,36,Qualification,RI Kwang Myong (PRK),MUN Jin Song (PRK),RI Kwang Myong
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,AN Ji Song,RI Kwang Myong,3,0,"11,11,11|6,8,9",,GRAND_SLAM,U21MS,36,Qualification,RI Kwang Myong (PRK),AN Ji Song (PRK),AN Ji Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,AN Ji Song,MUN Jin Song,3,1,"11,11,8,11|8,8,11,5",,GRAND_SLAM,U21MS,36,Qualification,AN Ji Song (PRK),MUN Jin Song (PRK),AN Ji Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,RO Hyon Song,JO Chol Hyok,3,0,"11,11,11|8,8,7",,GRAND_SLAM,U21MS,36,Qualification,RO Hyon Song (PRK),JO Chol Hyok (PRK),RO Hyon Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,RO Hyon Song,RI Jong Sik,3,0,"11,11,11|6,9,6",,GRAND_SLAM,U21MS,36,Qualification,RO Hyon Song (PRK),RI Jong Sik (PRK),RO Hyon Song
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,RI Jong Sik,JO Chol Hyok,3,1,"11,13,11,11|6,15,2,8",,GRAND_SLAM,U21MS,36,Qualification,RI Jong Sik (PRK),JO Chol Hyok (PRK),RI Jong Sik
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,PANG Un Chol,JONG Ui,3,1,"11,3,11,11|9,11,6,7",,GRAND_SLAM,U21MS,36,Qualification,PANG Un Chol (PRK),JONG Ui (PRK),PANG Un Chol
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,JONG Ui,U Tae Ryong,3,2,"11,11,8,14,11|9,5,11,16,9",,GRAND_SLAM,U21MS,36,Qualification,U Tae Ryong (PRK),JONG Ui (PRK),JONG Ui
World Tour DPR Korea Open Pyongyang 2016,2016-06-29,PANG Un Chol,U Tae Ryong,3,1,"11,4,13,17|7,11,11,15",,GRAND_SLAM,U21MS,36,Qualification,PANG Un Chol (PRK),U Tae Ryong (PRK),PANG Un Chol
