tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour German Open Berlin 2016,2016-01-27,MA Long,GROTH Jonathan,4,0,"11,11,11,11|2,6,7,3",R32,GRAND_SLAM,MS,25,Main Draw,MA Long (CHN),GROTH Jonathan (DEN),MA Long
World Tour German Open Berlin 2016,2016-01-27,NIWA Koki,FEGERL Stefan,4,1,"6,11,11,11,11|11,9,7,4,5",R32,GRAND_SLAM,MS,25,Main Draw,FEGERL Stefan (AUT),NIWA Koki (JPN),NIWA Koki
World Tour German Open Berlin 2016,2016-01-27,YOSHIDA Kaii,LEE Sang Su,4,1,"8,11,11,11,11|11,5,7,5,7",R32,GRAND_SLAM,MS,25,Main Draw,LEE Sang Su (KOR),YOSHIDA Kaii (JPN),YOSHIDA Kaii
World Tour German Open Berlin 2016,2016-01-27,FREITAS Marcos,MURAMATSU Yuto,4,0,"11,11,11,13|7,4,7,11",R32,GRAND_SLAM,MS,25,Main Draw,MURAMATSU Yuto (JPN),FREITAS Marcos (POR),FREITAS Marcos
World Tour German Open Berlin 2016,2016-01-27,FANG Bo,SHIBAEV Alexander,4,2,"5,7,11,11,11,11|11,11,9,4,4,5",R32,GRAND_SLAM,MS,25,Main Draw,FANG Bo (KAZ),SHIBAEV Alexander (RUS),FANG Bo
World Tour German Open Berlin 2016,2016-01-27,WANG Zengyi,GAO Ning,4,0,"12,11,11,11|10,9,7,8",R32,GRAND_SLAM,MS,25,Main Draw,WANG Zengyi (POL),GAO Ning (SGP),WANG Zengyi
World Tour German Open Berlin 2016,2016-01-27,WONG Chun Ting,MATSUDAIRA Kenta,4,0,"11,11,11,11|8,9,9,8",R32,GRAND_SLAM,MS,25,Main Draw,WONG Chun Ting (HKG),MATSUDAIRA Kenta (JPN),WONG Chun Ting
World Tour German Open Berlin 2016,2016-01-27,ZHANG Jike,GIONIS Panagiotis,4,1,"11,11,11,11,11|13,7,8,8,4",R32,GRAND_SLAM,MS,25,Main Draw,GIONIS Panagiotis (GRE),ZHANG Jike (CHN),ZHANG Jike
World Tour German Open Berlin 2016,2016-01-27,BOLL Timo,KOJIC Frane,4,0,"11,11,11,11|1,4,6,4",R32,GRAND_SLAM,MS,25,Main Draw,BOLL Timo (GER),KOJIC Frane (CRO),BOLL Timo
World Tour German Open Berlin 2016,2016-01-27,GACINA Andrej,JOO Saehyuk,4,2,"11,6,11,11,5,11|2,11,6,7,11,9",R32,GRAND_SLAM,MS,25,Main Draw,GACINA Andrej (CRO),JOO Saehyuk (KOR),GACINA Andrej
World Tour German Open Berlin 2016,2016-01-27,LI Ping,JEOUNG Youngsik,4,2,"12,9,12,11,3,11|10,11,10,6,11,5",R32,GRAND_SLAM,MS,25,Main Draw,JEOUNG Youngsik (KOR),LI Ping (QAT),LI Ping
World Tour German Open Berlin 2016,2016-01-27,SAMSONOV Vladimir,APOLONIA Tiago,4,2,"11,9,11,4,11,11|7,11,8,11,8,7",R32,GRAND_SLAM,MS,25,Main Draw,APOLONIA Tiago (POR),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
World Tour German Open Berlin 2016,2016-01-27,CHUANG Chih-Yuan,ARUNA Quadri,4,0,"11,11,11,11|8,6,4,8",R32,GRAND_SLAM,MS,25,Main Draw,CHUANG Chih-Yuan (TPE),ARUNA Quadri (NGR),CHUANG Chih-Yuan
World Tour German Open Berlin 2016,2016-01-27,YAN An,MORIZONO Masataka,4,1,"6,11,12,11,11|11,2,10,4,9",R32,GRAND_SLAM,MS,25,Main Draw,MORIZONO Masataka (JPN),YAN An (CHN),YAN An
World Tour German Open Berlin 2016,2016-01-27,TANG Peng,CHEN Weixing,4,0,"11,15,16,11|9,13,14,5",R32,GRAND_SLAM,MS,25,Main Draw,TANG Peng (HKG),CHEN Weixing (AUT),TANG Peng
World Tour German Open Berlin 2016,2016-01-27,OVTCHAROV Dimitrij,ASSAR Omar,4,3,"8,11,11,11,15,9,11|11,6,5,7,17,11,7",R32,GRAND_SLAM,MS,25,Main Draw,ASSAR Omar (EGY),OVTCHAROV Dimitrij (GER),OVTCHAROV Dimitrij
World Tour German Open Berlin 2016,2016-01-27,MA Long,NIWA Koki,4,0,"11,11,11,11|7,3,1,7",R16,GRAND_SLAM,MS,25,Main Draw,MA Long (CHN),NIWA Koki (JPN),MA Long
World Tour German Open Berlin 2016,2016-01-27,YOSHIDA Kaii,FREITAS Marcos,4,1,"16,11,6,11,11|14,8,11,8,6",R16,GRAND_SLAM,MS,25,Main Draw,YOSHIDA Kaii (JPN),FREITAS Marcos (POR),YOSHIDA Kaii
