tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Nigeria Open Lagos 2016,2016-05-18,BELLO Ahmed,AKANBI Rilwan,4,2,"11,5,19,7,11,11|2,11,9,11,9,3",,GRAND_SLAM,MS,30,Qualification,AKANBI Rilwan (NGR),BELLO Ahmed (NGR),BELLO Ahmed
World Tour Nigeria Open Lagos 2016,2016-05-18,BELLO Ahmed,HELMY Mahmoud,4,2,"11,9,11,11,4,11|7,11,4,6,11,6",,GRAND_SLAM,MS,30,Qualification,HELMY Mahmoud (EGY),BELLO Ahmed (NGR),BELLO Ahmed
World Tour Nigeria Open Lagos 2016,2016-05-18,HELMY Mahmoud,AKANBI Rilwan,4,3,"11,7,11,7,11,5,11|5,11,6,11,3,11,8",,GRAND_SLAM,MS,30,Qualification,HELMY Mahmoud (EGY),AKANBI Rilwan (NGR),HELMY Mahmoud
World Tour Nigeria Open Lagos 2016,2016-05-18,HASSAN Nurudeen,AKOMOLAFE Sunday,4,2,"11,9,11,11,14,11|9,11,4,7,16,6",,GRAND_SLAM,MS,30,Qualification,AKOMOLAFE Sunday (NGR),HASSAN Nurudeen (NGR),HASSAN Nurudeen
World Tour Nigeria Open Lagos 2016,2016-05-18,KAZEEM Monsuru,NGWE NIKENG Emmanuel,4,0,"12,11,11,11|10,6,2,8",,GRAND_SLAM,MS,30,Qualification,NGWE NIKENG Emmanuel (CMR),KAZEEM Monsuru (NGR),KAZEEM Monsuru
World Tour Nigeria Open Lagos 2016,2016-05-18,FALANA Tobi,KAZEEM Monsuru,4,1,"11,11,14,3,11|9,5,12,11,8",,GRAND_SLAM,MS,30,Qualification,FALANA Tobi (NGR),KAZEEM Monsuru (NGR),FALANA Tobi
World Tour Nigeria Open Lagos 2016,2016-05-18,FALANA Tobi,NGWE NIKENG Emmanuel,4,1,"11,11,11,9,11|8,6,3,11,3",,GRAND_SLAM,MS,30,Qualification,FALANA Tobi (NGR),NGWE NIKENG Emmanuel (CMR),FALANA Tobi
World Tour Nigeria Open Lagos 2016,2016-05-18,OLADELE Kehinde,JIMOH Taiye Hassan,4,0,"11,11,11,11|8,8,2,9",,GRAND_SLAM,MS,30,Qualification,JIMOH Taiye Hassan (NGR),OLADELE Kehinde (NGR),OLADELE Kehinde
World Tour Nigeria Open Lagos 2016,2016-05-18,CARVALHO Diogo,OLADELE Kehinde,4,2,"11,11,11,4,11,13|3,6,4,11,13,11",,GRAND_SLAM,MS,30,Qualification,CARVALHO Diogo (POR),OLADELE Kehinde (NGR),CARVALHO Diogo
World Tour Nigeria Open Lagos 2016,2016-05-18,CARVALHO Diogo,JIMOH Taiye Hassan,4,1,"11,11,11,11,11|7,5,2,13,2",,GRAND_SLAM,MS,30,Qualification,CARVALHO Diogo (POR),JIMOH Taiye Hassan (NGR),CARVALHO Diogo
World Tour Nigeria Open Lagos 2016,2016-05-18,ZHAO Tianming,AUGUSTINE Emmanuel,4,0,"11,11,11,11|9,6,9,3",,GRAND_SLAM,MS,30,Qualification,ZHAO Tianming (POR),AUGUSTINE Emmanuel (NGR),ZHAO Tianming
World Tour Nigeria Open Lagos 2016,2016-05-18,ZHAO Tianming,OLANIYI Olawale,4,1,"11,11,6,11,11|3,6,11,7,7",,GRAND_SLAM,MS,30,Qualification,ZHAO Tianming (POR),OLANIYI Olawale (NGR),ZHAO Tianming
World Tour Nigeria Open Lagos 2016,2016-05-18,KAZEEM Makanjuola,MATI Solomon,4,0,"11,11,11,13|3,5,4,11",,GRAND_SLAM,MS,30,Qualification,KAZEEM Makanjuola (NGR),MATI Solomon (NGR),KAZEEM Makanjuola
World Tour Nigeria Open Lagos 2016,2016-05-18,MATI Solomon,MARTINS Abayomi,4,3,"12,8,9,13,11,11,13|14,11,11,11,4,8,11",,GRAND_SLAM,MS,30,Qualification,MARTINS Abayomi (NGR),MATI Solomon (NGR),MATI Solomon
World Tour Nigeria Open Lagos 2016,2016-05-18,KAZEEM Makanjuola,MARTINS Abayomi,4,1,"12,11,8,11,11|10,4,11,6,2",,GRAND_SLAM,MS,30,Qualification,MARTINS Abayomi (NGR),KAZEEM Makanjuola (NGR),KAZEEM Makanjuola
World Tour Nigeria Open Lagos 2016,2016-05-18,ABDULLAHI Abdulrahaman,ODUNLADE Sunday,4,3,"11,11,12,8,10,9,11|4,9,10,11,12,11,9",,GRAND_SLAM,MS,30,Qualification,ODUNLADE Sunday (NGR),ABDULLAHI Abdulrahaman (NGR),ABDULLAHI Abdulrahaman
World Tour Nigeria Open Lagos 2016,2016-05-18,JAMIU Azeez Olugbenga,BUKIN Andrey,4,3,"7,11,11,3,11,16,11|11,13,2,11,4,14,1",,GRAND_SLAM,MS,30,Qualification,BUKIN Andrey (RUS),JAMIU Azeez Olugbenga (NGR),JAMIU Azeez Olugbenga
World Tour Nigeria Open Lagos 2016,2016-05-18,JAMIU Azeez Olugbenga,AYODELE Sunday,4,0,"11,11,11,11|5,8,5,8",,GRAND_SLAM,MS,30,Qualification,AYODELE Sunday (NGR),JAMIU Azeez Olugbenga (NGR),JAMIU Azeez Olugbenga
World Tour Nigeria Open Lagos 2016,2016-05-18,BUKIN Andrey,AYODELE Sunday,4,1,"11,11,11,7,11|6,3,5,11,5",,GRAND_SLAM,MS,30,Qualification,AYODELE Sunday (NGR),BUKIN Andrey (RUS),BUKIN Andrey
World Tour Nigeria Open Lagos 2016,2016-05-18,BABAFEMI Babatunde,OSEDUNKWU Joseph,4,2,"11,11,11,12,2,11|2,13,8,10,11,8",,GRAND_SLAM,MS,30,Qualification,OSEDUNKWU Joseph (NGR),BABAFEMI Babatunde (NGR),BABAFEMI Babatunde
World Tour Nigeria Open Lagos 2016,2016-05-18,BABAFEMI Babatunde,AKINDURO Gabriel,4,1,"12,11,11,11,12|14,8,4,5,10",,GRAND_SLAM,MS,30,Qualification,AKINDURO Gabriel (NGR),BABAFEMI Babatunde (NGR),BABAFEMI Babatunde
World Tour Nigeria Open Lagos 2016,2016-05-18,OSEDUNKWU Joseph,AKINDURO Gabriel,4,0,"12,11,11,12|10,7,6,10",,GRAND_SLAM,MS,30,Qualification,AKINDURO Gabriel (NGR),OSEDUNKWU Joseph (NGR),OSEDUNKWU Joseph
World Tour Nigeria Open Lagos 2016,2016-05-18,OLAWUYIN Joshua,NANEVIE Courage,4,1,"4,14,11,11,11|11,12,7,9,7",,GRAND_SLAM,MS,30,Qualification,OLAWUYIN Joshua (NGR),NANEVIE Courage (GHA),OLAWUYIN Joshua
World Tour Nigeria Open Lagos 2016,2016-05-18,ADENIYI Kazeem,NANEVIE Courage,4,0,"11,11,11,11|3,6,5,5",,GRAND_SLAM,MS,30,Qualification,ADENIYI Kazeem (NGR),NANEVIE Courage (GHA),ADENIYI Kazeem
World Tour Nigeria Open Lagos 2016,2016-05-18,ADENIYI Kazeem,OLAWUYIN Joshua,4,0,"11,11,11,11|4,6,5,5",,GRAND_SLAM,MS,30,Qualification,ADENIYI Kazeem (NGR),OLAWUYIN Joshua (NGR),ADENIYI Kazeem
World Tour Nigeria Open Lagos 2016,2016-05-18,ETIM Orok,SOLANKE Azeez,4,3,"9,11,8,3,11,11,11|11,6,11,11,4,8,9",,GRAND_SLAM,MS,30,Qualification,ETIM Orok (NGR),SOLANKE Azeez (NGR),ETIM Orok
World Tour Nigeria Open Lagos 2016,2016-05-18,CAZACU Alexandru,SOLANKE Azeez,4,0,"11,11,11,11|5,6,5,3",,GRAND_SLAM,MS,30,Qualification,CAZACU Alexandru (ROU),SOLANKE Azeez (NGR),CAZACU Alexandru
World Tour Nigeria Open Lagos 2016,2016-05-18,CAZACU Alexandru,ETIM Orok,4,0,"11,11,11,11|3,9,5,7",,GRAND_SLAM,MS,30,Qualification,CAZACU Alexandru (ROU),ETIM Orok (NGR),CAZACU Alexandru
World Tour Nigeria Open Lagos 2016,2016-05-18,ADEYINKA Hammed,AYANWALE Jamiu,4,0,"11,11,11,11|7,6,9,7",,GRAND_SLAM,MS,30,Qualification,AYANWALE Jamiu (NGR),ADEYINKA Hammed (NGR),ADEYINKA Hammed
World Tour Nigeria Open Lagos 2016,2016-05-18,AJULO Gbenga,AYANWALE Jamiu,4,0,"11,11,11,11|9,6,6,8",,GRAND_SLAM,MS,30,Qualification,AYANWALE Jamiu (NGR),AJULO Gbenga (NGR),AJULO Gbenga
