tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Chien-An,FAN Zhendong,3,2,"13,11,6,9,11|11,7,11,11,8",,OTHER,MS,857,Qualification,FAN Zhendong (CHN),CHEN Chien-An (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,NIWA Koki,HO Kwan Kit,3,2,"11,10,11,14,11|8,12,3,16,4",,OTHER,MS,857,Qualification,NIWA Koki (JPN),HO Kwan Kit (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,FAN Zhendong,NIWA Koki,3,1,"11,11,8,12|8,8,11,10",,OTHER,MS,857,Qualification,FAN Zhendong (CHN),NIWA Koki (JPN)
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Chien-An,HO Kwan Kit,3,2,"9,11,7,11,11|11,4,11,8,5",,OTHER,MS,857,Qualification,CHEN Chien-An (TPE),HO Kwan Kit (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,NIWA Koki,CHEN Chien-An,3,0,"13,12,11|11,10,4",,OTHER,MS,857,Qualification,NIWA Koki (JPN),CHEN Chien-An (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,FAN Zhendong,HO Kwan Kit,3,0,"13,16,11|11,14,3",,OTHER,MS,857,Qualification,FAN Zhendong (CHN),HO Kwan Kit (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,JEONG Sangeun,WONG Chun Ting,3,1,"15,11,11,11|17,9,5,9",,OTHER,MS,857,Qualification,WONG Chun Ting (HKG),JEONG Sangeun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,CHUANG Chih-Yuan,ALAMIYAN Noshad,3,1,"4,14,11,11|11,12,3,7",,OTHER,MS,857,Qualification,CHUANG Chih-Yuan (TPE),ALAMIYAN Noshad (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,CHUANG Chih-Yuan,WONG Chun Ting,3,0,"11,11,11|4,3,4",,OTHER,MS,857,Qualification,WONG Chun Ting (HKG),CHUANG Chih-Yuan (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,JEONG Sangeun,ALAMIYAN Noshad,3,2,"9,12,11,9,12|11,10,8,11,10",,OTHER,MS,857,Qualification,JEONG Sangeun (KOR),ALAMIYAN Noshad (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,CHUANG Chih-Yuan,JEONG Sangeun,3,0,"11,11,14|3,9,12",,OTHER,MS,857,Qualification,CHUANG Chih-Yuan (TPE),JEONG Sangeun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,ALAMIYAN Noshad,WONG Chun Ting,3,2,"7,11,6,12,11|11,5,11,10,6",,OTHER,MS,857,Qualification,WONG Chun Ting (HKG),ALAMIYAN Noshad (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,MIZUTANI Jun,LIN Gaoyuan,3,2,"9,9,11,11,11|11,11,6,4,9",,OTHER,MS,857,Qualification,MIZUTANI Jun (JPN),LIN Gaoyuan (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,LEE Sang Su,ACHANTA Sharath,3,0,"11,11,11|5,7,9",,OTHER,MS,857,Qualification,LEE Sang Su (KOR),ACHANTA Sharath (IND)
Asian Cup Ahmedabad 2017,2017-09-15,MIZUTANI Jun,LEE Sang Su,3,0,"11,11,11|5,8,8",,OTHER,MS,857,Qualification,MIZUTANI Jun (JPN),LEE Sang Su (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,LIN Gaoyuan,ACHANTA Sharath,3,0,"11,11,11|1,6,3",,OTHER,MS,857,Qualification,LIN Gaoyuan (CHN),ACHANTA Sharath (IND)
Asian Cup Ahmedabad 2017,2017-09-15,LIN Gaoyuan,LEE Sang Su,3,0,"11,11,11|9,8,9",,OTHER,MS,857,Qualification,LEE Sang Su (KOR),LIN Gaoyuan (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,MIZUTANI Jun,ACHANTA Sharath,3,1,"11,11,8,11|5,3,11,8",,OTHER,MS,857,Qualification,MIZUTANI Jun (JPN),ACHANTA Sharath (IND)
Asian Cup Ahmedabad 2017,2017-09-15,ALAMIAN Nima,DESAI Harmeet,3,2,"11,11,8,9,12|6,8,11,11,10",,OTHER,MS,857,Qualification,DESAI Harmeet (IND),ALAMIAN Nima (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,AL-ABBAD Abdulaziz,TANVIRIYAVECHAKUL Padasak,3,2,"11,11,6,9,11|4,8,11,11,5",,OTHER,MS,857,Qualification,TANVIRIYAVECHAKUL Padasak (THA),AL-ABBAD Abdulaziz (KSA)
Asian Cup Ahmedabad 2017,2017-09-15,TANVIRIYAVECHAKUL Padasak,DESAI Harmeet,3,2,"5,6,11,11,11|11,11,4,9,4",,OTHER,MS,857,Qualification,DESAI Harmeet (IND),TANVIRIYAVECHAKUL Padasak (THA)
Asian Cup Ahmedabad 2017,2017-09-15,ALAMIAN Nima,AL-ABBAD Abdulaziz,3,0,"11,11,11|5,7,7",,OTHER,MS,857,Qualification,ALAMIAN Nima (IRI),AL-ABBAD Abdulaziz (KSA)
Asian Cup Ahmedabad 2017,2017-09-15,ALAMIAN Nima,TANVIRIYAVECHAKUL Padasak,3,2,"8,11,11,8,11|11,7,2,11,6",,OTHER,MS,857,Qualification,TANVIRIYAVECHAKUL Padasak (THA),ALAMIAN Nima (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,DESAI Harmeet,AL-ABBAD Abdulaziz,3,0,"11,12,11|6,10,7",,OTHER,MS,857,Qualification,DESAI Harmeet (IND),AL-ABBAD Abdulaziz (KSA)
Asian Cup Ahmedabad 2017,2017-09-15,ZHU Yuling,DOO Hoi Kem,3,0,"11,11,11|6,1,4",,OTHER,WS,857,Qualification,ZHU Yuling (MAC),DOO Hoi Kem (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,HIRANO Miu,YU Mengyu,3,1,"11,7,11,11|4,11,5,9",,OTHER,WS,857,Qualification,HIRANO Miu (JPN),YU Mengyu (SGP)
Asian Cup Ahmedabad 2017,2017-09-15,ZHU Yuling,HIRANO Miu,3,0,"11,11,11|6,8,8",,OTHER,WS,857,Qualification,ZHU Yuling (MAC),HIRANO Miu (JPN)
Asian Cup Ahmedabad 2017,2017-09-15,DOO Hoi Kem,YU Mengyu,3,0,"11,11,11|5,8,5",,OTHER,WS,857,Qualification,DOO Hoi Kem (HKG),YU Mengyu (SGP)
Asian Cup Ahmedabad 2017,2017-09-15,DOO Hoi Kem,HIRANO Miu,3,2,"10,11,4,11,11|12,6,11,4,7",,OTHER,WS,857,Qualification,HIRANO Miu (JPN),DOO Hoi Kem (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,ZHU Yuling,YU Mengyu,3,0,"11,11,11|6,5,6",,OTHER,WS,857,Qualification,ZHU Yuling (MAC),YU Mengyu (SGP)
Asian Cup Ahmedabad 2017,2017-09-15,LIU Shiwen,YANG Ha Eun,3,0,"11,11,11|5,6,2",,OTHER,WS,857,Qualification,LIU Shiwen (CHN),YANG Ha Eun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,CHENG I-Ching,LEE Ho Ching,3,1,"9,12,11,11|11,10,8,7",,OTHER,WS,857,Qualification,CHENG I-Ching (TPE),LEE Ho Ching (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,LIU Shiwen,CHENG I-Ching,3,0,"11,11,11|8,5,6",,OTHER,WS,857,Qualification,LIU Shiwen (CHN),CHENG I-Ching (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,LEE Ho Ching,YANG Ha Eun,3,2,"11,7,9,11,11|4,11,11,9,9",,OTHER,WS,857,Qualification,YANG Ha Eun (KOR),LEE Ho Ching (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,CHENG I-Ching,YANG Ha Eun,3,0,"11,11,13|4,5,11",,OTHER,WS,857,Qualification,CHENG I-Ching (TPE),YANG Ha Eun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,LIU Shiwen,LEE Ho Ching,3,1,"3,11,11,11|11,5,9,9",,OTHER,WS,857,Qualification,LIU Shiwen (CHN),LEE Ho Ching (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,ISHIKAWA Kasumi,SUH Hyo Won,3,2,"5,13,11,6,11|11,11,7,11,7",,OTHER,WS,857,Qualification,ISHIKAWA Kasumi (JPN),SUH Hyo Won (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Szu-Yu,FENG Tianwei,3,2,"6,11,11,5,11|11,8,9,11,9",,OTHER,WS,857,Qualification,FENG Tianwei (SGP),CHEN Szu-Yu (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,ISHIKAWA Kasumi,FENG Tianwei,3,1,"12,11,3,11|10,6,11,5",,OTHER,WS,857,Qualification,ISHIKAWA Kasumi (JPN),FENG Tianwei (SGP)
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Szu-Yu,SUH Hyo Won,3,1,"6,15,16,11|11,13,14,5",,OTHER,WS,857,Qualification,SUH Hyo Won (KOR),CHEN Szu-Yu (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,SUH Hyo Won,FENG Tianwei,3,2,"11,7,7,11,12|8,11,11,3,10",,OTHER,WS,857,Qualification,FENG Tianwei (SGP),SUH Hyo Won (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,ISHIKAWA Kasumi,CHEN Szu-Yu,3,0,"11,11,11|6,9,9",,OTHER,WS,857,Qualification,ISHIKAWA Kasumi (JPN),CHEN Szu-Yu (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,SAWETTABUT Suthasini,MOHAMED Aia,3,0,"11,11,11|1,1,4",,OTHER,WS,857,Qualification,SAWETTABUT Suthasini (THA),MOHAMED Aia (QAT)
Asian Cup Ahmedabad 2017,2017-09-15,BATRA Manika,SHAHSAVARI Neda,3,0,"11,11,11|5,8,6",,OTHER,WS,857,Qualification,BATRA Manika (IND),SHAHSAVARI Neda (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,BATRA Manika,SAWETTABUT Suthasini,3,2,"11,8,8,11,11|8,11,11,4,8",,OTHER,WS,857,Qualification,SAWETTABUT Suthasini (THA),BATRA Manika (IND)
Asian Cup Ahmedabad 2017,2017-09-15,SHAHSAVARI Neda,MOHAMED Aia,3,0,"11,11,11|5,6,9",,OTHER,WS,857,Qualification,MOHAMED Aia (QAT),SHAHSAVARI Neda (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,BATRA Manika,MOHAMED Aia,3,0,"13,11,11|11,8,7",,OTHER,WS,857,Qualification,BATRA Manika (IND),MOHAMED Aia (QAT)
Asian Cup Ahmedabad 2017,2017-09-15,SAWETTABUT Suthasini,SHAHSAVARI Neda,3,0,"11,11,11|9,6,9",,OTHER,WS,857,Qualification,SAWETTABUT Suthasini (THA),SHAHSAVARI Neda (IRI)
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Chien-An,NIWA Koki,4,2,"7,11,11,3,13,13|11,7,6,11,11,11",QuarterFinal,OTHER,MS,857,Main Draw,NIWA Koki (JPN),CHEN Chien-An (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,LIN Gaoyuan,JEONG Sangeun,4,1,"6,11,11,11,11|11,9,6,6,5",QuarterFinal,OTHER,MS,857,Main Draw,LIN Gaoyuan (CHN),JEONG Sangeun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,FAN Zhendong,MIZUTANI Jun,4,1,"11,11,16,11,11|8,13,14,5,8",QuarterFinal,OTHER,MS,857,Main Draw,MIZUTANI Jun (JPN),FAN Zhendong (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,LEE Sang Su,CHUANG Chih-Yuan,4,3,"11,11,9,11,9,7,11|6,7,11,7,11,11,9",QuarterFinal,OTHER,MS,857,Main Draw,LEE Sang Su (KOR),CHUANG Chih-Yuan (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,LIN Gaoyuan,CHEN Chien-An,4,0,"11,12,15,11|5,10,13,7",SemiFinal,OTHER,MS,857,Main Draw,CHEN Chien-An (TPE),LIN Gaoyuan (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,FAN Zhendong,LEE Sang Su,4,0,"11,11,11,11|5,9,8,7",SemiFinal,OTHER,MS,857,Main Draw,FAN Zhendong (CHN),LEE Sang Su (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,LIN Gaoyuan,FAN Zhendong,4,2,"11,7,11,9,11,11|7,11,4,11,5,5",Final,OTHER,MS,857,Main Draw,LIN Gaoyuan (CHN),FAN Zhendong (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,JEONG Sangeun,NIWA Koki,4,3,"6,9,11,7,13,13,11|11,11,8,11,11,11,8",4,OTHER,MS,857,Position Draw,NIWA Koki (JPN),JEONG Sangeun (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,MIZUTANI Jun,CHUANG Chih-Yuan,4,3,"8,11,9,6,11,11,13|11,7,11,11,5,6,11",4,OTHER,MS,857,Position Draw,MIZUTANI Jun (JPN),CHUANG Chih-Yuan (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,MIZUTANI Jun,JEONG Sangeun,4,1,"9,11,11,11,11|11,9,7,8,9",2,OTHER,MS,857,Position Draw,JEONG Sangeun (KOR),MIZUTANI Jun (JPN)
Asian Cup Ahmedabad 2017,2017-09-15,CHUANG Chih-Yuan,NIWA Koki,4,3,"8,4,6,11,11,12,11|11,11,11,8,5,10,8",2,OTHER,MS,857,Position Draw,NIWA Koki (JPN),CHUANG Chih-Yuan (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,LEE Sang Su,CHEN Chien-An,4,1,"11,11,10,11,12|7,7,12,3,10",2,OTHER,MS,857,Position Draw,CHEN Chien-An (TPE),LEE Sang Su (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,ZHU Yuling,CHENG I-Ching,4,0,"11,11,11,11|5,3,2,3",QuarterFinal,OTHER,WS,857,Main Draw,ZHU Yuling (MAC),CHENG I-Ching (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,HIRANO Miu,CHEN Szu-Yu,4,3,"11,11,8,11,9,11,11|13,9,11,9,11,6,3",QuarterFinal,OTHER,WS,857,Main Draw,HIRANO Miu (JPN),CHEN Szu-Yu (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,ISHIKAWA Kasumi,DOO Hoi Kem,4,0,"11,12,14,14|9,10,12,12",QuarterFinal,OTHER,WS,857,Main Draw,ISHIKAWA Kasumi (JPN),DOO Hoi Kem (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,LIU Shiwen,SUH Hyo Won,4,3,"11,8,11,9,11,8,11|4,11,9,11,1,11,3",QuarterFinal,OTHER,WS,857,Main Draw,SUH Hyo Won (KOR),LIU Shiwen (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,LIU Shiwen,ISHIKAWA Kasumi,4,2,"15,11,9,13,9,11|13,3,11,11,11,6",SemiFinal,OTHER,WS,857,Main Draw,ISHIKAWA Kasumi (JPN),LIU Shiwen (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,ZHU Yuling,LIU Shiwen,4,3,"6,11,11,10,11,11,11|11,9,8,12,7,13,6",Final,OTHER,WS,857,Main Draw,ZHU Yuling (MAC),LIU Shiwen (CHN)
Asian Cup Ahmedabad 2017,2017-09-15,CHEN Szu-Yu,CHENG I-Ching,4,3,"11,11,11,3,5,2,11|6,4,8,11,11,11,9",4,OTHER,WS,857,Position Draw,CHENG I-Ching (TPE),CHEN Szu-Yu (TPE)
Asian Cup Ahmedabad 2017,2017-09-15,SUH Hyo Won,DOO Hoi Kem,4,2,"12,11,11,9,6,11|10,6,7,11,11,6",4,OTHER,WS,857,Position Draw,DOO Hoi Kem (HKG),SUH Hyo Won (KOR)
Asian Cup Ahmedabad 2017,2017-09-15,DOO Hoi Kem,CHENG I-Ching,4,1,"15,10,11,11,11|13,12,8,8,4",2,OTHER,WS,857,Position Draw,CHENG I-Ching (TPE),DOO Hoi Kem (HKG)
Asian Cup Ahmedabad 2017,2017-09-15,ISHIKAWA Kasumi,HIRANO Miu,4,3,"9,7,11,11,11,9,11|11,11,9,8,3,11,8",2,OTHER,WS,857,Position Draw,HIRANO Miu (JPN),ISHIKAWA Kasumi (JPN)
Asian Cup Ahmedabad 2017,2017-09-15,LEE Sang Su,ALAMIYAN Noshad,3,2,"11,10,11,11,12|4,12,13,2,10",4,OTHER,MS,857,Position Draw,ALAMIYAN Noshad (IRI),LEE Sang Su (KOR)
