tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2017 European Championships Qualification 2nd round 2016,2016-11-01,MIKHAILOVA Polina,PRIVALOVA Alexandra,3,1,"11,11,4,11|6,8,11,9",,OTHER,WT,384,Qualification,PRIVALOVA Alexandra (BLR),MIKHAILOVA Polina (RUS)
2017 European Championships Qualification 2nd round 2016,2016-11-01,NOSKOVA Yana,TRIGOLOS Daria,3,1,"11,13,10,11|3,11,12,5",,OTHER,WT,384,Qualification,TRIGOLOS Daria (BLR),NOSKOVA Yana (RUS)
2017 European Championships Qualification 2nd round 2016,2016-11-01,VOROBEVA Olga,PAVLOVICH Viktoria,3,2,"7,9,11,11,11|11,11,7,8,8",,OTHER,WT,384,Qualification,PAVLOVICH Viktoria (BLR),VOROBEVA Olga (RUS)
2017 European Championships Qualification 2nd round 2016,2016-11-01,LI Qian,XIAO Maria,3,0,"11,11,11|4,6,8",,OTHER,WT,384,Qualification,XIAO Maria (ESP),LI Qian (POL)
2017 European Championships Qualification 2nd round 2016,2016-11-01,LI Qian,RAMIREZ Sara,3,0,"11,11,11|6,9,7",,OTHER,WT,384,Qualification,RAMIREZ Sara (ESP),LI Qian (POL)
2017 European Championships Qualification 2nd round 2016,2016-11-01,PARTYKA Natalia,DVORAK Galia,3,2,"11,13,10,7,11|9,11,12,11,6",,OTHER,WT,384,Qualification,DVORAK Galia (ESP),PARTYKA Natalia (POL)
2017 European Championships Qualification 2nd round 2016,2016-11-01,XIAO Maria,GRZYBOWSKA-FRANC Katarzyna,3,0,"11,11,11|6,9,8",,OTHER,WT,384,Qualification,XIAO Maria (ESP),GRZYBOWSKA-FRANC Katarzyna (POL)
2017 European Championships Qualification 2nd round 2016,2016-11-01,SZOCS Bernadette,VERMAAS Kim,3,0,"11,11,11|6,6,5",,OTHER,WT,384,Qualification,VERMAAS Kim (NED),SZOCS Bernadette (ROU)
2017 European Championships Qualification 2nd round 2016,2016-11-01,SAMARA Elizabeta,LI Jie,3,0,"11,11,11|3,6,8",,OTHER,WT,384,Qualification,LI Jie (NED),SAMARA Elizabeta (ROU)
2017 European Championships Qualification 2nd round 2016,2016-11-01,DODEAN Daniela,LI Jie,3,1,"14,11,11,11|16,9,7,6",,OTHER,WT,384,Qualification,LI Jie (NED),DODEAN Daniela (ROU)
2017 European Championships Qualification 2nd round 2016,2016-11-01,EERLAND Britt,SAMARA Elizabeta,3,0,"11,11,11|7,7,8",,OTHER,WT,384,Qualification,EERLAND Britt (NED),SAMARA Elizabeta (ROU)
