tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2017 European Championships Qualification 3rd round 2016,2016-11-22,LARUSDOTTIR Aldis Run,KATILLARI Kamelia,3,1,"11,6,11,11|9,11,7,8",,OTHER,WT,419,Qualification,KATILLARI Kamelia (ALB),LARUSDOTTIR Aldis Run (ISL),LARUSDOTTIR Aldis Run
2017 European Championships Qualification 3rd round 2016,2016-11-22,NUYTINCK Cedric,TOKIC Bojan,3,0,"11,11,11|8,7,5",,OTHER,MT,419,Qualification,TOKIC Bojan (SLO),NUYTINCK Cedric (BEL),NUYTINCK Cedric
2017 European Championships Qualification 3rd round 2016,2016-11-22,ALICIC Armin,TUFA John,3,0,"12,11,11|10,9,8",,OTHER,MT,419,Qualification,TUFA John (ALB),ALICIC Armin (BIH),ALICIC Armin
2017 European Championships Qualification 3rd round 2016,2016-11-22,ALICIC Armin,HOWIESON Craig,3,0,"13,11,13|11,8,11",,OTHER,MT,419,Qualification,HOWIESON Craig (SCO),ALICIC Armin (BIH),ALICIC Armin
2017 European Championships Qualification 3rd round 2016,2016-11-22,KONJIC Edin,TOSUNI Sadush,3,0,"11,12,11|6,10,5",,OTHER,MT,419,Qualification,TOSUNI Sadush (ALB),KONJIC Edin (BIH),KONJIC Edin
2017 European Championships Qualification 3rd round 2016,2016-11-22,ARLOUSKAYA Alina,YOVKOVA Maria,3,0,"12,11,11|10,5,4",,OTHER,WT,419,Qualification,YOVKOVA Maria (BUL),ARLOUSKAYA Alina (BLR),ARLOUSKAYA Alina
2017 European Championships Qualification 3rd round 2016,2016-11-22,NIKITCHANKA Alina,YOVKOVA Krasimira,3,0,"11,11,11|6,3,2",,OTHER,WT,419,Qualification,YOVKOVA Krasimira (BUL),NIKITCHANKA Alina (BLR),NIKITCHANKA Alina
2017 European Championships Qualification 3rd round 2016,2016-11-22,KOJIC Frane,BEN-ARI Aviv,3,0,"11,12,11|8,10,8",,OTHER,MT,419,Qualification,BEN-ARI Aviv (ISR),KOJIC Frane (CRO),KOJIC Frane
2017 European Championships Qualification 3rd round 2016,2016-11-22,MALOBABIC Ivana,ERIKSSON Pihla,3,0,"11,11,11|5,2,3",,OTHER,WT,419,Qualification,ERIKSSON Pihla (FIN),MALOBABIC Ivana (CRO),MALOBABIC Ivana
2017 European Championships Qualification 3rd round 2016,2016-11-22,JEGER Mateja,KIRICHENKO Anna,3,0,"11,12,11|4,10,6",,OTHER,WT,419,Qualification,KIRICHENKO Anna (FIN),JEGER Mateja (CRO),JEGER Mateja
2017 European Championships Qualification 3rd round 2016,2016-11-22,TIAN Yuan,LUNDSTROM Annika,3,0,"11,11,11|6,5,4",,OTHER,WT,419,Qualification,LUNDSTROM Annika (FIN),TIAN Yuan (CRO),TIAN Yuan
2017 European Championships Qualification 3rd round 2016,2016-11-22,PUCAR Tomislav,SIMON Mathan,3,0,"11,11,11|9,6,9",,OTHER,MT,419,Qualification,SIMON Mathan (ISR),PUCAR Tomislav (CRO),PUCAR Tomislav
2017 European Championships Qualification 3rd round 2016,2016-11-22,WALKER Samuel,OOSTWOUDER Ewout,3,0,"11,11,12|9,7,10",,OTHER,MT,419,Qualification,OOSTWOUDER Ewout (NED),WALKER Samuel (ENG),WALKER Samuel
2017 European Championships Qualification 3rd round 2016,2016-11-22,CANTERO Jesus,KODJABASHEV Denislav,3,0,"11,11,11|9,9,9",,OTHER,MT,419,Qualification,KODJABASHEV Denislav (BUL),CANTERO Jesus (ESP),CANTERO Jesus
2017 European Championships Qualification 3rd round 2016,2016-11-22,ROBINSON Ashley,HJARTARSON Magnus,3,0,"11,11,11|4,3,5",,OTHER,MT,419,Qualification,HJARTARSON Magnus (ISL),ROBINSON Ashley (IRL),ROBINSON Ashley
2017 European Championships Qualification 3rd round 2016,2016-11-22,WILSON Zak,JONSSON David,3,0,"11,11,11|4,5,3",,OTHER,MT,419,Qualification,JONSSON David (ISL),WILSON Zak (IRL),WILSON Zak
2017 European Championships Qualification 3rd round 2016,2016-11-22,GELMAN Shelli,LYNCH-DAWSON Hannah,3,0,"11,11,11|6,9,7",,OTHER,WT,419,Qualification,LYNCH-DAWSON Hannah (IRL),GELMAN Shelli (ISR),GELMAN Shelli
2017 European Championships Qualification 3rd round 2016,2016-11-22,MUTTI Leonardo,NAUMI Alex,3,0,"11,11,15|7,8,13",,OTHER,MT,419,Qualification,NAUMI Alex (FIN),MUTTI Leonardo (ITA),MUTTI Leonardo
2017 European Championships Qualification 3rd round 2016,2016-11-22,CITAKU Linor,SADIGOV Sadikh,3,0,"14,11,11|12,8,8",,OTHER,MT,419,Qualification,SADIGOV Sadikh (AZE),CITAKU Linor (KOS),CITAKU Linor
