tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
2017 European Championships Qualification 5th round 2017,2017-01-22,HABESOHN Daniel,NAGY Krisztian,3,0,"11,11,11|4,4,4",,OTHER,MT,603,Qualification,HABESOHN Daniel (AUT),NAGY Krisztian (HUN)
2017 European Championships Qualification 5th round 2017,2017-01-22,FEGERL Stefan,KOSIBA Daniel,3,0,"11,11,13|8,3,11",,OTHER,MT,603,Qualification,FEGERL Stefan (AUT),KOSIBA Daniel (HUN)
2017 European Championships Qualification 5th round 2017,2017-01-22,GARDOS Robert,LAKATOS Tamas,3,1,"16,11,10,11|14,2,12,6",,OTHER,MT,603,Qualification,GARDOS Robert (AUT),LAKATOS Tamas (HUN)
2017 European Championships Qualification 5th round 2017,2017-01-22,STRUGAREVIC Nikola,WALTHER Ricardo,3,0,"14,11,14|12,9,12",,OTHER,MT,603,Qualification,WALTHER Ricardo (GER),STRUGAREVIC Nikola (SRB)
2017 European Championships Qualification 5th round 2017,2017-01-22,DUDA Benedikt,KATIC Ivor,3,0,"11,14,11|7,12,7",,OTHER,MT,603,Qualification,DUDA Benedikt (GER),KATIC Ivor (SRB)
2017 European Championships Qualification 5th round 2017,2017-01-22,SUBOTIC Dragan,QIU Dang,3,0,"11,11,12|5,6,10",,OTHER,MT,603,Qualification,QIU Dang (GER),SUBOTIC Dragan (SRB)
2017 European Championships Qualification 5th round 2017,2017-01-22,WALTHER Ricardo,KATIC Ivor,3,0,"13,11,11|11,5,6",,OTHER,MT,603,Qualification,WALTHER Ricardo (GER),KATIC Ivor (SRB)
2017 European Championships Qualification 5th round 2017,2017-01-22,DUDA Benedikt,STRUGAREVIC Nikola,3,0,"12,11,11|10,3,3",,OTHER,MT,603,Qualification,DUDA Benedikt (GER),STRUGAREVIC Nikola (SRB)
2017 European Championships Qualification 5th round 2017,2017-01-22,OUAICHE Stephane,MUTTI Leonardo,3,0,"11,11,11|7,9,4",,OTHER,MT,603,Qualification,OUAICHE Stephane (ALG),MUTTI Leonardo (ITA)
2017 European Championships Qualification 5th round 2017,2017-01-22,LEBESSON Emmanuel,STOYANOV Niagol,3,1,"11,11,9,13|4,4,11,11",,OTHER,MT,603,Qualification,LEBESSON Emmanuel (FRA),STOYANOV Niagol (ITA)
2017 European Championships Qualification 5th round 2017,2017-01-22,ROBINOT Quentin,AMATO Antonino,3,0,"11,11,11|3,2,2",,OTHER,MT,603,Qualification,ROBINOT Quentin (FRA),AMATO Antonino (ITA)
2017 European Championships Qualification 5th round 2017,2017-01-22,PUCAR Tomislav,SAMSONOV Vladimir,3,1,"11,11,9,11|9,4,11,9",,OTHER,MT,603,Qualification,SAMSONOV Vladimir (BLR),PUCAR Tomislav (CRO)
2017 European Championships Qualification 5th round 2017,2017-01-22,KOJIC Frane,PLATONOV Pavel,3,2,"7,13,11,12|11,11,3,14",,OTHER,MT,603,Qualification,PLATONOV Pavel (BLR),KOJIC Frane (CRO)
2017 European Championships Qualification 5th round 2017,2017-01-22,GACINA Andrej,KHANIN Aleksandr,3,0,"12,11,11|10,5,3",,OTHER,MT,603,Qualification,KHANIN Aleksandr (BLR),GACINA Andrej (CRO)
2017 European Championships Qualification 5th round 2017,2017-01-22,PISTEJ Lubomir,KARLSSON Mattias,3,0,"11,11,11|9,9,8",,OTHER,MT,603,Qualification,KARLSSON Mattias (SWE),PISTEJ Lubomir (SVK)
2017 European Championships Qualification 5th round 2017,2017-01-22,PERSSON Jon,VALUCH Alexander,3,0,"11,11,13|9,5,11",,OTHER,MT,603,Qualification,PERSSON Jon (SWE),VALUCH Alexander (SVK)
2017 European Championships Qualification 5th round 2017,2017-01-22,GERELL Par,NOVOTA Samuel,3,1,"11,9,11,11|9,11,5,9",,OTHER,MT,603,Qualification,GERELL Par (SWE),NOVOTA Samuel (SVK)
2017 European Championships Qualification 5th round 2017,2017-01-22,FRANZEN Alexander,VALUCH Alexander,3,1,"11,8,11,11|9,11,6,8",,OTHER,MT,603,Qualification,FRANZEN Alexander (SWE),VALUCH Alexander (SVK)
2017 European Championships Qualification 5th round 2017,2017-01-22,GERALDO Joao,YEFIMOV Viktor,3,1,"13,10,11,11|11,12,5,6",,OTHER,MT,603,Qualification,GERALDO Joao (POR),YEFIMOV Viktor (UKR)
2017 European Championships Qualification 5th round 2017,2017-01-22,CARVALHO Diogo,ZHMUDENKO Yaroslav,3,0,"11,12,11|8,10,3",,OTHER,MT,603,Qualification,CARVALHO Diogo (POR),ZHMUDENKO Yaroslav (UKR)
2017 European Championships Qualification 5th round 2017,2017-01-22,CHEN Diogo,PRYSHCHEPA Ievgen,3,1,"12,11,11,11|10,7,13,8",,OTHER,MT,603,Qualification,CHEN Diogo (POR),PRYSHCHEPA Ievgen (UKR)
2017 European Championships Qualification 5th round 2017,2017-01-22,GIONIS Panagiotis,DRINKHALL Paul,3,0,"11,11,11|2,6,5",,OTHER,MT,603,Qualification,GIONIS Panagiotis (GRE),DRINKHALL Paul (ENG)
2017 European Championships Qualification 5th round 2017,2017-01-22,PAPAGEORGIOU Konstantinos,PITCHFORD Liam,3,1,"11,11,6,16|3,9,11,14",,OTHER,MT,603,Qualification,PAPAGEORGIOU Konstantinos (GRE),PITCHFORD Liam (ENG)
2017 European Championships Qualification 5th round 2017,2017-01-22,SGOUROPOULOS Ioannis,WALKER Samuel,3,0,"11,11,11|9,7,7",,OTHER,MT,603,Qualification,SGOUROPOULOS Ioannis (GRE),WALKER Samuel (ENG)
2017 European Championships Qualification 5th round 2017,2017-01-22,WANG Zengyi,DEVOS Robin,3,0,"12,11,11|10,6,3",,OTHER,MT,603,Qualification,WANG Zengyi (POL),DEVOS Robin (BEL)
2017 European Championships Qualification 5th round 2017,2017-01-22,DYJAS Jakub,NUYTINCK Cedric,3,1,"11,11,9,12|7,9,11,10",,OTHER,MT,603,Qualification,DYJAS Jakub (POL),NUYTINCK Cedric (BEL)
2017 European Championships Qualification 5th round 2017,2017-01-22,GORAK Daniel,LAMBIET Florent,3,1,"11,11,6,11|9,5,11,7",,OTHER,MT,603,Qualification,GORAK Daniel (POL),LAMBIET Florent (BEL)
2017 European Championships Qualification 5th round 2017,2017-01-22,SHIBAEV Alexander,MACHADO Carlos,3,0,"11,11,11|7,3,3",,OTHER,MT,603,Qualification,SHIBAEV Alexander (RUS),MACHADO Carlos (ESP)
2017 European Championships Qualification 5th round 2017,2017-01-22,ROBLES Alvaro,LIVENTSOV Alexey,3,0,"11,11,11|9,7,6",,OTHER,MT,603,Qualification,LIVENTSOV Alexey (RUS),ROBLES Alvaro (ESP)
2017 European Championships Qualification 5th round 2017,2017-01-22,CANTERO Jesus,VLASOV Grigory,3,1,"12,9,11,11|10,11,6,9",,OTHER,MT,603,Qualification,VLASOV Grigory (RUS),CANTERO Jesus (ESP)
2017 European Championships Qualification 5th round 2017,2017-01-22,SHIBAEV Alexander,ROBLES Alvaro,3,2,"11,8,9,11|9,11,11,8",,OTHER,MT,603,Qualification,SHIBAEV Alexander (RUS),ROBLES Alvaro (ESP)
2017 European Championships Qualification 5th round 2017,2017-01-22,MACHADO Carlos,SKACHKOV Kirill,3,1,"7,11,11,11|11,8,7,9",,OTHER,MT,603,Qualification,SKACHKOV Kirill (RUS),MACHADO Carlos (ESP)
2017 European Championships Qualification 5th round 2017,2017-01-22,PROKOPCOV Dmitrij,SZOCS Hunor,3,2,"7,6,14,11|11,11,12,6",,OTHER,MT,603,Qualification,PROKOPCOV Dmitrij (CZE),SZOCS Hunor (ROU)
2017 European Championships Qualification 5th round 2017,2017-01-22,IONESCU Ovidiu,KONECNY Tomas,3,0,"14,14,13|12,12,11",,OTHER,MT,603,Qualification,KONECNY Tomas (CZE),IONESCU Ovidiu (ROU)
2017 European Championships Qualification 5th round 2017,2017-01-22,CRISAN Adrian,JANCARIK Lubomir,3,0,"12,11,16|10,3,14",,OTHER,MT,603,Qualification,JANCARIK Lubomir (CZE),CRISAN Adrian (ROU)
2017 European Championships Qualification 5th round 2017,2017-01-22,IONESCU Ovidiu,PROKOPCOV Dmitrij,3,1,"13,12,11,11|11,10,13,7",,OTHER,MT,603,Qualification,PROKOPCOV Dmitrij (CZE),IONESCU Ovidiu (ROU)
2017 European Championships Qualification 5th round 2017,2017-01-22,MITTELHAM Nina,FAJMUT Manca,3,0,"17,14,11|15,12,9",,OTHER,WT,603,Qualification,MITTELHAM Nina (GER),FAJMUT Manca (SLO)
