tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,MARTINEZ Guillermo,4,0,"11,11,11,11|4,9,8,7",R64,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),MARTINEZ Guillermo (ESP)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,LEWANDOWSKI Tomasz,KHANIN Aleksandr,4,1,"11,11,11,9,11|8,9,8,11,2",R64,OLYMPICS,MS,461,Main Draw,LEWANDOWSKI Tomasz (POL),KHANIN Aleksandr (BLR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BUROV Viacheslav,TANAKA Yuta,4,2,"3,11,8,11,11,12|11,2,11,7,6,10",R64,OLYMPICS,MS,461,Main Draw,BUROV Viacheslav (RUS),TANAKA Yuta (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,IVONIN Denis,ZHMUDENKO Yaroslav,4,3,"11,11,11,12,8,7,11|9,9,9,14,11,11,7",R64,OLYMPICS,MS,461,Main Draw,IVONIN Denis (RUS),ZHMUDENKO Yaroslav (UKR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,YEFIMOV Viktor,BARABANOV Kiryl,4,3,"11,8,9,8,12,11,11|6,11,11,11,10,4,7",R64,OLYMPICS,MS,461,Main Draw,YEFIMOV Viktor (UKR),BARABANOV Kiryl (BLR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,TAKAMI Masaki,SIDORENKO Vladimir,4,0,"11,11,11,12|5,9,6,10",R64,OLYMPICS,MS,461,Main Draw,SIDORENKO Vladimir (RUS),TAKAMI Masaki (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,JOUTI Eric,MERZLIKIN Taras,4,3,"12,12,11,5,6,12,11|10,10,3,11,11,14,5",R64,OLYMPICS,MS,461,Main Draw,JOUTI Eric (BRA),MERZLIKIN Taras (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PAIKOV Mikhail,PERMAN Oscar,4,1,"9,11,11,11,11|11,6,9,4,3",R64,OLYMPICS,MS,461,Main Draw,PERMAN Oscar (SWE),PAIKOV Mikhail (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PROKOPCOV Dmitrij,LOTFIJANABADI Miad,4,0,"12,11,11,11|10,5,4,9",R64,OLYMPICS,MS,461,Main Draw,PROKOPCOV Dmitrij (CZE),LOTFIJANABADI Miad (IRI)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,CAZACU Alexandru,FRANCO Carlos,4,1,"11,11,6,11,11|9,8,11,8,5",R64,OLYMPICS,MS,461,Main Draw,CAZACU Alexandru (ROU),FRANCO Carlos (ESP)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SUN Chia-Hung,KOTOWSKI Tomasz,4,2,"8,11,11,11,11,11|11,6,13,8,7,6",R64,OLYMPICS,MS,461,Main Draw,SUN Chia-Hung (TPE),KOTOWSKI Tomasz (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KIZUKURI Yuto,ULUCAK Batuhan,4,1,"12,11,11,15,11|14,8,5,13,9",R64,OLYMPICS,MS,461,Main Draw,ULUCAK Batuhan (TUR),KIZUKURI Yuto (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PLATONOV Pavel,ONISHI Naoya,4,1,"11,11,6,11,11|5,6,11,5,2",R64,OLYMPICS,MS,461,Main Draw,PLATONOV Pavel (BLR),ONISHI Naoya (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KRASTEV Petyo,CHERNOV Konstantin,4,1,"10,20,11,11,11|12,18,5,9,5",R64,OLYMPICS,MS,461,Main Draw,KRASTEV Petyo (BUL),CHERNOV Konstantin (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,POLANSKY Tomas,JEAN Lauric,4,1,"11,11,10,11,11|9,7,12,1,6",R64,OLYMPICS,MS,461,Main Draw,POLANSKY Tomas (CZE),JEAN Lauric (BEL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,STOYANOV Niagol,LI Ahmet,4,0,"11,11,11,11|8,6,7,9",R64,OLYMPICS,MS,461,Main Draw,STOYANOV Niagol (ITA),LI Ahmet (TUR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,WANG Zengyi,ABUSEV Artur,4,0,"11,11,11,11|5,4,4,6",R64,OLYMPICS,MS,461,Main Draw,WANG Zengyi (POL),ABUSEV Artur (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,VILCHEZ Miguel,UDRA Alfredas,4,3,"8,11,8,11,7,11,17|11,4,11,6,11,5,15",R64,OLYMPICS,MS,461,Main Draw,UDRA Alfredas (LTU),VILCHEZ Miguel (ESP)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,MIKUTIS Tomas,SIPOS Rares,4,1,"11,11,8,11,11|6,7,11,6,7",R64,OLYMPICS,MS,461,Main Draw,SIPOS Rares (ROU),MIKUTIS Tomas (LTU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KREANGA Kalinikos,KOBES Kristian,4,0,"11,11,11,11|5,5,3,4",R64,OLYMPICS,MS,461,Main Draw,KOBES Kristian (SVK),KREANGA Kalinikos (GRE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,ANGLES Enzo,BADOWSKI Marek,4,3,"4,11,13,11,8,8,11|11,8,11,5,11,11,5",R64,OLYMPICS,MS,461,Main Draw,ANGLES Enzo (FRA),BADOWSKI Marek (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PLETEA Cristian,GANDHI Sarthak,4,1,"12,11,7,11,11|10,7,11,7,9",R64,OLYMPICS,MS,461,Main Draw,GANDHI Sarthak (IND),PLETEA Cristian (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,MCBEATH David,ARTEMENKO Nikita,4,1,"6,11,11,11,11|11,9,6,1,5",R64,OLYMPICS,MS,461,Main Draw,MCBEATH David (ENG),ARTEMENKO Nikita (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,GORAK Daniel,KATSMAN Lev,4,1,"11,11,11,11,11|1,9,5,13,3",R64,OLYMPICS,MS,461,Main Draw,KATSMAN Lev (RUS),GORAK Daniel (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,VLASOV Grigory,AGUIRRE Marcelo,4,3,"8,11,9,11,9,11,11|11,4,11,7,11,7,7",R64,OLYMPICS,MS,461,Main Draw,VLASOV Grigory (RUS),AGUIRRE Marcelo (PAR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,FLORAS Robert,INDEHERBERG Julien,4,0,,R64,OLYMPICS,MS,461,Main Draw,INDEHERBERG Julien (BEL),FLORAS Robert (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BERTRAND Irvin,POPOV Kiril,4,0,"11,11,11,11|6,6,6,4",R64,OLYMPICS,MS,461,Main Draw,POPOV Kiril (BUL),BERTRAND Irvin (FRA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,HACHARD Antoine,NALEPA Kamil,4,1,"6,11,11,16,11|11,8,5,14,9",R64,OLYMPICS,MS,461,Main Draw,NALEPA Kamil (POL),HACHARD Antoine (FRA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,LAKEEV Vasily,ANTONAU Vadzim,4,1,"11,9,11,11,11|6,11,3,5,6",R64,OLYMPICS,MS,461,Main Draw,LAKEEV Vasily (RUS),ANTONAU Vadzim (BLR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BAIBULDIN Andrei,GUNDUZ Ibrahim,4,1,"9,11,11,11,11|11,5,6,8,6",R64,OLYMPICS,MS,461,Main Draw,GUNDUZ Ibrahim (TUR),BAIBULDIN Andrei (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,OLIVARES Felipe,ZATOWKA Patryk,4,3,"8,5,12,8,11,12,11|11,11,10,11,8,10,9",R64,OLYMPICS,MS,461,Main Draw,OLIVARES Felipe (CHI),ZATOWKA Patryk (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,CRISAN Adrian,YIGENLER Abdullah,4,2,"11,11,11,12,8,11|3,7,8,14,11,3",R64,OLYMPICS,MS,461,Main Draw,YIGENLER Abdullah (TUR),CRISAN Adrian (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,LEWANDOWSKI Tomasz,4,0,"11,15,11,11|3,13,2,2",R32,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),LEWANDOWSKI Tomasz (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BUROV Viacheslav,IVONIN Denis,4,1,"11,11,7,11,11|8,4,11,8,2",R32,OLYMPICS,MS,461,Main Draw,BUROV Viacheslav (RUS),IVONIN Denis (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,YEFIMOV Viktor,TAKAMI Masaki,4,3,"11,5,9,10,11,11,11|7,11,11,12,9,8,8",R32,OLYMPICS,MS,461,Main Draw,YEFIMOV Viktor (UKR),TAKAMI Masaki (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,JOUTI Eric,PAIKOV Mikhail,4,1,"12,11,4,11,11|10,5,11,7,8",R32,OLYMPICS,MS,461,Main Draw,JOUTI Eric (BRA),PAIKOV Mikhail (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PROKOPCOV Dmitrij,CAZACU Alexandru,4,0,"11,11,11,11|3,8,7,9",R32,OLYMPICS,MS,461,Main Draw,PROKOPCOV Dmitrij (CZE),CAZACU Alexandru (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SUN Chia-Hung,KIZUKURI Yuto,4,1,"11,11,12,11,11|8,13,10,7,9",R32,OLYMPICS,MS,461,Main Draw,SUN Chia-Hung (TPE),KIZUKURI Yuto (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PLATONOV Pavel,KRASTEV Petyo,4,1,"11,11,11,9,11|9,6,5,11,7",R32,OLYMPICS,MS,461,Main Draw,PLATONOV Pavel (BLR),KRASTEV Petyo (BUL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,POLANSKY Tomas,STOYANOV Niagol,4,1,"9,11,12,11,11|11,5,10,7,6",R32,OLYMPICS,MS,461,Main Draw,POLANSKY Tomas (CZE),STOYANOV Niagol (ITA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,WANG Zengyi,VILCHEZ Miguel,4,1,"11,11,11,6,11|5,6,8,11,5",R32,OLYMPICS,MS,461,Main Draw,WANG Zengyi (POL),VILCHEZ Miguel (ESP)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KREANGA Kalinikos,MIKUTIS Tomas,4,3,"11,3,7,11,8,11,11|4,11,11,8,11,5,6",R32,OLYMPICS,MS,461,Main Draw,MIKUTIS Tomas (LTU),KREANGA Kalinikos (GRE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PLETEA Cristian,ANGLES Enzo,4,2,"14,9,11,9,11,11|12,11,8,11,9,3",R32,OLYMPICS,MS,461,Main Draw,ANGLES Enzo (FRA),PLETEA Cristian (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,GORAK Daniel,MCBEATH David,4,1,"13,11,5,11,11|11,4,11,8,7",R32,OLYMPICS,MS,461,Main Draw,MCBEATH David (ENG),GORAK Daniel (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,VLASOV Grigory,FLORAS Robert,4,3,"7,5,11,11,8,14,11|11,11,7,7,11,12,5",R32,OLYMPICS,MS,461,Main Draw,VLASOV Grigory (RUS),FLORAS Robert (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,HACHARD Antoine,BERTRAND Irvin,4,0,"11,11,11,16|7,8,9,14",R32,OLYMPICS,MS,461,Main Draw,BERTRAND Irvin (FRA),HACHARD Antoine (FRA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BAIBULDIN Andrei,LAKEEV Vasily,4,3,"7,8,11,4,11,11,11|11,11,4,11,8,7,6",R32,OLYMPICS,MS,461,Main Draw,LAKEEV Vasily (RUS),BAIBULDIN Andrei (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,CRISAN Adrian,OLIVARES Felipe,4,0,"11,11,11,11|9,2,9,8",R32,OLYMPICS,MS,461,Main Draw,OLIVARES Felipe (CHI),CRISAN Adrian (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,BUROV Viacheslav,4,0,"11,11,11,11|4,4,7,2",R16,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),BUROV Viacheslav (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,YEFIMOV Viktor,JOUTI Eric,4,3,"12,9,3,13,11,13,13|10,11,11,11,7,15,11",R16,OLYMPICS,MS,461,Main Draw,YEFIMOV Viktor (UKR),JOUTI Eric (BRA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SUN Chia-Hung,PROKOPCOV Dmitrij,4,2,"11,13,11,4,9,14|9,11,4,11,11,12",R16,OLYMPICS,MS,461,Main Draw,PROKOPCOV Dmitrij (CZE),SUN Chia-Hung (TPE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,POLANSKY Tomas,PLATONOV Pavel,4,1,"7,11,11,11,11|11,3,9,5,6",R16,OLYMPICS,MS,461,Main Draw,PLATONOV Pavel (BLR),POLANSKY Tomas (CZE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,WANG Zengyi,KREANGA Kalinikos,4,3,"2,11,7,13,11,9,13|11,7,11,11,8,11,11",R16,OLYMPICS,MS,461,Main Draw,WANG Zengyi (POL),KREANGA Kalinikos (GRE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,GORAK Daniel,PLETEA Cristian,4,0,"11,11,11,11|8,6,8,6",R16,OLYMPICS,MS,461,Main Draw,PLETEA Cristian (ROU),GORAK Daniel (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,VLASOV Grigory,HACHARD Antoine,4,1,"11,11,11,10,11|5,9,5,12,7",R16,OLYMPICS,MS,461,Main Draw,VLASOV Grigory (RUS),HACHARD Antoine (FRA)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,BAIBULDIN Andrei,CRISAN Adrian,4,3,"9,13,4,4,11,11,12|11,11,11,11,7,9,10",R16,OLYMPICS,MS,461,Main Draw,BAIBULDIN Andrei (RUS),CRISAN Adrian (ROU)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,YEFIMOV Viktor,4,0,"11,11,11,11|5,6,7,7",QF,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),YEFIMOV Viktor (UKR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SUN Chia-Hung,POLANSKY Tomas,4,3,"11,11,6,6,14,9,11|5,6,11,11,12,11,4",QF,OLYMPICS,MS,461,Main Draw,SUN Chia-Hung (TPE),POLANSKY Tomas (CZE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,WANG Zengyi,GORAK Daniel,4,3,"4,7,11,11,11,10,12|11,11,7,9,7,12,10",QF,OLYMPICS,MS,461,Main Draw,WANG Zengyi (POL),GORAK Daniel (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,VLASOV Grigory,BAIBULDIN Andrei,4,1,"11,16,11,9,12|6,14,5,11,10",QF,OLYMPICS,MS,461,Main Draw,VLASOV Grigory (RUS),BAIBULDIN Andrei (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,SUN Chia-Hung,4,0,"11,11,11,14|7,9,6,12",SF,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),SUN Chia-Hung (TPE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,WANG Zengyi,VLASOV Grigory,4,1,"11,12,7,11,11|4,10,11,8,2",SF,OLYMPICS,MS,461,Main Draw,WANG Zengyi (POL),VLASOV Grigory (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SAMSONOV Vladimir,WANG Zengyi,4,2,"11,11,8,9,11,11|8,5,11,11,5,5",F,OLYMPICS,MS,461,Main Draw,SAMSONOV Vladimir (BLR),WANG Zengyi (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SATO Hitomi,LUNG Lisa,4,0,"11,11,11,12|2,6,8,10",R32,OLYMPICS,WS,461,Main Draw,SATO Hitomi (JPN),LUNG Lisa (BEL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,MATSUZAWA Marina,TAILAKOVA Mariia,4,2,"13,5,11,11,11,11|15,11,6,6,6,9",R32,OLYMPICS,WS,461,Main Draw,TAILAKOVA Mariia (RUS),MATSUZAWA Marina (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KATO Kyoka,VOROBEVA Olga,4,2,"11,11,11,11,13,13|1,1,8,13,15,11",R32,OLYMPICS,WS,461,Main Draw,KATO Kyoka (JPN),VOROBEVA Olga (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,MIKHAILOVA Polina,KULAKCEKEN Simay,4,0,"11,11,11,11|6,7,7,4",R32,OLYMPICS,WS,461,Main Draw,KULAKCEKEN Simay (TUR),MIKHAILOVA Polina (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SHIBATA Saki,KUSINSKA Klaudia,4,1,"11,11,11,10,12|8,8,6,12,10",R32,OLYMPICS,WS,461,Main Draw,SHIBATA Saki (JPN),KUSINSKA Klaudia (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,GRZYBOWSKA-FRANC Katarzyna,TRIGOLOS Daria,4,0,"11,11,11,11|4,8,3,4",R32,OLYMPICS,WS,461,Main Draw,TRIGOLOS Daria (BLR),GRZYBOWSKA-FRANC Katarzyna (POL)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PROKHOROVA Yulia,LIN Chia-Hsuan,4,2,"3,11,11,11,10,11|11,8,7,2,12,7",R32,OLYMPICS,WS,461,Main Draw,PROKHOROVA Yulia (RUS),LIN Chia-Hsuan (TPE)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KULIKOVA Olga,MORIZONO Misaki,4,3,"11,8,5,11,5,11,11|7,11,11,7,11,8,9",R32,OLYMPICS,WS,461,Main Draw,KULIKOVA Olga (RUS),MORIZONO Misaki (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,KATO Miyu,KAZANTSEVA Kristina,4,0,"11,12,16,11|8,10,14,1",R32,OLYMPICS,WS,461,Main Draw,KATO Miyu (JPN),KAZANTSEVA Kristina (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SABITOVA Valentina,MORET Rachel,4,2,"13,11,11,9,10,11|11,9,8,11,12,5",R32,OLYMPICS,WS,461,Main Draw,SABITOVA Valentina (RUS),MORET Rachel (SUI)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,NAGAO Takako,DIAZ Adriana,4,1,"11,11,10,11,11|6,9,12,7,8",R32,OLYMPICS,WS,461,Main Draw,DIAZ Adriana (PUR),NAGAO Takako (JPN)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,PAVLOVICH Viktoria,VASYLIEVA Ievgeniia,4,1,"9,11,11,13,11|11,5,9,11,5",R32,OLYMPICS,WS,461,Main Draw,VASYLIEVA Ievgeniia (UKR),PAVLOVICH Viktoria (BLR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,SHIOMI Maki,NIKITCHANKA Alina,4,0,"11,12,11,11|3,10,9,7",R32,OLYMPICS,WS,461,Main Draw,SHIOMI Maki (JPN),NIKITCHANKA Alina (BLR)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,NOSKOVA Yana,ALTINKAYA Sibel,4,1,"11,8,11,11,11|7,11,7,1,6",R32,OLYMPICS,WS,461,Main Draw,ALTINKAYA Sibel (TUR),NOSKOVA Yana (RUS)
ITTF Challenge Belarus Open Minsk 2017,2017-03-15,DOLGIKH Maria,BAJOR Natalia,4,0,"11,11,13,11|2,8,11,9",R32,OLYMPICS,WS,461,Main Draw,DOLGIKH Maria (RUS),BAJOR Natalia (POL)
