tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,KOU Lei,LAKEEV Vasily,4,3,"8,9,11,8,11,11,11|11,11,6,11,7,2,5",R64,OLYMPICS,MS,465,Main Draw,KOU Lei (UKR),LAKEEV Vasily (RUS)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,HABESOHN Daniel,SHETTY Sanil,4,1,"8,11,11,11,11|11,6,3,5,7",R64,OLYMPICS,MS,465,Main Draw,SHETTY Sanil (IND),HABESOHN Daniel (AUT)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,CHO Daeseong,ANDERSSON Harald,4,1,"11,7,11,12,11|6,11,8,10,8",R64,OLYMPICS,MS,465,Main Draw,ANDERSSON Harald (SWE),CHO Daeseong (KOR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,FLORAS Robert,VLASOV Grigory,4,1,"11,11,11,8,11|6,7,7,11,2",R64,OLYMPICS,MS,465,Main Draw,FLORAS Robert (POL),VLASOV Grigory (RUS)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,FLORE Tristan,MINO Alberto,4,2,"11,9,11,11,9,11|8,11,8,5,11,2",R64,OLYMPICS,MS,465,Main Draw,FLORE Tristan (FRA),MINO Alberto (ECU)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,BRODD Viktor,BAI He,4,1,"11,12,4,13,12|5,10,11,11,10",R64,OLYMPICS,MS,465,Main Draw,BRODD Viktor (SWE),BAI He (SVK)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GORAK Daniel,RUIZ Romain,4,2,"11,11,12,7,11,11|6,13,10,11,6,8",R64,OLYMPICS,MS,465,Main Draw,GORAK Daniel (POL),RUIZ Romain (FRA)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,MONTEIRO Joao,YOSHIMURA Kazuhiro,4,2,"6,11,9,13,11,11|11,5,11,11,8,8",R64,OLYMPICS,MS,465,Main Draw,YOSHIMURA Kazuhiro (JPN),MONTEIRO Joao (POR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GERELL Par,CHEN Alexander,4,3,"11,11,9,8,11,4,11|9,8,11,11,4,11,1",R64,OLYMPICS,MS,465,Main Draw,GERELL Par (SWE),CHEN Alexander (AUT)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ROBINOT Quentin,ALAMIAN Nima,4,1,"11,9,13,11,11|9,11,11,8,8",R64,OLYMPICS,MS,465,Main Draw,ALAMIAN Nima (IRI),ROBINOT Quentin (FRA)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ROBLES Alvaro,PFEFFER Simon,4,1,"11,11,11,9,11|9,4,7,11,9",R64,OLYMPICS,MS,465,Main Draw,ROBLES Alvaro (ESP),PFEFFER Simon (AUT)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,TOGAMI Shunsuke,KONECNY Tomas,4,1,"14,11,7,12,11|12,8,11,10,7",R64,OLYMPICS,MS,465,Main Draw,TOGAMI Shunsuke (JPN),KONECNY Tomas (CZE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GERALDO Joao,LEVENKO Andreas,4,1,"11,11,11,13,11|6,7,13,11,7",R64,OLYMPICS,MS,465,Main Draw,GERALDO Joao (POR),LEVENKO Andreas (AUT)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,DESAI Harmeet,ZATOWKA Patryk,4,0,"11,12,11,11|4,10,6,8",R64,OLYMPICS,MS,465,Main Draw,ZATOWKA Patryk (POL),DESAI Harmeet (IND)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,KIZUKURI Yuto,GERASSIMENKO Kirill,4,2,"12,11,11,9,11,11|10,13,7,11,4,8",R64,OLYMPICS,MS,465,Main Draw,GERASSIMENKO Kirill (KAZ),KIZUKURI Yuto (JPN)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ARUNA Quadri,LAKATOS Tamas,4,0,"11,12,11,11|9,10,7,9",R64,OLYMPICS,MS,465,Main Draw,LAKATOS Tamas (HUN),ARUNA Quadri (NGR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GACINA Andrej,PLETEA Cristian,4,0,"13,11,11,11|11,5,8,7",R64,OLYMPICS,MS,465,Main Draw,GACINA Andrej (CRO),PLETEA Cristian (ROU)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,WANG Xi,LAMBIET Florent,4,3,"11,11,8,11,9,11,11|4,13,11,7,11,8,8",R64,OLYMPICS,MS,465,Main Draw,LAMBIET Florent (BEL),WANG Xi (GER)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,OBESLO Michal,MATSUDAIRA Kenji,4,1,"11,11,11,6,11|5,8,6,11,7",R64,OLYMPICS,MS,465,Main Draw,MATSUDAIRA Kenji (JPN),OBESLO Michal (CZE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ALAMIYAN Noshad,SIPOS Rares,4,2,"2,11,13,11,13,11|11,5,11,13,11,9",R64,OLYMPICS,MS,465,Main Draw,SIPOS Rares (ROU),ALAMIYAN Noshad (IRI)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,OLAH Benedek,ECSEKI Nandor,4,2,"11,9,12,6,13,11|8,11,10,11,11,8",R64,OLYMPICS,MS,465,Main Draw,OLAH Benedek (FIN),ECSEKI Nandor (HUN)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GNANASEKARAN Sathiyan,PLATONOV Pavel,4,0,"11,11,11,11|9,6,7,5",R64,OLYMPICS,MS,465,Main Draw,PLATONOV Pavel (BLR),GNANASEKARAN Sathiyan (IND)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,SKACHKOV Kirill,OVERSJO Mattias,4,0,"13,12,11,13|11,10,3,11",R64,OLYMPICS,MS,465,Main Draw,SKACHKOV Kirill (RUS),OVERSJO Mattias (SWE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GROTH Jonathan,NORDBERG Hampus,4,1,"11,11,10,11,11|4,9,12,3,6",R64,OLYMPICS,MS,465,Main Draw,NORDBERG Hampus (SWE),GROTH Jonathan (DEN)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,PITCHFORD Liam,OLIVARES Felipe,4,1,"10,11,11,11,11|12,7,8,8,8",R64,OLYMPICS,MS,465,Main Draw,PITCHFORD Liam (ENG),OLIVARES Felipe (CHI)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,WALKER Samuel,VILCHEZ Miguel,4,1,"11,11,13,7,11|7,8,11,11,7",R64,OLYMPICS,MS,465,Main Draw,VILCHEZ Miguel (ESP),WALKER Samuel (ENG)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,MATSUYAMA Yuki,SALIFOU Abdel-Kader,4,0,"11,11,11,11|7,7,5,2",R64,OLYMPICS,MS,465,Main Draw,SALIFOU Abdel-Kader (BEN),MATSUYAMA Yuki (JPN)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,DUDA Benedikt,SEREDA Peter,4,0,"11,11,11,11|7,7,8,9",R64,OLYMPICS,MS,465,Main Draw,SEREDA Peter (SVK),DUDA Benedikt (GER)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,PUCAR Tomislav,SIRUCEK Pavel,4,2,"7,14,11,11,6,11|11,12,6,6,11,7",R64,OLYMPICS,MS,465,Main Draw,PUCAR Tomislav (CRO),SIRUCEK Pavel (CZE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,PROKOPCOV Dmitrij,BUROV Viacheslav,4,1,"11,6,11,11,11|6,11,6,4,8",R64,OLYMPICS,MS,465,Main Draw,BUROV Viacheslav (RUS),PROKOPCOV Dmitrij (CZE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,DIDUKH Oleksandr,AKKUZU Can,4,2,"11,11,5,5,11,11|8,5,11,11,7,4",R64,OLYMPICS,MS,465,Main Draw,AKKUZU Can (FRA),DIDUKH Oleksandr (UKR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GIONIS Panagiotis,ZOVKO Vjekoslav,4,0,"11,11,11,11|9,2,8,6",R64,OLYMPICS,MS,465,Main Draw,ZOVKO Vjekoslav (CRO),GIONIS Panagiotis (GRE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,KOU Lei,HABESOHN Daniel,4,1,"11,11,9,11,11|6,6,11,7,5",R32,OLYMPICS,MS,465,Main Draw,KOU Lei (UKR),HABESOHN Daniel (AUT)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,FLORAS Robert,CHO Daeseong,4,3,"7,11,11,11,14,9,11|11,2,9,8,16,11,4",R32,OLYMPICS,MS,465,Main Draw,CHO Daeseong (KOR),FLORAS Robert (POL)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,FLORE Tristan,BRODD Viktor,4,0,"11,11,11,11|8,8,8,9",R32,OLYMPICS,MS,465,Main Draw,FLORE Tristan (FRA),BRODD Viktor (SWE)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,MONTEIRO Joao,GORAK Daniel,4,0,"11,11,11,11|5,9,1,4",R32,OLYMPICS,MS,465,Main Draw,GORAK Daniel (POL),MONTEIRO Joao (POR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ROBINOT Quentin,GERELL Par,4,3,"6,11,11,11,3,9,11|11,6,9,8,11,11,9",R32,OLYMPICS,MS,465,Main Draw,GERELL Par (SWE),ROBINOT Quentin (FRA)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ROBLES Alvaro,TOGAMI Shunsuke,4,1,"11,7,11,11,11|2,11,7,9,5",R32,OLYMPICS,MS,465,Main Draw,ROBLES Alvaro (ESP),TOGAMI Shunsuke (JPN)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,DESAI Harmeet,GERALDO Joao,4,1,"11,13,5,12,11|4,11,11,10,4",R32,OLYMPICS,MS,465,Main Draw,GERALDO Joao (POR),DESAI Harmeet (IND)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,KIZUKURI Yuto,ARUNA Quadri,4,0,"11,12,15,11|5,10,13,9",R32,OLYMPICS,MS,465,Main Draw,KIZUKURI Yuto (JPN),ARUNA Quadri (NGR)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,WANG Xi,GACINA Andrej,4,1,"6,11,14,14,11|11,7,12,12,7",R32,OLYMPICS,MS,465,Main Draw,GACINA Andrej (CRO),WANG Xi (GER)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,ALAMIYAN Noshad,OBESLO Michal,4,0,"11,11,11,11|9,6,4,8",R32,OLYMPICS,MS,465,Main Draw,OBESLO Michal (CZE),ALAMIYAN Noshad (IRI)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GNANASEKARAN Sathiyan,OLAH Benedek,4,2,"7,7,11,11,11,11|11,11,9,6,9,8",R32,OLYMPICS,MS,465,Main Draw,OLAH Benedek (FIN),GNANASEKARAN Sathiyan (IND)
ITTF Challenge Croatia Open Zagreb 2017,2017-05-02,GROTH Jonathan,SKACHKOV Kirill,4,1,"11,13,8,11,12|6,11,11,8,10",R32,OLYMPICS,MS,465,Main Draw,SKACHKOV Kirill (RUS),GROTH Jonathan (DEN)
