tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Song I,KIM Sol Song,4,1,"11,11,11,9,11|3,9,8,11,9",,OLYMPICS,WS,467,Qualification,KIM Song I (PRK),KIM Sol Song (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Song I,KIM Jinju,4,0,"11,14,11,11|9,12,8,5",,OLYMPICS,WS,467,Qualification,KIM Song I (PRK),KIM Jinju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Sol Song,KIM Jinju,4,3,"11,10,8,11,12,11,11|3,12,11,6,14,4,8",,OLYMPICS,WS,467,Qualification,KIM Jinju (PRK),KIM Sol Song (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jin Hyang,CHOE Hyon Hwa (1992),4,1,"11,11,5,11,11|7,6,11,7,8",,OLYMPICS,WS,467,Qualification,CHOE Hyon Hwa (1992) (PRK),KIM Jin Hyang (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHOE Hyon Hwa (1992),PYON Song Gyong,4,0,"12,11,11,11|10,5,5,7",,OLYMPICS,WS,467,Qualification,CHOE Hyon Hwa (1992) (PRK),PYON Song Gyong (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jin Hyang,PYON Song Gyong,4,1,"15,11,7,12,11|13,9,11,10,7",,OLYMPICS,WS,467,Qualification,PYON Song Gyong (PRK),KIM Jin Hyang (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Nam Hae,RI Mi Gyong,4,1,"11,1,11,11,12|9,11,7,8,10",,OLYMPICS,WS,467,Qualification,RI Mi Gyong (PRK),KIM Nam Hae (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Mi Gyong,JAMALIFAR Fatemeh,4,0,"11,11,11,11|4,7,4,7",,OLYMPICS,WS,467,Qualification,RI Mi Gyong (PRK),JAMALIFAR Fatemeh (IRI)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Nam Hae,JAMALIFAR Fatemeh,4,0,"11,11,11,11|6,7,4,8",,OLYMPICS,WS,467,Qualification,JAMALIFAR Fatemeh (IRI),KIM Nam Hae (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHA Hyo Sim,KO Un Gum,4,1,"11,11,7,11,11|9,6,11,7,6",,OLYMPICS,WS,467,Qualification,CHA Hyo Sim (PRK),KO Un Gum (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,JONG Un Ju,RI Hyon Sim,4,1,"8,11,12,11,11|11,9,10,3,7",,OLYMPICS,WS,467,Qualification,RI Hyon Sim (PRK),JONG Un Ju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Hyon Sim,CHA Hyo Sim,4,2,"10,11,11,11,10,11|12,7,6,3,12,9",,OLYMPICS,WS,467,Qualification,CHA Hyo Sim (PRK),RI Hyon Sim (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,JONG Un Ju,KO Un Gum,4,1,"12,11,11,11,11|14,3,7,8,8",,OLYMPICS,WS,467,Qualification,KO Un Gum (PRK),JONG Un Ju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Hyon Sim,KO Un Gum,4,2,"10,14,11,11,11,11|12,12,13,7,3,3",,OLYMPICS,WS,467,Qualification,RI Hyon Sim (PRK),KO Un Gum (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHA Hyo Sim,JONG Un Ju,4,1,"11,11,11,11,11|8,7,6,13,2",,OLYMPICS,WS,467,Qualification,CHA Hyo Sim (PRK),JONG Un Ju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Ok Chan,JI YU Yong,3,1,"11,11,11,11|2,13,7,8",,OLYMPICS,U21MS,467,Qualification,KIM Ok Chan (PRK),JI YU Yong (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Ok Chan,AMIRI Arya,3,0,"14,11,12|12,9,10",,OLYMPICS,U21MS,467,Qualification,KIM Ok Chan (PRK),AMIRI Arya (IRI)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,JI YU Yong,AMIRI Arya,3,0,"11,11,11|6,9,7",,OLYMPICS,U21MS,467,Qualification,AMIRI Arya (IRI),JI YU Yong (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,PANG Un Chol,KIM Kuk Chol,3,0,"12,11,11|10,7,5",,OLYMPICS,U21MS,467,Qualification,PANG Un Chol (PRK),KIM Kuk Chol (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,PANG Un Chol,RI KANG Guk,3,2,"9,11,11,11,12|11,9,7,13,10",,OLYMPICS,U21MS,467,Qualification,PANG Un Chol (PRK),RI KANG Guk (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHOE Kyong Guk,RI Jong Sik,3,2,"6,9,12,11,11|11,11,10,9,5",,OLYMPICS,U21MS,467,Qualification,RI Jong Sik (PRK),CHOE Kyong Guk (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Jong Sik,CHOE Jae Guk,3,0,"11,14,11|9,12,8",,OLYMPICS,U21MS,467,Qualification,RI Jong Sik (PRK),CHOE Jae Guk (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,U Tae Ryong,CHAE Min U,3,2,"11,7,11,4,16|6,11,5,11,14",,OLYMPICS,U21MS,467,Qualification,U Tae Ryong (PRK),CHAE Min U (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,JONG Ui,MUN Jin Song,3,2,"10,11,11,9,11|12,6,6,11,7",,OLYMPICS,U21MS,467,Qualification,MUN Jin Song (PRK),JONG Ui (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,U Tae Ryong,MUN Jin Song,3,0,"11,11,11|8,8,9",,OLYMPICS,U21MS,467,Qualification,U Tae Ryong (PRK),MUN Jin Song (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,JONG Ui,CHAE Min U,3,2,"12,11,9,13,11|14,9,11,11,7",,OLYMPICS,U21MS,467,Qualification,CHAE Min U (PRK),JONG Ui (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,MUN Jin Song,CHAE Min U,3,2,"11,9,11,12,11|5,11,7,14,6",,OLYMPICS,U21MS,467,Qualification,MUN Jin Song (PRK),CHAE Min U (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,U Tae Ryong,JONG Ui,3,1,"13,7,11,11|11,11,7,9",,OLYMPICS,U21MS,467,Qualification,U Tae Ryong (PRK),JONG Ui (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Hyon Sim,O Jin Hui,3,0,"11,11,11|1,9,4",,OLYMPICS,U21WS,467,Qualification,RI Hyon Sim (PRK),O Jin Hui (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RI Hyon Sim,IM Hyon Song,3,0,"11,11,11|3,4,3",,OLYMPICS,U21WS,467,Qualification,RI Hyon Sim (PRK),IM Hyon Song (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,O Jin Hui,IM Hyon Song,3,1,"11,7,11,11|9,11,5,8",,OLYMPICS,U21WS,467,Qualification,IM Hyon Song (PRK),O Jin Hui (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KO Un Gum,CHOE Hyon Hwa (1998),3,2,"10,6,11,13,11|12,11,9,11,7",,OLYMPICS,U21WS,467,Qualification,KO Un Gum (PRK),CHOE Hyon Hwa (1998) (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KO Un Gum,JAMALIFAR Fatemeh,3,1,"6,11,11,11|11,2,5,8",,OLYMPICS,U21WS,467,Qualification,KO Un Gum (PRK),JAMALIFAR Fatemeh (IRI)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHOE Hyon Hwa (1998),JAMALIFAR Fatemeh,3,0,"12,11,11|10,4,4",,OLYMPICS,U21WS,467,Qualification,JAMALIFAR Fatemeh (IRI),CHOE Hyon Hwa (1998) (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jin Hyang,JON Kyong Mi,3,1,"11,3,13,11|6,11,11,4",,OLYMPICS,U21WS,467,Qualification,KIM Jin Hyang (PRK),JON Kyong Mi (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jin Hyang,SO Kuk Hwa,3,1,"11,11,11,11|13,6,4,6",,OLYMPICS,U21WS,467,Qualification,KIM Jin Hyang (PRK),SO Kuk Hwa (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,SO Kuk Hwa,JON Kyong Mi,3,1,"5,12,11,11|11,10,8,7",,OLYMPICS,U21WS,467,Qualification,SO Kuk Hwa (PRK),JON Kyong Mi (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jinju,PYON Song Gyong,3,1,"11,7,11,11|9,11,5,6",,OLYMPICS,U21WS,467,Qualification,PYON Song Gyong (PRK),KIM Jinju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHA Su Yong,HO Jin Hyang,3,1,"6,11,11,11|11,9,6,7",,OLYMPICS,U21WS,467,Qualification,CHA Su Yong (PRK),HO Jin Hyang (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,PYON Song Gyong,CHA Su Yong,3,2,"11,8,4,11,11|8,11,11,7,8",,OLYMPICS,U21WS,467,Qualification,PYON Song Gyong (PRK),CHA Su Yong (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jinju,HO Jin Hyang,3,1,"12,11,9,11|10,3,11,4",,OLYMPICS,U21WS,467,Qualification,KIM Jinju (PRK),HO Jin Hyang (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,CHA Su Yong,KIM Jinju,3,2,"8,11,7,11,11|11,7,11,8,9",,OLYMPICS,U21WS,467,Qualification,CHA Su Yong (PRK),KIM Jinju (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,PYON Song Gyong,HO Jin Hyang,3,1,"12,7,11,11|10,11,9,5",,OLYMPICS,U21WS,467,Qualification,PYON Song Gyong (PRK),HO Jin Hyang (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,PAK Sin Hyok,AMIRI Arya,4,0,"11,11,11,11|8,3,7,9",,OLYMPICS,MS,467,Qualification,PAK Sin Hyok (PRK),AMIRI Arya (IRI)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Jin Su,RO Kwang Jin,4,2,"2,11,9,11,11,13|11,8,11,7,9,11",,OLYMPICS,MS,467,Qualification,RO Kwang Jin (PRK),KIM Jin Su (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,RO Kwang Jin,KIM Hyong Jin,4,2,"11,9,2,11,13,13|4,11,11,5,11,11",,OLYMPICS,MS,467,Qualification,RO Kwang Jin (PRK),KIM Hyong Jin (PRK)
ITTF Challenge DPR Korea Open Pyongyang 2017,2017-08-02,KIM Hyong Jin,KIM Jin Su,4,1,"9,11,11,11,11|11,6,9,5,5",,OLYMPICS,MS,467,Qualification,KIM Hyong Jin (PRK),KIM Jin Su (PRK)
