tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,GAVILAN Axel,3,0,"11,13,11|4,11,8",,OTHER,MS,866,Qualification,MINO Alberto (ECU),GAVILAN Axel (PAR)
South American Championships Buenos Aires 2017,2017-12-10,DAHER Juan,MAEDA Emerson,3,2,"11,10,13,6,11|3,12,11,11,6",,OTHER,MS,866,Qualification,DAHER Juan (ARG),MAEDA Emerson (BRA)
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,DAHER Juan,3,1,"1,11,11,11|11,4,6,8",,OTHER,MS,866,Qualification,MINO Alberto (ECU),DAHER Juan (ARG)
South American Championships Buenos Aires 2017,2017-12-10,MAEDA Emerson,GAVILAN Axel,3,1,"11,11,10,11|5,3,12,8",,OTHER,MS,866,Qualification,GAVILAN Axel (PAR),MAEDA Emerson (BRA)
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,MAEDA Emerson,3,0,"11,11,11|8,4,7",,OTHER,MS,866,Qualification,MINO Alberto (ECU),MAEDA Emerson (BRA)
South American Championships Buenos Aires 2017,2017-12-10,DAHER Juan,GAVILAN Axel,3,2,"6,14,3,11,11|11,12,11,3,8",,OTHER,MS,866,Qualification,DAHER Juan (ARG),GAVILAN Axel (PAR)
South American Championships Buenos Aires 2017,2017-12-10,ALTO Gaston,BAYONA Lucas,3,0,"11,11,11|3,3,9",,OTHER,MS,866,Qualification,ALTO Gaston (ARG),BAYONA Lucas (ARG)
South American Championships Buenos Aires 2017,2017-12-10,OLAVE Alfonso,MOLEDA Bruno,3,0,"11,11,12|8,7,10",,OTHER,MS,866,Qualification,OLAVE Alfonso (CHI),MOLEDA Bruno (URU)
South American Championships Buenos Aires 2017,2017-12-10,ALTO Gaston,OLAVE Alfonso,3,1,"8,11,11,11|11,4,7,5",,OTHER,MS,866,Qualification,ALTO Gaston (ARG),OLAVE Alfonso (CHI)
South American Championships Buenos Aires 2017,2017-12-10,BAYONA Lucas,MOLEDA Bruno,3,1,"7,11,11,14|11,1,9,12",,OTHER,MS,866,Qualification,BAYONA Lucas (ARG),MOLEDA Bruno (URU)
South American Championships Buenos Aires 2017,2017-12-10,ALTO Gaston,MOLEDA Bruno,3,0,"11,11,11|1,5,8",,OTHER,MS,866,Qualification,ALTO Gaston (ARG),MOLEDA Bruno (URU)
South American Championships Buenos Aires 2017,2017-12-10,OLAVE Alfonso,BAYONA Lucas,3,1,"11,10,11,13|8,12,3,11",,OTHER,MS,866,Qualification,OLAVE Alfonso (CHI),BAYONA Lucas (ARG)
South American Championships Buenos Aires 2017,2017-12-10,CIFUENTES Horacio,BENTANCOR Martin,3,1,"11,9,11,11|5,11,6,4",,OTHER,MS,866,Qualification,CIFUENTES Horacio (ARG),BENTANCOR Martin (ARG)
South American Championships Buenos Aires 2017,2017-12-10,MOYA Manuel,COSTA Mario,3,0,"11,11,11|7,5,9",,OTHER,MS,866,Qualification,MOYA Manuel (CHI),COSTA Mario (BRA)
South American Championships Buenos Aires 2017,2017-12-10,CIFUENTES Horacio,MOYA Manuel,3,0,"12,13,11|10,11,6",,OTHER,MS,866,Qualification,CIFUENTES Horacio (ARG),MOYA Manuel (CHI)
South American Championships Buenos Aires 2017,2017-12-10,BENTANCOR Martin,COSTA Mario,3,0,"11,11,11|4,2,6",,OTHER,MS,866,Qualification,BENTANCOR Martin (ARG),COSTA Mario (BRA)
South American Championships Buenos Aires 2017,2017-12-10,CIFUENTES Horacio,COSTA Mario,3,0,"11,11,11|3,3,5",,OTHER,MS,866,Qualification,CIFUENTES Horacio (ARG),COSTA Mario (BRA)
South American Championships Buenos Aires 2017,2017-12-10,MOYA Manuel,BENTANCOR Martin,3,2,"6,5,11,11,11|11,11,9,6,9",,OTHER,MS,866,Qualification,MOYA Manuel (CHI),BENTANCOR Martin (ARG)
South American Championships Buenos Aires 2017,2017-12-10,GOMEZ Gustavo,RIOFRIO Emiliano,3,0,"11,11,11|3,6,3",,OTHER,MS,866,Qualification,GOMEZ Gustavo (CHI),RIOFRIO Emiliano (ECU)
South American Championships Buenos Aires 2017,2017-12-10,GALVANO Nicolas,PALOU Pablo,3,0,"11,11,11|4,7,4",,OTHER,MS,866,Qualification,GALVANO Nicolas (ARG),PALOU Pablo (URU)
South American Championships Buenos Aires 2017,2017-12-10,GOMEZ Gustavo,GALVANO Nicolas,3,0,"11,11,11|5,2,6",,OTHER,MS,866,Qualification,GOMEZ Gustavo (CHI),GALVANO Nicolas (ARG)
South American Championships Buenos Aires 2017,2017-12-10,RIOFRIO Emiliano,PALOU Pablo,3,1,"8,11,11,11|11,5,6,5",,OTHER,MS,866,Qualification,RIOFRIO Emiliano (ECU),PALOU Pablo (URU)
South American Championships Buenos Aires 2017,2017-12-10,GOMEZ Gustavo,PALOU Pablo,3,0,"11,11,11|9,7,5",,OTHER,MS,866,Qualification,GOMEZ Gustavo (CHI),PALOU Pablo (URU)
South American Championships Buenos Aires 2017,2017-12-10,GALVANO Nicolas,RIOFRIO Emiliano,3,0,"11,13,11|5,11,7",,OTHER,MS,866,Qualification,GALVANO Nicolas (ARG),RIOFRIO Emiliano (ECU)
South American Championships Buenos Aires 2017,2017-12-10,BARRETO Israel,LEON David,3,1,"11,8,11,11|7,11,5,7",,OTHER,MS,866,Qualification,BARRETO Israel (BRA),LEON David (PAR)
South American Championships Buenos Aires 2017,2017-12-10,TABACHNIK Pablo,BARRETO Israel,3,0,"11,11,11|7,8,9",,OTHER,MS,866,Qualification,TABACHNIK Pablo (ARG),BARRETO Israel (BRA)
South American Championships Buenos Aires 2017,2017-12-10,TABACHNIK Pablo,LEON David,3,0,"11,11,11|7,4,5",,OTHER,MS,866,Qualification,TABACHNIK Pablo (ARG),LEON David (PAR)
South American Championships Buenos Aires 2017,2017-12-10,LAMADRID Juan,KACOWICZ Santiago,3,0,"11,11,11|5,7,5",,OTHER,MS,866,Qualification,LAMADRID Juan (CHI),KACOWICZ Santiago (URU)
South American Championships Buenos Aires 2017,2017-12-10,SANCHI Francisco,FERREIRA Mathias,3,0,"11,11,11|3,9,9",,OTHER,MS,866,Qualification,SANCHI Francisco (ARG),FERREIRA Mathias (PAR)
South American Championships Buenos Aires 2017,2017-12-10,SANCHI Francisco,LAMADRID Juan,3,0,"11,11,12|6,6,10",,OTHER,MS,866,Qualification,LAMADRID Juan (CHI),SANCHI Francisco (ARG)
South American Championships Buenos Aires 2017,2017-12-10,KACOWICZ Santiago,FERREIRA Mathias,3,1,"5,11,11,11|11,8,6,7",,OTHER,MS,866,Qualification,KACOWICZ Santiago (URU),FERREIRA Mathias (PAR)
South American Championships Buenos Aires 2017,2017-12-10,LAMADRID Juan,FERREIRA Mathias,3,0,"11,11,11|5,9,5",,OTHER,MS,866,Qualification,LAMADRID Juan (CHI),FERREIRA Mathias (PAR)
South American Championships Buenos Aires 2017,2017-12-10,KACOWICZ Santiago,SANCHI Francisco,3,2,"6,9,11,11,14|11,11,4,7,12",,OTHER,MS,866,Qualification,SANCHI Francisco (ARG),KACOWICZ Santiago (URU)
South American Championships Buenos Aires 2017,2017-12-10,TABACHNIK Pablo,LAMADRID Juan,4,1,"11,11,11,7,11|7,7,9,11,6",R16,OTHER,MS,866,Main Draw,LAMADRID Juan (CHI),TABACHNIK Pablo (ARG)
South American Championships Buenos Aires 2017,2017-12-10,GALVANO Nicolas,OLAVE Alfonso,4,1,"11,11,11,6,11|3,9,5,11,8",R16,OTHER,MS,866,Main Draw,GALVANO Nicolas (ARG),OLAVE Alfonso (CHI)
South American Championships Buenos Aires 2017,2017-12-10,SANCHI Francisco,BARRETO Israel,4,1,"11,11,11,8,11|6,9,6,11,8",R16,OTHER,MS,866,Main Draw,BARRETO Israel (BRA),SANCHI Francisco (ARG)
South American Championships Buenos Aires 2017,2017-12-10,MOYA Manuel,DAHER Juan,4,0,"11,12,14,11|2,10,12,9",R16,OTHER,MS,866,Main Draw,DAHER Juan (ARG),MOYA Manuel (CHI)
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,TABACHNIK Pablo,4,2,"11,7,11,11,9,11|8,11,4,8,11,5",QF,OTHER,MS,866,Main Draw,MINO Alberto (ECU),TABACHNIK Pablo (ARG)
South American Championships Buenos Aires 2017,2017-12-10,CIFUENTES Horacio,GALVANO Nicolas,4,1,"11,11,5,11,11|4,5,11,8,5",QF,OTHER,MS,866,Main Draw,GALVANO Nicolas (ARG),CIFUENTES Horacio (ARG)
South American Championships Buenos Aires 2017,2017-12-10,SANCHI Francisco,GOMEZ Gustavo,4,3,"8,8,10,11,11,11,11|11,11,12,7,4,8,9",QF,OTHER,MS,866,Main Draw,GOMEZ Gustavo (CHI),SANCHI Francisco (ARG)
South American Championships Buenos Aires 2017,2017-12-10,ALTO Gaston,MOYA Manuel,4,3,"8,11,11,10,11,11,11|11,6,9,12,13,8,8",QF,OTHER,MS,866,Main Draw,MOYA Manuel (CHI),ALTO Gaston (ARG)
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,CIFUENTES Horacio,4,2,"12,7,11,11,12,11|10,11,13,6,10,8",SF,OTHER,MS,866,Main Draw,MINO Alberto (ECU),CIFUENTES Horacio (ARG)
South American Championships Buenos Aires 2017,2017-12-10,SANCHI Francisco,ALTO Gaston,4,2,"12,7,3,15,6,7|10,11,11,13,11,11",SF,OTHER,MS,866,Main Draw,SANCHI Francisco (ARG),ALTO Gaston (ARG)
South American Championships Buenos Aires 2017,2017-12-10,MINO Alberto,ALTO Gaston,4,0,"11,11,11,13|8,6,3,11",F,OTHER,MS,866,Main Draw,MINO Alberto (ECU),ALTO Gaston (ARG)
South American Championships Buenos Aires 2017,2017-12-10,KAIZOJI Camila,FUKUHARA Paula,3,2,"9,11,6,11,11|11,7,11,3,7",,OTHER,WS,866,Qualification,FUKUHARA Paula (ARG),KAIZOJI Camila (ARG)
South American Championships Buenos Aires 2017,2017-12-10,VEGA Paulina,FUKUHARA Paula,3,0,"11,11,11|9,4,9",,OTHER,WS,866,Qualification,FUKUHARA Paula (ARG),VEGA Paulina (CHI)
South American Championships Buenos Aires 2017,2017-12-10,VEGA Paulina,KAIZOJI Camila,3,2,"15,9,11,9,11|13,11,9,11,4",,OTHER,WS,866,Qualification,VEGA Paulina (CHI),KAIZOJI Camila (ARG)
South American Championships Buenos Aires 2017,2017-12-10,CODINA Ana,GOMEZ Leyla,3,2,"11,11,8,7,11|9,3,11,11,8",,OTHER,WS,866,Qualification,CODINA Ana (ARG),GOMEZ Leyla (PAR)
