tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
US Open Las Vegas 2017,2017-12-17,ELOI Damien,PARK Minjun,4,1,"11,11,11,10,11|7,9,9,12,4",R64,WTT_CONTENDER,MS,864,Main Draw,PARK Minjun (KOR),ELOI Damien (FRA)
US Open Las Vegas 2017,2017-12-17,TAO Wenzhang,SICARD Luc,4,0,"11,11,11,11|7,4,9,6",R64,WTT_CONTENDER,MS,864,Main Draw,TAO Wenzhang (USA),SICARD Luc (CAN)
US Open Las Vegas 2017,2017-12-17,MENG Lingshuai,BARRIOS Leonel,4,0,"11,11,11,11|5,7,7,5",R64,WTT_CONTENDER,MS,864,Main Draw,MENG Lingshuai (USA),BARRIOS Leonel (GUA)
US Open Las Vegas 2017,2017-12-17,DUBINA Samson,DANI Mudit,4,3,"12,4,11,11,7,7,11|10,11,7,6,11,11,5",R64,WTT_CONTENDER,MS,864,Main Draw,DANI Mudit (IND),DUBINA Samson (USA)
US Open Las Vegas 2017,2017-12-17,BLASZCZYK Lucjan,NARANJO Angel,4,1,"11,7,11,12,11|5,11,3,10,5",R64,WTT_CONTENDER,MS,864,Main Draw,NARANJO Angel (PUR),BLASZCZYK Lucjan (POL)
US Open Las Vegas 2017,2017-12-17,LIANG Jishan,WANG Cheng,4,0,"11,11,11,11|8,3,4,3",R64,WTT_CONTENDER,MS,864,Main Draw,LIANG Jishan (USA),WANG Cheng (USA)
US Open Las Vegas 2017,2017-12-17,KUMAR Nikhil,XIE Tianming,4,2,"11,8,11,8,11,11|6,11,8,11,9,8",R64,WTT_CONTENDER,MS,864,Main Draw,XIE Tianming (USA),KUMAR Nikhil (USA)
US Open Las Vegas 2017,2017-12-17,TIO Nicholas,CARNEY A J,4,0,"11,11,11,11|6,9,9,7",R64,WTT_CONTENDER,MS,864,Main Draw,TIO Nicholas (USA),CARNEY A J (USA)
US Open Las Vegas 2017,2017-12-17,ZHANG Xiangjing,IWASAKI Eiko,4,1,"11,13,11,11,11|9,15,9,6,5",R64,WTT_CONTENDER,MS,864,Main Draw,IWASAKI Eiko (JPN),ZHANG Xiangjing (USA)
US Open Las Vegas 2017,2017-12-17,LIANG Yonghui,YU Di,4,0,"11,11,11,14|7,8,6,12",R64,WTT_CONTENDER,MS,864,Main Draw,LIANG Yonghui (USA),YU Di (USA)
