tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Czech Open Olomouc 2017,2017-08-22,KIZUKURI Yuto,KHANIN Aleksandr,3,1,"7,11,14,11|11,9,12,3",R32,GRAND_SLAM,U21MS,474,Main Draw,KIZUKURI Yuto (JPN),KHANIN Aleksandr (BLR)
World Tour Czech Open Olomouc 2017,2017-08-22,YANG Tzu-Yi,RANEFUR Elias,3,0,"13,11,11|11,4,9",R32,GRAND_SLAM,U21MS,474,Main Draw,YANG Tzu-Yi (TPE),RANEFUR Elias (SWE)
World Tour Czech Open Olomouc 2017,2017-08-22,QIU Dang,GUNDUZ Ibrahim,3,0,"11,11,12|6,5,10",R32,GRAND_SLAM,U21MS,474,Main Draw,QIU Dang (GER),GUNDUZ Ibrahim (TUR)
World Tour Czech Open Olomouc 2017,2017-08-22,ORT Kilian,LAMADRID Juan,3,0,"11,11,11|5,8,2",R32,GRAND_SLAM,U21MS,474,Main Draw,LAMADRID Juan (CHI),ORT Kilian (GER)
World Tour Czech Open Olomouc 2017,2017-08-22,TSUBOI Yuma,SIDORENKO Vladimir,3,1,"5,11,11,11|11,5,6,5",R32,GRAND_SLAM,U21MS,474,Main Draw,TSUBOI Yuma (JPN),SIDORENKO Vladimir (RUS)
World Tour Czech Open Olomouc 2017,2017-08-22,BADOWSKI Marek,ALLEGRO Martin,3,2,"8,11,11,5,11|11,7,5,11,7",R32,GRAND_SLAM,U21MS,474,Main Draw,BADOWSKI Marek (POL),ALLEGRO Martin (BEL)
World Tour Czech Open Olomouc 2017,2017-08-22,YANG Heng-Wei,RASMUSSEN Tobias,3,0,"12,11,11|10,6,5",R32,GRAND_SLAM,U21MS,474,Main Draw,YANG Heng-Wei (TPE),RASMUSSEN Tobias (DEN)
World Tour Czech Open Olomouc 2017,2017-08-22,AKKUZU Can,MOREGARD Truls,3,2,"8,7,11,11,11|11,11,4,9,8",R32,GRAND_SLAM,U21MS,474,Main Draw,MOREGARD Truls (SWE),AKKUZU Can (FRA)
World Tour Czech Open Olomouc 2017,2017-08-22,GERASSIMENKO Kirill,PENG Wang-Wei,3,1,"12,11,6,11|10,5,11,6",R32,GRAND_SLAM,U21MS,474,Main Draw,GERASSIMENKO Kirill (KAZ),PENG Wang-Wei (TPE)
World Tour Czech Open Olomouc 2017,2017-08-22,LIN Yun-Ju,LIND Anders,3,0,"11,12,11|1,10,9",R32,GRAND_SLAM,U21MS,474,Main Draw,LIND Anders (DEN),LIN Yun-Ju (TPE)
World Tour Czech Open Olomouc 2017,2017-08-22,POLANSKY Tomas,KOZUL Deni,3,0,"11,11,11|8,8,8",R32,GRAND_SLAM,U21MS,474,Main Draw,POLANSKY Tomas (CZE),KOZUL Deni (SLO)
World Tour Czech Open Olomouc 2017,2017-08-22,JORGIC Darko,KLEIN Dennis,3,0,"11,11,11|4,3,6",R32,GRAND_SLAM,U21MS,474,Main Draw,KLEIN Dennis (GER),JORGIC Darko (SLO)
World Tour Czech Open Olomouc 2017,2017-08-22,XUE Fei,VALENTA Jan,3,0,"11,11,11|4,5,5",R32,GRAND_SLAM,U21MS,474,Main Draw,XUE Fei (CHN),VALENTA Jan (CZE)
World Tour Czech Open Olomouc 2017,2017-08-22,PLETEA Cristian,IVONIN Denis,3,1,"7,13,11,11|11,11,9,4",R32,GRAND_SLAM,U21MS,474,Main Draw,IVONIN Denis (RUS),PLETEA Cristian (ROU)
World Tour Czech Open Olomouc 2017,2017-08-22,KANAMITSU Koyo,SIPOS Rares,3,2,"8,12,10,11,11|11,10,12,5,5",R32,GRAND_SLAM,U21MS,474,Main Draw,KANAMITSU Koyo (JPN),SIPOS Rares (ROU)
World Tour Czech Open Olomouc 2017,2017-08-22,KALLBERG Anton,MARTINKO Jiri,3,0,"11,11,12|8,6,10",R32,GRAND_SLAM,U21MS,474,Main Draw,MARTINKO Jiri (CZE),KALLBERG Anton (SWE)
World Tour Czech Open Olomouc 2017,2017-08-22,KIZUKURI Yuto,YANG Tzu-Yi,3,2,"11,11,11,17,11|5,8,13,19,5",R16,GRAND_SLAM,U21MS,474,Main Draw,KIZUKURI Yuto (JPN),YANG Tzu-Yi (TPE)
