tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Korean Open Incheon 2017,2017-04-18,SZOCS Hunor,JEOUNG Youngsik,4,2,"11,11,7,3,11,11|5,7,11,11,7,8",R32,GRAND_SLAM,MS,457,Main Draw,JEOUNG Youngsik (KOR),SZOCS Hunor (ROU)
World Tour Korean Open Incheon 2017,2017-04-18,YOSHIMURA Maharu,MENGEL Steffen,4,3,"6,5,11,11,11,13,11|11,11,4,6,8,15,9",R32,GRAND_SLAM,MS,457,Main Draw,MENGEL Steffen (GER),YOSHIMURA Maharu (JPN)
World Tour Korean Open Incheon 2017,2017-04-18,WALTHER Ricardo,KARLSSON Mattias,4,3,"7,11,11,8,11,9,11|11,7,5,11,8,11,7",R32,GRAND_SLAM,MS,457,Main Draw,KARLSSON Mattias (SWE),WALTHER Ricardo (GER)
World Tour Korean Open Incheon 2017,2017-04-18,TAZOE Kenta,LEE Sang Su,4,3,"5,11,11,11,8,6,12|11,6,8,9,11,11,10",R32,GRAND_SLAM,MS,457,Main Draw,TAZOE Kenta (JPN),LEE Sang Su (KOR)
World Tour Korean Open Incheon 2017,2017-04-18,MATSUDAIRA Kenta,JANG Woojin,4,1,"11,11,5,14,11|9,6,11,12,7",R32,GRAND_SLAM,MS,457,Main Draw,MATSUDAIRA Kenta (JPN),JANG Woojin (KOR)
World Tour Korean Open Incheon 2017,2017-04-18,FILUS Ruwen,JEONG Sangeun,4,0,"16,11,11,11|14,6,4,8",R32,GRAND_SLAM,MS,457,Main Draw,JEONG Sangeun (KOR),FILUS Ruwen (GER)
World Tour Korean Open Incheon 2017,2017-04-18,GAO Ning,GROTH Jonathan,4,1,"11,12,8,11,11|9,10,11,6,5",R32,GRAND_SLAM,MS,457,Main Draw,GROTH Jonathan (DEN),GAO Ning (SGP)
World Tour Korean Open Incheon 2017,2017-04-18,BOLL Timo,PARK Jeongwoo,4,0,"11,11,11,11|5,5,9,8",R32,GRAND_SLAM,MS,457,Main Draw,PARK Jeongwoo (KOR),BOLL Timo (GER)
World Tour Korean Open Incheon 2017,2017-04-18,NIWA Koki,CHO Seungmin,4,1,"11,11,11,5,12|5,6,8,11,10",R32,GRAND_SLAM,MS,457,Main Draw,NIWA Koki (JPN),CHO Seungmin (KOR)
World Tour Korean Open Incheon 2017,2017-04-18,FRANZISKA Patrick,OSHIMA Yuya,4,1,"11,11,12,11,11|5,13,10,2,8",R32,GRAND_SLAM,MS,457,Main Draw,FRANZISKA Patrick (GER),OSHIMA Yuya (JPN)
World Tour Korean Open Incheon 2017,2017-04-18,KARLSSON Kristian,IONESCU Ovidiu,4,2,"11,11,11,8,4,11|3,6,4,11,11,7",R32,GRAND_SLAM,MS,457,Main Draw,KARLSSON Kristian (SWE),IONESCU Ovidiu (ROU)
World Tour Korean Open Incheon 2017,2017-04-18,GAUZY Simon,MORIZONO Masataka,4,1,"11,11,11,7,11|7,6,9,11,6",R32,GRAND_SLAM,MS,457,Main Draw,MORIZONO Masataka (JPN),GAUZY Simon (FRA)
World Tour Korean Open Incheon 2017,2017-04-18,FREITAS Marcos,DUDA Benedikt,4,0,"11,11,11,11|6,7,8,9",R32,GRAND_SLAM,MS,457,Main Draw,FREITAS Marcos (POR),DUDA Benedikt (GER)
World Tour Korean Open Incheon 2017,2017-04-18,CHEN Chien-An,YOSHIMURA Kazuhiro,4,0,"11,11,11,14|6,9,9,12",R32,GRAND_SLAM,MS,457,Main Draw,YOSHIMURA Kazuhiro (JPN),CHEN Chien-An (TPE)
World Tour Korean Open Incheon 2017,2017-04-18,LIM Jonghoon,MURAMATSU Yuto,4,0,"11,11,11,11|6,7,5,1",R32,GRAND_SLAM,MS,457,Main Draw,MURAMATSU Yuto (JPN),LIM Jonghoon (KOR)
World Tour Korean Open Incheon 2017,2017-04-18,CHUANG Chih-Yuan,KALLBERG Anton,4,1,"6,11,11,11,11|11,7,9,1,9",R32,GRAND_SLAM,MS,457,Main Draw,KALLBERG Anton (SWE),CHUANG Chih-Yuan (TPE)
World Tour Korean Open Incheon 2017,2017-04-18,YOSHIMURA Maharu,SZOCS Hunor,4,2,"9,11,11,7,11,11|11,8,8,11,6,5",R16,GRAND_SLAM,MS,457,Main Draw,SZOCS Hunor (ROU),YOSHIMURA Maharu (JPN)
World Tour Korean Open Incheon 2017,2017-04-18,WALTHER Ricardo,TAZOE Kenta,4,1,"11,9,11,11,11|8,11,4,9,5",R16,GRAND_SLAM,MS,457,Main Draw,WALTHER Ricardo (GER),TAZOE Kenta (JPN)
World Tour Korean Open Incheon 2017,2017-04-18,MATSUDAIRA Kenta,FILUS Ruwen,4,1,"13,11,12,10,11|11,3,10,12,8",R16,GRAND_SLAM,MS,457,Main Draw,MATSUDAIRA Kenta (JPN),FILUS Ruwen (GER)
World Tour Korean Open Incheon 2017,2017-04-18,BOLL Timo,GAO Ning,4,0,"11,11,11,11|9,2,2,2",R16,GRAND_SLAM,MS,457,Main Draw,GAO Ning (SGP),BOLL Timo (GER)
World Tour Korean Open Incheon 2017,2017-04-18,FRANZISKA Patrick,NIWA Koki,4,1,"12,12,11,2,11|10,10,8,11,3",R16,GRAND_SLAM,MS,457,Main Draw,NIWA Koki (JPN),FRANZISKA Patrick (GER)
World Tour Korean Open Incheon 2017,2017-04-18,KARLSSON Kristian,GAUZY Simon,4,0,"11,11,11,16|8,6,6,14",R16,GRAND_SLAM,MS,457,Main Draw,KARLSSON Kristian (SWE),GAUZY Simon (FRA)
World Tour Korean Open Incheon 2017,2017-04-18,FREITAS Marcos,CHEN Chien-An,4,2,"12,6,11,11,11,11|14,11,3,8,6,7",R16,GRAND_SLAM,MS,457,Main Draw,FREITAS Marcos (POR),CHEN Chien-An (TPE)
World Tour Korean Open Incheon 2017,2017-04-18,LIM Jonghoon,CHUANG Chih-Yuan,4,3,"12,12,13,9,6,11,11|14,10,11,11,11,9,6",R16,GRAND_SLAM,MS,457,Main Draw,LIM Jonghoon (KOR),CHUANG Chih-Yuan (TPE)
World Tour Korean Open Incheon 2017,2017-04-18,YOSHIMURA Maharu,WALTHER Ricardo,4,1,"4,14,11,11,11|11,12,9,3,8",QuarterFinal,GRAND_SLAM,MS,457,Main Draw,YOSHIMURA Maharu (JPN),WALTHER Ricardo (GER)
World Tour Korean Open Incheon 2017,2017-04-18,BOLL Timo,MATSUDAIRA Kenta,4,0,"11,11,11,14|8,8,4,12",QuarterFinal,GRAND_SLAM,MS,457,Main Draw,MATSUDAIRA Kenta (JPN),BOLL Timo (GER)
World Tour Korean Open Incheon 2017,2017-04-18,FRANZISKA Patrick,KARLSSON Kristian,4,0,"11,11,11,11|7,2,3,7",QuarterFinal,GRAND_SLAM,MS,457,Main Draw,FRANZISKA Patrick (GER),KARLSSON Kristian (SWE)
World Tour Korean Open Incheon 2017,2017-04-18,LIM Jonghoon,FREITAS Marcos,4,1,"13,6,11,11,11|11,11,8,9,4",QuarterFinal,GRAND_SLAM,MS,457,Main Draw,FREITAS Marcos (POR),LIM Jonghoon (KOR)
