tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Qatar Open Doha 2017,2017-02-21,PUCAR Tomislav,PARK Ganghyeon,4,1,"9,12,11,12,11|11,10,8,10,8",,GRAND_SLAM,MS,456,Qualification,PARK Ganghyeon (KOR),PUCAR Tomislav (CRO),PUCAR Tomislav
World Tour Qatar Open Doha 2017,2017-02-21,PUCAR Tomislav,TANG Peng,4,1,"11,6,11,11,11|6,11,7,9,9",,GRAND_SLAM,MS,456,Qualification,TANG Peng (HKG),PUCAR Tomislav (CRO),PUCAR Tomislav
World Tour Qatar Open Doha 2017,2017-02-21,TANG Peng,PARK Ganghyeon,4,1,"11,11,11,7,11|4,5,5,11,6",,GRAND_SLAM,MS,456,Qualification,TANG Peng (HKG),PARK Ganghyeon (KOR),TANG Peng
World Tour Qatar Open Doha 2017,2017-02-21,SALIFOU Abdel-Kader,DEVOS Robin,4,2,"11,11,15,11,5,11|5,6,17,7,11,4",,GRAND_SLAM,MS,456,Qualification,DEVOS Robin (BEL),SALIFOU Abdel-Kader (BEN),SALIFOU Abdel-Kader
World Tour Qatar Open Doha 2017,2017-02-21,SALIFOU Abdel-Kader,MURAMATSU Yuto,4,0,"11,11,12,11|9,7,10,5",,GRAND_SLAM,MS,456,Qualification,MURAMATSU Yuto (JPN),SALIFOU Abdel-Kader (BEN),SALIFOU Abdel-Kader
World Tour Qatar Open Doha 2017,2017-02-21,MURAMATSU Yuto,DEVOS Robin,4,0,"11,12,11,11|7,10,5,6",,GRAND_SLAM,MS,456,Qualification,MURAMATSU Yuto (JPN),DEVOS Robin (BEL),MURAMATSU Yuto
World Tour Qatar Open Doha 2017,2017-02-21,PERSSON Jon,LIVENTSOV Alexey,4,1,"12,11,11,7,11|10,4,9,11,8",,GRAND_SLAM,MS,456,Qualification,PERSSON Jon (SWE),LIVENTSOV Alexey (RUS),PERSSON Jon
World Tour Qatar Open Doha 2017,2017-02-21,APOLONIA Tiago,LIVENTSOV Alexey,4,2,"13,12,5,11,4,11|11,10,11,5,11,8",,GRAND_SLAM,MS,456,Qualification,APOLONIA Tiago (POR),LIVENTSOV Alexey (RUS),APOLONIA Tiago
World Tour Qatar Open Doha 2017,2017-02-21,APOLONIA Tiago,PERSSON Jon,4,2,"14,11,11,9,9,11|12,7,6,11,11,3",,GRAND_SLAM,MS,456,Qualification,APOLONIA Tiago (POR),PERSSON Jon (SWE),APOLONIA Tiago
World Tour Qatar Open Doha 2017,2017-02-21,ROBLES Alvaro,KIM Minhyeok,4,3,"7,12,9,13,11,11,11|11,10,11,15,6,5,5",,GRAND_SLAM,MS,456,Qualification,ROBLES Alvaro (ESP),KIM Minhyeok (KOR),ROBLES Alvaro
World Tour Qatar Open Doha 2017,2017-02-21,KARLSSON Kristian,KIM Minhyeok,4,1,"11,11,8,11,11|3,5,11,6,4",,GRAND_SLAM,MS,456,Qualification,KARLSSON Kristian (SWE),KIM Minhyeok (KOR),KARLSSON Kristian
World Tour Qatar Open Doha 2017,2017-02-21,ROBLES Alvaro,KARLSSON Kristian,4,3,"11,8,11,11,15,4,11|7,11,13,5,13,11,9",,GRAND_SLAM,MS,456,Qualification,KARLSSON Kristian (SWE),ROBLES Alvaro (ESP),ROBLES Alvaro
World Tour Qatar Open Doha 2017,2017-02-21,LIAO Cheng-Ting,KIZUKURI Yuto,4,0,"12,12,11,12|10,10,1,10",,GRAND_SLAM,MS,456,Qualification,LIAO Cheng-Ting (TPE),KIZUKURI Yuto (JPN),LIAO Cheng-Ting
World Tour Qatar Open Doha 2017,2017-02-21,KIZUKURI Yuto,GACINA Andrej,4,0,"11,12,11,11|9,10,8,8",,GRAND_SLAM,MS,456,Qualification,GACINA Andrej (CRO),KIZUKURI Yuto (JPN),KIZUKURI Yuto
World Tour Qatar Open Doha 2017,2017-02-21,LIAO Cheng-Ting,GACINA Andrej,4,2,"9,11,11,2,14,14|11,6,8,11,12,12",,GRAND_SLAM,MS,456,Qualification,GACINA Andrej (CRO),LIAO Cheng-Ting (TPE),LIAO Cheng-Ting
World Tour Qatar Open Doha 2017,2017-02-21,SAKAI Asuka,BOBOCICA Mihai,4,3,"11,8,8,11,7,11,11|6,11,11,6,11,7,8",,GRAND_SLAM,MS,456,Qualification,BOBOCICA Mihai (ITA),SAKAI Asuka (JPN),SAKAI Asuka
World Tour Qatar Open Doha 2017,2017-02-21,CHEN Chien-An,SAKAI Asuka,4,0,"11,11,11,11|4,9,8,6",,GRAND_SLAM,MS,456,Qualification,CHEN Chien-An (TPE),SAKAI Asuka (JPN),CHEN Chien-An
World Tour Qatar Open Doha 2017,2017-02-21,CHEN Chien-An,BOBOCICA Mihai,4,1,"11,11,11,10,11|5,9,2,12,4",,GRAND_SLAM,MS,456,Qualification,CHEN Chien-An (TPE),BOBOCICA Mihai (ITA),CHEN Chien-An
World Tour Qatar Open Doha 2017,2017-02-21,HABESOHN Daniel,STOYANOV Niagol,4,2,"6,11,11,14,5,11|11,5,5,12,11,7",,GRAND_SLAM,MS,456,Qualification,HABESOHN Daniel (AUT),STOYANOV Niagol (ITA),HABESOHN Daniel
World Tour Qatar Open Doha 2017,2017-02-21,YOSHIMURA Maharu,STOYANOV Niagol,4,1,"11,6,11,11,11|8,11,3,6,8",,GRAND_SLAM,MS,456,Qualification,YOSHIMURA Maharu (JPN),STOYANOV Niagol (ITA),YOSHIMURA Maharu
World Tour Qatar Open Doha 2017,2017-02-21,YOSHIMURA Maharu,HABESOHN Daniel,4,2,"11,5,11,9,11,11|7,11,8,11,9,5",,GRAND_SLAM,MS,456,Qualification,YOSHIMURA Maharu (JPN),HABESOHN Daniel (AUT),YOSHIMURA Maharu
World Tour Qatar Open Doha 2017,2017-02-21,ROBINOT Quentin,KOSIBA Daniel,4,2,"5,11,6,11,11,11|11,6,11,5,7,9",,GRAND_SLAM,MS,456,Qualification,ROBINOT Quentin (FRA),KOSIBA Daniel (HUN),ROBINOT Quentin
World Tour Qatar Open Doha 2017,2017-02-21,KARLSSON Mattias,KOSIBA Daniel,4,2,"11,11,8,1,11,11|9,9,11,11,5,7",,GRAND_SLAM,MS,456,Qualification,KARLSSON Mattias (SWE),KOSIBA Daniel (HUN),KARLSSON Mattias
World Tour Qatar Open Doha 2017,2017-02-21,KARLSSON Mattias,ROBINOT Quentin,4,1,"11,9,12,11,11|8,11,10,8,2",,GRAND_SLAM,MS,456,Qualification,KARLSSON Mattias (SWE),ROBINOT Quentin (FRA),KARLSSON Mattias
World Tour Qatar Open Doha 2017,2017-02-21,OIKAWA Mizuki,LAMBIET Florent,4,2,"11,4,9,11,11,11|7,11,11,5,6,7",,GRAND_SLAM,MS,456,Qualification,OIKAWA Mizuki (JPN),LAMBIET Florent (BEL),OIKAWA Mizuki
