tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
YOG Europe Continental Qualification Split 2017,2017-11-03,PLETEA Cristian,NAUMI Alex,4,1,"11,8,11,11,11|7,11,7,6,9",,OTHER,JBS,511,Qualification,PLETEA Cristian (ROU),NAUMI Alex (FIN)
YOG Europe Continental Qualification Split 2017,2017-11-03,PLETEA Cristian,FRANCISCO Jose Pedro,4,1,"4,11,11,11,11|11,8,7,0,9",,OTHER,JBS,511,Qualification,PLETEA Cristian (ROU),FRANCISCO Jose Pedro (POR)
YOG Europe Continental Qualification Split 2017,2017-11-03,FRANCISCO Jose Pedro,NAUMI Alex,4,3,"11,12,5,9,11,11,11|8,14,11,11,7,4,5",,OTHER,JBS,511,Qualification,FRANCISCO Jose Pedro (POR),NAUMI Alex (FIN)
YOG Europe Continental Qualification Split 2017,2017-11-03,SGOUROPOULOS Ioannis,URSU Vladislav,4,0,"11,11,11,11|6,8,2,6",,OTHER,JBS,511,Qualification,SGOUROPOULOS Ioannis (GRE),URSU Vladislav (MDA)
YOG Europe Continental Qualification Split 2017,2017-11-03,YU Khinhang,CATHCART Owen,4,0,"15,11,11,11|13,7,6,3",,OTHER,JBS,511,Qualification,CATHCART Owen (IRL),YU Khinhang (AZE)
YOG Europe Continental Qualification Split 2017,2017-11-03,SGOUROPOULOS Ioannis,CATHCART Owen,4,1,"11,11,11,6,11|8,7,4,11,8",,OTHER,JBS,511,Qualification,SGOUROPOULOS Ioannis (GRE),CATHCART Owen (IRL)
YOG Europe Continental Qualification Split 2017,2017-11-03,YU Khinhang,URSU Vladislav,4,3,"11,10,11,11,9,11,11|13,12,4,7,11,3,7",,OTHER,JBS,511,Qualification,URSU Vladislav (MDA),YU Khinhang (AZE)
YOG Europe Continental Qualification Split 2017,2017-11-03,YU Khinhang,SGOUROPOULOS Ioannis,4,2,"11,6,8,12,12,11|9,11,11,10,10,8",,OTHER,JBS,511,Qualification,SGOUROPOULOS Ioannis (GRE),YU Khinhang (AZE)
YOG Europe Continental Qualification Split 2017,2017-11-03,URSU Vladislav,CATHCART Owen,4,0,"11,11,11,11|2,5,8,3",,OTHER,JBS,511,Qualification,CATHCART Owen (IRL),URSU Vladislav (MDA)
YOG Europe Continental Qualification Split 2017,2017-11-03,SIDORENKO Vladimir,RUKLETSOV Vladislav,4,0,"11,11,11,13|7,7,6,11",,OTHER,JBS,511,Qualification,SIDORENKO Vladimir (RUS),RUKLETSOV Vladislav (BLR)
YOG Europe Continental Qualification Split 2017,2017-11-03,RADOVIC Filip,RIKALOSKI Aleksandar,4,0,"11,11,11,11|7,5,5,5",,OTHER,JBS,511,Qualification,RADOVIC Filip (MNE),RIKALOSKI Aleksandar (MKD)
YOG Europe Continental Qualification Split 2017,2017-11-03,SIDORENKO Vladimir,RADOVIC Filip,4,1,"12,11,9,11,11|10,8,11,9,9",,OTHER,JBS,511,Qualification,SIDORENKO Vladimir (RUS),RADOVIC Filip (MNE)
YOG Europe Continental Qualification Split 2017,2017-11-03,RUKLETSOV Vladislav,RIKALOSKI Aleksandar,4,0,"11,11,11,11|9,1,5,4",,OTHER,JBS,511,Qualification,RUKLETSOV Vladislav (BLR),RIKALOSKI Aleksandar (MKD)
YOG Europe Continental Qualification Split 2017,2017-11-03,SIDORENKO Vladimir,RIKALOSKI Aleksandar,4,0,"11,11,11,11|3,6,1,5",,OTHER,JBS,511,Qualification,SIDORENKO Vladimir (RUS),RIKALOSKI Aleksandar (MKD)
