tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF African Championships Port Louis 2018,2018-09-03,TORIOLA Segun,BIZAKU Jonathan,3,0,"11,11,11|6,2,6",GROUP,OTHER,MT,914,Main Draw,TORIOLA Segun (NGR),BIZAKU Jonathan (COD),TORIOLA Segun
ITTF African Championships Port Louis 2018,2018-09-03,ABIODUN Bode,KASSA Gedeon,3,0,"11,11,11|6,3,5",GROUP,OTHER,MT,914,Main Draw,ABIODUN Bode (NGR),KASSA Gedeon (COD),ABIODUN Bode
ITTF African Championships Port Louis 2018,2018-09-03,OMOTAYO Olajide,MBONGIA Christian,3,0,"11,11,11|5,5,8",GROUP,OTHER,MT,914,Main Draw,OMOTAYO Olajide (NGR),MBONGIA Christian (COD),OMOTAYO Olajide
ITTF African Championships Port Louis 2018,2018-09-03,SALEH Ahmed,SULTAN Godfrey,3,0,"11,11,11|5,4,3",GROUP,OTHER,MT,914,Main Draw,SALEH Ahmed (EGY),SULTAN Godfrey (SEY),SALEH Ahmed
ITTF African Championships Port Louis 2018,2018-09-03,ELBEIALI Mohamed,CREA Mick,3,0,"11,11,11|5,1,4",GROUP,OTHER,MT,914,Main Draw,ELBEIALI Mohamed (EGY),CREA Mick (SEY),ELBEIALI Mohamed
ITTF African Championships Port Louis 2018,2018-09-03,GHALLAB Aly,ESTHER Nicholas,3,0,"11,11,11|3,5,5",GROUP,OTHER,MT,914,Main Draw,GHALLAB Aly (EGY),ESTHER Nicholas (SEY),GHALLAB Aly
ITTF African Championships Port Louis 2018,2018-09-03,OVERMEYER Shane,RAZAFINDRALAMBO Zo,3,2,"10,8,11,11,11|12,11,6,6,8",GROUP,OTHER,MT,914,Main Draw,OVERMEYER Shane (RSA),RAZAFINDRALAMBO Zo (MAD),OVERMEYER Shane
ITTF African Championships Port Louis 2018,2018-09-03,LINGEVELDT Kurt,RAKOTOARISOA Setra,3,1,"9,11,11,11|11,2,5,9",GROUP,OTHER,MT,914,Main Draw,LINGEVELDT Kurt (RSA),RAKOTOARISOA Setra (MAD),LINGEVELDT Kurt
ITTF African Championships Port Louis 2018,2018-09-03,COGILL Theo,RASOLOMALALA Rado,3,0,"11,11,11|3,4,5",GROUP,OTHER,MT,914,Main Draw,COGILL Theo (RSA),RASOLOMALALA Rado (MAD),COGILL Theo
ITTF African Championships Port Louis 2018,2018-09-03,KHEROUF Sami,ANDRE Elizandro,3,1,"11,11,11,11|8,13,9,5",GROUP,OTHER,MT,914,Main Draw,KHEROUF Sami (ALG),ANDRE Elizandro (ANG),KHEROUF Sami
ITTF African Championships Port Louis 2018,2018-09-03,BOURIAH Larbi,ANTONIO Alessio,3,2,"5,11,14,8,13|11,7,12,11,11",GROUP,OTHER,MT,914,Main Draw,BOURIAH Larbi (ALG),ANTONIO Alessio (ANG),BOURIAH Larbi
