tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,FENG Yi-Hsin,DARCIS Thibaut,3,1,"12,12,11,11|14,10,4,7",R64,OLYMPICS,U21MS,889,Main Draw,DARCIS Thibaut (BEL),FENG Yi-Hsin (TPE),FENG Yi-Hsin
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,ENGEMANN Gerrit,CNUDDE Florian,3,1,"8,11,11,11|11,7,6,5",R64,OLYMPICS,U21MS,889,Main Draw,ENGEMANN Gerrit (GER),CNUDDE Florian (BEL),ENGEMANN Gerrit
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,SIPOS Rares,BARDET Lilian,3,1,"11,12,12,11|5,10,14,5",R64,OLYMPICS,U21MS,889,Main Draw,SIPOS Rares (ROU),BARDET Lilian (FRA),SIPOS Rares
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,NG Pak Nam,MUTTI Matteo,3,1,"6,11,11,11|11,9,7,2",R64,OLYMPICS,U21MS,889,Main Draw,NG Pak Nam (HKG),MUTTI Matteo (ITA),NG Pak Nam
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HELMY Mahmoud,POSCH Lars,3,0,"11,13,11|8,11,3",R64,OLYMPICS,U21MS,889,Main Draw,POSCH Lars (SUI),HELMY Mahmoud (EGY),HELMY Mahmoud
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,THAKKAR Manav,ZHENG Dorian,3,1,"11,11,6,11|5,4,11,7",R64,OLYMPICS,U21MS,889,Main Draw,THAKKAR Manav (IND),ZHENG Dorian (FRA),THAKKAR Manav
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,MARTINKO Jiri,AL-NAGGAR Abdulrahman,3,0,"11,13,11|5,11,9",R64,OLYMPICS,U21MS,889,Main Draw,AL-NAGGAR Abdulrahman (QAT),MARTINKO Jiri (CZE),MARTINKO Jiri
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,TOGAMI Shunsuke,HU Chung-Wen,3,0,"11,11,11|5,4,7",R64,OLYMPICS,U21MS,889,Main Draw,TOGAMI Shunsuke (JPN),HU Chung-Wen (TPE),TOGAMI Shunsuke
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,GRININGER Thomas,FRANCISCO Jose Pedro,3,0,"11,11,12|7,5,10",R64,OLYMPICS,U21MS,889,Main Draw,FRANCISCO Jose Pedro (POR),GRININGER Thomas (AUT),GRININGER Thomas
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,CABALLERO Carlos,MLADENOVIC Luka,3,0,"18,11,11|16,3,3",R64,OLYMPICS,U21MS,889,Main Draw,MLADENOVIC Luka (LUX),CABALLERO Carlos (ESP),CABALLERO Carlos
ITTF Challenge Belgium Open De Haan 2018,2018-10-23,HIPPLER Tobias,KLOS Patrik,3,2,"6,11,4,11,11|11,6,11,6,5",R64,OLYMPICS,U21MS,889,Main Draw,KLOS Patrik (CZE),HIPPLER Tobias (GER),HIPPLER Tobias
